DISTRICT,YEAR,DA0CA07R,DA0CA08R,DA0CC07R,DA0CC08R,DA0CS07R,DA0CS08R,DA0CT07R,DA0CT08R,DACRB07R,DACRB08R,DACRM07R,DACRM08R,DACRR07R,DACRR08R,DB0CA07R,DB0CA08R,DB0CC07R,DB0CC08R,DB0CS07R,DB0CS08R,DB0CT07R,DB0CT08R,DBCRB07R,DBCRB08R,DBCRM07R,DBCRM08R,DBCRR07R,DBCRR08R,DECRB07R,DECRB08R,DECRM07R,DECRM08R,DECRR07R,DECRR08R,DF0CA07R,DF0CA08R,DF0CC07R,DF0CC08R,DF0CS07R,DF0CS08R,DF0CT07R,DF0CT08R,DFCRB07R,DFCRB08R,DFCRM07R,DFCRM08R,DFCRR07R,DFCRR08R,DH0CA07R,DH0CA08R,DH0CC07R,DH0CC08R,DH0CS07R,DH0CS08R,DH0CT07R,DH0CT08R,DHCRB07R,DHCRB08R,DHCRM07R,DHCRM08R,DHCRR07R,DHCRR08R,DI0CA07R,DI0CA08R,DI0CC07R,DI0CC08R,DI0CS07R,DI0CS08R,DI0CT07R,DI0CT08R,DICRB07R,DICRB08R,DICRM07R,DICRM08R,DICRR07R,DICRR08R,DLCRB07R,DLCRB08R,DLCRM07R,DLCRM08R,DLCRR07R,DLCRR08R,DM0CA07R,DM0CA08R,DM0CC07R,DM0CC08R,DM0CS07R,DM0CS08R,DM0CT07R,DM0CT08R,DMCRB07R,DMCRB08R,DMCRM07R,DMCRM08R,DMCRR07R,DMCRR08R,DP0CA07R,DP0CA08R,DP0CC07R,DP0CC08R,DP0CS07R,DP0CS08R,DP0CT07R,DP0CT08R,DPCRB07R,DPCRB08R,DPCRM07R,DPCRM08R,DPCRR07R,DPCRR08R,DRCRB07R,DRCRB08R,DRCRM07R,DRCRM08R,DRCRR07R,DRCRR08R,DSCRB07R,DSCRB08R,DSCRM07R,DSCRM08R,DSCRR07R,DSCRR08R,DW0CA07R,DW0CA08R,DW0CC07R,DW0CC08R,DW0CS07R,DW0CS08R,DW0CT07R,DW0CT08R,DWCRB07R,DWCRB08R,DWCRM07R,DWCRM08R,DWCRR07R,DWCRR08R
'003907,2009,18.4,17.6,25.8,31.4,976,1033,39.2,35.7,14,31,40,55,22,38,-1,.,-1,-1,-1,-1,20,-1,20,-1,20,-1,20,-1,-3,20,22,61,14,25,18.4,-1,25,35.7,975,1055,37.2,30.4,13,33,37,60,26,45,-1,.,-1,.,.,.,40,0,-3,-3,10,43,11,-3,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.4,-1,26.7,28.6,977,1016,41.7,40.4,16,29,44,50,18,33,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,6,-3,32,23,13,4,-1,-1,17,-1,-1,-1,19.7,17.6,26.9,29.4,970,1024,40.6,39.5,16,32,47,54,24,40
'004901,2009,20.7,20,23.3,21.7,1008,983,58.5,65.4,40,45,51,59,59,56,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,41,45,47,52,56,19.7,19.5,15.1,16.7,960,956,58.9,76.9,37,48,47,59,64,60,16.4,17.9,7.4,20.8,924,938,50,64.9,20,40,40,50,43,56,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.2,20.8,33.3,28.3,1055,1016,55.8,54.8,42,42,56,60,54,53,20,19.1,27.3,12.5,984,903,84.6,72.7,69,55,69,73,69,55,22,16,34,29,49,36,-1,-3,-1,-3,14,11,22.4,20.9,31.1,23.6,1057,1014,59.2,65.5,46,46,56,62,64,58
'005901,2009,21.8,20.7,31.8,7.1,983,985,71,50,66,32,65,43,80,55,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,80,-1,80,-1,83,-1,21.4,-1,33.3,-1,958,-1,60,40,38,22,40,33,75,70,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22,20.4,31.3,10,997,958,76.2,55.6,76,37,76,47,82,47,.,-1,.,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,44,-3,36,11,80,30,-1,-1,-1,-1,-1,-1,21.9,20.2,31.6,0,993,977,70.4,48.1,65,31,67,42,78,56
'005902,2009,21.4,21.8,31.1,33.9,1043,1050,75,81.9,43,63,59,72,50,70,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,20,33,80,50,20,33,21,22.3,32,36.7,1014,1047,80.6,85.7,40,64,57,69,50,78,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.1,21.3,30,31,1070,1055,69,78.4,46,63,62,74,50,63,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,-3,-3,6,11,18,-1,-1,-1,-1,-1,-1,21.5,21.6,31.8,32.7,1043,1037,73.3,82.1,43,61,59,70,50,69
'005904,2009,23.4,23.6,40,53.8,1040,1202,69,81.3,46,68,93,97,46,68,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,63,-1,-4,-1,63,21.7,22.9,14.3,43.8,959,-1,77.8,84.2,44,68,89,-4,44,68,.,-1,.,-1,.,.,-1,28.6,-1,33,-1,86,-1,33,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.6,24.7,53.8,70,1111,-1,65,76.9,47,67,95,92,47,67,.,-1,.,-1,.,.,.,-2,-1,-1,-1,-1,-1,-1,-3,-1,86,-1,-3,-1,-1,-1,-1,-1,-1,-1,23.3,24,36.8,56.5,1034,1202,70.4,92,50,76,92,-4,50,76
'006902,2009,18.9,20.9,10,31.6,.,.,90.9,90.5,43,55,55,57,71,80,-1,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,38,33,63,29,63,67,19.2,20.6,16.7,27.3,.,.,100,-2,42,50,42,45,83,80,-1,.,-1,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.7,21.4,0,37.5,.,.,70,72.7,44,60,70,70,56,80,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,33,40,29,33,67,60,-1,-1,-1,-1,-1,-1,19.1,20.9,11.8,31.6,.,.,85,95,42,58,55,63,68,84
'007901,2009,17.8,15.6,4.5,0,-1,-1,100,72.2,18,4,52,17,23,33,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,7,10,47,10,7,36,18.4,15.9,6.7,0,-1,-1,-2,80,23,9,71,18,31,50,17.5,14.1,0,0,.,.,89.5,64.3,20,-3,50,6,25,37,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.3,15.2,0,0,.,.,87.5,62.5,11,-3,22,17,11,17,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,13,-3,41,6,13,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,-1,60,-1,20
'007902,2009,19.7,19,16.7,20,933,889,47.7,54.8,20,32,34,35,33,66,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,10,25,16,31,19,64,19.3,19.1,10.7,13.6,846,819,51.9,51.2,21,32,34,35,40,78,19.2,18.2,10,13.3,756,845,46.5,37.5,12,22,26,27,23,65,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.5,18.9,28.6,27.8,988,982,41.2,60,19,31,34,34,24,52,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,8,13,19,17,26,67,-3,-1,-3,-1,-3,20,20.7,19.5,22.7,24,1044,921,52.4,75.8,29,44,42,44,43,67
'007904,2009,15.2,20,7,17.1,877,930,76,72.4,15,45,38,53,19,57,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,8,39,24,50,10,51,-1,16.9,10.3,2.6,891,899,96.7,79.6,25,43,36,51,36,64,15.2,19.5,5.7,15.2,815,927,79.5,65.7,9,51,33,58,14,61,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14.8,23.5,3.6,32.4,867,962,62.2,66.1,9,46,39,55,9,51,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,2,21,20,28,6,38,-1,-1,-1,-1,-1,20,.,20.5,10,20.7,985,933,64.5,85.3,24,34,45,46,28,47
'007905,2009,20.1,20.1,19.2,22.7,1001,996,57,48.1,35,43,58,59,53,53,-1,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,23,34,47,50,44,44,20,19.5,22,12,1029,922,61.2,51,47,40,59,57,73,51,18.5,19.9,11.1,17.9,936,948,32.1,38.2,37,37,58,54,52,46,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,20.9,15.6,36.8,976,1097,52.5,44.7,22,46,56,61,32,56,.,.,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,-1,11,19,26,32,41,31,-3,25,38,33,-3,20,20.6,20.3,25,25,1019,1027,69.6,60.8,33,49,57,64,54,61
'007906,2009,17.5,16.9,4.3,8.6,876,860,45.5,34,48,35,55,42,74,66,.,.,-1,.,-1,.,-2,.,-1,-1,-1,-1,-1,-1,47,24,58,33,78,60,17.1,17.8,0,6.3,864,881,43.1,32.7,47,36,51,40,74,69,16.1,17.1,3.3,9.5,850,819,41.1,27.3,47,31,56,37,71,64,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18,16.2,9.5,10.5,891,839,48.8,35.2,50,35,61,44,74,63,-1,.,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,33,13,42,25,63,52,-1,-1,-1,-1,-1,-1,19.3,-1,7.7,7.7,927,926,50,50,59,44,59,54,88,70
'008901,2009,21.9,22.5,33.3,44.9,997,1059,76.1,68.1,42,52,58,75,48,61,17.2,20.2,10,12.5,870,942,71.4,57.1,-3,42,9,69,7,42,8,35,8,65,6,35,21.3,22.8,30.4,42.9,978,1068,74.2,76.7,41,56,46,72,51,69,18.3,19.1,20,0,878,938,41.7,57.9,27,25,27,60,36,30,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.2,22.2,35.7,47.6,1012,1047,77.8,59.2,44,49,68,78,46,53,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,12,23,20,47,20,31,18,13,25,50,20,13,22.8,23.5,38.1,53.8,1023,1080,78.5,70.9,47,58,66,78,54,68
'008902,2009,20.2,21,16.9,23.1,966,963,61.1,60.9,39,41,54,58,61,49,14.6,-1,0,0,868,-1,80,63.6,20,44,20,44,60,44,12,16,16,34,44,24,21.3,21.5,22.7,24,956,966,60.3,75.8,43,52,50,57,71,66,-1,20.1,0,22.2,-1,1004,17.9,22.5,13,19,29,42,38,27,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.8,20.1,9.4,21.4,981,959,60.4,45.2,33,30,60,60,47,33,.,-1,-1,-1,.,-1,-1,-2,-1,-1,-1,-1,-1,-1,10,7,19,19,48,18,-1,-3,-1,40,-1,-3,21.5,21.6,22.4,27.6,978,970,70.7,78.4,51,50,67,68,69,60
'008903,2009,18.1,19.3,8.3,23.1,917,969,70.6,67.2,28,54,49,75,43,68,15,-1,0,0,773,-1,-2,-2,10,20,20,20,20,60,11,40,11,80,20,47,17.2,-1,0,22.2,860,990,76.2,58.1,36,58,45,81,64,74,.,.,-1,-1,-1,-1,15.4,21.1,15,37,38,58,38,63,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17.5,18.3,15,23.8,963,951,66.7,77.8,23,50,52,68,28,61,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,5,43,14,57,23,71,-1,-1,-1,-1,-1,-1,18.9,21.1,8.3,23.3,954,985,82.8,85.7,40,69,63,91,52,71
'009901,2009,21.5,19.9,32.4,28.9,1072,1116,58.7,62.3,49,46,65,52,60,68,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,31,37,48,43,48,57,21.3,19,33.3,17.6,-1,-1,63.2,60.7,64,37,68,37,81,70,18.7,18.1,14.3,7.1,.,-1,23.3,42.4,26,36,46,42,41,67,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.5,20.7,25,38.1,-1,-1,48,63.6,28,53,60,64,33,67,-1,.,-1,.,.,.,-2,.,-1,-1,-1,-1,-1,-1,23,14,34,18,42,57,-1,-1,-1,-1,-3,-1,21.9,21.1,29.6,41.7,1072,-1,81.8,88.9,68,62,79,69,76,73
'010901,2009,17.4,20.8,5.3,36.8,911,1056,-2,-2,22,53,44,76,20,50,-1,-1,-1,-1,.,.,-2,-1,-1,-1,-1,-1,-1,-1,14,-1,29,-1,13,40,18.2,20.5,0,33.3,830,1015,-2,-2,17,54,17,77,14,57,-1,-1,-1,-1,-1,-1,80,-2,-3,-1,20,-1,-3,-1,.,-1,.,-1,-1,.,.,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,10,-1,964,-1,83.3,-1,25,-1,58,-1,23,33,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,11,40,22,60,9,50,-1,-1,-1,-1,-1,-1,17.8,22.7,7.7,50,909,1087,100,100,31,57,54,86,27,53
'010902,2009,20,20.9,18.3,23.8,986,986,76.2,74.3,44,47,62,57,58,71,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,43,52,59,70,54,68,19.7,20.1,16.9,19.1,962,959,86.8,77.3,40,43,48,49,66,78,18.6,20.6,10,6.7,939,912,80,60,40,35,52,55,59,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,40,-1,-1,-1,-1,-1,-1,-1,20.3,21.5,19.6,29,1019,1018,67.5,71.3,47,51,75,64,52,65,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,24,17,35,31,45,53,-1,-1,-1,-1,14,40,20.4,20.9,19.5,26.6,998,998,71.9,75.7,45,48,66,57,59,70
'011901,2009,19.8,19.5,24.2,16,976,939,61.4,57.1,34,34,60,50,45,49,17.2,16.9,8.7,2.9,784,779,95.8,-2,17,26,38,50,32,35,22,30,56,50,29,44,19.8,19.1,23,12.2,973,928,67,64.2,37,30,53,47,53,50,19.7,17.8,22.4,11.8,970,912,48,41.8,25,25,60,38,32,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.9,20.3,25.8,20.4,980,951,55.4,50.7,31,37,67,54,36,48,.,.,.,-1,-1,-1,-1,60,-1,80,-1,-4,-1,80,15,14,43,26,27,36,-3,18,27,27,-3,14,20.1,20.8,26.2,20.1,1011,980,63.7,58.1,40,37,63,55,51,55
