DISTRICT,YEAR,DA0GH02N,DA0GH02P,DA0GM02N,DA0GM02P,DA0GR02N,DA0GR02P,DA0LV02R,DAPID03N,DAPID03R,DAUND02C,DB0GR02N,DB0GR02P,DH0GR02N,DH0GR02P,DI0GR02N,DI0GR02P,DP0GR02N,DP0GR02P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR02N,DS0GR02P,DW0GR02N,DW0GR02P
'126905,2003,1,0.4,248,99.6,249,100,0.7,8,0.2,16,4,1.6,25,10,1,0.4,5,2,4.6,2.7,4.6,0.8,0,0.3,0.7,0,3.7,15.6,3.2,0,0,0,0,0,0,3.7,4400,132,3,49,1.1,93,2.2,1801,40.9,360,8.2,287,6.5,334,7.6,316,7.2,318,7.2,343,7.8,360,8.2,328,7.5,508,11.5,301,6.8,270,6.1,190,4.3,19,0.4,306,7,327,7.4,139,3.2,492,11.2,7,0.2,140,3.2,17,0.4,525,11.9,1000,22.7,3835,87.2,18,7.2,214,85.9
'126906,2003,26,65,14,35,40,100,0,2,0.2,0,9,22.5,17,42.5,0,0,0,0,1.9,2,6.8,0,0,0,2.2,0,0,14.3,0,0,0,0,0,0,0,0,842,167,19.8,66,7.8,11,1.3,607,72.1,61,7.2,62,7.4,66,7.8,63,7.5,77,9.1,63,7.5,75,8.9,55,6.5,74,8.8,47,5.6,42,5,35,4.2,17,2,81,9.6,65,7.7,40,4.8,320,38,12,1.4,167,19.8,91,10.8,154,18.3,114,13.5,353,41.9,5,12.5,14,35
'126907,2003,29,67.4,14,32.6,43,100,0,5,0.5,0,0,0,4,9.3,0,0,0,0,10,6.5,0,0,0,1.5,5.5,1.7,5.7,12.5,16.7,10,0,0,0,0,0,16.7,896,11,1.2,1,0.1,12,1.4,283,31.6,51,5.7,61,6.8,54,6,62,6.9,52,5.8,82,9.2,73,8.1,64,7.1,73,8.1,78,8.7,61,6.8,64,7.1,49,5.5,100,11.2,57,6.4,15,1.7,59,6.6,3,0.3,14,1.6,0,0,159,17.7,162,18.1,833,93,2,4.7,39,90.7
'126908,2003,53,53,47,47,100,100,0.2,15,0.7,2,3,3,30,30,1,1,5,5,3.3,1.9,1,1.9,0,7.1,1.9,0.8,5.4,7.7,11.5,2.8,3.4,0,3.6,0,0,0,1871,177,9.5,49,2.6,28,1.5,1165,62.3,125,6.7,123,6.6,129,6.9,146,7.8,137,7.3,139,7.4,138,7.4,130,6.9,165,8.8,129,6.9,112,6,111,5.9,108,5.8,96,5.1,135,7.2,44,2.4,615,32.9,12,0.6,187,10,51,2.7,480,25.7,358,19.1,1144,61.1,7,7,61,61
'126911,2003,37,46.3,43,53.8,80,100,0,14,0.9,0,2,2.5,4,5,1,1.3,0,0,0,0,0,0,0,0,2.5,1.3,2.8,0,0,0,0,0,0,0,3.7,0,1377,25,1.8,15,1.1,14,1,461,33.5,90,6.5,95,6.9,82,6,113,8.2,92,6.7,115,8.4,109,7.9,104,7.6,113,8.2,94,6.8,98,7.1,75,5.4,76,5.5,92,6.7,105,7.6,16,1.2,173,12.6,8,0.6,61,4.4,2,0.1,391,28.4,282,20.5,1179,85.6,19,23.8,73,91.3
'127901,2003,32,53.3,28,46.7,60,100,0.3,0,0,1,0,0,18,30,0,0,0,0,2.6,1.8,0,0,0,0,0,0,6.9,0,0,0,11.1,0,0,0,0,0,797,74,9.3,20,2.5,9,1.1,484,60.7,63,7.9,46,5.8,60,7.5,65,8.2,57,7.2,65,8.2,67,8.4,60,7.5,55,6.9,61,7.7,53,6.6,50,6.3,23,2.9,75,9.4,44,5.5,28,3.5,309,38.8,1,0.1,75,9.4,2,0.3,159,19.9,186,23.3,465,58.3,13,21.7,42,70
'127903,2003,37,75.5,12,24.5,49,100,0.4,1,0.2,1,3,6.1,11,22.4,0,0,0,0,16,3.7,5.9,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,514,4,0.8,37,7.2,5,1,324,63,31,6,30,5.8,38,7.4,40,7.8,33,6.4,30,5.8,31,6,41,8,30,5.8,36,7,47,9.1,31,6,20,3.9,57,11.1,42,8.2,34,6.6,175,34,0,0,9,1.8,0,0,134,26.1,187,36.4,302,58.8,5,10.2,35,71.4
'127904,2003,37,71.2,15,28.8,52,100,0,1,0.1,0,0,0,1,1.9,0,0,0,0,0,2.2,5.4,0,0,0,0,0,2.7,0,0,0,6.3,0,0,0,0,50,772,1,0.1,1,0.1,5,0.7,352,45.6,43,5.6,60,7.8,57,7.4,51,6.6,63,8.2,58,7.5,69,8.9,77,10,49,6.3,64,8.3,52,6.7,54,7,16,2.1,109,14.1,49,6.3,10,1.3,56,7.3,2,0.3,1,0.1,5,0.6,141,18.3,326,42.2,708,91.7,3,5.8,51,98.1
'127905,2003,6,40,9,60,15,100,0,0,0,0,0,0,2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,.,0,0,0,0,0,162,0,0,2,1.2,1,0.7,118,72.8,14,8.6,2,1.2,14,8.6,12,7.4,11,6.8,9,5.6,6,3.7,14,8.6,9,5.6,14,8.6,20,12.3,16,9.9,16,9.9,17,10.5,5,3.1,0,0,11,6.8,1,0.6,0,0,2,1.2,51,31.5,57,35.2,146,90.1,4,26.7,13,86.7
'127906,2003,37,55.2,30,44.8,67,100,0,1,0.1,0,6,9,26,38.8,0,0,0,0,2,2.6,0,2,0,0,0,0,6.5,14.3,20,0,0,0,0,0,0,11.1,741,22,3,101,13.6,25,3.4,476,64.2,53,7.2,57,7.7,47,6.3,51,6.9,59,8,60,8.1,47,6.3,55,7.4,58,7.8,60,8.1,46,6.2,51,6.9,17,2.3,50,6.7,53,7.2,27,3.6,297,40.1,0,0,25,3.4,2,0.3,125,16.9,166,22.4,341,46,8,11.9,35,52.2
