DISTRICT,YEAR,DA0GH02N,DA0GH02P,DA0GM02N,DA0GM02P,DA0GR02N,DA0GR02P,DA0LV02R,DAPID03N,DAPID03R,DAUND02C,DB0GR02N,DB0GR02P,DH0GR02N,DH0GR02P,DI0GR02N,DI0GR02P,DP0GR02N,DP0GR02P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR02N,DS0GR02P,DW0GR02N,DW0GR02P
'034909,2003,10,62.5,6,37.5,16,100,0.8,4,1.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,255,0,0,10,3.9,9,3.5,89,34.9,20,7.8,25,9.8,15,5.9,21,8.2,19,7.5,21,8.2,18,7.1,22,8.6,20,7.8,20,7.8,21,8.2,19,7.5,0,0,6,2.4,14,5.5,0,0,11,4.3,1,0.4,0,0,0,0,64,25.1,75,29.4,233,91.4,4,25,16,100
'035901,2003,51,62.2,31,37.8,82,100,0,0,0,0,4,4.9,52,63.4,0,0,0,0,1.5,0,2.3,1.1,0,0,1.1,0,2.5,0,0,0,0,14.3,12.5,0,7.1,10,1254,132,10.5,37,3,10,0.8,891,71.1,86,6.9,81,6.5,98,7.8,99,7.9,92,7.3,83,6.6,90,7.2,102,8.1,112,8.9,101,8.1,71,5.7,78,6.2,2,0.2,64,5.1,107,8.5,52,4.1,929,74.1,3,0.2,150,12,2,0.2,118,9.4,213,17,283,22.6,3,3.7,26,31.7
'035902,2003,10,40,15,60,25,100,0,0,0,0,1,4,23,92,0,0,0,0,4.3,4.8,0,0,0,0,0,0,21.7,0,0,0,0,0,0,0,0,20,360,38,10.6,8,2.2,2,0.6,264,73.3,23,6.4,26,7.2,19,5.3,22,6.1,31,8.6,24,6.7,16,4.4,31,8.6,25,6.9,32,8.9,29,8.1,30,8.3,0,0,53,14.7,32,8.9,20,5.6,297,82.5,0,0,38,10.6,0,0,26,7.2,115,31.9,55,15.3,2,8,1,4
'035903,2003,19,86.4,3,13.6,22,100,0,0,0,0,0,0,1,4.5,0,0,0,0,0,8.3,0,5.9,0,0,0,0,7.1,0,0,.,0,0,.,0,.,0,225,1,0.4,0,0,0,0,35,15.6,14,6.2,16,7.1,15,6.7,15,6.7,21,9.3,17,7.6,15,6.7,24,10.7,13,5.8,21,9.3,13,5.8,24,10.7,0,0,25,11.1,17,7.6,0,0,15,6.7,0,0,1,0.4,0,0,15,6.7,53,23.6,210,93.3,1,4.5,21,95.5
'036901,2003,40,57.1,30,42.9,70,100,0.1,0,0,1,15,21.4,9,12.9,0,0,2,2.9,5.6,0,3,2.2,1,1.1,1.1,0,4.8,15,0,0,7.7,0,0,0,0,0,1410,104,7.4,296,21,17,1.2,618,43.8,100,7.1,120,8.5,100,7.1,115,8.2,106,7.5,120,8.5,100,7.1,113,8,123,8.7,107,7.6,97,6.9,85,6,0,0,129,9.1,95,6.7,29,2.1,285,20.2,0,0,105,7.4,25,1.8,163,11.6,332,23.5,804,57,7,10,44,62.9
'036902,2003,93,65,50,35,143,100,0.3,15,0.5,4,3,2.1,13,9.1,0,0,0,0,16.1,0.6,0.5,1.4,1.8,1.8,2.1,2.5,12.1,11.5,5,4.8,0,0,0,0,9.5,17.4,2943,68,2.3,82,2.8,8,0.3,546,18.6,244,8.3,207,7,214,7.3,233,7.9,253,8.6,215,7.3,255,8.7,223,7.6,240,8.2,228,7.7,177,6,194,6.6,5,0.2,123,4.2,220,7.5,35,1.2,345,11.7,9,0.3,72,2.4,8,0.3,254,8.6,492,16.7,2499,84.9,7,4.9,127,88.8
'036903,2003,42,63.6,24,36.4,66,100,0.6,5,0.4,3,11,16.7,7,10.6,0,0,1,1.5,0,2.2,0,1.3,1.2,0,0,0,1.3,0,7.1,0,13.3,0,0,0,0,9.1,1168,91,7.8,137,11.7,9,0.8,458,39.2,91,7.8,81,6.9,96,8.2,81,6.9,90,7.7,112,9.6,69,5.9,89,7.6,91,7.8,91,7.8,65,5.6,78,6.7,8,0.7,105,9,86,7.4,40,3.4,200,17.1,0,0,95,8.1,12,1,169,14.5,312,26.7,819,70.1,9,13.6,47,71.2
'037901,2003,0,.,0,.,0,.,24.9,3,0.4,78,0,.,0,.,0,.,0,.,10.8,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685,89,13,262,38.2,10,1.7,489,71.4,51,7.4,37,5.4,44,6.4,37,5.4,52,7.6,43,6.3,43,6.3,53,7.7,56,8.2,53,7.7,41,6,48,7,0,0,43,6.3,54,7.9,73,10.7,120,17.5,2,0.3,97,14.2,1,0.1,78,11.4,58,8.5,300,43.8,0,.,0,.
'037904,2003,208,87,31,13,239,100,0,16,0.3,0,49,20.5,40,16.7,0,0,2,0.8,10.3,3.4,4.8,0.7,0,0,1.8,1.4,8.2,14.3,4.2,2,0,0,0,0,1.5,9.6,4717,731,15.5,1060,22.5,56,1.3,3015,63.9,378,8,346,7.3,370,7.8,353,7.5,349,7.4,336,7.1,348,7.4,346,7.3,443,9.4,312,6.6,266,5.6,245,5.2,5,0.1,207,4.4,376,8,244,5.2,1404,29.8,11,0.2,791,16.8,20,0.4,599,12.7,1180,25,2222,47.1,27,11.3,148,61.9
'037907,2003,55,52.9,49,47.1,104,100,0,0,0,0,21,20.2,8,7.7,1,1,2,1.9,2.9,2.8,3.1,0,0,0.7,0.9,0.8,2.5,4.2,8.7,4.2,0,9.1,0,3.2,0,9.1,1919,75,3.9,306,15.9,33,1.7,985,51.3,138,7.2,134,7,130,6.8,153,8,144,7.5,151,7.9,165,8.6,148,7.7,180,9.4,116,6,145,7.6,98,5.1,6,0.3,102,5.3,135,7,76,4,189,9.8,6,0.3,75,3.9,8,0.4,275,14.3,381,19.9,1410,73.5,4,3.8,72,69.2
'037908,2003,12,54.5,10,45.5,22,100,11.8,30,6.8,18,4,18.2,6,27.3,0,0,0,0,0,0,0,3,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,410,125,30.5,23,5.6,12,3.4,353,86.1,28,6.8,25,6.1,33,8,31,7.6,38,9.3,39,9.5,26,6.3,18,4.4,32,7.8,25,6.1,28,6.8,19,4.6,0,0,20,4.9,35,8.5,33,8,286,69.8,0,0,207,50.5,0,0,36,8.8,110,26.8,101,24.6,2,9.1,12,54.5
'037909,2003,11,55,9,45,20,100,0,15,4.1,0,1,5,1,5,0,0,0,0,0,0,0,5.3,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,320,6,1.9,34,10.6,7,2.2,174,54.4,26,8.1,25,7.8,25,7.8,27,8.4,24,7.5,20,6.3,24,7.5,27,8.4,34,10.6,15,4.7,19,5.9,8,2.5,0,0,25,7.8,27,8.4,19,5.9,14,4.4,0,0,10,3.1,0,0,47,14.7,99,30.9,272,85,0,0,18,90
'038901,2003,62,72.9,23,27.1,85,100,0,0,0,0,9,10.6,15,17.6,1,1.2,1,1.2,5.6,1.5,0,1.5,0,4.3,0,0,0,12.5,0,0,0,0,0,0,0,10,1151,21,1.8,90,7.8,13,1.1,567,49.3,81,7,85,7.4,83,7.2,84,7.3,84,7.3,93,8.1,84,7.3,87,7.6,94,8.2,76,6.6,82,7.1,85,7.4,7,0.6,82,7.1,92,8,34,3,350,30.4,13,1.1,30,2.6,10,0.9,185,16.1,316,27.5,688,59.8,16,18.8,59,69.4
'039901,2003,7,53.8,6,46.2,13,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,0,.,0,0,.,.,120,3,2.5,0,0,0,0,61,50.8,6,5,5,4.2,16,13.3,10,8.3,12,10,3,2.5,8,6.7,14,11.7,9,7.5,12,10,10,8.3,6,5,0,0,4,3.3,9,7.5,0,0,3,2.5,3,2.5,3,2.5,0,0,6,5,37,30.8,114,95,2,15.4,13,100
'039902,2003,19,26.4,53,73.6,72,100,0,3,0.2,0,0,0,3,4.2,2,2.8,2,2.8,0,0,2.1,0,0,5.1,1.4,0,4.7,0,0,0,0,0,0,0,0,0,1058,2,0.2,17,1.6,20,2,288,27.2,72,6.8,79,7.5,83,7.8,59,5.6,75,7.1,90,8.5,82,7.8,92,8.7,77,7.3,98,9.3,77,7.3,71,6.7,7,0.7,77,7.3,69,6.5,27,2.6,44,4.2,10,0.9,2,0.2,2,0.2,159,15,340,32.1,985,93.1,14,19.4,65,90.3
'039903,2003,28,66.7,14,33.3,42,100,0,1,0.2,0,0,0,0,0,0,0,0,0,4.2,4,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,501,5,1,4,0.8,8,1.6,195,38.9,28,5.6,28,5.6,30,6,43,8.6,34,6.8,41,8.2,42,8.4,50,10,30,6,39,7.8,34,6.8,38,7.6,0,0,44,8.8,36,7.2,28,5.6,48,9.6,6,1.2,5,1,0,0,65,13,127,25.3,443,88.4,7,16.7,42,100
'039904,2003,7,63.6,4,36.4,11,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,181,0,0,0,0,0,0,55,30.4,15,8.3,13,7.2,10,5.5,17,9.4,15,8.3,13,7.2,11,6.1,10,5.5,15,8.3,15,8.3,18,9.9,18,9.9,0,0,8,4.4,11,6.1,0,0,1,0.6,0,0,0,0,0,0,22,12.2,81,44.8,180,99.4,3,27.3,11,100
'039905,2003,11,61.1,7,38.9,18,100,0,0,0,0,0,0,1,5.6,0,0,1,5.6,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,50,149,0,0,0,0,0,0,36,24.2,6,4,10,6.7,11,7.4,18,12.1,9,6,8,5.4,13,8.7,16,10.7,11,7.4,15,10.1,14,9.4,9,6,1,0.7,8,5.4,8,5.4,0,0,8,5.4,0,0,0,0,0,0,28,18.8,45,30.2,141,94.6,3,16.7,16,88.9
'040901,2003,29,67.4,14,32.6,43,100,0,1,0.2,0,4,9.3,26,60.5,0,0,0,0,8.8,3.8,3.1,0,0,2.9,3.6,0,0,0,0,0,0,0,0,14.3,0,12.5,589,55,9.3,44,7.5,45,8.4,471,80,44,7.5,37,6.3,32,5.4,40,6.8,37,6.3,46,7.8,41,7,35,5.9,55,9.3,51,8.7,29,4.9,52,8.8,0,0,56,9.5,39,6.6,51,8.7,399,67.7,0,0,55,9.3,0,0,75,12.7,271,46,146,24.8,4,9.3,13,30.2
'040902,2003,22,81.5,5,18.5,27,100,0,0,0,0,1,3.7,8,29.6,0,0,0,0,0,0,0,0,0,0,3.3,3,0,0,0,0,0,.,0,20,0,0,355,8,2.3,3,0.8,9,2.4,178,50.1,17,4.8,14,3.9,18,5.1,22,6.2,15,4.2,22,6.2,29,8.2,36,10.1,42,11.8,36,10.1,35,9.9,37,10.4,0,0,21,5.9,14,3.9,18,5.1,87,24.5,4,1.1,8,2.3,0,0,48,13.5,122,34.4,261,73.5,1,3.7,18,66.7
'041901,2003,17,42.5,23,57.5,40,100,0,0,0,0,1,2.5,9,22.5,0,0,0,0,0,0,0,0,0,4.8,0,5.9,0,0,0,0,0,0,0,0,0,25,520,8,1.5,63,12.1,0,0,341,65.6,19,3.7,22,4.2,29,5.6,23,4.4,28,5.4,23,4.4,28,5.4,24,4.6,101,19.4,91,17.5,60,11.5,26,5,6,1.2,43,8.3,25,4.8,15,2.9,142,27.3,0,0,6,1.2,1,0.2,119,22.9,163,31.3,314,60.4,5,12.5,30,75
'041902,2003,22,81.5,5,18.5,27,100,0,0,0,0,0,0,7,25.9,0,0,0,0,6.7,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,50,311,10,3.2,2,0.6,0,0,143,46,16,5.1,19,6.1,11,3.5,28,9,25,8,24,7.7,22,7.1,31,10,26,8.4,22,7.1,25,8,29,9.3,3,1,32,10.3,15,4.8,15,4.8,91,29.3,3,1,10,3.2,0,0,57,18.3,120,38.6,215,69.1,3,11.1,20,74.1
'042901,2003,47,72.3,18,27.7,65,100,0,0,0,0,0,0,15,23.1,0,0,0,0,8.3,9.3,0,2.7,0,4.4,0,1.4,7,28.6,0,0,5.6,0,0,0,20,26.7,1002,14,1.4,37,3.7,13,1.3,521,52,81,8.1,56,5.6,58,5.8,71,7.1,90,9,70,7,86,8.6,75,7.5,94,9.4,64,6.4,78,7.8,73,7.3,3,0.3,80,8,69,6.9,34,3.4,239,23.9,2,0.2,17,1.7,3,0.3,127,12.7,169,16.9,721,72,9,13.8,50,76.9
'042903,2003,12,63.2,7,36.8,19,100,0,0,0,0,0,0,5,26.3,0,0,0,0,0,0,0,0,7.1,0,0,15.4,6.7,0,0,0,0,0,0,0,0,33.3,262,2,0.8,19,7.3,4,1.5,159,60.7,18,6.9,15,5.7,16,6.1,28,10.7,21,8,21,8,24,9.2,27,10.3,20,7.6,23,8.8,18,6.9,17,6.5,2,0.8,15,5.7,12,4.6,0,0,71,27.1,3,1.1,2,0.8,0,0,54,20.6,71,27.1,169,64.5,3,15.8,14,73.7
'042905,2003,8,47.1,9,52.9,17,100,0,0,0,0,0,0,1,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,210,3,1.4,3,1.4,0,0,63,30,9,4.3,8,3.8,16,7.6,13,6.2,12,5.7,16,7.6,21,10,16,7.6,16,7.6,19,9,14,6.7,22,10.5,1,0.5,23,11,17,8.1,10,4.8,28,13.3,1,0.5,4,1.9,0,0,31,14.8,100,47.6,178,84.8,3,17.6,16,94.1
'042906,2003,0,0,6,100,6,100,0,0,0,0,1,16.7,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,25,.,0,.,0,0,.,.,0,0,109,0,0,1,0.9,1,0.8,86,78.9,6,5.5,5,4.6,8,7.3,5,4.6,9,8.3,13,11.9,10,9.2,8,7.3,11,10.1,7,6.4,9,8.3,13,11.9,0,0,11,10.1,5,4.6,0,0,14,12.8,0,0,0,0,0,0,15,13.8,61,56,94,86.2,2,33.3,5,83.3
'043901,2003,464,62.8,275,37.2,739,100,0.1,25,0.2,5,35,4.7,44,6,4,0.5,20,2.7,3,0.9,0.1,0.1,0,0.3,0.2,0.3,2.5,8.4,1.3,1,1,1,2.6,0.7,5,9.1,12508,474,3.8,906,7.2,93,0.8,812,6.5,1032,8.3,984,7.9,934,7.5,949,7.6,926,7.4,935,7.5,1051,8.4,1079,8.6,971,7.8,928,7.4,872,7,796,6.4,62,0.5,1185,9.5,837,6.7,152,1.2,1071,8.6,87,0.7,479,3.8,634,5.1,1344,10.7,3204,25.6,9810,78.4,120,16.2,636,86.1
'043902,2003,26,34.7,49,65.3,75,100,0.8,3,0.3,4,0,0,10,13.3,0,0,0,0,2,6.1,2.1,0,0,0,0,1.6,3.3,0,0,0,0,0,0,0,0,11.1,1022,57,5.6,3,0.3,11,1.2,311,30.4,78,7.6,77,7.5,64,6.3,69,6.8,83,8.1,75,7.3,74,7.2,78,7.6,103,10.1,78,7.6,79,7.7,79,7.7,0,0,80,7.8,59,5.8,26,2.5,171,16.7,1,0.1,66,6.5,1,0.1,179,17.5,273,26.7,846,82.8,12,16,65,86.7
'043903,2003,52,78.8,14,21.2,66,100,0,1,0.1,0,2,3,2,3,1,1.5,0,0,8,0,0,0,1.1,0,0,0,11.5,5.6,0,0,0,0,0,6.7,0,18.2,1326,35,2.6,62,4.7,81,6.6,290,21.9,105,7.9,111,8.4,104,7.8,93,7,102,7.7,111,8.4,97,7.3,110,8.3,112,8.4,96,7.2,95,7.2,97,7.3,0,0,112,8.4,93,7,0,0,189,14.3,3,0.2,38,2.9,5,0.4,153,11.5,289,21.8,1067,80.5,6,9.1,61,92.4
'043904,2003,50,74.6,17,25.4,67,100,0.8,7,0.4,5,2,3,6,9,0,0,0,0,3.3,1.3,1.1,3.1,3.4,0,1.2,2.4,1.1,0,4.5,0,0,0,0,0,0,0,1423,126,8.9,89,6.3,3,0.2,470,33,116,8.2,120,8.4,105,7.4,116,8.2,127,8.9,107,7.5,119,8.4,102,7.2,126,8.9,109,7.7,82,5.8,73,5.1,0,0,96,6.7,103,7.2,18,1.3,294,20.7,6,0.4,130,9.1,3,0.2,201,14.1,339,23.8,1031,72.5,3,4.5,59,88.1
'043905,2003,233,69.8,101,30.2,334,100,0.1,4,0,2,14,4.2,53,15.9,3,0.9,8,2.4,1.3,0.6,0.4,0.6,0,0.2,0.2,0.7,1.7,1.8,1.6,0,0,1.1,0,0,0,13.8,11144,425,3.8,869,7.8,108,1.2,1041,9.3,1200,10.8,1092,9.8,1032,9.3,974,8.7,864,7.8,789,7.1,820,7.4,726,6.5,633,5.7,609,5.5,496,4.5,397,3.6,91,0.8,616,5.5,1308,11.7,113,1,1471,13.2,88,0.8,483,4.3,631,5.7,1201,10.8,1117,10,8085,72.6,24,7.2,256,76.6
'043907,2003,437,72.4,167,27.6,604,100,0,9,0.1,1,47,7.8,85,14.1,4,0.7,8,1.3,1.9,0.5,0.2,0.2,0.2,0.5,0.5,0.1,2.3,4.7,0,0.8,0.7,0,0,2.5,0,4.6,15155,1225,8.1,1356,8.9,197,1.5,3412,22.5,1349,8.9,1330,8.8,1278,8.4,1252,8.3,1215,8,1203,7.9,1108,7.3,1011,6.7,1232,8.1,870,5.7,855,5.6,668,4.4,104,0.7,864,5.7,1441,9.5,239,1.6,3201,21.1,75,0.5,1273,8.4,307,2,1580,10.4,2284,15.1,10216,67.4,46,7.6,460,76.2
'043908,2003,0,.,0,.,0,.,0,13,2.5,0,0,.,0,.,0,.,0,.,6.3,3.8,0,0,0,0,2.1,0,0,0,0,0,0,0,0,12.5,0,0,465,26,5.6,2,0.4,2,0.5,108,23.2,55,11.8,40,8.6,44,9.5,58,12.5,53,11.4,39,8.4,65,14,56,12,0,0,0,0,0,0,0,0,0,0,45,9.7,55,11.8,0,0,80,17.2,3,0.6,26,5.6,1,0.2,72,15.5,0,0,379,81.5,0,.,0,.
'043910,2003,1906,68.2,889,31.8,2795,100,0.1,76,0.1,12,192,6.9,170,6.1,5,0.2,418,15,1.2,0.8,0.2,0.2,0.2,0.4,0.6,0.4,1.9,3.5,1.5,0.9,0.5,0.8,0.9,0.7,1.4,8.4,50814,4101,8.1,4196,8.3,416,0.9,6841,13.5,4003,7.9,4051,8,3951,7.8,3950,7.8,3941,7.8,3964,7.8,3882,7.6,3799,7.5,4051,8,3470,6.8,3426,6.7,3334,6.6,381,0.7,5072,10,3727,7.3,884,1.7,6011,11.8,192,0.4,4739,9.3,7681,15.1,5561,10.9,14502,28.5,32734,64.4,211,7.5,2010,71.9
'043911,2003,53,54.6,44,45.4,97,100,1,7,0.3,11,3,3.1,8,8.2,1,1,0,0,2.5,3.7,0,0,1.3,0,1.3,0,0.7,0,0,0,0,3.7,0,0,0,4.8,2241,118,5.3,38,1.7,19,0.8,849,37.9,168,7.5,144,6.4,156,7,163,7.3,184,8.2,179,8,194,8.7,190,8.5,211,9.4,187,8.3,155,6.9,108,4.8,19,0.8,141,6.3,133,5.9,50,2.2,417,18.6,14,0.6,125,5.6,5,0.2,332,14.8,458,20.4,1767,78.8,7,7.2,85,87.6
'043912,2003,37,86,6,14,43,100,0,1,0.1,0,0,0,1,2.3,0,0,0,0,2.7,0,0,0,0,0,0,0,6.1,0,0,0,0,0,7.7,0,0,6.3,1242,100,8.1,35,2.8,7,0.7,163,13.1,98,7.9,92,7.4,99,8,87,7,99,8,102,8.2,111,8.9,86,6.9,118,9.5,90,7.2,74,6,59,4.8,0,0,108,8.7,106,8.5,21,1.7,215,17.3,0,0,100,8.1,10,0.8,163,13.1,142,11.4,982,79.1,5,11.6,42,97.7
'043914,2003,170,72.3,65,27.7,235,100,0.1,8,0.1,2,11,4.7,15,6.4,1,0.4,2,0.9,3.8,1.6,0.3,0.3,0,0.6,1.8,0.9,3.2,2.7,1.7,1.4,0,1.7,0,4.1,3.2,5.6,5675,237,4.2,349,6.1,35,0.7,986,17.4,465,8.2,449,7.9,468,8.2,484,8.5,424,7.5,463,8.2,449,7.9,427,7.5,454,8,387,6.8,337,5.9,284,5,18,0.3,449,7.9,472,8.3,94,1.7,779,13.7,59,1,243,4.3,127,2.2,618,10.9,1347,23.7,4361,76.8,27,11.5,206,87.7
'043917,2003,18,45,22,55,40,100,0,3,0.4,0,1,2.5,5,12.5,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,14,2,6,0.8,0,0,176,24.8,44,6.2,47,6.6,63,8.9,42,5.9,58,8.2,60,8.5,60,8.5,59,8.3,42,5.9,60,8.5,35,4.9,64,9,0,0,71,10,52,7.3,24,3.4,64,9,6,0.8,18,2.5,1,0.1,128,18,123,17.3,633,89.2,7,17.5,34,85
'043918,2003,34,50.7,33,49.3,67,100,0,2,0.1,0,0,0,4,6,1,1.5,0,0,12.5,5.7,1.1,0,1.9,2,1.1,8.1,1.4,16.7,0,0,0,0,0,0,0,20,1422,27,1.9,34,2.4,35,2.5,429,30.2,92,6.5,113,7.9,84,5.9,112,7.9,114,8,127,8.9,135,9.5,128,9,111,7.8,101,7.1,98,6.9,84,5.9,0,0,117,8.2,88,6.2,35,2.5,157,11,7,0.5,36,2.5,5,0.4,220,15.5,330,23.2,1219,85.7,11,16.4,62,92.5
'043919,2003,0,.,0,.,0,.,.,1,0.1,0,0,.,0,.,0,.,0,.,1,1,0,0,0,0,.,.,8.6,0,0,0,0,0,0,.,.,0,894,3,0.3,9,1,0,0,29,3.2,112,12.5,136,15.2,134,15,148,16.6,127,14.2,127,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,14.5,110,12.3,0,0,54,6,4,0.4,13,1.5,23,2.6,82,9.2,0,0,804,89.9,0,.,0,.
'044902,2003,20,43.5,26,56.5,46,100,0,0,0,0,6,13,18,39.1,0,0,0,0,3.4,5.9,0,0,0,0,0,0,8.1,16.7,0,0,0,0,0,0,0,0,578,47,8.1,45,7.8,12,2.1,344,59.5,44,7.6,34,5.9,34,5.9,41,7.1,48,8.3,56,9.7,38,6.6,45,7.8,38,6.6,41,7.1,54,9.3,41,7.1,3,0.5,34,5.9,45,7.8,16,2.8,210,36.3,0,0,49,8.5,0,0,99,17.1,167,28.9,323,55.9,7,15.2,22,47.8
'044904,2003,10,83.3,2,16.7,12,100,0,0,0,0,1,8.3,3,25,0,0,0,0,0,25,0,0,0,0,0,6.3,0,.,.,.,.,.,.,.,0,.,98,0,0,3,3.1,0,0,44,44.9,8,8.2,4,4.1,5,5.1,9,9.2,5,5.1,4,4.1,10,10.2,11,11.2,14,14.3,8,8.2,4,4.1,7,7.1,0,0,7,7.1,8,8.2,1,1,20,20.4,2,2,0,0,0,0,4,4.1,32,32.7,73,74.5,2,16.7,8,66.7
'045902,2003,69,70.4,29,29.6,98,100,0,3,0.2,0,9,9.2,12,12.2,0,0,0,0,0,0,2.2,0,0,0,1.1,0.9,1.2,0,0,0,0,0,5.3,0,4,16.7,1600,95,5.9,209,13.1,28,1.8,639,39.9,99,6.2,107,6.7,103,6.4,116,7.3,118,7.4,109,6.8,132,8.3,114,7.1,156,9.8,136,8.5,123,7.7,128,8,1,0.1,118,7.4,116,7.3,42,2.6,335,20.9,1,0.1,105,6.6,3,0.2,222,13.9,461,28.8,1052,65.8,5,5.1,77,78.6
'045903,2003,61,56.5,47,43.5,108,100,0.4,3,0.2,4,34,31.5,22,20.4,0,0,0,0,4.5,8,8.9,1.1,0,3.4,2.6,3.6,1.2,0,5.3,3.4,0,0,0,5.9,0,6.7,1434,72,5,350,24.4,42,2.7,947,66,98,6.8,107,7.5,104,7.3,101,7,120,8.4,80,5.6,93,6.5,100,7,136,9.5,135,9.4,115,8,86,6,4,0.3,137,9.6,108,7.5,47,3.3,587,40.9,5,0.3,118,8.2,0,0,268,18.7,417,29.1,492,34.3,13,12,52,48.1
'045905,2003,23,57.5,17,42.5,40,100,0,5,0.6,0,5,12.5,5,12.5,0,0,0,0,2.2,5.6,7.5,0,2.6,2.7,6.5,2.7,7.4,0,0,0,0,0,12.5,0,0,37.5,697,54,7.7,123,17.6,0,0,295,42.3,34,4.9,53,7.6,44,6.3,47,6.7,38,5.5,56,8,44,6.3,38,5.5,67,9.6,83,11.9,51,7.3,64,9.2,1,0.1,63,9,57,8.2,20,2.9,149,21.4,0,0,54,7.7,3,0.4,109,15.6,203,29.1,422,60.5,5,12.5,30,75
'046801,2003,1,25,3,75,4,100,2.1,10,4.3,3,0,0,1,25,0,0,0,0,.,.,.,0,0,0,0,0,.,.,.,.,.,.,0,0,0,.,82,0,0,0,0,0,0,52,63.4,0,0,0,0,0,0,2,2.4,1,1.2,9,11,6,7.3,3,3.7,20,24.4,26,31.7,11,13.4,4,4.9,0,0,0,0,0,0,0,0,48,58.5,0,0,0,0,0,0,16,19.5,0,0,34,41.5,0,0,3,75
'046901,2003,323,78.2,90,21.8,413,100,6.6,100,1.4,204,6,1.5,141,34.1,0,0,1,0.2,11.7,5.7,1.8,1.9,2,3,3.7,1.2,15.5,24.2,4.3,3.7,0,5.6,1.5,11.3,1.2,28.2,6258,422,6.7,113,1.8,87,1.5,2167,34.6,453,7.2,441,7,443,7.1,463,7.4,451,7.2,447,7.1,505,8.1,433,6.9,583,9.3,484,7.7,493,7.9,402,6.4,29,0.5,393,6.3,530,8.5,101,1.6,2711,43.3,8,0.1,519,8.3,39,0.6,722,11.5,1329,21.2,3387,54.1,27,6.5,265,64.2
'046902,2003,348,51.1,333,48.9,681,100,0,15,0.1,2,9,1.3,116,17,0,0,3,0.4,2.2,3.6,1.3,0,0.4,0.1,3,0.7,14,3.6,5,0.8,2.9,0,0.7,4.3,4.5,31.6,11297,295,2.6,133,1.2,322,3,3499,31,756,6.7,834,7.4,727,6.4,812,7.2,855,7.6,858,7.6,894,7.9,900,8,1141,10.1,774,6.9,860,7.6,746,6.6,69,0.6,1162,10.3,864,7.6,207,1.8,2574,22.8,20,0.2,326,2.9,51,0.5,1572,13.9,2977,26.4,8519,75.4,86,12.6,553,81.2
'047901,2003,44,62.9,26,37.1,70,100,0.1,2,0.1,1,0,0,17,24.3,0,0,0,0,6.5,2.4,0,0,0,2,0,2,3.3,7.1,7.1,0,0,0,0,5.3,0,37.5,1415,142,10,0,0,9,0.6,778,55,96,6.8,114,8.1,97,6.9,105,7.4,106,7.5,111,7.8,114,8.1,139,9.8,137,9.7,98,6.9,89,6.3,82,5.8,9,0.6,135,9.5,96,6.8,22,1.6,542,38.3,4,0.3,145,10.2,5,0.4,193,13.6,301,21.3,864,61.1,10,14.3,53,75.7
