DISTRICT,YEAR,DA0GA00N,DA0GR00N,DA0LV00R,DAPID01N,DAPID01R,DAUND00C,DB0GR00N,DH0GR00N,DI0GR00N,DP0GR00N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR00N,DW0GR00N
'047903,2001,0,13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,213,28,13.1,0,0,131,61.5,12,5.6,10,4.7,21,9.9,19,8.9,14,6.6,13,6.1,19,8.9,16,7.5,11,5.2,20,9.4,16,7.5,12,5.6,0,0,16,7.5,12,5.6,18,8.5,89,41.8,0,0,28,13.1,0,0,30,14.1,68,31.9,124,58.2,3,7
'047905,2001,0,15,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,114,0,0,0,0,69,60.5,6,5.3,2,1.8,4,3.5,2,1.8,5,4.4,15,13.2,10,8.8,10,8.8,12,10.5,17,14.9,14,12.3,12,10.5,2,1.8,3,2.6,3,2.6,0,0,21,18.4,3,2.6,0,0,0,0,31,27.2,49,43,90,78.9,6,12
'048901,2001,0,30,0,0,0,0,0,14,0,0,0,0,0,0,0,0,3.8,5.3,4.8,0,0,0,0,0,0,14.3,0,0,333,14,4.2,2,0.6,185,55.6,23,6.9,21,6.3,24,7.2,26,7.8,20,6,22,6.6,42,12.6,29,8.7,28,8.4,19,5.7,28,8.4,27,8.1,0,0,27,8.1,18,5.4,6,1.8,140,42,0,0,15,4.5,0,0,50,15,97,29.1,191,57.4,2,16
'048903,2001,0,16,0,0,0,0,0,7,0,0,0,0,7.1,0,0,0,0,0,0,.,50,0,0,.,25,.,0,.,155,0,0,0,0,82,52.9,9,5.8,6,3.9,8,5.2,14,9,13,8.4,7,4.5,12,7.7,7,4.5,13,8.4,16,10.3,15,9.7,19,12.3,6,3.9,7,4.5,10,6.5,0,0,60,38.7,0,0,0,0,1,0.6,28,18.1,79,51,94,60.6,4,9
'049901,2001,69,141,0.1,28,0.8,1,16,12,0,3,1.6,0.5,1.3,1.7,1.2,0.6,0,1.1,2.7,0,0,2.3,2,0,0,0,4.5,0,2933,323,11,257,8.8,1638,55.8,217,7.4,222,7.6,246,8.4,214,7.3,232,7.9,213,7.3,222,7.6,212,7.2,271,9.2,212,7.2,157,5.4,166,5.7,11,0.4,220,7.5,229,7.8,109,3.7,760,25.9,31,1.1,324,11,11,0.4,396,13.5,503,17.1,1874,63.9,16,110
'049902,2001,0,35,0.9,2,0.4,2,0,1,0,0,3.6,0,0,5.6,0,3.2,0,0,2.9,33.3,0,11.1,0,0,0,0,0,0,475,5,1.1,2,0.4,67,14.1,46,9.7,31,6.5,35,7.4,35,7.4,38,8,38,8,43,9.1,44,9.3,32,6.7,29,6.1,32,6.7,32,6.7,1,0.2,32,6.7,31,6.5,8,1.7,9,1.9,0,0,6,1.3,1,0.2,79,16.6,84,17.7,463,97.5,7,34
'049903,2001,10,22,1.8,12,1.6,6,0,2,0,0,0,2.1,0,0,0,0,13.7,7,3.3,0,0,0,0,0,8.3,0,0,0,662,9,1.4,0,0,162,24.5,42,6.3,43,6.5,55,8.3,44,6.6,56,8.5,50,7.6,58,8.8,62,9.4,58,8.8,47,7.1,54,8.2,46,6.9,1,0.2,33,5,46,6.9,0,0,54,8.2,4,0.6,13,2,1,0.2,106,16,190,28.7,603,91.1,1,20
'049905,2001,0,70,3.6,29,2.2,21,0,0,0,2,0,0,1.3,1.4,0,1.6,1.1,1.3,1.7,0,0,0,0,0,0,0,0,0,1119,5,0.4,6,0.5,283,25.3,59,5.3,75,6.7,76,6.8,100,8.9,93,8.3,94,8.4,89,8,107,9.6,108,9.7,77,6.9,80,7.1,56,5,4,0.4,125,11.2,75,6.7,26,2.3,38,3.4,11,1,6,0.5,3,0.3,143,12.8,242,21.6,1061,94.8,14,68
'049906,2001,0,34,1.4,11,2.5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,5,1.3,0,0,72,19.4,21,5.6,28,7.5,27,7.3,32,8.6,21,5.6,37,9.9,37,9.9,28,7.5,35,9.4,27,7.3,27,7.3,28,7.5,0,0,30,8.1,24,6.5,0,0,18,4.8,1,0.3,5,1.3,1,0.3,22,5.9,166,44.6,352,94.6,4,33
'049907,2001,0,34,0.8,0,0,2,0,0,0,2,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,482,0,0,4,0.8,23,4.8,28,5.8,32,6.6,30,6.2,37,7.7,42,8.7,42,8.7,41,8.5,48,10,32,6.6,46,9.5,39,8.1,43,8.9,0,0,48,10,22,4.6,0,0,2,0.4,2,0.4,0,0,8,1.7,31,6.4,167,34.6,466,96.7,3,32
'049908,2001,.,.,21.4,3,6.1,3,.,.,.,.,0,0,0,0,0,0,0,0,.,0,0,0,0,0,.,0,0,.,46,0,0,0,0,23,50,1,2.2,4,8.7,5,10.9,6,13,7,15.2,5,10.9,4,8.7,8,17.4,0,0,0,0,0,0,0,0,0,0,0,0,2,4.3,4,8.7,1,2.2,0,0,0,0,1,2.2,10,21.7,0,0,44,95.7,.,.
'049909,2001,.,.,33.3,4,6.7,3,.,.,.,.,0,0,0,0,0,0,0,0,14.3,.,0,.,.,0,0,0,0,.,56,1,1.8,0,0,23,41.1,10,17.9,5,8.9,8,14.3,5,8.9,6,10.7,5,8.9,9,16.1,2,3.6,0,0,0,0,0,0,0,0,0,0,4,7.1,6,10.7,0,0,11,19.6,0,0,0,0,0,0,7,12.5,0,0,45,80.4,.,.
