DISTRICT,YEAR,DA0GA00N,DA0GR00N,DA0LV00R,DAPID01N,DAPID01R,DAUND00C,DB0GR00N,DH0GR00N,DI0GR00N,DP0GR00N,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR00N,DW0GR00N
'108911,2001,0,284,0.1,32,0.5,3,0,205,0,5,2.5,0.9,0.3,0.3,0,0.3,0.9,0.8,2.7,12.9,0,0,0,0,0,0,3.3,0,5211,1002,19.2,23,0.4,2810,53.9,369,7.1,402,7.7,415,8,416,8,411,7.9,405,7.8,435,8.3,393,7.5,486,9.3,333,6.4,298,5.7,259,5,4,0.1,655,12.6,372,7.1,213,4.1,4257,81.7,6,0.1,1085,20.8,65,1.2,379,7.3,676,13,860,16.5,12,74
'108912,2001,0,689,0.3,147,0.8,22,0,684,0,0,7.2,4.8,5.6,2.4,0,0.3,1.4,1.3,6.4,10.7,6.7,5.4,1.3,0,0,1.6,1.4,18.3,17641,8597,48.7,8,0,15808,89.6,1565,8.9,1499,8.5,1485,8.4,1375,7.8,1274,7.2,1210,6.9,1286,7.3,1180,6.7,1269,7.2,1058,6,884,5,703,4,3,0,2551,14.5,1628,9.2,1222,6.9,17559,99.5,4,0,9037,51.2,2,0,1682,9.5,2502,14.2,68,0.4,59,5
'108913,2001,31,609,1.6,212,1.4,93,2,571,0,0,7.7,7.3,5.1,0.8,0.6,0.4,2.2,2.9,0.2,11.8,4.8,6.1,1.8,2.6,4.3,5.2,7.7,2.9,13407,4234,31.6,25,0.2,11703,87.3,1204,9,1244,9.3,1084,8.1,1044,7.8,1015,7.6,995,7.4,1011,7.5,999,7.5,1116,8.3,926,6.9,656,4.9,461,3.4,3,0,1621,12.1,1065,7.9,584,4.4,12979,96.8,7,0.1,4448,33.2,32,0.2,1088,8.1,3065,22.9,364,2.7,19,36
'108914,2001,0,47,0.6,4,0.5,2,0,47,0,0,2.1,4.8,2.2,0,0,0,0,0,0,0,42.9,0,0,0,0,0,0,0,726,245,33.7,0,0,650,89.5,47,6.5,57,7.9,47,6.5,50,6.9,63,8.7,62,8.5,47,6.5,51,7,60,8.3,51,7,49,6.7,38,5.2,1,0.1,93,12.8,46,6.3,57,7.9,723,99.6,0,0,300,41.3,0,0,89,12.3,179,24.7,3,0.4,4,0
'108915,2001,.,.,0,4,0.8,0,.,.,.,.,8.3,2.7,4.2,2.6,2.9,0,6.4,0,0,0,0,0,0,0,0,12.5,0,0,451,165,36.6,0,0,391,86.7,51,11.3,51,11.3,41,9.1,56,12.4,42,9.3,39,8.6,46,10.2,51,11.3,0,0,0,0,0,0,0,0,0,0,48,10.6,40,8.9,34,7.5,440,97.6,0,0,173,38.4,0,0,38,8.4,0,0,11,2.4,.,.
'108916,2001,0,88,0,7,0.3,0,0,88,0,0,3.7,10,5.3,5.2,0,0.8,4.2,0,2.9,20,0,0,2.7,7.7,0,10,0,25,2280,1209,53,0,0,2161,94.8,168,7.4,223,9.8,169,7.4,179,7.9,160,7,169,7.4,155,6.8,152,6.7,214,9.4,134,5.9,100,4.4,102,4.5,0,0,220,9.6,187,8.2,168,7.4,2278,99.9,0,0,1225,53.7,0,0,240,10.5,370,16.2,2,0.1,5,0
'109901,2001,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,0,260,3,1.2,0,0,90,34.6,13,5,17,6.5,15,5.8,19,7.3,17,6.5,16,6.2,28,10.8,27,10.4,25,9.6,27,10.4,21,8.1,19,7.3,0,0,16,6.2,16,6.2,0,0,30,11.5,4,1.5,3,1.2,0,0,53,20.4,62,23.8,226,86.9,1,20
'109902,2001,0,20,0,1,0.3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,50,0,0,25,.,0,25,0,0,240,2,0.8,14,5.8,97,40.4,15,6.3,15,6.3,17,7.1,22,9.2,20,8.3,9,3.8,19,7.9,16,6.7,23,9.6,19,7.9,24,10,14,5.8,0,0,7,2.9,14,5.8,13,5.4,6,2.5,3,1.3,2,0.8,1,0.4,56,23.3,71,29.6,216,90,4,17
'109903,2001,4,22,6.4,18,4.3,12,0,3,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,12.5,0,0,349,0,0,1,0.3,130,37.2,22,6.3,20,5.7,26,7.4,24,6.9,31,8.9,28,8,26,7.4,24,6.9,26,7.4,29,8.3,30,8.6,21,6,0,0,27,7.7,23,6.6,19,5.4,30,8.6,2,0.6,0,0,2,0.6,58,16.6,83,23.8,314,90,6,19
'109904,2001,1,80,0,1,0,0,19,20,0,0,1.8,4.4,0,4.3,0,1.2,0,1.7,1.6,8.3,5.9,3.7,3.2,0,0,0,0,10,1793,271,15.1,387,21.6,1137,63.4,140,7.8,134,7.5,133,7.4,139,7.8,117,6.5,132,7.4,115,6.4,150,8.4,159,8.9,129,7.2,122,6.8,88,4.9,8,0.4,130,7.3,137,7.6,90,5,664,37,1,0.1,272,15.2,10,0.6,273,15.2,493,27.5,731,40.8,9,41
'109905,2001,0,37,1.4,3,0.5,4,7,0,0,1,0,0,7.7,0,3.3,0,0,10.3,0,20,0,0,0,0,0,0,0,.,509,0,0,119,23.4,285,56,24,4.7,43,8.4,34,6.7,31,6.1,32,6.3,32,6.3,35,6.9,36,7.1,50,9.8,51,10,34,6.7,46,9,0,0,39,7.7,29,5.7,32,6.3,25,4.9,0,0,0,0,1,0.2,78,15.3,139,27.3,364,71.5,10,29
'109907,2001,5,29,0,0,0,0,6,7,0,0,10.3,3.4,0,0,2.9,2.6,0,9.1,9.7,25,0,0,0,0,14.3,0,0,0,550,31,5.6,96,17.5,294,53.5,43,7.8,28,5.1,32,5.8,43,7.8,33,6,45,8.2,48,8.7,43,7.8,50,9.1,49,8.9,38,6.9,30,5.5,1,0.2,43,7.8,35,6.4,32,5.8,158,28.7,0,0,31,5.6,3,0.5,93,16.9,122,22.2,293,53.3,10,16
'109908,2001,.,.,4.5,7,8.5,1,.,.,.,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,67,20,29.9,17,25.4,46,68.7,11,16.4,9,13.4,7,10.4,4,6,4,6,8,11.9,8,11.9,6,9,0,0,0,0,0,0,0,0,0,0,3,4.5,10,14.9,0,0,19,28.4,0,0,20,29.9,1,1.5,13,19.4,0,0,30,44.8,.,.
'109910,2001,.,.,0,0,0,0,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,16,13.8,59,50.9,12,10.3,15,12.9,19,16.4,11,9.5,8,6.9,9,7.8,11,9.5,10,8.6,0,0,0,0,0,0,0,0,0,0,10,8.6,11,9.5,10,8.6,9,7.8,0,0,0,0,0,0,14,12.1,0,0,91,78.4,.,.
'109911,2001,0,80,1.6,52,2.8,13,6,5,0,0,5.2,0,0,1,0,0,2.4,4.6,1,5.3,5,0,0,0,0,7.4,3.7,18.8,1567,30,1.9,54,3.4,656,41.9,117,7.5,113,7.2,115,7.3,110,7,122,7.8,121,7.7,121,7.7,116,7.4,126,8,123,7.8,117,7.5,92,5.9,1,0.1,93,5.9,116,7.4,57,3.6,134,8.6,3,0.2,29,1.9,2,0.1,264,16.8,373,23.8,1374,87.7,14,69
'109912,2001,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,0,0,25,0,0,0,0,0,.,0,.,184,0,0,2,1.1,92,50,6,3.3,10,5.4,17,9.2,12,6.5,15,8.2,17,9.2,12,6.5,15,8.2,19,10.3,17,9.2,11,6,15,8.2,0,0,20,10.9,12,6.5,6,3.3,14,7.6,0,0,0,0,0,0,31,16.8,45,24.5,168,91.3,3,7
'109913,2001,0,24,10.3,1,0.3,18,1,1,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,50,277,7,2.5,6,2.2,143,51.6,20,7.2,16,5.8,20,7.2,16,5.8,20,7.2,27,9.7,17,6.1,25,9,28,10.1,23,8.3,22,7.9,23,8.3,0,0,36,13,16,5.8,4,1.4,21,7.6,0,0,0,0,0,0,47,17,103,37.2,250,90.3,5,22
'109914,2001,0,12,1,0,0,1,0,3,0,0,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,163,10,6.1,1,0.6,101,62,7,4.3,10,6.1,13,8,15,9.2,9,5.5,15,9.2,10,6.1,14,8.6,14,8.6,11,6.7,17,10.4,12,7.4,0,0,8,4.9,7,4.3,9,5.5,34,20.9,0,0,11,6.7,0,0,32,19.6,41,25.2,128,78.5,1,9
'110901,2001,0,26,0,0,0,0,4,12,0,0,14.3,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,374,24,6.4,14,3.7,225,60.2,27,7.2,18,4.8,25,6.7,29,7.8,25,6.7,35,9.4,32,8.6,35,9.4,34,9.1,26,7,26,7,18,4.8,0,0,27,7.2,23,6.1,21,5.6,192,51.3,0,0,24,6.4,0,0,49,13.1,138,36.9,168,44.9,3,10
'110902,2001,0,219,0.3,2,0.1,5,13,84,0,1,0,0,0,0,0,0.5,0.5,1,7.7,0,0,0,0,0,2.1,2.4,4.1,25,2994,85,2.8,170,5.7,1569,52.4,185,6.2,207,6.9,213,7.1,209,7,222,7.4,206,6.9,243,8.1,236,7.9,283,9.5,239,8,206,6.9,226,7.5,2,0.1,242,8.1,203,6.8,114,3.8,1582,52.8,6,0.2,131,4.4,2,0.1,443,14.8,1070,35.7,1234,41.2,32,121
'110905,2001,0,44,0.4,1,0.2,1,1,27,0,0,0,4.3,0,5.6,0,4.5,0,0,9.4,0,0,0,0,0,0,0,0,33.3,370,18,4.9,4,1.1,216,58.4,33,8.9,27,7.3,32,8.6,24,6.5,21,5.7,17,4.6,22,5.9,26,7,28,7.6,35,9.5,30,8.1,27,7.3,0,0,27,7.3,25,6.8,23,6.2,202,54.6,0,0,18,4.9,0,0,40,10.8,137,37,164,44.3,3,16
'110906,2001,7,17,0,0,0,0,1,5,0,0,8.7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,415,19,4.6,11,2.7,211,50.8,27,6.5,25,6,29,7,35,8.4,33,8,33,8,39,9.4,31,7.5,29,7,34,8.2,31,7.5,26,6.3,0,0,30,7.2,33,8,10,2.4,112,27,1,0.2,22,5.3,0,0,46,11.1,113,27.2,291,70.1,1,11
'110907,2001,0,39,0,3,0.5,0,0,17,1,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,12.5,562,14,2.5,4,0.7,291,51.8,34,6,40,7.1,45,8,43,7.7,40,7.1,47,8.4,45,8,31,5.5,47,8.4,39,6.9,46,8.2,37,6.6,0,0,50,8.9,37,6.6,31,5.5,274,48.8,2,0.4,14,2.5,0,0,61,10.9,221,39.3,282,50.2,1,21
'110908,2001,0,12,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,11.1,.,0,0,0,0,0,0,0,0,206,11,5.3,4,1.9,78,37.9,9,4.4,14,6.8,11,5.3,20,9.7,12,5.8,17,8.3,15,7.3,18,8.7,19,9.2,18,8.7,18,8.7,18,8.7,0,0,28,13.6,17,8.3,0,0,74,35.9,0,0,11,5.3,2,1,16,7.8,93,45.1,126,61.2,0,7
'111901,2001,0,362,0.6,79,1.1,19,5,25,0,2,5.1,2.6,1.6,0.8,1.6,0.5,2.8,1.3,2.6,10.6,5.5,9.5,1.2,0,4.3,1.3,1.4,23.9,6286,242,3.8,34,0.5,1749,27.8,488,7.8,485,7.7,483,7.7,451,7.2,506,8,504,8,541,8.6,511,8.1,610,9.7,405,6.4,383,6.1,342,5.4,15,0.2,552,8.8,446,7.1,116,1.8,665,10.6,43,0.7,244,3.9,33,0.5,835,13.3,801,12.7,5511,87.7,29,330
'111902,2001,0,25,6.7,1,0.3,12,0,0,1,1,6.3,7.1,0,6.3,0,0,0,4.3,4,0,0,0,0,0,0,0,0,20,316,2,0.6,3,0.9,107,33.9,27,8.5,20,6.3,16,5.1,35,11.1,23,7.3,27,8.5,30,9.5,17,5.4,26,8.2,28,8.9,25,7.9,23,7.3,0,0,16,5.1,15,4.7,4,1.3,21,6.6,8,2.5,2,0.6,2,0.6,45,14.2,92,29.1,282,89.2,4,23
'111903,2001,0,42,0.7,19,3.1,2,0,3,0,0,10.3,0,0,0,0,0,3.2,0,3.4,14.3,16.7,0,0,0,0,10,0,50,519,3,0.6,1,0.2,117,22.5,34,6.6,32,6.2,31,6,36,6.9,40,7.7,51,9.8,41,7.9,44,8.5,48,9.2,47,9.1,40,7.7,35,6.7,0,0,37,7.1,40,7.7,0,0,18,3.5,0,0,5,1,1,0.2,78,15,138,26.6,499,96.1,4,39
'112901,2001,0,218,0.6,29,0.6,11,32,9,0,1,9.9,0.9,0,0,0,0,0.9,0,3.4,17.9,0,1.9,5.1,5.5,2.2,0,0,7.4,3883,190,4.9,570,14.7,1506,38.8,314,8.1,268,6.9,280,7.2,290,7.5,248,6.4,294,7.6,314,8.1,282,7.3,339,8.7,288,7.4,271,7,243,6.3,17,0.4,226,5.8,292,7.5,143,3.7,469,12.1,6,0.2,195,5,16,0.4,548,14.1,1021,26.3,2822,72.7,17,176
'112905,2001,0,25,0,4,1,0,0,2,1,0,10,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,334,9,2.7,1,0.3,163,48.8,27,8.1,25,7.5,31,9.3,24,7.2,25,7.5,23,6.9,31,9.3,28,8.4,23,6.9,27,8.1,20,6,18,5.4,0,0,191,57.2,32,9.6,0,0,27,8.1,2,0.6,9,2.7,2,0.6,59,17.7,87,26,302,90.4,6,22
'112906,2001,0,23,5.6,9,2.1,11,0,0,0,0,7.4,0,0,0,0,0,4,4.8,0,16.7,0,0,0,0,0,0,0,0,377,16,4.2,10,2.7,201,53.3,23,6.1,30,8,26,6.9,27,7.2,29,7.7,24,6.4,34,9,35,9.3,30,8,24,6.4,23,6.1,27,7.2,1,0.3,22,5.8,23,6.1,21,5.6,38,10.1,0,0,20,5.3,0,0,78,20.7,77,20.4,329,87.3,2,23
'112907,2001,0,23,0,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,241,15,6.2,0,0,60,24.9,16,6.6,18,7.5,17,7.1,11,4.6,19,7.9,16,6.6,17,7.1,25,10.4,23,9.5,21,8.7,23,9.5,25,10.4,0,0,9,3.7,10,4.1,0,0,28,11.6,1,0.4,16,6.6,0,0,41,17,86,35.7,212,88,2,23
'112908,2001,0,36,0.3,3,0.3,1,0,9,0,0,7.7,0,0,0,0,2.1,5.3,3.7,3.6,0,0,8.3,0,0,0,0,0,20,776,83,10.7,33,4.3,322,41.5,63,8.1,49,6.3,50,6.4,55,7.1,58,7.5,57,7.3,65,8.4,59,7.6,64,8.2,68,8.8,68,8.8,42,5.4,0,0,48,6.2,53,6.8,25,3.2,175,22.6,2,0.3,87,11.2,2,0.3,126,16.2,190,24.5,564,72.7,7,27
'112909,2001,0,21,0,2,0.6,0,1,2,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,247,38,15.4,8,3.2,140,56.7,17,6.9,17,6.9,12,4.9,16,6.5,18,7.3,10,4,20,8.1,19,7.7,21,8.5,21,8.5,22,8.9,15,6.1,0,0,43,17.4,17,6.9,22,8.9,39,15.8,0,0,38,15.4,0,0,48,19.4,69,27.9,200,81,2,18
'112910,2001,0,21,5.8,0,0,8,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,16.7,0,0,.,50,0,.,265,13,4.9,0,0,117,44.2,15,5.7,27,10.2,20,7.5,21,7.9,20,7.5,15,5.7,17,6.4,16,6,15,5.7,27,10.2,22,8.3,17,6.4,0,0,17,6.4,21,7.9,12,4.5,24,9.1,0,0,14,5.3,0,0,38,14.3,77,29.1,241,90.9,2,17
'113901,2001,0,94,0,20,1,0,46,5,1,1,8.7,2.7,6.7,1.1,0,5.3,14,2.2,4.4,18.2,0,4.2,6.5,0,0,0,4,16.7,1733,63,3.6,1018,58.7,1194,68.9,123,7.1,133,7.7,128,7.4,129,7.4,117,6.8,131,7.6,153,8.8,143,8.3,141,8.1,134,7.7,126,7.3,117,6.8,0,0,188,10.8,94,5.4,64,3.7,197,11.4,4,0.2,105,6.1,3,0.2,294,17,331,19.1,511,29.5,9,41
'113902,2001,0,59,1.6,11,1.4,6,11,0,0,0,13.2,2,2.7,2.6,2.4,0,0,0,0,0,12.5,0,0,0,0,0,0,0,654,0,0,207,31.7,308,47.1,46,7,35,5.4,59,9,51,7.8,41,6.3,49,7.5,56,8.6,59,9,41,6.3,54,8.3,44,6.7,60,9.2,2,0.3,44,6.7,40,6.1,17,2.6,26,4,0,0,0,0,0,0,102,15.6,160,24.5,421,64.4,9,48
'113903,2001,0,31,0,4,0.7,0,2,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,.,528,16,3,58,11,156,29.5,35,6.6,40,7.6,39,7.4,31,5.9,36,6.8,37,7,49,9.3,38,7.2,51,9.7,40,7.6,37,7,43,8.1,0,0,37,7,29,5.5,23,4.4,27,5.1,0,0,16,3,1,0.2,68,12.9,164,31.1,442,83.7,2,29
'113905,2001,0,30,5.7,0,0,13,1,3,0,0,0,3.8,3.3,0,0,0,3.1,0,9.5,0,0,0,0,0,0,16.7,0,50,462,15,3.2,7,1.5,158,34.2,31,6.7,30,6.5,33,7.1,44,9.5,38,8.2,32,6.9,38,8.2,40,8.7,35,7.6,39,8.4,24,5.2,32,6.9,0,0,46,10,36,7.8,10,2.2,34,7.4,0,0,18,3.9,0,0,65,14.1,122,26.4,421,91.1,2,26
'113906,2001,0,19,0,3,0.7,0,5,0,0,0,11.1,3.8,7.7,0,0,0,0,0,0,25,0,0,0,0,0,0,0,33.3,391,0,0,116,29.7,233,59.6,32,8.2,26,6.6,29,7.4,32,8.2,24,6.1,28,7.2,24,6.1,25,6.4,28,7.2,38,9.7,25,6.4,29,7.4,0,0,20,5.1,19,4.9,32,8.2,7,1.8,0,0,0,0,0,0,55,14.1,100,25.6,268,68.5,6,14
'114901,2001,0,231,0.1,0,0,2,11,92,1,0,12.1,5.5,2.5,1.2,1.3,2.7,2.9,3.1,6,16.9,17.5,1.8,2.1,4.5,0,8,7.3,12.5,4095,58,1.4,296,7.2,2401,58.6,343,8.4,355,8.7,292,7.1,339,8.3,304,7.4,356,8.7,347,8.5,332,8.1,366,8.9,299,7.3,258,6.3,197,4.8,11,0.3,230,5.6,296,7.2,0,0,2025,49.5,6,0.1,81,2,27,0.7,498,12.2,732,17.9,1741,42.5,11,127
'114902,2001,0,67,0,0,0,0,0,16,0,1,4.2,1.7,0,1.8,1.6,0,0,0,0,0,0,0,7.7,0,0,0,0,22.2,862,15,1.7,1,0.1,309,35.8,49,5.7,60,7,68,7.9,68,7.9,71,8.2,69,8,73,8.5,83,9.6,66,7.7,61,7.1,67,7.8,63,7.3,0,0,140,16.2,53,6.1,11,1.3,201,23.3,2,0.2,15,1.7,2,0.2,77,8.9,221,25.6,656,76.1,5,50
'114904,2001,0,48,0,0,0,0,0,6,0,0,4.7,0,2.4,0,0,0,2,0,0,14.3,0,0,0,0,0,0,0,0,660,0,0,4,0.6,146,22.1,49,7.4,52,7.9,51,7.7,55,8.3,47,7.1,52,7.9,69,10.5,48,7.3,56,8.5,55,8.3,44,6.7,40,6.1,0,0,32,4.8,42,6.4,0,0,94,14.2,0,0,2,0.3,3,0.5,65,9.8,200,30.3,559,84.7,4,42
'115901,2001,7,23,0,0,0,0,0,21,0,1,9.1,6.5,3.7,4.3,0,0,5.1,0,0,0,0,0,.,0,0,0,0,.,550,219,39.8,0,0,492,89.5,44,8,46,8.4,50,9.1,44,8,47,8.5,36,6.5,39,7.1,42,7.6,46,8.4,45,8.2,27,4.9,32,5.8,0,0,25,4.5,52,9.5,0,0,519,94.4,0,0,266,48.4,2,0.4,32,5.8,94,17.1,29,5.3,1,1
'115902,2001,0,6,1.5,1,0.6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,.,0,0,.,0,147,2,1.4,0,0,76,51.7,17,11.6,12,8.2,11,7.5,14,9.5,9,6.1,8,5.4,12,8.2,14,9.5,12,8.2,8,5.4,9,6.1,8,5.4,0,0,6,4.1,13,8.8,0,0,106,72.1,0,0,2,1.4,0,0,11,7.5,18,12.2,41,27.9,0,1
'115903,2001,0,13,0,0,0,0,0,7,0,0,14.3,22.2,0,0,0,0,0,0,11.1,50,0,0,0,0,0,0,0,0,174,39,22.4,2,1.1,143,82.2,11,6.3,12,6.9,9,5.2,12,6.9,13,7.5,10,5.7,13,7.5,17,9.8,25,14.4,14,8,14,8,12,6.9,0,0,27,15.5,12,6.9,0,0,106,60.9,0,0,43,24.7,0,0,23,13.2,45,25.9,66,37.9,1,6
'116901,2001,0,44,0.2,5,0.4,1,4,0,0,0,1.5,1.6,0,0,0,2,0,0,0,0,0,0,0,0,0,3.7,0,10,1046,18,1.7,36,3.4,264,25.2,84,8,82,7.8,73,7,76,7.3,82,7.8,85,8.1,66,6.3,92,8.8,106,10.1,77,7.4,65,6.2,57,5.4,1,0.1,71,6.8,66,6.3,34,3.3,60,5.7,3,0.3,19,1.8,3,0.3,172,16.4,327,31.3,944,90.2,8,40
'116902,2001,0,35,0,0,0,0,1,0,0,0,6.3,0,0,0,0,0,0,0,4.2,0,0,0,0,0,0,.,0,0,468,3,0.6,11,2.4,115,24.6,30,6.4,32,6.8,29,6.2,34,7.3,39,8.3,35,7.5,32,6.8,34,7.3,37,7.9,37,7.9,41,8.8,34,7.3,0,0,58,12.4,26,5.6,28,6,25,5.3,3,0.6,3,0.6,0,0,58,12.4,147,31.4,429,91.7,6,34
'116903,2001,0,126,3,5,0.3,26,29,7,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,65,3.7,411,23.6,908,52.1,124,7.1,121,6.9,124,7.1,133,7.6,131,7.5,120,6.9,149,8.5,141,8.1,145,8.3,122,7,117,6.7,121,6.9,3,0.2,199,11.4,115,6.6,78,4.5,134,7.7,11,0.6,74,4.2,14,0.8,293,16.8,399,22.9,1174,67.3,24,87
'116905,2001,0,262,0.1,85,1.3,3,59,15,1,2,8.3,3.4,1.9,0.6,0.6,0.3,2.6,2.6,6.3,15,4.1,3.5,0,0,3.2,1.6,2.1,14.8,5156,385,7.5,1340,26,2551,49.5,387,7.5,376,7.3,388,7.5,373,7.2,367,7.1,386,7.5,389,7.5,406,7.9,517,10,386,7.5,310,6,271,5.3,5,0.1,408,7.9,402,7.8,193,3.7,956,18.5,15,0.3,420,8.1,37,0.7,601,11.7,1261,24.5,2808,54.5,32,185
'116906,2001,0,38,3.6,41,4.8,14,3,2,0,0,4.4,2.5,2.2,2.2,0,0,5.9,7,4.5,0,0,0,0,0,5.9,10.5,0,33.3,735,2,0.3,13,1.8,197,26.8,51,6.9,55,7.5,51,6.9,50,6.8,61,8.3,61,8.3,72,9.8,71,9.7,51,6.9,68,9.3,44,6,51,6.9,0,0,108,14.7,49,6.7,0,0,25,3.4,3,0.4,2,0.3,2,0.3,119,16.2,209,28.4,692,94.1,10,33
'116908,2001,0,133,1.4,19,0.5,22,1,3,0,0,4.1,1.2,1.4,0.7,0.6,1.2,1.8,3.5,1.1,2.8,0,4.5,0,1.7,0,0,1.9,5.6,2853,43,1.5,23,0.8,1168,40.9,196,6.9,203,7.1,213,7.5,216,7.6,219,7.7,232,8.1,246,8.6,233,8.2,284,10,201,7,166,5.8,183,6.4,6,0.2,137,4.8,177,6.2,78,2.7,172,6,15,0.5,47,1.6,8,0.3,563,19.7,589,20.6,2635,92.4,23,129
'116909,2001,0,36,0.6,21,2.9,2,4,1,1,0,3.1,2.4,0,2.8,2.6,0,0,0,0,33.3,20,0,0,7.7,0,0,0,18.2,613,0,0,59,9.6,239,39,55,9,46,7.5,46,7.5,30,4.9,54,8.8,45,7.3,44,7.2,54,8.8,35,5.7,53,8.6,38,6.2,44,7.2,0,0,78,12.7,41,6.7,28,4.6,21,3.4,8,1.3,0,0,3,0.5,104,17,116,18.9,522,85.2,16,30
'116910,2001,0,23,0,2,0.5,0,0,1,0,0,0,0,0,0,4,0,0,4.5,0,12.5,0,14.3,0,0,0,0,0,0,309,1,0.3,5,1.6,95,30.7,21,6.8,21,6.8,29,9.4,21,6.8,16,5.2,29,9.4,25,8.1,32,10.4,32,10.4,20,6.5,26,8.4,21,6.8,0,0,25,8.1,16,5.2,0,0,14,4.5,1,0.3,1,0.3,0,0,65,21,129,41.7,289,93.5,7,22
'116915,2001,0,24,0.4,19,3,1,0,0,0,0,2.3,2.6,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,542,29,5.4,14,2.6,143,26.4,41,7.6,47,8.7,45,8.3,35,6.5,54,10,37,6.8,38,7,38,7,54,10,34,6.3,40,7.4,28,5.2,6,1.1,59,10.9,45,8.3,0,0,60,11.1,6,1.1,28,5.2,0,0,96,17.7,132,24.4,462,85.2,5,24
'116916,2001,0,35,0.3,33,4.1,1,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,0,27,4.2,200,31.3,48,7.5,48,7.5,52,8.2,44,6.9,52,8.2,46,7.2,56,8.8,45,7.1,47,7.4,44,6.9,32,5,30,4.7,0,0,38,6,61,9.6,33,5.2,32,5,18,2.8,0,0,11,1.7,106,16.6,78,12.2,550,86.2,8,35
'117901,2001,0,229,0.1,0,0,1,8,44,1,1,2.6,1.6,0.5,0.5,1.1,1.8,1.5,0,5.8,13.3,0,3.3,6.5,0,0,2.9,0,11.1,3005,133,4.4,131,4.4,1132,37.7,209,7,208,6.9,199,6.6,243,8.1,221,7.4,226,7.5,214,7.1,237,7.9,250,8.3,230,7.7,238,7.9,210,7,12,0.4,165,5.5,221,7.4,87,2.9,892,29.7,11,0.4,166,5.5,11,0.4,367,12.2,511,17,1960,65.2,23,175
'117903,2001,0,75,0,4,0.3,0,3,5,1,0,0,5.7,0,0,0,0,0,1.4,4.2,6.7,0,0,0,0,0,5,0,11.1,1016,0,0,4,0.4,263,25.9,59,5.8,69,6.8,68,6.7,71,7,55,5.4,87,8.6,89,8.8,85,8.4,74,7.3,105,10.3,84,8.3,74,7.3,11,1.1,57,5.6,64,6.3,21,2.1,41,4,15,1.5,8,0.8,4,0.4,170,16.7,86,8.5,952,93.7,2,66
'117904,2001,0,58,0,1,0.1,0,0,6,0,0,23.3,3.4,0,0,0,0,0,0,0,14.3,0,11.1,0,8.3,0,0,0,0,631,0,0,0,0,318,50.4,49,7.8,30,4.8,36,5.7,50,7.9,43,6.8,51,8.1,48,7.6,40,6.3,65,10.3,51,8.1,60,9.5,51,8.1,1,0.2,31,4.9,24,3.8,32,5.1,78,12.4,14,2.2,2,0.3,0,0,105,16.6,118,18.7,539,85.4,5,52
