DISTRICT,CNTYNAME,COUNTY,DACKDTL,DFLCHART,DISTNAME,D_RATING,REGION
'043902,COLLIN,'043,ATW,N,ANNA ISD,A,'10
'127901,JONES,'127,TS,N,ANSON ISD,R,'14
'071906,EL PASO,'071,DRW,N,ANTHONY ISD,A,'19
'110901,HOCKLEY,'110,RS,N,ANTON ISD,A,'17
'228905,TRINITY,'228,ATRS,N,APPLE SPRINGS ISD,A,'06
'109912,HILL,'109,ATRS,N,AQUILLA ISD,A,'12
'004901,ARANSAS,'004,T,N,ARANSAS COUNTY ISD,A,'02
'205901,SAN PATRICIO,'205,,N,ARANSAS PASS ISD,A,'02
'005901,ARCHER,'005,TRW,N,ARCHER CITY ISD,R,'09
'061910,DENTON,'061,PCTREWNS,N,ARGYLE ISD,R,'11
'220802,TARRANT,'220,EM,Y,ARLINGTON CLASSICS ACADEMY,A,'11
'220901,TARRANT,'220,,N,ARLINGTON ISD,A,'11
'212901,SMITH,'212,AD,N,ARP ISD,A,'07
'217901,STONEWALL,'217,ADRW,N,ASPERMONT ISD,R,'14
'107901,HENDERSON,'107,,N,ATHENS ISD,A,'07
'034901,CASS,'034,T,N,ATLANTA ISD,A,'08
'061907,DENTON,'061,TRWS,N,AUBREY ISD,A,'11
'227818,TRAVIS,'227,,Y,AUSTIN CAN ACADEMY CHARTER SCHOOL,1,'13
'227901,TRAVIS,'227,,N,AUSTIN ISD,A,'13
'196901,REFUGIO,'196,TR,N,AUSTWELL-TIVOLI ISD,A,'03
'070901,ELLIS,'070,TREN,N,AVALON ISD,A,'10
'194902,RED RIVER,'194,WS,N,AVERY ISD,A,'08
'034902,CASS,'034,ATRWS,N,AVINGER ISD,A,'08
'057816,DALLAS,'057,AEMN,Y,AW BROWN-FELLOWSHIP CHARTER SCHOOL,R,'10
'161918,MCLENNAN,'161,AEWS,N,AXTELL ISD,A,'12
'220915,TARRANT,'220,,N,AZLE ISD,A,'11
'212803,SMITH,'212,,Y,AZLEWAY CHARTER SCHOOL,1,'07
'030903,CALLAHAN,'030,REW,N,BAIRD ISD,A,'14
'200901,RUNNELS,'200,RWS,N,BALLINGER ISD,A,'15
'195902,REEVES,'195,E,N,BALMORHEA ISD,A,'18
'010902,BANDERA,'010,PTR,N,BANDERA ISD,A,'20
'025901,BROWN,'025,TRW,N,BANGS ISD,A,'15
'178913,NUECES,'178,T,N,BANQUETE ISD,A,'02
'036902,CHAMBERS,'036,TR,N,BARBERS HILL ISD,A,'04
'014902,BELL,'014,,N,BARTLETT ISD,A,'12
'011901,BASTROP,'011,,N,BASTROP ISD,A,'13
'101809,HARRIS,'101,D,Y,BAY AREA CHARTER SCHOOL,A,'04
'158901,MATAGORDA,'158,,N,BAY CITY ISD,A,'03
'101847,HARRIS,'101,AEWS,Y,BEATRICE MAYES INSTITUTE CHARTER S,A,'04
'123910,JEFFERSON,'123,,N,BEAUMONT ISD,I,'05
'183901,PANOLA,'183,T,N,BECKVILLE ISD,A,'07
'013901,BEE,'013,R,N,BEEVILLE ISD,A,'02
'039904,CLAY,'039,TREMS,N,BELLEVUE ISD,A,'09
'091901,GRAYSON,'091,PTREW,N,BELLS ISD,R,'10
'008901,AUSTIN,'008,TR,N,BELLVILLE ISD,A,'06
'014903,BELL,'014,,N,BELTON ISD,A,'12
'125902,JIM WELLS,'125,R,N,BEN BOLT-PALITO BLANCO ISD,A,'02
'066901,DUVAL,'066,R,N,BENAVIDES ISD,A,'02
'138904,KNOX,'138,ADREWS,N,BENJAMIN ISD,A,'09
'101820,HARRIS,'101,,Y,BENJI'S SPECIAL EDUCATIONAL ACADEM,L,'04
'015809,BEXAR,'015,N,Y,BEXAR COUNTY ACADEMY,A,'20
'187901,POLK,'187,TRES,N,BIG SANDY ISD,R,'06
'230901,UPSHUR,'230,R,N,BIG SANDY ISD,A,'07
'114901,HOWARD,'114,,N,BIG SPRING ISD,A,'18
'193801,REAL,'193,,Y,BIG SPRINGS CHARTER SCHOOL,1,'20
'220902,TARRANT,'220,,N,BIRDVILLE ISD,A,'11
'178902,NUECES,'178,TR,N,BISHOP CISD,A,'02
'177903,NOLAN,'177,ADTRES,N,BLACKWELL CISD,A,'14
'016902,BLANCO,'016,AP,N,BLANCO ISD,A,'13
'116915,HUNT,'116,TRES,N,BLAND ISD,R,'10
'025904,BROWN,'025,ARW,N,BLANKET ISD,A,'15
'034909,CASS,'034,TES,N,BLOOMBURG ISD,A,'08
'175902,NAVARRO,'175,T,N,BLOOMING GROVE ISD,A,'12
'235901,VICTORIA,'235,,N,BLOOMINGTON ISD,A,'03
'043917,COLLIN,'043,AT,N,BLUE RIDGE ISD,A,'10
'072904,ERATH,'072,AEWM,N,BLUFF DALE ISD,A,'11
'109913,HILL,'109,TR,N,BLUM ISD,A,'12
'130901,KENDALL,'130,PEWS,N,BOERNE ISD,R,'20
'116916,HUNT,'116,AE,N,BOLES ISD,A,'10
'241901,WHARTON,'241,,N,BOLING ISD,A,'03
'074903,FANNIN,'074,R,N,BONHAM ISD,A,'10
'148901,LIPSCOMB,'148,A,N,BOOKER ISD,A,'16
'017901,BORDEN,'017,ADREWS,N,BORDEN COUNTY ISD,A,'17
'117901,HUTCHINSON,'117,W,N,BORGER ISD,A,'16
'161923,MCLENNAN,'161,ATEMS,N,BOSQUEVILLE ISD,A,'12
'185901,PARMER,'185,R,N,BOVINA ISD,A,'16
'169901,MONTAGUE,'169,R,N,BOWIE ISD,A,'09
'249902,WISE,'249,S,N,BOYD ISD,A,'11
'180901,OLDHAM,'180,AWS,N,BOYS RANCH ISD,A,'16
'136901,KINNEY,'136,TR,N,BRACKETT ISD,A,'20
'160901,MCCULLOCH,'160,,N,BRADY ISD,A,'15
'008903,AUSTIN,'008,TR,N,BRAZOS ISD,A,'06
'213801,SOMERVELL,'213,,Y,BRAZOS RIVER CHARTER SCHOOL,1,'11
'021803,BRAZOS,'021,,Y,BRAZOS SCHOOL FOR INQUIRY & CREATI,A,'06
'020905,BRAZORIA,'020,TW,N,BRAZOSPORT ISD,A,'04
'215901,STEPHENS,'215,R,N,BRECKENRIDGE ISD,A,'14
'198901,ROBERTSON,'198,TRWS,N,BREMOND ISD,R,'06
'239901,WASHINGTON,'239,,N,BRENHAM ISD,A,'06
'181901,ORANGE,'181,TREW,N,BRIDGE CITY ISD,A,'05
'249903,WISE,'249,R,N,BRIDGEPORT ISD,A,'11
'243801,WICHITA,'243,RES,Y,BRIGHT IDEAS CHARTER,A,'09
'203902,SAN AUGUSTINE,'203,RE,N,BROADDUS ISD,A,'07
'184909,PARKER,'184,REWMS,N,BROCK ISD,R,'11
'041901,COKE,'041,ADTEWS,N,BRONTE ISD,A,'15
'121902,JASPER,'121,RE,N,BROOKELAND ISD,A,'05
'025908,BROWN,'025,TW,N,BROOKESMITH ISD,A,'15
'024901,BROOKS,'024,RW,N,BROOKS COUNTY ISD,A,'02
'223901,TERRY,'223,R,N,BROWNFIELD ISD,A,'17
'107902,HENDERSON,'107,,N,BROWNSBORO ISD,A,'07
'031901,CAMERON,'031,RW,N,BROWNSVILLE ISD,A,'01
'025902,BROWN,'025,,N,BROWNWOOD ISD,A,'15
'161919,MCLENNAN,'161,TW,N,BRUCEVILLE-EDDY ISD,R,'12
'021902,BRAZOS,'021,,N,BRYAN ISD,A,'06
'119901,JACK,'119,AREW,N,BRYSON ISD,A,'09
'166907,MILAM,'166,AW,N,BUCKHOLTS ISD,A,'06
'186901,PECOS,'186,DS,N,BUENA VISTA ISD,A,'18
'145901,LEON,'145,,N,BUFFALO ISD,A,'06
'212902,SMITH,'212,TRS,N,BULLARD ISD,A,'07
'121903,JASPER,'121,TR,N,BUNA ISD,A,'05
'243901,WICHITA,'243,EW,N,BURKBURNETT ISD,A,'09
'176901,NEWTON,'176,,N,BURKEVILLE ISD,A,'05
'126902,JOHNSON,'126,TRWS,N,BURLESON ISD,A,'11
'027903,BURNET,'027,TW,N,BURNET CISD,A,'13
'071801,EL PASO,'071,AEWMN,Y,BURNHAM WOOD CHARTER SCHOOL,E,'19
'239903,WASHINGTON,'239,,N,BURTON ISD,L,'06
'188904,POTTER,'188,EWMS,N,BUSHLAND ISD,A,'16
'039901,CLAY,'039,ATRS,N,BYERS ISD,A,'09
'109902,HILL,'109,ATREWS,N,BYNUM ISD,R,'12
'116901,HUNT,'116,ARWS,N,CADDO MILLS ISD,A,'10
'178903,NUECES,'178,PS,N,CALALLEN ISD,A,'02
'026901,BURLESON,'026,,N,CALDWELL ISD,A,'06
'029901,CALHOUN,'029,RW,N,CALHOUN COUNTY ISD,A,'03
'049905,COOKE,'049,E,N,CALLISBURG ISD,A,'11
'198902,ROBERTSON,'198,,N,CALVERT ISD,L,'06
'101837,HARRIS,'101,,Y,CALVIN NELMS CHARTER SCHOOLS,A,'04
'166901,MILAM,'166,T,N,CAMERON ISD,A,'06
'116910,HUNT,'116,REW,N,CAMPBELL ISD,A,'10
'106901,HEMPHILL,'106,ATRWS,N,CANADIAN ISD,A,'16
'234902,VAN ZANDT,'234,TEW,N,CANTON ISD,R,'10
'071907,EL PASO,'071,RW,N,CANUTILLO ISD,A,'19
'191901,RANDALL,'191,TRW,N,CANYON ISD,A,'16
'015810,BEXAR,'015,,Y,CAREER PLUS LEARNING ACADEMY,L,'20
'201913,RUSK,'201,,N,CARLISLE ISD,A,'07
'064903,DIMMIT,'064,R,N,CARRIZO SPRINGS CISD,A,'20
'220919,TARRANT,'220,PCTREWMNS,N,CARROLL ISD,R,'11
'057903,DALLAS,'057,AW,N,CARROLLTON-FARMERS BRANCH ISD,A,'10
'183902,PANOLA,'183,R,N,CARTHAGE ISD,A,'07
'220917,TARRANT,'220,,N,CASTLEBERRY ISD,A,'11
'001902,ANDERSON,'001,TREWMS,N,CAYUGA ISD,A,'07
'014804,BELL,'014,,Y,CEDAR CREST SCHOOL,1,'12
'057904,DALLAS,'057,R,N,CEDAR HILL ISD,A,'10
'141801,LAMPASAS,'141,,Y,CEDAR RIDGE CHARTER SCHOOL,1,'12
'227817,TRAVIS,'227,E,Y,CEDARS INTERNATIONAL ACADEMY,A,'13
'116902,HUNT,'116,ATREWMS,N,CELESTE ISD,A,'10
'043903,COLLIN,'043,ATRW,N,CELINA ISD,A,'10
'210901,SHELBY,'210,,N,CENTER ISD,A,'07
'133901,KERR,'133,TREWS,N,CENTER POINT ISD,A,'20
'145902,LEON,'145,REW,N,CENTERVILLE ISD,R,'06
'228904,TRINITY,'228,WS,N,CENTERVILLE ISD,R,'06
'174908,NACOGDOCHES,'174,TEWMS,N,CENTRAL HEIGHTS ISD,A,'07
'003907,ANGELINA,'003,W,N,CENTRAL ISD,R,'07
'101905,HARRIS,'101,,N,CHANNELVIEW ISD,A,'04
'103901,HARTLEY,'103,AES,N,CHANNING ISD,R,'16
'212909,SMITH,'212,A,N,CHAPEL HILL ISD,A,'07
'225906,TITUS,'225,ATRS,N,CHAPEL HILL ISD,A,'08
'007901,ATASCOSA,'007,,N,CHARLOTTE ISD,A,'20
'206903,SAN SABA,'206,TES,N,CHEROKEE ISD,A,'15
'229906,TYLER,'229,TR,N,CHESTER ISD,A,'05
'249904,WISE,'249,TRS,N,CHICO ISD,A,'11
'057811,DALLAS,'057,A,Y,CHILDREN FIRST ACADEMY OF DALLAS,A,'10
'101823,HARRIS,'101,A,Y,CHILDREN FIRST ACADEMY OF HOUSTON,A,'04
'038901,CHILDRESS,'038,R,N,CHILDRESS ISD,A,'16
'099902,HARDEMAN,'099,ATRW,N,CHILLICOTHE ISD,A,'09
'073901,FALLS,'073,T,N,CHILTON ISD,A,'12
'161920,MCLENNAN,'161,TRN,N,CHINA SPRING ISD,A,'12
'174901,NACOGDOCHES,'174,ATWS,N,CHIRENO ISD,R,'07
'139905,LAMAR,'139,EW,N,CHISUM ISD,A,'08
'226901,TOM GREEN,'226,W,N,CHRISTOVAL ISD,A,'15
'067902,EASTLAND,'067,A,N,CISCO ISD,A,'14
'243906,WICHITA,'243,TR,N,CITY VIEW ISD,A,'09
'065901,DONLEY,'065,REN,N,CLARENDON ISD,R,'16
'194904,RED RIVER,'194,R,N,CLARKSVILLE ISD,A,'08
'006902,ARMSTRONG,'006,ATREWMS,N,CLAUDE ISD,A,'16
'084910,GALVESTON,'084,REWS,N,CLEAR CREEK ISD,A,'04
'126903,JOHNSON,'126,,N,CLEBURNE ISD,A,'11
'146901,LIBERTY,'146,,N,CLEVELAND ISD,A,'04
'018901,BOSQUE,'018,ATREW,N,CLIFTON ISD,A,'12
'071901,EL PASO,'071,PR,N,CLINT ISD,A,'19
'030902,CALLAHAN,'030,TREWS,N,CLYDE CISD,R,'14
'114902,HOWARD,'114,,N,COAHOMA ISD,A,'18
'178803,NUECES,'178,,Y,COASTAL BEND YOUTH CITY,X,'02
'204901,SAN JACINTO,'204,R,N,COLDSPRING-OAKHURST CISD,A,'06
'042901,COLEMAN,'042,R,N,COLEMAN ISD,A,'15
'021901,BRAZOS,'021,PC,N,COLLEGE STATION ISD,A,'06
'091902,GRAYSON,'091,ATREWMS,N,COLLINSVILLE ISD,A,'10
'229901,TYLER,'229,TRM,N,COLMESNEIL ISD,A,'05
'168901,MITCHELL,'168,R,N,COLORADO ISD,A,'14
'020907,BRAZORIA,'020,TR,N,COLUMBIA-BRAZORIA ISD,A,'04
'045902,COLORADO,'045,TR,N,COLUMBUS ISD,A,'03
'046902,COMAL,'046,,N,COMAL ISD,A,'13
'047901,COMANCHE,'047,RW,N,COMANCHE ISD,A,'14
'130902,KENDALL,'130,TR,N,COMFORT ISD,A,'13
'116903,HUNT,'116,PT,N,COMMERCE ISD,A,'10
'043918,COLLIN,'043,R,N,COMMUNITY ISD,A,'10
'112908,HOPKINS,'112,ATR,N,COMO-PICKTON CISD,A,'08
'101842,HARRIS,'101,,Y,COMQUEST ACADEMY,1,'04
'233903,VAL VERDE,'233,ADREWS,N,COMSTOCK ISD,A,'15
'161921,MCLENNAN,'161,,N,CONNALLY ISD,A,'12
'170902,MONTGOMERY,'170,S,N,CONROE ISD,A,'06
'147901,LIMESTONE,'147,D,N,COOLIDGE ISD,A,'12
'060902,DELTA,'060,TS,N,COOPER ISD,A,'08
'057922,DALLAS,'057,PCTREWS,N,COPPELL ISD,R,'10
'050910,CORYELL,'050,W,N,COPPERAS COVE ISD,A,'12
'178904,NUECES,'178,,N,CORPUS CHRISTI ISD,A,'02
'187904,POLK,'187,TR,N,CORRIGAN-CAMDEN ISD,A,'06
'175903,NAVARRO,'175,,N,CORSICANA ISD,A,'12
'095902,HALE,'095,ATRES,N,COTTON CENTER ISD,A,'17
'142901,LA SALLE,'142,,N,COTULLA ISD,A,'20
'246914,WILLIAMSON,'246,AEWM,N,COUPLAND ISD,R,'13
'109903,HILL,'109,RS,N,COVINGTON ISD,A,'12
'129901,KAUFMAN,'129,DTR,N,CRANDALL ISD,A,'10
'052901,CRANE,'052,,N,CRANE ISD,A,'18
'018908,BOSQUE,'018,,N,CRANFILLS GAP ISD,A,'12
'161901,MCLENNAN,'161,ADTREWMS,N,CRAWFORD ISD,R,'12
'053001,CROCKETT,'053,AW,N,CROCKETT COUNTY CONSOLIDATED CSD,A,'15
'113901,HOUSTON,'113,,N,CROCKETT ISD,A,'06
'101906,HARRIS,'101,,N,CROSBY ISD,A,'04
'054901,CROSBY,'054,,N,CROSBYTON CISD,A,'17
'030901,CALLAHAN,'030,REW,N,CROSS PLAINS ISD,R,'14
'107904,HENDERSON,'107,E,N,CROSS ROADS ISD,A,'07
'101827,HARRIS,'101,,Y,CROSSROADS COMMUNITY ED CTR CHARTE,L,'04
'078901,FOARD,'078,ADR,N,CROWELL ISD,A,'09
'220912,TARRANT,'220,R,N,CROWLEY ISD,A,'11
'254901,ZAVALA,'254,,N,CRYSTAL CITY ISD,A,'20
'062901,DEWITT,'062,,N,CUERO ISD,A,'03
'055901,CULBERSON,'055,,N,CULBERSON COUNTY-ALLAMOORE ISD,A,'18
'212801,SMITH,'212,,Y,CUMBERLAND ACADEMY,1,'07
'112905,HOPKINS,'112,AES,N,CUMBY ISD,A,'08
'174902,NACOGDOCHES,'174,TS,N,CUSHING ISD,R,'07
'101907,HARRIS,'101,AD,N,CYPRESS-FAIRBANKS ISD,A,'04
'163902,MEDINA,'163,ATRWN,N,D'HANIS ISD,A,'20
'172902,MORRIS,'172,,N,DAINGERFIELD-LONE STAR ISD,A,'08
'056901,DALLAM,'056,T,N,DALHART ISD,A,'16
'057804,DALLAS,'057,,Y,DALLAS CAN ACADEMY CHARTER,1,'10
'057805,DALLAS,'057,EM,Y,DALLAS COMMUNITY CHARTER SCHOOL,R,'10
'057814,DALLAS,'057,,Y,DALLAS COUNTY JUVENILE JUSTICE,1,'10
'057905,DALLAS,'057,R,N,DALLAS ISD,A,'10
'020910,BRAZORIA,'020,AN,N,DAMON ISD,A,'04
'020904,BRAZORIA,'020,TRWS,N,DANBURY ISD,R,'04
'148905,LIPSCOMB,'148,AEMN,N,DARROUZETT ISD,R,'16
'058902,DAWSON,'058,RES,N,DAWSON ISD,R,'17
'175904,NAVARRO,'175,TR,N,DAWSON ISD,A,'12
'146902,LIBERTY,'146,,N,DAYTON ISD,A,'04
'047902,COMANCHE,'047,ATRW,N,DE LEON ISD,A,'14
'249905,WISE,'249,AR,N,DECATUR ISD,A,'11
'101908,HARRIS,'101,W,N,DEER PARK ISD,A,'04
'019901,BOWIE,'019,ATRW,N,DEKALB ISD,R,'08
'227910,TRAVIS,'227,RW,N,DEL VALLE ISD,A,'13
'115903,HUDSPETH,'115,R,N,DELL CITY ISD,A,'19
'091903,GRAYSON,'091,W,N,DENISON ISD,A,'10
'061901,DENTON,'061,,N,DENTON ISD,A,'11
'251901,YOAKUM,'251,AREWS,N,DENVER CITY ISD,A,'17
'057906,DALLAS,'057,R,N,DESOTO ISD,A,'10
'194905,RED RIVER,'194,ATRS,N,DETROIT ISD,A,'08
'146903,LIBERTY,'146,EWS,N,DEVERS ISD,A,'04
'163901,MEDINA,'163,R,N,DEVINE ISD,A,'20
'081906,FREESTONE,'081,EWMN,N,DEW ISD,R,'12
'176903,NEWTON,'176,TR,N,DEWEYVILLE ISD,A,'05
'003905,ANGELINA,'003,R,N,DIBOLL ISD,A,'07
'084901,GALVESTON,'084,,N,DICKINSON ISD,A,'04
'082902,FRIO,'082,,N,DILLEY ISD,A,'20
'144903,LEE,'144,P,N,DIME BOX ISD,A,'13
'035901,CASTRO,'035,TR,N,DIMMITT ISD,A,'16
'133905,KERR,'133,W,N,DIVIDE ISD,E,'20
'074904,FANNIN,'074,ATREWS,N,DODD CITY ISD,A,'10
'108902,HIDALGO,'108,R,N,DONNA ISD,A,'01
'086024,GILLESPIE,'086,AEWMN,N,DOSS CONSOLIDATED CSD,E,'13
'174911,NACOGDOCHES,'174,TEWMS,N,DOUGLASS ISD,A,'07
'178801,NUECES,'178,,Y,DR M L GARZA-GONZALEZ CHARTER SCHO,1,'02
'101856,HARRIS,'101,,Y,DRAW ACADEMY,L,'04
'105904,HAYS,'105,PCTREWMS,N,DRIPPING SPRINGS ISD,R,'13
'178905,NUECES,'178,AW,N,DRISCOLL ISD,A,'02
'072902,ERATH,'072,A,N,DUBLIN ISD,A,'11
'171901,MOORE,'171,AW,N,DUMAS ISD,A,'16
'057907,DALLAS,'057,,N,DUNCANVILLE ISD,A,'10
'221801,TAYLOR,'221,,Y,EAGLE ACADEMY OF ABILENE,1,'14
'123802,JEFFERSON,'123,,Y,EAGLE ACADEMY OF BEAUMONT,1,'05
'031802,CAMERON,'031,,Y,EAGLE ACADEMY OF BROWNSVILLE,1,'01
'021802,BRAZOS,'021,,Y,EAGLE ACADEMY OF BRYAN,2,'06
'057823,DALLAS,'057,,Y,EAGLE ACADEMY OF DALLAS,2,'10
'233801,VAL VERDE,'233,,Y,EAGLE ACADEMY OF DEL RIO,1,'15
'220807,TARRANT,'220,,Y,EAGLE ACADEMY OF FORT WORTH,2,'11
'240802,WEBB,'240,,Y,EAGLE ACADEMY OF LAREDO,1,'01
'152804,LUBBOCK,'152,,Y,EAGLE ACADEMY OF LUBBOCK,1,'17
'165803,MIDLAND,'165,,Y,EAGLE ACADEMY OF MIDLAND,1,'18
'108806,HIDALGO,'108,,Y,EAGLE ACADEMY OF PHARR/MCALLEN,1,'01
'015818,BEXAR,'015,,Y,EAGLE ACADEMY OF SAN ANTONIO,2,'20
'212802,SMITH,'212,,Y,EAGLE ACADEMY OF TYLER,1,'07
'161804,MCLENNAN,'161,,Y,EAGLE ACADEMY OF WACO,2,'12
'057806,DALLAS,'057,,Y,EAGLE ADVANTAGE SCHOOLS,1,'10
'220918,TARRANT,'220,,N,EAGLE MT-SAGINAW ISD,A,'11
'159901,MAVERICK,'159,PRW,N,EAGLE PASS ISD,A,'20
'227909,TRAVIS,'227,DPCTREWMNS,N,EANES ISD,R,'13
'025909,BROWN,'025,APTRE,N,EARLY ISD,A,'15
'241902,WHARTON,'241,ATRW,N,EAST BERNARD ISD,A,'03
'015911,BEXAR,'015,,N,EAST CENTRAL ISD,A,'20
'036903,CHAMBERS,'036,,N,EAST CHAMBERS ISD,A,'04
'220811,TARRANT,'220,AE,Y,EAST FORT WORTH MONTESSORI ACADEMY,A,'11
'092801,GREGG,'092,,Y,EAST TEXAS CHARTER SCHOOLS,A,'07
'067903,EASTLAND,'067,TR,N,EASTLAND ISD,A,'14
'068901,ECTOR,'068,R,N,ECTOR COUNTY ISD,A,'18
'074905,FANNIN,'074,AEM,N,ECTOR ISD,R,'10
'108903,HIDALGO,'108,ARW,N,EDCOUCH-ELSA ISD,A,'01
'048901,CONCHO,'048,ARW,N,EDEN CISD,A,'15
'227803,TRAVIS,'227,,Y,EDEN PARK ACADEMY,1,'13
'015905,BEXAR,'015,R,N,EDGEWOOD ISD,A,'20
'234903,VAN ZANDT,'234,TS,N,EDGEWOOD ISD,A,'07
'108904,HIDALGO,'108,RW,N,EDINBURG CISD,A,'01
'120901,JACKSON,'120,T,N,EDNA ISD,A,'03
'061802,DENTON,'061,,Y,EDUCATION CENTER,1,'11
'057833,DALLAS,'057,,Y,EDUCATION CENTER INTERNATIONAL ACA,1,'10
'123805,JEFFERSON,'123,,Y,EHRHART SCHOOL,A,'05
'241903,WHARTON,'241,R,N,EL CAMPO ISD,A,'03
'071804,EL PASO,'071,,Y,EL PASO ACADEMY,1,'19
'071902,EL PASO,'071,R,N,EL PASO ISD,A,'19
'071805,EL PASO,'071,,Y,EL PASO SCHOOL OF EXCELLENCE,1,'19
'243902,WICHITA,'243,TW,N,ELECTRA ISD,A,'09
'011902,BASTROP,'011,,N,ELGIN ISD,A,'13
'001903,ANDERSON,'001,EW,N,ELKHART ISD,A,'07
'102906,HARRISON,'102,RW,N,ELYSIAN FIELDS ISD,A,'07
'024801,BROOKS,'024,,Y,ENCINO SCHOOL,L,'02
'070903,ELLIS,'070,,N,ENNIS ISD,A,'10
'049906,COOKE,'049,ATREMS,N,ERA ISD,A,'11
'220803,TARRANT,'220,,Y,ERATH EXCELS ACADEMY INC,1,'11
'174910,NACOGDOCHES,'174,E,N,ETOILE ISD,A,'07
'030906,CALLAHAN,'030,ATRWS,N,EULA ISD,R,'14
'107905,HENDERSON,'107,AEW,N,EUSTACE ISD,R,'07
'121906,JASPER,'121,TRWS,N,EVADALE ISD,R,'05
'050901,CORYELL,'050,AWS,N,EVANT ISD,A,'12
'220904,TARRANT,'220,R,N,EVERMAN ISD,A,'11
'057834,DALLAS,'057,,Y,EVOLUTION ACADEMY CHARTER SCHOOL,2,'10
'210906,SHELBY,'210,AEWS,N,EXCELSIOR ISD,A,'07
'143906,LAVACA,'143,AEWMNS,N,EZZELL ISD,R,'03
'071903,EL PASO,'071,R,N,FABENS ISD,A,'19
'081902,FREESTONE,'081,,N,FAIRFIELD ISD,A,'12
'057815,DALLAS,'057,,Y,FAITH FAMILY ACADEMY OF OAK CLIFF,1,'10
'128904,KARNES,'128,ATREWMS,N,FALLS CITY ISD,R,'03
'060914,DELTA,'060,,N,FANNINDEL ISD,A,'08
'043904,COLLIN,'043,TRE,N,FARMERSVILLE ISD,A,'10
'185902,PARMER,'185,ATREW,N,FARWELL ISD,A,'16
'075906,FAYETTE,'075,DTREWMNS,N,FAYETTEVILLE ISD,R,'13
'070905,ELLIS,'070,,N,FERRIS ISD,A,'10
'075901,FAYETTE,'075,ATRW,N,FLATONIA ISD,A,'13
'246902,WILLIAMSON,'246,T,N,FLORENCE ISD,A,'13
'247901,WILSON,'247,RW,N,FLORESVILLE ISD,A,'20
'178914,NUECES,'178,EWS,N,FLOUR BLUFF ISD,A,'02
'077901,FLOYD,'077,,N,FLOYDADA ISD,A,'17
'057817,DALLAS,'057,,Y,FOCUS LEARNING ACADEMY,1,'10
'148902,LIPSCOMB,'148,AW,N,FOLLETT ISD,A,'16
'169910,MONTAGUE,'169,ES,N,FORESTBURG ISD,R,'09
'129902,KAUFMAN,'129,TRW,N,FORNEY ISD,A,'10
