DISTRICT,CNTYNAME,COUNTY,DACKDTL,DFLCHART,DISTNAME,D_RATING,REGION,secs
'025901,BROWN,'025,VE,N,BANGS ISD,A,'15,B
'178913,NUECES,'178,,N,BANQUETE ISD,A,'02,A
'036902,CHAMBERS,'036,PUVWS,N,BARBERS HILL ISD,R,'04,
'014902,BELL,'014,,N,BARTLETT ISD,A,'12,
'011901,BASTROP,'011,,N,BASTROP ISD,A,'13,A
'101809,HARRIS,'101,D,Y,BAY AREA CHARTER SCHOOL,A,'04,
'158901,MATAGORDA,'158,,N,BAY CITY ISD,L,'03,C
'101847,HARRIS,'101,AES,Y,BEATRICE MAYES INSTITUTE CHARTER S,R,'04,
'123910,JEFFERSON,'123,D,N,BEAUMONT ISD,A,'05,A
'183901,PANOLA,'183,RV,N,BECKVILLE ISD,A,'07,B
'013901,BEE,'013,,N,BEEVILLE ISD,A,'02,A
'039904,CLAY,'039,AUS,N,BELLEVUE ISD,A,'09,
'091901,GRAYSON,'091,RUVWNS,N,BELLS ISD,R,'10,A
'008901,AUSTIN,'008,UV,N,BELLVILLE ISD,A,'06,A
'014903,BELL,'014,,N,BELTON ISD,A,'12,
'125902,JIM WELLS,'125,,N,BEN BOLT-PALITO BLANCO ISD,A,'02,B
'066901,DUVAL,'066,,N,BENAVIDES ISD,L,'02,B
'138904,KNOX,'138,AUVEMS,N,BENJAMIN ISD,E,'09,B
'101820,HARRIS,'101,,Y,BENJI'S SPECIAL EDUCATIONAL ACADEM,L,'04,K
'015809,BEXAR,'015,,Y,BEXAR COUNTY ACADEMY,L,'20,
'187901,POLK,'187,RUS,N,BIG SANDY ISD,A,'06,A
'230901,UPSHUR,'230,UV,N,BIG SANDY ISD,A,'07,A
'114901,HOWARD,'114,,N,BIG SPRING ISD,A,'18,
'193801,REAL,'193,,Y,BIG SPRINGS CHARTER SCHOOL,1,'20,B
'220902,TARRANT,'220,,N,BIRDVILLE ISD,A,'11,
'178902,NUECES,'178,UVES,N,BISHOP CISD,A,'02,B
'177903,NOLAN,'177,DS,N,BLACKWELL CISD,A,'14,A
'016902,BLANCO,'016,V,N,BLANCO ISD,A,'13,C
'116915,HUNT,'116,ARUVEWN,N,BLAND ISD,R,'10,
'025904,BROWN,'025,AUV,N,BLANKET ISD,A,'15,B
'034909,CASS,'034,UVS,N,BLOOMBURG ISD,A,'08,B
'175902,NAVARRO,'175,UV,N,BLOOMING GROVE ISD,A,'12,A
'235901,VICTORIA,'235,UV,N,BLOOMINGTON ISD,A,'03,A
'043917,COLLIN,'043,UVW,N,BLUE RIDGE ISD,A,'10,A
'072904,ERATH,'072,AEMNS,N,BLUFF DALE ISD,A,'11,
'109913,HILL,'109,UV,N,BLUM ISD,A,'12,
'130901,KENDALL,'130,UVS,N,BOERNE ISD,A,'20,A
'116916,HUNT,'116,VE,N,BOLES ISD,R,'10,
'241901,WHARTON,'241,UV,N,BOLING ISD,A,'03,H
'074903,FANNIN,'074,,N,BONHAM ISD,A,'10,A
'148901,LIPSCOMB,'148,AUV,N,BOOKER ISD,A,'16,A
'017901,BORDEN,'017,ADRUVEWMS,N,BORDEN COUNTY ISD,R,'17,
'117901,HUTCHINSON,'117,,N,BORGER ISD,A,'16,
'161923,MCLENNAN,'161,ARVWMS,N,BOSQUEVILLE ISD,R,'12,
'185901,PARMER,'185,R,N,BOVINA ISD,A,'16,A
'169901,MONTAGUE,'169,W,N,BOWIE ISD,A,'09,
'249902,WISE,'249,VE,N,BOYD ISD,A,'11,
'180901,OLDHAM,'180,AWS,N,BOYS RANCH ISD,A,'16,A
'136901,KINNEY,'136,VW,N,BRACKETT ISD,A,'20,B
'160901,MCCULLOCH,'160,S,N,BRADY ISD,A,'15,C
'008903,AUSTIN,'008,UV,N,BRAZOS ISD,A,'06,B
'213801,SOMERVELL,'213,,Y,BRAZOS RIVER CHARTER SCHOOL,1,'11,A
'021803,BRAZOS,'021,,Y,BRAZOS SCHOOL FOR INQUIRY & CREATI,L,'06,A
'020905,BRAZORIA,'020,W,N,BRAZOSPORT ISD,A,'04,
'215901,STEPHENS,'215,R,N,BRECKENRIDGE ISD,A,'14,
'198901,ROBERTSON,'198,RVWS,N,BREMOND ISD,A,'06,G
'239901,WASHINGTON,'239,,N,BRENHAM ISD,A,'06,B
'181901,ORANGE,'181,UVWS,N,BRIDGE CITY ISD,A,'05,
'249903,WISE,'249,UV,N,BRIDGEPORT ISD,A,'11,A
'243801,WICHITA,'243,RS,Y,BRIGHT IDEAS CHARTER,A,'09,
'203902,SAN AUGUSTINE,'203,E,N,BROADDUS ISD,A,'07,A
'184909,PARKER,'184,UVEWMS,N,BROCK ISD,R,'11,
'041901,COKE,'041,RUVWS,N,BRONTE ISD,A,'15,
'121902,JASPER,'121,VES,N,BROOKELAND ISD,A,'05,B
'025908,BROWN,'025,AVWS,N,BROOKESMITH ISD,A,'15,
'015830,BEXAR,'015,ES,Y,BROOKS ACADEMY OF SCIENCE AND ENGI,A,'20,
'024901,BROOKS,'024,UV,N,BROOKS COUNTY ISD,A,'02,
'223901,TERRY,'223,,N,BROWNFIELD ISD,A,'17,B
'107902,HENDERSON,'107,,N,BROWNSBORO ISD,A,'07,
'031901,CAMERON,'031,DRWS,N,BROWNSVILLE ISD,A,'01,A
'025902,BROWN,'025,,N,BROWNWOOD ISD,A,'15,
'161919,MCLENNAN,'161,AUVW,N,BRUCEVILLE-EDDY ISD,A,'12,B
'021902,BRAZOS,'021,,N,BRYAN ISD,A,'06,B
'119901,JACK,'119,RW,N,BRYSON ISD,A,'09,
'166907,MILAM,'166,UVW,N,BUCKHOLTS ISD,A,'06,A
'186901,PECOS,'186,AUVW,N,BUENA VISTA ISD,A,'18,
'145901,LEON,'145,U,N,BUFFALO ISD,A,'06,A
'212902,SMITH,'212,UV,N,BULLARD ISD,A,'07,B
'121903,JASPER,'121,UEWS,N,BUNA ISD,A,'05,
'243901,WICHITA,'243,ES,N,BURKBURNETT ISD,A,'09,A
'176901,NEWTON,'176,S,N,BURKEVILLE ISD,A,'05,G
'126902,JOHNSON,'126,ES,N,BURLESON ISD,A,'11,
'027903,BURNET,'027,,N,BURNET CISD,A,'13,B
'071801,EL PASO,'071,AEWMN,Y,BURNHAM WOOD CHARTER SCHOOL,R,'19,A
'239903,WASHINGTON,'239,,N,BURTON ISD,L,'06,A
'188904,POTTER,'188,UVWS,N,BUSHLAND ISD,A,'16,
'039901,CLAY,'039,AR,N,BYERS ISD,A,'09,
'109902,HILL,'109,AVS,N,BYNUM ISD,A,'12,A
'116901,HUNT,'116,AUVEWMNS,N,CADDO MILLS ISD,R,'10,
'178903,NUECES,'178,PUVES,N,CALALLEN ISD,R,'02,A
'026901,BURLESON,'026,UV,N,CALDWELL ISD,A,'06,A
'029901,CALHOUN,'029,W,N,CALHOUN COUNTY ISD,A,'03,
'049905,COOKE,'049,UW,N,CALLISBURG ISD,A,'11,
'198902,ROBERTSON,'198,RV,N,CALVERT ISD,A,'06,A
'101837,HARRIS,'101,W,Y,CALVIN NELMS CHARTER SCHOOLS,A,'04,
'166901,MILAM,'166,AU,N,CAMERON ISD,A,'06,A
'116910,HUNT,'116,UVEWS,N,CAMPBELL ISD,A,'10,
'106901,HEMPHILL,'106,ARVW,N,CANADIAN ISD,A,'16,
'234902,VAN ZANDT,'234,AUVWNS,N,CANTON ISD,R,'10,
'071907,EL PASO,'071,R,N,CANUTILLO ISD,A,'19,B
'191901,RANDALL,'191,UW,N,CANYON ISD,A,'16,
'201913,RUSK,'201,,N,CARLISLE ISD,A,'07,
'064903,DIMMIT,'064,,N,CARRIZO SPRINGS CISD,A,'20,C
'220919,TARRANT,'220,ADPCRUVEWMNS,N,CARROLL ISD,E,'11,
'057903,DALLAS,'057,US,N,CARROLLTON-FARMERS BRANCH ISD,A,'10,
'183902,PANOLA,'183,,N,CARTHAGE ISD,A,'07,A
'220917,TARRANT,'220,R,N,CASTLEBERRY ISD,A,'11,C
'001902,ANDERSON,'001,DUVEWS,N,CAYUGA ISD,R,'07,
'014804,BELL,'014,,Y,CEDAR CREST SCHOOL,1,'12,
'057904,DALLAS,'057,R,N,CEDAR HILL ISD,A,'10,
'227817,TRAVIS,'227,,Y,CEDARS INTERNATIONAL ACADEMY,L,'13,A
'116902,HUNT,'116,ARUVEWMNS,N,CELESTE ISD,A,'10,
'043903,COLLIN,'043,ARUV,N,CELINA ISD,R,'10,A
'210901,SHELBY,'210,AUV,N,CENTER ISD,A,'07,A
'133901,KERR,'133,VES,N,CENTER POINT ISD,R,'20,
'145902,LEON,'145,RUW,N,CENTERVILLE ISD,A,'06,A
'228904,TRINITY,'228,UVS,N,CENTERVILLE ISD,A,'06,
'174908,NACOGDOCHES,'174,UES,N,CENTRAL HEIGHTS ISD,R,'07,A
'003907,ANGELINA,'003,VS,N,CENTRAL ISD,A,'07,A
'101905,HARRIS,'101,,N,CHANNELVIEW ISD,A,'04,K
'103901,HARTLEY,'103,UEWS,N,CHANNING ISD,R,'16,
'212909,SMITH,'212,A,N,CHAPEL HILL ISD,A,'07,K
'225906,TITUS,'225,AUVS,N,CHAPEL HILL ISD,A,'08,A
'007901,ATASCOSA,'007,,N,CHARLOTTE ISD,A,'20,
'206903,SAN SABA,'206,A,N,CHEROKEE ISD,A,'15,B
'229906,TYLER,'229,RV,N,CHESTER ISD,A,'05,A
'249904,WISE,'249,U,N,CHICO ISD,A,'11,A
'057811,DALLAS,'057,AN,Y,CHILDREN FIRST ACADEMY OF DALLAS,R,'10,
'101823,HARRIS,'101,EW,Y,CHILDREN FIRST ACADEMY OF HOUSTON,R,'04,A
'038901,CHILDRESS,'038,RS,N,CHILDRESS ISD,A,'16,A
'099902,HARDEMAN,'099,ARV,N,CHILLICOTHE ISD,A,'09,A
'073901,FALLS,'073,V,N,CHILTON ISD,A,'12,B
'161920,MCLENNAN,'161,UVE,N,CHINA SPRING ISD,R,'12,A
'174901,NACOGDOCHES,'174,ARVEWS,N,CHIRENO ISD,R,'07,A
'139905,LAMAR,'139,UVEWS,N,CHISUM ISD,R,'08,
'226901,TOM GREEN,'226,RUVW,N,CHRISTOVAL ISD,A,'15,A
'067902,EASTLAND,'067,AUVWS,N,CISCO ISD,R,'14,A
'243906,WICHITA,'243,RE,N,CITY VIEW ISD,A,'09,A
'065901,DONLEY,'065,AUV,N,CLARENDON ISD,A,'16,B
'194904,RED RIVER,'194,,N,CLARKSVILLE ISD,L,'08,B
'006902,ARMSTRONG,'006,ARUVEWMS,N,CLAUDE ISD,R,'16,
'084910,GALVESTON,'084,EWS,N,CLEAR CREEK ISD,R,'04,
'126903,JOHNSON,'126,,N,CLEBURNE ISD,A,'11,
'146901,LIBERTY,'146,,N,CLEVELAND ISD,A,'04,A
'018901,BOSQUE,'018,RUV,N,CLIFTON ISD,A,'12,A
'071901,EL PASO,'071,AR,N,CLINT ISD,A,'19,B
'030902,CALLAHAN,'030,RUVS,N,CLYDE CISD,A,'14,
'114902,HOWARD,'114,,N,COAHOMA ISD,A,'18,
'204901,SAN JACINTO,'204,R,N,COLDSPRING-OAKHURST CISD,A,'06,
'042901,COLEMAN,'042,V,N,COLEMAN ISD,A,'15,A
'021901,BRAZOS,'021,P,N,COLLEGE STATION ISD,A,'06,A
'091902,GRAYSON,'091,AUEW,N,COLLINSVILLE ISD,A,'10,
'229901,TYLER,'229,DV,N,COLMESNEIL ISD,R,'05,
'168901,MITCHELL,'168,,N,COLORADO ISD,A,'14,A
'020907,BRAZORIA,'020,,N,COLUMBIA-BRAZORIA ISD,A,'04,
'045902,COLORADO,'045,UV,N,COLUMBUS ISD,A,'03,A
'046902,COMAL,'046,UES,N,COMAL ISD,A,'13,
'047901,COMANCHE,'047,W,N,COMANCHE ISD,A,'14,
'130902,KENDALL,'130,U,N,COMFORT ISD,A,'13,
'116903,HUNT,'116,U,N,COMMERCE ISD,A,'10,F
'043918,COLLIN,'043,VE,N,COMMUNITY ISD,A,'10,
'112908,HOPKINS,'112,AE,N,COMO-PICKTON CISD,A,'08,
'101842,HARRIS,'101,,Y,COMQUEST ACADEMY,1,'04,
'233903,VAL VERDE,'233,ADRUVEWS,N,COMSTOCK ISD,A,'15,
'161921,MCLENNAN,'161,R,N,CONNALLY ISD,A,'12,
'170902,MONTGOMERY,'170,S,N,CONROE ISD,A,'06,
'147901,LIMESTONE,'147,UV,N,COOLIDGE ISD,A,'12,C
'060902,DELTA,'060,S,N,COOPER ISD,A,'08,B
'057922,DALLAS,'057,PCUVEWMS,N,COPPELL ISD,R,'10,
'050910,CORYELL,'050,E,N,COPPERAS COVE ISD,A,'12,
'178904,NUECES,'178,,N,CORPUS CHRISTI ISD,A,'02,
'178807,NUECES,'178,EM,Y,CORPUS CHRISTI MONTESSORI SCHOOL,R,'02,
'187904,POLK,'187,,N,CORRIGAN-CAMDEN ISD,A,'06,B
'175903,NAVARRO,'175,,N,CORSICANA ISD,A,'12,C
'095902,HALE,'095,AUVWS,N,COTTON CENTER ISD,A,'17,A
'142901,LA SALLE,'142,U,N,COTULLA ISD,A,'20,B
'246914,WILLIAMSON,'246,AREWMS,N,COUPLAND ISD,A,'13,
'109903,HILL,'109,,N,COVINGTON ISD,A,'12,
'129901,KAUFMAN,'129,AUV,N,CRANDALL ISD,A,'10,
'052901,CRANE,'052,U,N,CRANE ISD,A,'18,B
'018908,BOSQUE,'018,AUW,N,CRANFILLS GAP ISD,A,'12,A
'161901,MCLENNAN,'161,ADCUVEWNS,N,CRAWFORD ISD,R,'12,A
'053001,CROCKETT,'053,AW,N,CROCKETT COUNTY CONSOLIDATED CSD,A,'15,
'113901,HOUSTON,'113,,N,CROCKETT ISD,A,'06,G
'101906,HARRIS,'101,,N,CROSBY ISD,A,'04,B
'054901,CROSBY,'054,U,N,CROSBYTON CISD,A,'17,C
'030901,CALLAHAN,'030,UW,N,CROSS PLAINS ISD,A,'14,
'107904,HENDERSON,'107,AUVE,N,CROSS ROADS ISD,A,'07,
'184801,PARKER,'184,,Y,CROSSTIMBERS ACADEMY,1,'11,
'078901,FOARD,'078,ADRUVE,N,CROWELL ISD,R,'09,A
'220912,TARRANT,'220,,N,CROWLEY ISD,A,'11,A
'254901,ZAVALA,'254,R,N,CRYSTAL CITY ISD,A,'20,C
'062901,DEWITT,'062,UV,N,CUERO ISD,A,'03,B
'055901,CULBERSON,'055,U,N,CULBERSON COUNTY-ALLAMOORE ISD,A,'18,C
'212801,SMITH,'212,N,Y,CUMBERLAND ACADEMY,A,'07,C
'112905,HOPKINS,'112,AUW,N,CUMBY ISD,R,'08,A
'174902,NACOGDOCHES,'174,UVS,N,CUSHING ISD,A,'07,B
'101907,HARRIS,'101,DS,N,CYPRESS-FAIRBANKS ISD,A,'04,
'163902,MEDINA,'163,AUVWS,N,D'HANIS ISD,R,'20,F
'172902,MORRIS,'172,,N,DAINGERFIELD-LONE STAR ISD,A,'08,A
'056901,DALLAM,'056,VS,N,DALHART ISD,A,'16,
'057804,DALLAS,'057,,Y,DALLAS CAN ACADEMY CHARTER,1,'10,C
'057805,DALLAS,'057,E,Y,DALLAS COMMUNITY CHARTER SCHOOL,R,'10,C
'057814,DALLAS,'057,,Y,DALLAS COUNTY JUVENILE JUSTICE,1,'10,A
'057905,DALLAS,'057,,N,DALLAS ISD,A,'10,B
'020910,BRAZORIA,'020,A,N,DAMON ISD,A,'04,
'020904,BRAZORIA,'020,RUVWS,N,DANBURY ISD,A,'04,
'148905,LIPSCOMB,'148,AENS,N,DARROUZETT ISD,A,'16,
'058902,DAWSON,'058,VMS,N,DAWSON ISD,A,'17,B
'175904,NAVARRO,'175,ARW,N,DAWSON ISD,A,'12,
'146902,LIBERTY,'146,,N,DAYTON ISD,A,'04,C
'047902,COMANCHE,'047,RUV,N,DE LEON ISD,A,'14,
'249905,WISE,'249,R,N,DECATUR ISD,A,'11,A
'101908,HARRIS,'101,U,N,DEER PARK ISD,A,'04,
'019901,BOWIE,'019,ARUVW,N,DEKALB ISD,A,'08,A
'227910,TRAVIS,'227,R,N,DEL VALLE ISD,A,'13,
'115903,HUDSPETH,'115,ARUV,N,DELL CITY ISD,A,'19,
'091903,GRAYSON,'091,W,N,DENISON ISD,A,'10,A
'061901,DENTON,'061,,N,DENTON ISD,A,'11,B
'251901,YOAKUM,'251,AUVWS,N,DENVER CITY ISD,A,'17,
'057906,DALLAS,'057,,N,DESOTO ISD,A,'10,B
'194905,RED RIVER,'194,,N,DETROIT ISD,A,'08,A
'146903,LIBERTY,'146,EW,N,DEVERS ISD,A,'04,
'163901,MEDINA,'163,,N,DEVINE ISD,A,'20,A
'081906,FREESTONE,'081,EWMNS,N,DEW ISD,R,'12,A
'176903,NEWTON,'176,,N,DEWEYVILLE ISD,A,'05,
'003905,ANGELINA,'003,,N,DIBOLL ISD,A,'07,A
'084901,GALVESTON,'084,,N,DICKINSON ISD,A,'04,
'082902,FRIO,'082,,N,DILLEY ISD,A,'20,A
'144903,LEE,'144,AVWS,N,DIME BOX ISD,R,'13,
'035901,CASTRO,'035,,N,DIMMITT ISD,A,'16,
'133905,KERR,'133,EWM,N,DIVIDE ISD,E,'20,
'074904,FANNIN,'074,AUVEWS,N,DODD CITY ISD,R,'10,
'108902,HIDALGO,'108,R,N,DONNA ISD,A,'01,C
'086024,GILLESPIE,'086,AEWMS,N,DOSS CONSOLIDATED CSD,R,'13,
'174911,NACOGDOCHES,'174,UVEWMS,N,DOUGLASS ISD,R,'07,
'178801,NUECES,'178,,Y,DR M L GARZA-GONZALEZ CHARTER SCHO,1,'02,
'101856,HARRIS,'101,,Y,DRAW ACADEMY,1,'04,A
'105904,HAYS,'105,PCRUVW,N,DRIPPING SPRINGS ISD,A,'13,
'178905,NUECES,'178,,N,DRISCOLL ISD,R,'02,A
'072902,ERATH,'072,PV,N,DUBLIN ISD,A,'11,
'171901,MOORE,'171,W,N,DUMAS ISD,R,'16,B
'057907,DALLAS,'057,W,N,DUNCANVILLE ISD,A,'10,
'221801,TAYLOR,'221,,Y,EAGLE ACADEMIES OF TEXAS,1,'14,B
'057806,DALLAS,'057,,Y,EAGLE ADVANTAGE SCHOOLS,A,'10,A
'220918,TARRANT,'220,S,N,EAGLE MT-SAGINAW ISD,A,'11,
'159901,MAVERICK,'159,PRW,N,EAGLE PASS ISD,A,'20,C
'227909,TRAVIS,'227,DPCUVEWS,N,EANES ISD,R,'13,
'025909,BROWN,'025,APUVS,N,EARLY ISD,A,'15,
'241902,WHARTON,'241,AUVS,N,EAST BERNARD ISD,A,'03,B
'015911,BEXAR,'015,,N,EAST CENTRAL ISD,A,'20,
'036903,CHAMBERS,'036,AUVW,N,EAST CHAMBERS ISD,A,'04,A
'220811,TARRANT,'220,AEWM,Y,EAST FORT WORTH MONTESSORI ACADEMY,R,'11,A
'092801,GREGG,'092,,Y,EAST TEXAS CHARTER SCHOOLS,A,'07,
'067903,EASTLAND,'067,,N,EASTLAND ISD,A,'14,
'068901,ECTOR,'068,,N,ECTOR COUNTY ISD,A,'18,
'074905,FANNIN,'074,UEWMS,N,ECTOR ISD,R,'10,A
'108903,HIDALGO,'108,AR,N,EDCOUCH-ELSA ISD,A,'01,A
'048901,CONCHO,'048,RS,N,EDEN CISD,A,'15,A
'227803,TRAVIS,'227,ENS,Y,EDEN PARK ACADEMY,R,'13,
'015905,BEXAR,'015,R,N,EDGEWOOD ISD,A,'20,
'234903,VAN ZANDT,'234,VWS,N,EDGEWOOD ISD,A,'07,
'108904,HIDALGO,'108,R,N,EDINBURG CISD,A,'01,C
'120901,JACKSON,'120,V,N,EDNA ISD,A,'03,A
'061802,DENTON,'061,,Y,EDUCATION CENTER,A,'11,A
'057833,DALLAS,'057,RV,Y,EDUCATION CENTER INTERNATIONAL ACA,A,'10,
'123805,JEFFERSON,'123,S,Y,EHRHART SCHOOL,A,'05,A
'241903,WHARTON,'241,,N,EL CAMPO ISD,A,'03,
'071804,EL PASO,'071,,Y,EL PASO ACADEMY,1,'19,C
'071902,EL PASO,'071,R,N,EL PASO ISD,A,'19,
'071805,EL PASO,'071,,Y,EL PASO SCHOOL OF EXCELLENCE,L,'19,
'243902,WICHITA,'243,,N,ELECTRA ISD,A,'09,
'011902,BASTROP,'011,,N,ELGIN ISD,A,'13,A
'001903,ANDERSON,'001,UVEN,N,ELKHART ISD,R,'07,A
'102906,HARRISON,'102,UVS,N,ELYSIAN FIELDS ISD,A,'07,A
'024801,BROOKS,'024,AS,Y,ENCINO SCHOOL,A,'02,
'070903,ELLIS,'070,,N,ENNIS ISD,A,'10,A
'049906,COOKE,'049,ARUVEWMS,N,ERA ISD,R,'11,
'072802,ERATH,'072,,Y,ERATH EXCELS ACADEMY INC,1,'11,
'174910,NACOGDOCHES,'174,NS,N,ETOILE ISD,A,'07,B
'030906,CALLAHAN,'030,AUVS,N,EULA ISD,A,'14,B
'107905,HENDERSON,'107,AUVW,N,EUSTACE ISD,A,'07,A
'121906,JASPER,'121,RVEWS,N,EVADALE ISD,A,'05,
'050901,CORYELL,'050,A,N,EVANT ISD,A,'12,B
'220904,TARRANT,'220,R,N,EVERMAN ISD,A,'11,A
'057834,DALLAS,'057,,Y,EVOLUTION ACADEMY CHARTER SCHOOL,1,'10,
'210906,SHELBY,'210,AEMS,N,EXCELSIOR ISD,R,'07,A
'143906,LAVACA,'143,AEWMNS,N,EZZELL ISD,R,'03,
'071903,EL PASO,'071,ARV,N,FABENS ISD,A,'19,A
'081902,FREESTONE,'081,UV,N,FAIRFIELD ISD,A,'12,A
'057815,DALLAS,'057,,Y,FAITH FAMILY ACADEMY OF OAK CLIFF,L,'10,B
'128904,KARNES,'128,ADUVEWMNS,N,FALLS CITY ISD,E,'03,A
'060914,DELTA,'060,,N,FANNINDEL ISD,L,'08,C
'043904,COLLIN,'043,VEW,N,FARMERSVILLE ISD,A,'10,
'185902,PARMER,'185,AUVW,N,FARWELL ISD,R,'16,A
'075906,FAYETTE,'075,ADRUVEWMNS,N,FAYETTEVILLE ISD,R,'13,
'070905,ELLIS,'070,ARW,N,FERRIS ISD,A,'10,
'075901,FAYETTE,'075,AVW,N,FLATONIA ISD,A,'13,G
'246902,WILLIAMSON,'246,V,N,FLORENCE ISD,A,'13,
'247901,WILSON,'247,W,N,FLORESVILLE ISD,A,'20,
