DISTRICT,YEAR,DA0CA08R,DA0CA09R,DA0CC08R,DA0CC09R,DA0CS08R,DA0CS09R,DA0CT08R,DA0CT09R,DACRB08R,DACRB09R,DACRM08R,DACRM09R,DACRR08R,DACRR09R,DB0CA08R,DB0CA09R,DB0CC08R,DB0CC09R,DB0CS08R,DB0CS09R,DB0CT08R,DB0CT09R,DBCRB08R,DBCRB09R,DBCRM08R,DBCRM09R,DBCRR08R,DBCRR09R,DECRB08R,DECRB09R,DECRM08R,DECRM09R,DECRR08R,DECRR09R,DF0CA08R,DF0CA09R,DF0CC08R,DF0CC09R,DF0CS08R,DF0CS09R,DF0CT08R,DF0CT09R,DFCRB08R,DFCRB09R,DFCRM08R,DFCRM09R,DFCRR08R,DFCRR09R,DH0CA08R,DH0CA09R,DH0CC08R,DH0CC09R,DH0CS08R,DH0CS09R,DH0CT08R,DH0CT09R,DHCRB08R,DHCRB09R,DHCRM08R,DHCRM09R,DHCRR08R,DHCRR09R,DI0CA08R,DI0CA09R,DI0CC08R,DI0CC09R,DI0CS08R,DI0CS09R,DI0CT08R,DI0CT09R,DICRB08R,DICRB09R,DICRM08R,DICRM09R,DICRR08R,DICRR09R,DLCRB08R,DLCRB09R,DLCRM08R,DLCRM09R,DLCRR08R,DLCRR09R,DM0CA08R,DM0CA09R,DM0CC08R,DM0CC09R,DM0CS08R,DM0CS09R,DM0CT08R,DM0CT09R,DMCRB08R,DMCRB09R,DMCRM08R,DMCRM09R,DMCRR08R,DMCRR09R,DP0CA08R,DP0CA09R,DP0CC08R,DP0CC09R,DP0CS08R,DP0CS09R,DP0CT08R,DP0CT09R,DPCRB08R,DPCRB09R,DPCRM08R,DPCRM09R,DPCRR08R,DPCRR09R,DRCRB08R,DRCRB09R,DRCRM08R,DRCRM09R,DRCRR08R,DRCRR09R,DSCRB08R,DSCRB09R,DSCRM08R,DSCRM09R,DSCRR08R,DSCRR09R,DW0CA08R,DW0CA09R,DW0CC08R,DW0CC09R,DW0CS08R,DW0CS09R,DW0CT08R,DW0CT09R,DWCRB08R,DWCRB09R,DWCRM08R,DWCRM09R,DWCRR08R,DWCRR09R
'005902,2010,21.8,21.3,33.9,26.2,1050,1014,81.9,87.5,63,77,72,85,70,85,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,33,-1,50,-1,33,-1,22.3,21.1,36.7,23.1,1047,966,85.7,89.7,64,68,69,82,78,75,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.3,21.6,31,31.3,1055,1103,78.4,84.2,63,89,74,89,63,-4,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,-1,6,-1,18,-1,-1,-1,-1,-1,-1,-1,21.6,21.3,32.7,25.6,1037,1014,82.1,88.6,61,77,70,84,69,86
'005904,2010,23.6,21.6,53.8,29,1202,-1,81.3,79.5,68,59,97,87,68,63,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,63,40,-4,70,63,50,22.9,20.8,43.8,25,-1,-1,84.2,85.7,68,57,-4,79,68,67,-1,-1,-1,-1,.,-1,28.6,33.3,33,22,86,78,33,22,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.7,22.1,70,31.6,-1,-1,76.9,76,67,60,92,92,67,60,-1,.,-1,.,.,.,-2,.,-1,-1,-1,-1,-1,-1,-1,20,-1,50,-1,36,-1,-1,-1,-1,-1,-1,24,21.9,56.5,32.1,1202,-1,92,93.3,76,70,-4,90,76,74
'006902,2010,20.9,21.6,31.6,33.3,.,-1,90.5,88.9,55,67,57,70,80,89,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,33,-1,29,-1,67,-1,20.6,21.4,27.3,35.7,.,-1,-2,87.5,50,60,45,60,80,93,.,-1,.,-1,.,.,.,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.4,21.9,37.5,30,.,-1,72.7,90.9,60,75,70,83,80,83,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,40,-3,33,-3,60,-4,-1,-1,-1,-1,-1,-1,20.9,21.8,31.6,34.8,.,-1,95,92,58,65,63,69,84,88
'007901,2010,15.6,18.3,0,7.7,-1,.,72.2,54.2,4,31,17,46,33,46,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,10,25,10,50,36,42,15.9,19.4,0,12.5,-1,.,80,57.1,9,21,18,36,50,50,14.1,18.6,0,10,.,.,64.3,47.6,-3,27,6,45,37,45,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15.2,16.6,0,0,.,.,62.5,50,-3,42,17,58,17,42,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-3,13,6,33,35,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,20,-1,60,-1,20,-1
'007902,2010,19,21.6,20,31.3,889,999,54.8,53.3,32,42,35,53,66,60,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,25,38,31,50,64,46,19.1,21.6,13.6,21.4,819,1024,51.2,45.2,32,47,35,57,78,60,18.2,20.6,13.3,21.4,845,918,37.5,53.8,22,33,27,47,65,52,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.9,21.6,27.8,38.9,982,979,60,62.1,31,39,34,50,52,59,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,13,27,17,32,67,41,-1,-3,-1,10,20,9,19.5,22.3,24,38.9,921,1103,75.8,52.9,44,50,44,58,67,67
'007904,2010,20,17.3,17.1,7.7,930,852,72.4,77.4,45,41,53,52,57,60,.,.,-1,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,39,32,50,43,51,57,16.9,16.6,2.6,3.1,899,809,79.6,80,43,38,51,44,64,69,19.5,17,15.2,5.7,927,818,65.7,76.8,51,36,58,45,61,58,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.5,17.9,32.4,12.1,962,900,66.1,75,46,44,55,59,51,52,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,21,31,28,40,38,54,-1,-1,-1,-1,20,-3,20.5,-1,20.7,16.7,933,986,85.3,80,34,63,46,81,47,71
'007905,2010,20.1,20.4,22.7,24.4,996,1007,48.1,49.7,43,39,59,51,53,51,.,.,.,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,34,26,50,38,44,40,19.5,21.1,12,33.3,922,1011,51,41.1,40,42,57,49,51,57,19.9,19.1,17.9,8.1,948,943,38.2,40.7,37,33,54,42,46,48,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.9,19.9,36.8,18.8,1097,1005,44.7,57.1,46,36,61,52,56,47,.,.,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,19,8,32,18,31,19,25,-3,33,-3,20,5,20.3,21.3,25,40,1027,1086,60.8,62.5,49,49,64,66,61,58
'007906,2010,16.9,18.8,8.6,9.4,860,914,34,35.2,35,31,42,34,66,70,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,24,27,33,30,60,69,17.8,20.1,6.3,10.5,881,919,32.7,38,36,31,40,31,69,85,17.1,18.3,9.5,10.5,819,917,27.3,25.7,31,26,37,29,64,72,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16.2,17.6,10.5,7.7,839,900,35.2,31.7,35,31,44,38,63,55,.,.,-1,.,-1,.,-2,.,-1,-1,-1,-1,-1,-1,13,11,25,17,52,60,-1,-3,-1,-3,-1,-3,-1,19.8,7.7,7.7,926,911,50,81.3,44,56,54,63,70,69
'008901,2010,22.5,22.7,44.9,41.4,1059,1042,68.1,63.9,52,51,75,65,61,64,20.2,-1,12.5,0,942,-1,57.1,42.9,42,-3,69,15,42,21,35,22,65,44,35,29,22.8,23,42.9,35.8,1068,1027,76.7,63.1,56,51,72,65,69,65,19.1,20.2,0,22.2,938,992,57.9,52.9,25,32,60,53,30,45,.,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.2,22.5,47.6,47.8,1047,1060,59.2,64.8,49,51,78,64,53,62,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,23,10,47,25,31,30,13,-3,50,-3,13,7,23.5,23.7,53.8,45.8,1080,1060,70.9,67.5,58,59,78,72,68,71
'008902,2010,21,20.6,23.1,20.3,963,987,60.9,55.2,41,41,58,50,49,65,-1,16.5,0,10,-1,-1,63.6,62.5,44,19,44,38,44,53,16,23,34,40,24,53,21.5,20.9,24,18.2,966,967,75.8,63.8,52,38,57,46,66,70,20.1,18.2,22.2,10,1004,981,22.5,41.7,19,29,42,41,27,60,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.1,20.2,21.4,23.3,959,1010,45.2,46.2,30,43,60,54,33,60,-1,.,-1,.,-1,.,-2,.,-1,-1,-1,-1,-1,-1,7,13,19,17,18,41,-3,7,40,21,-3,6,21.6,22.6,27.6,27.3,970,1006,78.4,63.8,50,55,68,60,60,70
