DISTRICT,YEAR,DA0GH06N,DA0GH06P,DA0GM06N,DA0GM06P,DA0GR06N,DA0GR06P,DAPID07N,DAPID07R,DAUND06C,DAUND06R,DB0GR06N,DB0GR06P,DH0GR06N,DH0GR06P,DI0GR06N,DI0GR06P,DP0GR06N,DP0GR06P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR06N,DS0GR06P,DW0GR06N,DW0GR06P
'119902,2007,50,78.1,14,21.9,64,100,0,0,1,0.2,0,0,6,9.4,1,1.6,0,0,12.3,1.7,0,1.9,2.3,0,6,1.4,4.3,0,0,0,10,0,0,0,0,10,981,59,6,18,1.8,46,4.2,352,35.9,89,9.1,85,8.7,67,6.8,74,7.5,62,6.3,56,5.7,73,7.4,68,6.9,89,9.1,69,7,70,7.1,69,7,5,0.5,57,5.8,73,7.4,32,3.3,153,15.6,1,0.1,61,6.2,8,0.8,362,36.9,115,11.7,286,29.2,801,81.7,8,12.5,57,89.1
'119903,2007,21,84,4,16,25,100,1,0.2,0,0,0,0,2,8,0,0,0,0,0,0,0,0,2.6,0,13.8,3.7,0,0,.,0,0,0,0,0,0,0,388,11,2.8,0,0,2,0.4,193,49.7,24,6.2,30,7.7,20,5.2,24,6.2,23,5.9,39,10.1,39,10.1,27,7,26,6.7,37,9.5,33,8.5,27,7,0,0,35,9,28,7.2,11,2.8,42,10.8,1,0.3,13,3.4,1,0.3,139,35.8,34,8.8,96,24.7,344,88.7,3,12,23,92
'120901,2007,52,65.8,27,34.2,79,100,0,0,2,0.3,11,13.9,24,30.4,1,1.3,0,0,1.3,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,5.6,1475,113,7.7,252,17.1,48,2.9,760,51.5,106,7.2,96,6.5,115,7.8,103,7,118,8,106,7.2,92,6.2,126,8.5,118,8,120,8.1,107,7.3,95,6.4,3,0.2,112,7.6,105,7.1,65,4.4,515,34.9,1,0.1,122,8.3,4,0.3,625,42.4,204,13.8,440,29.8,703,47.7,10,12.7,43,54.4
'120902,2007,43,86,7,14,50,100,0,0,3,0.9,0,0,21,42,0,0,0,0,11.9,0,0,0,0,0,0,0,10.3,25,0,0,0,0,0,0,0,20,656,54,8.2,30,4.6,15,2.1,358,54.6,44,6.7,46,7,49,7.5,51,7.8,50,7.6,42,6.4,42,6.4,41,6.3,65,9.9,49,7.5,43,6.6,49,7.5,1,0.2,39,5.9,57,8.7,27,4.1,294,44.8,0,0,54,8.2,2,0.3,246,37.5,62,9.5,207,31.6,330,50.3,3,6,29,58
'120905,2007,59,83.1,12,16.9,71,100,1,0.1,0,0,0,0,9,12.7,0,0,0,0,4.8,3.8,4,0,3,1.5,0,1.4,1.7,0,0,11.8,0,0,0,0,0,20,1024,31,3,16,1.6,25,2.3,299,29.2,65,6.3,87,8.5,71,6.9,69,6.7,67,6.5,75,7.3,86,8.4,93,9.1,88,8.6,83,8.1,77,7.5,79,7.7,2,0.2,77,7.5,72,7,10,1,217,21.2,0,0,31,3,2,0.2,279,27.2,88,8.6,312,30.5,789,77.1,6,8.5,62,87.3
'121902,2007,11,73.3,4,26.7,15,100,1,0.3,0,0,1,6.7,0,0,0,0,0,0,15.8,0,0,22.2,0,0,0,6.7,4,.,16.7,0,20,0,0,9.1,0,0,338,0,0,25,7.4,0,0,204,60.4,29,8.6,19,5.6,27,8,30,8.9,17,5,20,5.9,32,9.5,31,9.2,25,7.4,19,5.6,23,6.8,17,5,0,0,2,0.6,30,8.9,19,5.6,13,3.8,0,0,0,0,2,0.6,35,10.4,67,19.8,83,24.6,298,88.2,4,26.7,14,93.3
'121903,2007,78,78.8,21,21.2,99,100,0,0,8,1.1,5,5.1,1,1,1,1,0,0,7.6,2.4,1.9,1.1,1.9,3.6,2.2,1.1,8.7,22.2,0,0,0,0,0,5.3,0,25,1489,8,0.5,54,3.6,18,1,522,35.1,110,7.4,112,7.5,100,6.7,126,8.5,120,8.1,123,8.3,129,8.7,107,7.2,104,7,95,6.4,113,7.6,97,6.5,0,0,48,3.2,121,8.1,32,2.1,35,2.4,23,1.5,8,0.5,9,0.6,590,39.6,197,13.2,312,21,1368,91.9,13,13.1,92,92.9
'121904,2007,102,62.2,62,37.8,164,100,2,0.1,17,1.2,53,32.3,12,7.3,1,0.6,2,1.2,6.4,5,5.6,2.2,5.9,0,4.1,1,3.5,6.3,6.7,4.3,0,0,0,0,0,11.5,2953,122,4.1,1241,42,117,3.5,1917,64.9,235,8,231,7.8,222,7.5,190,6.4,246,8.3,200,6.8,197,6.7,208,7,247,8.4,216,7.3,198,6.7,172,5.8,10,0.3,149,5,220,7.5,161,5.5,265,9,5,0.2,139,4.7,26,0.9,1781,60.3,385,13,764,25.9,1416,48,28,17.1,96,58.5
'121905,2007,65,62.5,39,37.5,104,100,0,0,0,0,14,13.5,2,1.9,1,1,1,1,12.6,3.2,3.4,2.3,4,0,1.8,1.1,3.6,25,0,0,0,0,0,0,0,18.8,1482,23,1.6,233,15.7,25,1.4,815,55,113,7.6,106,7.2,105,7.1,108,7.3,110,7.4,114,7.7,114,7.7,130,8.8,125,8.4,115,7.8,91,6.1,91,6.1,6,0.4,53,3.6,92,6.2,62,4.2,57,3.8,3,0.2,23,1.6,2,0.1,654,44.1,199,13.4,437,29.5,1187,80.1,13,12.5,86,82.7
'121906,2007,26,89.7,3,10.3,29,100,0,0,1,0.5,0,0,1,3.4,0,0,0,0,10,0,0,2.9,3.7,0,0,0,0,14.3,0,0,0,0,0,0,0,0,466,0,0,3,0.6,1,0.2,140,30,35,7.5,32,6.9,23,4.9,36,7.7,38,8.2,34,7.3,35,7.5,30,6.4,47,10.1,41,8.8,29,6.2,29,6.2,0,0,16,3.4,31,6.7,26,5.6,3,0.6,0,0,0,0,0,0,127,27.3,61,13.1,135,29,460,98.7,3,10.3,28,96.6
