CAMPUS,YEAR,C200A001212R,C200A001213R,C200AC01212R,C200AC01213R,C200AM01212R,C200AM01213R,C200AR01212R,C200AR01213R,C200AS01212R,C200AS01213R,C200AW01212R,C200AW01213R,C300A001212R,C300A001213R,C300AC01212R,C300AC01213R,C300AM01212R,C300AM01213R,C300AR01212R,C300AR01213R,C300AS01212R,C300AS01213R,C300AW01212R,C300AW01213R,C400A001212R,C400A001213R,C400AC01212R,C400AC01213R,C400AM01212R,C400AM01213R,C400AR01212R,C400AR01213R,C400AS01212R,C400AS01213R,C400AW01212R,C400AW01213R,CA00A001212R,CA00A001213R,CA00AC01212R,CA00AC01213R,CA00AM01212R,CA00AM01213R,CA00AR01212R,CA00AR01213R,CA00AS01212R,CA00AS01213R,CA00AW01212R,CA00AW01213R,CB00A001212R,CB00A001213R,CB00AC01212R,CB00AC01213R,CB00AM01212R,CB00AM01213R,CB00AR01212R,CB00AR01213R,CB00AS01212R,CB00AS01213R,CB00AW01212R,CB00AW01213R,CE00A001212R,CE00A001213R,CE00AC01212R,CE00AC01213R,CE00AM01212R,CE00AM01213R,CE00AR01212R,CE00AR01213R,CE00AS01212R,CE00AS01213R,CE00AW01212R,CE00AW01213R,CF00A001212R,CF00A001213R,CF00AC01212R,CF00AC01213R,CF00AM01212R,CF00AM01213R,CF00AR01212R,CF00AR01213R,CF00AS01212R,CF00AS01213R,CF00AW01212R,CF00AW01213R,CH00A001212R,CH00A001213R,CH00AC01212R,CH00AC01213R,CH00AM01212R,CH00AM01213R,CH00AR01212R,CH00AR01213R,CH00AS01212R,CH00AS01213R,CH00AW01212R,CH00AW01213R,CI00A001212R,CI00A001213R,CI00AC01212R,CI00AC01213R,CI00AM01212R,CI00AM01213R,CI00AR01212R,CI00AR01213R,CI00AS01212R,CI00AS01213R,CI00AW01212R,CI00AW01213R,CL00A001212R,CL00A001213R,CL00AC01212R,CL00AC01213R,CL00AM01212R,CL00AM01213R,CL00AR01212R,CL00AR01213R,CL00AS01212R,CL00AS01213R,CL00AW01212R,CL00AW01213R,CM00A001212R,CM00A001213R,CM00AC01212R,CM00AC01213R,CM00AM01212R,CM00AM01213R,CM00AR01212R,CM00AR01213R,CM00AS01212R,CM00AS01213R,CM00AW01212R,CM00AW01213R,CR00A001212R,CR00A001213R,CR00AC01212R,CR00AC01213R,CR00AM01212R,CR00AM01213R,CR00AR01212R,CR00AR01213R,CR00AS01212R,CR00AS01213R,CR00AW01212R,CR00AW01213R,CS00A001212R,CS00A001213R,CS00AC01212R,CS00AC01213R,CS00AM01212R,CS00AM01213R,CS00AR01212R,CS00AR01213R,CS00AS01212R,CS00AS01213R,CS00AW01212R,CS00AW01213R,CW00A001212R,CW00A001213R,CW00AC01212R,CW00AC01213R,CW00AM01212R,CW00AM01213R,CW00AR01212R,CW00AR01213R,CW00AS01212R,CW00AS01213R,CW00AW01212R,CW00AW01213R
'072801112,13,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,18,5,10,2,14,8,20,5,18,19,26,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,5,10,0,17,5,10,5,10,5,6,-1,11,3,13,5,6,4,17,4,16,0,8,-1,18,5,16,0,18,4,10,8,14,0,17,11,23,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,5,6,-1,-1,7,8,13,-1,0,-1,-1,-1,11,24,6,15,0,10,14,26,12,33,-1,36,6,9,7,6,3,4,8,11,3,15,15,10,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,21,5,0,0,21,9,31,10,20,-1,-1
'072801113,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,26,3,21,3,23,3,32,5,22,-1,41,0,8,-1,-1,-1,-1,-1,17,-1,0,.,-1,7,19,6,17,6,11,6,29,10,16,-1,25,7,26,4,18,4,22,8,31,9,21,-1,48,5,17,3,7,3,12,6,26,6,14,-1,38,.,.,.,.,.,.,.,.,.,.,.,.,7,5,0,0,0,-1,8,0,9,17,-1,-1,2,27,3,25,3,26,0,35,3,23,-1,27,3,15,2,10,2,13,2,22,4,11,-1,24,0,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,40,4,38,4,41,0,43,4,35,-1,47
'072801115,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,11,1,2,13,16,9,16,1,5,0,12,.,.,.,.,.,.,.,.,.,.,.,.,6,11,2,2,12,15,9,19,2,4,0,15,3,6,0,4,5,7,7,9,0,0,-1,18,6,10,1,2,13,16,9,16,1,4,0,12,.,.,.,.,.,.,.,.,.,.,.,.,6,11,2,3,14,18,8,18,2,3,0,10,10,13,3,0,22,22,12,21,3,9,0,7,6,9,2,2,13,14,9,14,2,4,0,9,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,20,.,-1,.,-1,.,-1,.,-1,.,.
'072801116,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,8,0,4,2,2,6,16,2,2,33,17,.,.,.,.,.,.,.,.,.,.,.,.,3,8,0,4,3,2,6,16,0,2,-1,17,4,10,0,3,4,4,4,22,4,0,-1,23,4,7,0,4,2,2,6,16,2,0,33,17,.,.,.,.,.,.,.,.,.,.,.,.,2,5,0,0,0,0,3,15,4,0,-1,12,3,4,0,4,0,0,9,8,0,4,-1,-1,3,6,0,2,0,2,5,14,3,2,-1,9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,-1,.,.
'072801117,13,.,-1,.,-1,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,2,0,0,0,3,0,0,0,3,.,-1,.,11,.,-1,.,-1,.,-1,.,20,.,-1,0,1,0,0,0,0,0,0,0,0,.,-1,0,3,0,0,0,6,0,0,0,5,.,-1,0,1,0,0,0,0,0,0,0,0,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,0,-1,-1,-1,-1,-1,-1,0,-1,.,-1,0,2,0,0,-1,0,0,0,-1,0,.,-1,0,3,0,0,0,4,0,0,0,3,.,-1,-1,0,-1,-1,-1,-1,.,-1,-1,0,.,-1,-1,0,-1,0,-1,-1,.,0,-1,0,.,-1
'072801118,13,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,7,0,6,2,6,8,13,2,5,-1,4,2,0,0,-1,-1,-1,7,0,0,0,-1,-1,3,4,0,3,3,3,5,10,3,2,-1,4,6,7,0,6,4,6,11,13,5,5,-1,5,5,2,0,0,5,0,4,8,6,0,-1,0,.,.,.,.,.,.,.,.,.,.,.,.,7,0,0,0,8,0,7,0,8,0,-1,-1,1,7,0,6,0,6,5,14,0,6,-1,-1,4,6,0,5,3,5,7,11,3,4,-1,4,12,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,29,0,30,0,27,17,38,0,25,-1,-1
'072801121,13,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,11,4,10,9,4,7,21,1,6,-1,19,0,12,0,14,-1,-1,0,17,0,8,.,-1,8,12,6,11,13,5,10,20,2,8,-1,20,5,8,5,9,8,5,5,15,2,2,-1,13,7,6,0,3,14,4,7,13,0,2,-1,7,.,.,.,.,.,.,.,.,.,.,.,.,11,9,0,5,23,7,11,19,0,4,-1,13,7,16,3,11,11,3,10,30,0,12,-1,30,3,11,2,9,7,4,3,22,0,6,-1,19,6,23,-1,14,-1,-1,-1,33,-1,14,-1,-1,7,21,9,17,8,5,9,36,3,12,-1,38
'072801128,13,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,20,2,10,4,10,9,23,6,21,71,54,0,19,-1,-1,-1,-1,-1,-1,-1,0,.,-1,5,17,0,0,4,7,7,27,4,15,-1,56,11,25,3,12,6,14,14,30,9,22,83,75,4,14,0,0,4,11,4,17,4,12,-1,40,.,.,.,.,.,.,.,.,.,.,.,.,0,23,-1,13,-1,0,-1,33,-1,31,-1,-1,0,15,0,8,0,5,0,13,0,21,-1,33,2,21,0,12,0,9,3,26,3,21,-1,45,0,11,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,14,25,5,19,5,10,18,23,10,32,-1,58
'072801129,13,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,4,2,0,0,2,4,9,0,0,-1,11,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,3,4,2,0,0,2,4,9,0,0,-1,11,5,7,5,0,0,6,10,14,0,0,-1,12,3,3,2,0,0,3,5,3,0,0,-1,17,.,.,.,.,.,.,.,.,.,.,.,.,1,1,0,0,0,0,0,6,0,0,-1,-1,1,2,0,0,0,0,0,4,0,0,-1,-1,1,3,0,0,0,0,2,9,0,0,-1,8,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,8,-1,-1,-1,-1,-1,27,-1,0,.,-1
'072801130,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,14,8,11,6,13,16,20,4,9,8,12,.,.,.,.,.,.,.,.,.,.,.,.,9,14,8,12,6,14,16,20,4,9,8,12,8,12,8,13,5,10,18,17,0,8,-1,-1,9,13,9,9,6,14,17,18,4,9,8,13,.,.,.,.,.,.,.,.,.,.,.,.,10,11,10,7,7,12,17,14,5,8,-1,12,11,16,8,8,7,17,13,23,8,11,-1,14,9,12,9,9,6,10,14,18,4,7,8,10,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,.,-1
'072801131,13,.,.,.,.,.,.,.,.,.,.,.,.,.,33,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,0,20,-1,15,-1,8,-1,23,-1,17,.,44,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,0,18,-1,20,-1,-1,-1,29,-1,0,.,-1,-1,21,-1,22,-1,8,-1,23,-1,14,.,44,.,6,.,0,.,0,.,9,.,0,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,10,.,-1,.,-1,.,-1,.,-1,.,-1,0,20,-1,9,-1,8,-1,23,-1,20,.,-1,0,20,-1,13,-1,11,-1,18,-1,19,.,46,-1,10,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,33,.,30,.,17,-1,33,.,33,.,56
'072801135,13,30,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,14,30,13,20,15,30,19,38,1,16,25,46,12,4,0,0,0,0,22,8,0,0,-1,-1,11,30,12,17,9,35,17,38,0,13,18,47,14,26,10,12,11,28,22,41,0,9,35,40,9,26,0,-1,17,43,9,29,0,25,-1,29,.,-1,.,.,.,.,.,-1,.,.,.,.,0,11,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,13,34,15,29,18,33,16,35,2,24,14,53,6,20,4,4,3,24,9,28,0,6,20,41,17,21,-1,-1,-1,33,33,22,-1,-1,-1,-1,14,36,16,30,15,36,19,49,2,18,21,54
'072801136,13,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,13,0,14,5,14,5,8,5,15,-1,20,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,2,16,0,19,0,14,9,10,0,20,-1,-1,2,20,0,20,0,22,8,15,0,19,-1,25,0,10,-1,14,-1,11,0,6,0,10,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,10,4,-1,5,-1,5,0,0,14,6,-1,-1,0,6,0,6,0,7,0,0,0,8,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,7,17,0,14,8,18,8,11,8,19,-1,38
'072801137,13,-1,100,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,23,0,6,9,23,19,28,4,23,22,32,.,.,.,.,.,.,.,.,.,.,.,.,12,26,0,6,11,24,27,37,6,24,29,36,9,21,0,0,6,19,21,38,6,14,-1,31,7,25,0,-1,8,22,15,44,0,0,.,-1,-1,80,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,8,25,0,15,13,29,17,10,0,36,-1,-1,8,25,0,5,6,24,19,30,3,28,-1,33,11,42,-1,-1,-1,-1,33,-1,-1,33,-1,-1,10,18,0,3,10,19,21,19,5,25,22,21
'072801138,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,.,0,.,17,.,27,.,4,.,11,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,7,.,-1,.,8,.,11,.,-1,.,-1,.,5,.,0,.,0,.,15,.,6,.,0,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,24,.,0,.,36,.,41,.,0,.,25,.,7,.,-1,.,8,.,17,.,-1,.,-1,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,17,.,0,.,20,.,33,.,5,.,15
'072801139,13,.,-1,.,.,.,-1,.,.,.,.,.,.,.,0,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,.,0,.,5,.,12,.,8,.,-1,.,-1,.,.,.,.,.,-1,.,-1,.,.,.,8,.,0,.,7,.,14,.,11,.,-1,.,8,.,0,.,8,.,18,.,6,.,-1,.,6,.,0,.,5,.,9,.,9,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,-1,.,-1,.,-1,.,0,.,-1,.,3,.,-1,.,0,.,-1,.,13,.,-1,.,0,.,-1,.,0,.,-1,.,0,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,-1
'072801140,13,.,70,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,.,40,.,-1,.,22,.,33,.,-1,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,0,.,-1,.,-1,.,-1,.,-1,.,-1,.,33,.,-1,.,-1,.,-1,.,50,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,24,.,-1,.,-1,.,-1,.,-1,.,-1,.,0,.,-1,.,-1,.,-1,.,0,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,33,.,-1,.,-1,.,-1,.,-1,.,-1
'072802001,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,21,12,29,0,4,12,31,7,15,-1,25,.,.,.,.,.,.,.,.,.,.,.,.,4,14,8,23,-1,0,8,24,0,10,-1,17,6,15,0,31,-1,0,0,25,13,10,-1,18,4,8,0,-1,-1,0,-1,8,-1,8,-1,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,33,18,-1,0,-1,-1,-1,0,-1,-1,-1,3,19,7,15,0,5,7,27,0,14,-1,29,-1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,33,20,38,0,8,10,54,10,23,-1,40
'072802002,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,13,-1,-1,-1,-1,-1,29,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,13,-1,-1,-1,-1,-1,-1,-1,-1,.,-1
'072901101,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23,29,9,-1,23,24,32,35,-1,-1,-1,11,.,.,.,.,.,.,.,.,.,.,.,.,25,30,-1,-1,24,25,33,38,-1,-1,-1,11,25,33,-1,-1,23,38,38,38,-1,.,-1,-1,15,38,-1,-1,17,30,17,40,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,21,26,-1,-1,22,11,28,33,-1,-1,-1,-1,3,9,-1,-1,-1,-1,8,-1,-1,.,-1,-1,-1,30,-1,.,-1,-1,-1,-1,.,.,.,-1,33,16,-1,-1,31,-1,54,29,-1,.,-1,-1
'072902001,13,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,24,13,24,14,28,26,30,13,16,38,24,-1,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,21,14,21,16,23,29,26,9,14,37,21,22,22,12,19,15,25,33,32,14,13,45,23,13,15,9,15,11,20,20,18,5,10,26,15,.,.,.,.,.,.,.,.,.,.,.,.,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,16,27,13,32,13,31,18,27,12,21,28,24,7,9,3,8,4,12,15,12,1,5,16,8,18,29,15,31,8,29,29,38,20,33,-1,-1,28,36,17,34,19,38,36,47,25,25,65,37
'072902041,13,-1,43,.,-1,-1,-1,-1,-1,.,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,34,20,27,31,37,32,42,34,25,32,27,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,23,31,16,21,21,36,25,38,30,23,25,26,28,36,11,19,30,37,33,49,28,26,33,34,18,27,12,22,20,30,15,33,27,14,16,27,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,32,32,32,36,32,37,30,35,42,24,31,22,11,17,7,14,11,20,11,22,17,11,9,10,51,43,-1,-1,45,38,55,-1,67,-1,-1,-1,42,41,29,31,41,43,49,52,41,38,47,30
'072902101,13,-1,33,.,.,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,36,34,.,.,31,40,41,28,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,23,29,.,.,17,37,29,22,.,.,.,.,32,38,.,.,26,45,37,30,.,.,.,.,23,28,.,.,22,35,25,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,-1,.,-1,.,.,.,.,.,41,32,.,.,35,37,46,27,.,.,.,.,15,20,.,.,12,27,19,13,.,.,.,.,-1,0,.,.,-1,-1,-1,-1,.,.,.,.,41,39,.,.,34,41,49,37,.,.,.,.
'072902102,13,80,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,27,20,33,25,27,26,26,.,.,19,28,36,23,-1,-1,-1,-1,-1,-1,.,.,-1,-1,17,19,7,23,21,19,18,16,.,.,13,20,23,25,5,31,24,23,28,23,.,.,24,33,15,16,10,18,17,18,16,12,.,.,7,18,.,.,.,.,.,.,.,.,.,.,.,.,2,6,6,0,3,11,0,2,.,.,-1,6,25,29,30,34,26,30,25,29,.,.,16,23,6,7,9,0,5,8,8,8,.,.,0,7,9,8,-1,-1,-1,13,-1,-1,.,.,-1,-1,36,44,34,49,35,38,38,48,.,.,31,41
'072903001,13,39,31,50,29,25,26,38,33,38,29,-1,43,40,19,-1,-1,-1,33,-1,13,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,31,37,29,38,24,31,32,44,27,31,52,43,26,32,17,42,-1,33,17,50,17,8,-1,22,26,27,23,27,21,23,29,38,22,21,42,29,31,38,30,39,23,33,35,47,25,28,53,48,23,27,22,26,20,22,26,35,18,21,36,34,0,32,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,19,8,17,-1,-1,10,-1,-1,-1,-1,-1,-1,31,36,29,38,26,29,29,42,30,34,51,38,8,14,8,14,6,8,10,22,6,10,14,18,19,14,21,0,15,12,29,23,11,12,-1,19,34,42,31,43,26,35,35,49,31,35,59,48
'072903041,13,43,28,-1,17,44,36,56,36,-1,-1,-1,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,-1,41,42,47,38,43,44,48,53,16,23,43,40,13,14,-1,-1,-1,-1,-1,17,-1,-1,.,-1,24,28,29,22,26,31,27,36,5,12,25,27,43,45,47,39,44,46,51,58,11,18,52,52,27,24,30,16,32,28,25,32,11,10,31,26,20,33,-1,-1,-1,25,33,63,-1,-1,-1,-1,14,15,-1,-1,-1,17,-1,17,-1,-1,-1,-1,40,39,47,38,43,42,44,47,21,29,35,29,14,12,13,6,15,13,19,20,5,4,10,9,19,26,14,-1,20,23,26,35,5,18,23,30,48,50,55,49,48,52,57,62,18,29,49,48
'072903101,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'072903102,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'072903103,13,27,19,-1,-1,44,33,-1,11,.,.,.,.,40,38,-1,-1,-1,-1,-1,-1,.,.,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,42,42,37,36,43,44,43,43,.,.,.,.,0,-1,-1,.,-1,-1,-1,-1,.,.,.,.,27,27,24,22,29,31,26,25,.,.,.,.,42,44,33,37,41,48,48,45,.,.,.,.,31,30,30,24,34,34,28,30,.,.,.,.,31,-1,-1,-1,29,-1,33,-1,.,.,.,.,13,13,19,16,13,16,8,8,.,.,.,.,42,40,42,36,46,41,39,41,.,.,.,.,12,20,11,21,13,22,11,19,.,.,.,.,23,21,20,25,20,22,27,17,.,.,.,.,48,49,42,44,48,50,50,51,.,.,.,.
'072903104,13,29,53,.,.,-1,50,33,50,.,.,-1,-1,100,100,.,.,-1,-1,-1,-1,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,49,50,.,.,53,56,52,49,.,.,36,43,36,50,.,.,-1,56,-1,44,.,.,-1,50,36,38,.,.,42,47,38,36,.,.,23,28,54,52,.,.,56,56,56,51,.,.,45,48,40,43,.,.,45,51,39,42,.,.,32,35,-1,-1,.,.,-1,-1,-1,-1,.,.,.,-1,28,44,.,.,41,54,20,36,.,.,22,42,44,49,.,.,50,56,47,48,.,.,25,37,29,29,.,.,33,38,25,19,.,.,27,32,44,49,.,.,53,66,44,32,.,.,29,52,53,53,.,.,57,57,57,52,.,.,38,45
'072904101,13,-1,-1,.,-1,-1,-1,-1,-1,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,28,50,16,17,24,33,42,-1,18,26,15,.,.,.,.,.,.,.,.,.,.,.,.,28,30,-1,11,26,31,32,38,-1,-1,20,-1,28,33,-1,17,14,30,34,54,-1,-1,39,11,13,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,.,.,.,-1,.,-1,.,.,.,.,-1,-1,.,-1,-1,-1,-1,-1,.,-1,-1,.,26,21,-1,15,21,17,31,29,-1,-1,8,18,9,8,-1,9,5,10,11,10,-1,-1,18,-1,-1,63,-1,-1,-1,-1,-1,-1,-1,.,-1,.,29,27,55,15,17,23,36,42,-1,-1,27,15
'072908001,13,-1,0,.,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,43,23,32,28,48,45,55,21,23,55,40,.,.,.,.,.,.,.,.,.,.,.,.,22,23,14,5,17,33,31,30,8,6,33,20,38,54,29,39,29,59,48,62,24,25,61,59,18,23,20,0,11,31,33,43,-1,14,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,-1,.,-1,.,-1,.,.,.,.,.,31,34,15,27,26,37,42,49,17,22,50,14,12,26,6,14,6,28,22,35,0,-1,25,21,11,38,0,-1,13,-1,25,60,0,-1,-1,-1,38,48,24,39,30,52,46,59,26,26,63,46
'072909001,13,-1,20,.,-1,-1,-1,-1,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,30,17,34,23,25,24,28,18,29,20,39,.,.,.,.,.,.,.,.,.,.,.,.,17,25,9,23,24,22,15,20,12,28,17,44,22,31,13,35,26,27,21,30,19,27,29,46,16,28,6,19,21,24,17,26,16,29,22,46,.,.,.,.,.,.,.,.,.,.,.,.,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21,28,20,32,21,24,25,26,17,32,12,34,7,17,0,22,9,12,6,19,11,15,5,21,14,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,25,31,30,43,24,26,29,29,20,30,18,34
