CAMPUS,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,CSUPRATE,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101902115,WEAVER A ODOM ELEMENTARY,N,N,NQ,HARRIS,'101,NA,A,ALDINE ISD,'EE - 04,E,,,'04
'101902067,WILSON INT,N,N,NQ,HARRIS,'101,NA,R,ALDINE ISD,'05 - 06,M,,,'04
'101902110,WORSHAM EL,N,N,NQ,HARRIS,'101,NA,E,ALDINE ISD,'EE - 04,E,,,'04
'184907102,ALEDO EL,N,N,NQ,PARKER,'184,NA,R,ALEDO ISD,'EE - 02,E,'184907101,ALEDO INT,'11
'184907001,ALEDO H S,N,N,NQ,PARKER,'184,NQ,R,ALEDO ISD,'09 - 12,S,,,'11
'184907101,ALEDO INT,N,N,NQ,PARKER,'184,NA,R,ALEDO ISD,'03 - 05,E,,,'11
'184907041,ALEDO MIDDLE,N,N,NQ,PARKER,'184,NA,E,ALEDO ISD,'06 - 08,M,,,'11
'125901043,ADAMS J H,N,N,NQ,JIM WELLS,'125,NA,A,ALICE ISD,'08 - 09,M,,,'02
'125901001,ALICE H S,N,N,NQ,JIM WELLS,'125,NQ,A,ALICE ISD,'10 - 12,S,,,'02
'125901041,DUBOSE MIDDLE,N,N,NQ,JIM WELLS,'125,NA,A,ALICE ISD,'06 - 07,M,,,'02
'125901102,GARCIA EL,N,N,NQ,JIM WELLS,'125,NA,R,ALICE ISD,'KG - 05,E,,,'02
'125901101,HILLCREST EL,N,N,NQ,JIM WELLS,'125,NA,A,ALICE ISD,'KG - 05,E,,,'02
'125901042,MEMORIAL MIDDLE,N,N,NQ,JIM WELLS,'125,NA,A,ALICE ISD,'06 - 07,M,,,'02
'125901103,NAYER EL,N,N,NQ,JIM WELLS,'125,NA,R,ALICE ISD,'EE - 05,E,,,'02
'125901104,NOONAN EL,N,N,NQ,JIM WELLS,'125,NA,R,ALICE ISD,'KG - 05,E,,,'02
'125901105,SAENZ EL,N,N,NQ,JIM WELLS,'125,NA,A,ALICE ISD,'KG - 05,E,,,'02
'125901106,SALAZAR EL,N,N,NQ,JIM WELLS,'125,NA,R,ALICE ISD,'KG - 05,E,,,'02
'125901107,SCHALLERT EL,N,N,NQ,JIM WELLS,'125,NA,A,ALICE ISD,'KG - 05,E,,,'02
'101903103,A J MARTIN EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 04,E,,,'04
'101903045,ALBRIGHT MIDDLE,N,N,R,HARRIS,'101,NA,R,ALIEF ISD,'06 - 08,M,,,'04
'101903005,ALIEF LEARNING CTR,N,N,,HARRIS,'101,PE,2,ALIEF ISD,'01 - 12,B,,,'04
'101903041,ALIEF MIDDLE,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'06 - 08,M,,,'04
'101903121,AUDREY JUDY BUSH EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'PK - 04,E,,,'04
'101903118,BEST EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 04,E,,,'04
'101903102,BOONE EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 05,E,,,'04
'101903108,CHANCELLOR EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'EE - 05,E,,,'04
'101903112,CUMMINGS EL,N,N,R,HARRIS,'101,NA,R,ALIEF ISD,'PK - 04,E,,,'04
'101903114,DEBORAH ALEXANDER EL,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'PK - 05,E,,,'04
'101903043,DON P KILLOUGH MIDDLE,N,N,NQ,HARRIS,'101,NA,A,ALIEF ISD,'07 - 08,M,,,'04
'101903105,DOUGLAS SMITH EL,N,N,R,HARRIS,'101,NA,A,ALIEF ISD,'EE - 04,E,,,'04
