CAMPUS,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,DISTNAME,GRDSPAN,GRDTYPE,REGION
'020901104,LONGFELLOW ELEMENTARY,N,BRAZORIA,'020,ALVIN ISD,'04 - 06,E,'04
'020901042,MANVEL J H,N,BRAZORIA,'020,ALVIN ISD,'07 - 08,M,'04
'020901103,MARK TWAIN PRI,N,BRAZORIA,'020,ALVIN ISD,'EE - 03,E,'04
'020901108,MELBA PASSMORE ELEMENTARY,N,BRAZORIA,'020,ALVIN ISD,'EE - 06,E,'04
'020901106,R L STEVENSON EL,N,BRAZORIA,'020,ALVIN ISD,'EE - 03,E,'04
'020901107,WALT DISNEY EL,N,BRAZORIA,'020,ALVIN ISD,'04 - 06,E,'04
'249901101,ALVORD EL,N,WISE,'249,ALVORD ISD,'PK - 05,E,'11
'249901001,ALVORD H S,N,WISE,'249,ALVORD ISD,'09 - 12,S,'11
'249901041,ALVORD MIDDLE SCHOOL,N,WISE,'249,ALVORD ISD,'06 - 08,M,'11
'188901003,AMARILLO AREA CTR FOR ADVANCED LR,N,POTTER,'188,AMARILLO ISD,'10 - 12,S,'16
'188901001,AMARILLO H S,N,POTTER,'188,AMARILLO ISD,'09 - 12,S,'16
'188901041,AUSTIN MIDDLE,N,POTTER,'188,AMARILLO ISD,'06 - 08,M,'16
'188901101,AVONDALE EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901102,BELMAR EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901103,BIVINS EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901048,BONHAM MIDDLE,N,POTTER,'188,AMARILLO ISD,'06 - 08,M,'16
'188901042,BOWIE MIDDLE,N,POTTER,'188,AMARILLO ISD,'06 - 08,M,'16
'188901002,CAPROCK H S,N,POTTER,'188,AMARILLO ISD,'09 - 12,S,'16
'188901110,CARVER EARLY CHILDHOOD ACADEMY,N,POTTER,'188,AMARILLO ISD,'EE - 01,E,'16
'188901170,CARVER EL ACADEMY,N,POTTER,'188,AMARILLO ISD,'02 - 05,E,'16
'188901104,CORONADO EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901043,CROCKETT MIDDLE,N,POTTER,'188,AMARILLO ISD,'06 - 08,M,'16
'188901105,EASTRIDGE EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901106,EMERSON EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901044,FANNIN MIDDLE,N,POTTER,'188,AMARILLO ISD,'06 - 08,M,'16
'188901107,FOREST HILL EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901108,GLENWOOD EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901109,HAMLET EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901045,HOUSTON MIDDLE,N,POTTER,'188,AMARILLO ISD,'06 - 08,M,'16
'188901111,HUMPHREY'S HIGHLAND EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901112,LAMAR EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901113,LANDERGIN EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901114,LAWNDALE EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901115,LEE EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901046,MANN MIDDLE,N,POTTER,'188,AMARILLO ISD,'06 - 08,M,'16
'188901134,MESA VERDE EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901138,NORTH HEIGHTS ALTER,N,POTTER,'188,AMARILLO ISD,'07 - 12,S,'16
'188901119,OAK DALE EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901120,OLSEN PARK EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901004,PALO DURO H S,N,POTTER,'188,AMARILLO ISD,'09 - 12,S,'16
'188901121,PARAMOUNT TERRACE EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901122,PLEASANT VALLEY EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901139,PUCKETT EL,N,POTTER,'188,AMARILLO ISD,'KG - 05,E,'16
'188901123,RIDGECREST EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901124,ROGERS EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901126,SAN JACINTO EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901125,SANBORN EL,N,POTTER,'188,AMARILLO ISD,'PK - 05,E,'16
'188901140,SLEEPY HOLLOW EL,N,POTTER,'188,AMARILLO ISD,'KG - 05,E,'16
'188901127,SOUTH GEORGIA EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901128,SOUTH LAWN EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901130,SUNRISE EL,N,POTTER,'188,AMARILLO ISD,'EE - 05,E,'16
'188901005,TASCOSA H S,N,POTTER,'188,AMARILLO ISD,'09 - 12,S,'16
