CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101903103,,A J MARTIN EL,N,R,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903199,,ADMIN SERVICES,N,,HARRIS,'101,X,ALIEF ISD,'10 - 11,S,,,'04
'101903045,A,ALBRIGHT MIDDLE,N,NQ,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903047,,ALIEF ISD J J A E P,N,,HARRIS,'101,X,ALIEF ISD,'05 - 11,B,,,'04
'101903041,,ALIEF MIDDLE,N,NQ,HARRIS,'101,A,ALIEF ISD,'06 - 08,M,,,'04
'101903121,,AUDREY JUDY BUSH EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903118,,BEST EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903102,,BOONE EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903108,,CHANCELLOR EL,N,R,HARRIS,'101,A,ALIEF ISD,'EE - 05,E,,,'04
'101903112,,CUMMINGS EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903114,,DEBORAH ALEXANDER EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903043,,DON P KILLOUGH MIDDLE,N,R,HARRIS,'101,A,ALIEF ISD,'06 - 09,M,,,'04
'101903105,,DOUGLAS SMITH EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903042,,E A OLLE MIDDLE,N,NQ,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903002,R,ELSIK H S,N,NQ,HARRIS,'101,A,ALIEF ISD,'09 - 12,S,,,'04
'101903113,,FLEM REES EL,N,NQ,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,,,'04
'101903001,R,HASTINGS H S,N,NQ,HARRIS,'101,A,ALIEF ISD,'08 - 12,S,,,'04
'101903115,,HEARNE EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903111,,HEFLIN EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 05,E,,,'04
'101903143,A,HELEN DE LOS SANTOS MATA INTERMEDI,N,M,HARRIS,'101,R,ALIEF ISD,'05 - 06,M,,,'04
'101903120,,HICKS EL,N,NQ,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903044,A,JAMES HOLUB MIDDLE,N,NQ,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903006,RA,KERR H S,N,R,HARRIS,'101,R,ALIEF ISD,'09 - 12,S,,,'04
'101903141,,KLENTZMAN INT,N,NQ,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101903109,,LIESTMAN EL,N,R,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,,,'04
'101903122,,MARGARET COLLINS ELEMENTARY,N,NQ,HARRIS,'101,A,ALIEF ISD,'PK - 05,E,,,'04
'101903107,A,MICHAEL KENNEDY EL,N,R,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,,,'04
