CAMPUS,YEAR,CA0CA09R,CA0CA10R,CA0CC09R,CA0CC10R,CA0CS09R,CA0CS10R,CA0CT09R,CA0CT10R,CACRB09R,CACRB10R,CACRM09R,CACRM10R,CACRR09R,CACRR10R,CB0CA09R,CB0CA10R,CB0CC09R,CB0CC10R,CB0CS09R,CB0CS10R,CB0CT09R,CB0CT10R,CBCRB09R,CBCRB10R,CBCRM09R,CBCRM10R,CBCRR09R,CBCRR10R,CECRB09R,CECRB10R,CECRM09R,CECRM10R,CECRR09R,CECRR10R,CF0CA09R,CF0CA10R,CF0CC09R,CF0CC10R,CF0CS09R,CF0CS10R,CF0CT09R,CF0CT10R,CFCRB09R,CFCRB10R,CFCRM09R,CFCRM10R,CFCRR09R,CFCRR10R,CH0CA09R,CH0CA10R,CH0CC09R,CH0CC10R,CH0CS09R,CH0CS10R,CH0CT09R,CH0CT10R,CHCRB09R,CHCRB10R,CHCRM09R,CHCRM10R,CHCRR09R,CHCRR10R,CI0CA09R,CI0CA10R,CI0CC09R,CI0CC10R,CI0CS09R,CI0CS10R,CI0CT09R,CI0CT10R,CICRB09R,CICRB10R,CICRM09R,CICRM10R,CICRR09R,CICRR10R,CLCRB09R,CLCRB10R,CLCRM09R,CLCRM10R,CLCRR09R,CLCRR10R,CM0CA09R,CM0CA10R,CM0CC09R,CM0CC10R,CM0CS09R,CM0CS10R,CM0CT09R,CM0CT10R,CMCRB09R,CMCRB10R,CMCRM09R,CMCRM10R,CMCRR09R,CMCRR10R,CSCRB09R,CSCRB10R,CSCRM09R,CSCRM10R,CSCRR09R,CSCRR10R,CW0CA09R,CW0CA10R,CW0CC09R,CW0CC10R,CW0CS09R,CW0CS10R,CW0CT09R,CW0CT10R,CWCRB09R,CWCRB10R,CWCRM09R,CWCRM10R,CWCRR09R,CWCRR10R,GA0CA09R,GA0CA10R,GA0CC09R,GA0CC10R,GA0CS09R,GA0CS10R,GA0CT09R,GA0CT10R,GACRB09R,GACRB10R,GACRM09R,GACRM10R,GACRR09R,GACRR10R,C20CA10R,C20CC10R,C20CS10R,C20CT10R,C2CRB10R,C2CRM10R,C2CRR10R,C30CA10R,C30CC10R,C30CS10R,C30CT10R,C3CRB10R,C3CRM10R,C3CRR10R,C40CA10R,C40CC10R,C40CS10R,C40CT10R,C4CRB10R,C4CRM10R,C4CRR10R
'015914101,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915001,2011,17.8,18.4,10.9,17.8,901,915,50.9,55.9,43,49,56,59,61,67,-1,16.2,11.1,17.6,930,953,42.9,73.9,41,55,59,57,59,80,39,40,55,52,57,59,17.6,17.3,9.9,14.8,898,886,62,61,43,50,51,54,65,74,17.3,17.4,8,12.5,884,883,47.9,51.2,40,44,53,55,60,63,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.4,19.5,12.7,21.3,906,948,38.7,50.9,42,49,62,65,55,60,-3,13,6,19,12,19,22,22.9,33.3,43.3,1018,1051,72,76.9,70,79,78,85,78,85,18.2,18.1,11.5,9,899,906,60.7,59.4,35,39.5,49,54,56,59,-1,40,1026,71.4,62,69,77,-1,-1,-1,-2,-1,-1,-1,-1,-1,.,-1,-1,-1,-1
'015915002,2011,21.4,20.2,29.9,28.2,960,983,55.5,56.4,48,49,66,65,57,58,19.9,18.3,30.8,9.7,921,931,83.9,67.4,45,38,55,53,57,54,40,45,61,61,51,54,19.6,19,18.4,18,898,931,54.5,56.6,40,47,56,57,56,60,19.7,19.5,14.7,24.4,895,955,44.9,51.9,41,46,63,63,52,55,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.4,21.2,39.1,36.3,1008,1026,56.4,56.2,54,52,75,71,58,57,11,33,28,33,18,20,25,24.8,61,59.1,1115,1147,81.9,72.1,70,75,81,84,74,79,18.3,18.2,10.3,9.2,907,905,59,67.7,35,38,49,50,57,63,.,.,.,-1,-1,-1,-1,20,33.3,976,-2,63,88,63,.,.,.,.,-1,-1,-1
'015915003,2011,19.8,21.3,23,24.6,983,978,57.6,60.9,58,63,67,69,75,79,18.1,-1,10.5,-1,915,-1,59.4,33.3,31,50,38,50,67,85,49,55,63,62,65,72,19,21.8,14.2,21.7,944,948,59.9,65.7,53,68,60,73,76,83,18.6,20.3,17.7,13.2,949,932,54.4,56.3,56,57,64,64,77,74,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20.8,20.6,31.3,27.7,1020,1010,55.6,56.5,62,59,74,67,74,74,16,24,27,31,21,50,21.6,22.9,33,41,1042,1050,59.9,71.4,64,74,77,81,74,85,20.1,19.4,19.4,17.7,967,955,60.5,60.6,42,50,54,60,59,65,-1,60,-1,71.4,63,63,-4,.,25,996,72.7,70,80,80,.,.,.,-1,-1,-1,-1
'015915004,2011,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
'015915005,2011,22.8,23,39.6,41.1,1051,1056,78.4,81.4,69,68,76,77,79,79,22.4,18.9,19.4,20,959,937,79.5,-2,66,48,72,56,80,64,54,50,65,60,68,67,21.9,22.9,36.8,40.6,1044,1054,81.3,77.9,70,69,74,75,82,80,20.6,21.4,26,30.2,995,1000,73.5,68.6,63,60,70,71,75,73,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.9,23.1,42.6,41.6,1059,1058,75.6,84.9,67,68,78,79,76,77,9,17,27,36,28,43,24,24.6,51.6,50.8,1099,1116,80.7,90.1,73,78,81,86,83,86,20.6,20.3,23.4,22.2,1011,978,62.6,64.1,48,53,61,64,62,67,-1,55.6,1079,100,80,80,-4,23.4,52.9,1103,94.4,74,85,76,.,.,.,.,-1,-1,-1
'015915006,2011,25.3,25.2,63.6,63.6,1159,1162,93,-2,87,94,91,98,93,94,20.4,24.2,28.6,53.8,1034,1097,87.5,100,63,92,75,92,88,92,86,93,92,-4,89,93,24.3,24.8,49.5,61.4,1120,1147,97.3,-2,84,94,86,97,92,95,24,23.5,47.8,52.2,1099,1114,84.8,100,79,92,85,98,85,93,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.7,25.9,86.4,67,1220,1182,86.8,-2,92,93,97,-4,94,93,-1,40,-1,80,-1,40,27.4,27,72,81,1227,1219,94.3,-2,96,96,96,98,-4,98,20.5,20.3,23.1,24.2,1008,982,66.7,67.2,47,53,60,63,63.5,66,22.5,63.2,1123,90.5,95,-4,95,27.1,73,1242,-2,94,-4,94,-1,-1,-1,-1,-1,-1,-1
'015915007,2011,19.5,21.6,28.6,31.3,994,1000,62.6,68.1,55,64,65,71,68,80,17.6,19,11.4,11.4,897,895,66.7,81.5,37,44,48,54,53,72,45,54,55,62,63,73,19.2,20.8,25.6,25.4,980,982,63.6,70.3,54,62,62,67,71,81,18.5,20.7,21.6,23.8,959,977,55,59.3,50,61,61,68,64,80,.,.,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20,22.7,31.8,39.9,1008,1027,61.6,65.1,55,66,68,75,64,79,17,10,38,30,20,18,22.1,23.9,44.3,53.4,1068,1084,74.2,79.2,68,74,75,81,79,82,19.8,19.4,19.4,16.7,959,976,59.2,60.3,41,50.5,54,61.5,59,64.5,-1,27.3,1013,84.6,77,85,92,-1,25,1021,80,78,78,89,.,.,.,.,-1,-1,-1
'015915008,2011,.,.,.,-1,.,-1,.,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-2,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915011,2011,.,-1,-1,-1,-1,-1,0.8,0.6,40,43,50,55,66,68,.,.,.,.,.,.,0,0,29,57,25,57,75,86,26,50,30,60,56,67,.,-1,-1,-1,-1,.,1,0.8,33,43,39,52,64,79,.,.,.,.,.,.,0,0,34,43,40,53,64,68,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,-1,-1,-1,-1,0.6,0.5,45,44,57,56,67,59,-1,-1,-1,-1,-1,-1,.,-1,-1,-1,-1,-1,2.2,2.7,52,41,69,56,70,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,-1,-1,-1,.,.,.,-1,-1,-1,-1,.,.,.,.,-1,-1,-1
'015915013,2011,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1,.,.,.,.,-1,-1,-1
'015915016,2011,22.1,20.7,35,25.7,1033,996,70.1,75.9,63,65,72,69,78,82,20.1,-1,13.6,42.9,969,1024,81.5,66.7,67,67,79,67,67,94,38,45,59,49,54,68,22.4,20.5,32,24.6,1019,995,70.5,78.7,62,66,68,68,81,85,21,19.2,23,18.3,984,969,60.3,72.9,52,56,63,60,71,76,.,.,.,-1,.,-1,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,21.8,20.9,37.9,27.1,1046,997,69.7,72.6,63,63,76,71,75,80,14,30,25,38,44,45,22.9,22.2,43.1,30.9,1064,1017,77.1,79.8,71,74,79,79,85,89,20.7,20.5,23.5,23,1015,988,66.5,66.2,50,54,62,66,64,68,-1,31.3,1002,84.2,68,74,74,-1,-1,-1,50,-1,-1,-1,.,.,.,.,-1,-1,-1
'015915019,2011,20.3,20.1,19.5,19.1,958,948,68.1,71.4,52,54,60,62,74,74,16.9,19.1,5,14.8,907,931,66.7,81.8,49,51,55,57,70,73,42,45,53,54,69,68,20.8,20.4,18.7,20.7,951,948,75.9,77.6,52,54,58,59,75,78,20.4,19.6,15.9,15.5,945,934,63.7,64.5,50,51,56,60,73,72,.,-1,.,-1,.,-1,.,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19.7,19.7,20.7,16.9,970,948,58.8,64.4,53,54,62,65,73,70,9,8,12,12,35,37,21.6,21.6,32.7,27.3,1009,976,75.4,79.8,59,60,70,67,79,79,19.5,19.3,17.6,15.7,961,957,61.6,61.3,42,47,55.5,60.5,58.5,63,-1,-1,-1,-1,-1,-1,-1,21.6,20,963,71.4,76,81,81,-1,-1,-1,-1,-1,-1,-1
'015915022,2011,19.3,19.5,17.3,15.9,942,932,57,62.4,53,56,64,63,69,77,17.8,18.5,12.8,10.9,891,865,70.1,79.3,45,45,57,50,61,70,47,48,56,58,66,68,19.8,19.7,16,16.1,925,931,60.5,67.2,55,58,62,62,73,83,19.5,19,14.9,14.1,925,920,53.5,56.4,50,55,62,63,67,77,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,18.8,19.1,18.8,15.5,964,934,53.4,56.8,51,53,67,65,65,70,18,9,22,13,37,29,20,22.6,24.7,21,1007,997,57.5,67.4,64,65,72,73,78,82,19.5,19,19,14.9,973,941,65.6,65,42,45.5,55,58,59,61,19.7,21.4,1013,100,53,53,73,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
'015915023,2011,.,22.7,.,33.6,.,1028,-1,72.7,-1,69,-1,75,-1,80,.,.,.,10,.,934,.,66.7,-1,56,-1,63,-1,71,-1,48,-1,62,-1,60,.,22.4,.,31.4,.,1010,-1,74.1,-1,67,-1,71,-1,82,.,21.2,.,27.5,.,988,-1,64.5,-1,64,-1,71,-1,76,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-3,-1,-1,.,23,.,35.7,.,1046,-1,71.4,-1,70,-1,79,-1,77,-1,23,-1,37,-1,33,.,24.3,.,40.9,.,1070,-1,83.9,-1,76,-1,82,-1,88,20.7,20.3,24.1,21.5,1004,971,61,64,49,48,61.5,63,64,65.5,-1,33.3,1069,85.7,71,86,71,-1,55.6,1131,75,64,73,64,.,.,.,.,-1,-1,-1
'015915024,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19.9,.,19.4,.,966,.,60.7,.,49.5,.,63,.,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915035,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915039,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915041,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915042,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915043,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915044,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915045,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915046,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915047,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915048,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915049,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915050,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915051,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915052,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915053,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915054,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915055,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915056,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915057,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'015915058,2011,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
