CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CFLYRE,CIADDACK,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101902042,NA,DREW ACAD,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'06 - 08,M,,,'04
'101902124,NA,DUNN EL,N,N,R,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902061,NA,ECKERT INT,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902004,NQ,EISENHOWER H S,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 12,S,,,'04
'101902084,NA,EISENHOWER NINTH GRADE SCHOOL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,'101902004,EISENHOWER H S,'04
'101902121,NA,ERMEL EL,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902063,NA,ESCAMILLA INT,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,,,'04
'101902117,NA,EVELYN S THOMPSON EL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902105,NA,FRANCIS EL,N,N,R,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902302,NR,FRANCIS HEAD START,N,N,,HARRIS,'101,N,ALDINE ISD,'PK - PK,E,,,'04
'101902125,NA,GRAY EL,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902301,NR,HALL HEAD START,N,N,,HARRIS,'101,N,ALDINE ISD,'PK - PK,E,,,'04
'101902043,NA,HAMBRICK MIDDLE,N,N,RM,HARRIS,'101,E,ALDINE ISD,'07 - 08,M,,,'04
'101902129,NA,HARRIS ACADEMY,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902106,NA,HIDDEN VALLEY EL,N,N,R,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902153,NR,HINOJOSA EC/PRE-K CENTER,N,N,,HARRIS,'101,N,ALDINE ISD,'EE - PK,E,,,'04
'101902046,NA,HOFFMAN MIDDLE,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,,,'04
'101902114,NA,J RUTH SMITH ACADEMY,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902116,NA,JOHNSON EL,N,N,NQ,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902151,NR,KEEBLE EC/PRE-K CENTER,N,N,,HARRIS,'101,N,ALDINE ISD,'EE - PK,E,,,'04
'101902108,NO,LANE SCH,N,N,,HARRIS,'101,X,ALDINE ISD,'EE - 12,B,,,'04
'101902303,NR,LAUDER RD HEAD START,N,N,,HARRIS,'101,N,ALDINE ISD,'PK - PK,E,,,'04
'101902003,NQ,MACARTHUR H S,N,N,NQ,HARRIS,'101,R,ALDINE ISD,'09 - 12,S,,,'04
