CAMPUS,CAMPNAME,REGION,CFLCHART,C_RATING,CSUPRATE,CIADDACK,CFLYRE,COUNTY,CNTYNAME,PAIRCAMP,PAIRNAME,GRDSPAN,GRDTYPE,DISTNAME
'184907041,ALEDO MIDDLE,'11,N,E,NA,NQ,N,'184,PARKER,,,'06 - 08,M,ALEDO ISD
'125901043,ADAMS J H,'02,N,A,NA,NQ,N,'125,JIM WELLS,,,'08 - 09,M,ALICE ISD
'125901001,ALICE H S,'02,N,A,NQ,NQ,N,'125,JIM WELLS,,,'10 - 12,S,ALICE ISD
'125901041,DUBOSE MIDDLE,'02,N,A,NA,R,N,'125,JIM WELLS,,,'06 - 07,M,ALICE ISD
'125901102,GARCIA EL,'02,N,A,NA,NQ,N,'125,JIM WELLS,,,'KG - 05,E,ALICE ISD
'125901101,HILLCREST EL,'02,N,A,NA,NQ,N,'125,JIM WELLS,,,'KG - 05,E,ALICE ISD
'125901042,MEMORIAL MIDDLE,'02,N,A,NA,NQ,N,'125,JIM WELLS,,,'06 - 07,M,ALICE ISD
'125901103,NAYER EL,'02,N,R,NA,NQ,N,'125,JIM WELLS,,,'EE - 05,E,ALICE ISD
'125901104,NOONAN EL,'02,N,A,NA,NQ,N,'125,JIM WELLS,,,'KG - 05,E,ALICE ISD
'125901105,SAENZ EL,'02,N,A,NA,NQ,N,'125,JIM WELLS,,,'KG - 05,E,ALICE ISD
'125901106,SALAZAR EL,'02,N,A,NA,NQ,N,'125,JIM WELLS,,,'KG - 05,E,ALICE ISD
'125901107,SCHALLERT EL,'02,N,A,NA,R,N,'125,JIM WELLS,,,'KG - 05,E,ALICE ISD
'101903103,A J MARTIN EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALIEF ISD
'101903199,ADMIN SERVICES,'04,N,N,NR,,N,'101,HARRIS,,,'02 - 12,B,ALIEF ISD
'101903045,ALBRIGHT MIDDLE,'04,N,A,NA,R,N,'101,HARRIS,,,'06 - 08,M,ALIEF ISD
'101903005,ALIEF LEARNING CTR,'04,N,1,PE,,N,'101,HARRIS,,,'KG - 12,B,ALIEF ISD
'101903041,ALIEF MIDDLE,'04,N,A,NA,R,N,'101,HARRIS,,,'06 - 08,M,ALIEF ISD
'101903121,AUDREY JUDY BUSH EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'PK - 04,E,ALIEF ISD
'101903118,BEST EL,'04,N,A,NA,NQ,N,'101,HARRIS,,,'EE - 04,E,ALIEF ISD
