CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,REGION,PAIRCAMP,pairname
'101902066,Z,CARAWAY INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,'04,,
'101902122,Y,CARMICHAEL ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902103,EZ,CARROLL ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902107,EZ,CARTER ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902002,ARSY,CARVER H S FOR APPLIED TECH/ENGI,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,'04,,
'101902123,,CONLEY ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902155,,DE SANTIAGO EC/PRE-K CENTER,N,HARRIS,'101,X,ALDINE ISD,'EE - PK,E,'04,,
'101902042,AEWS,DREW ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,'04,,
'101902124,Z,DUNN ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902061,Y,ECKERT INTERMEDIATE,N,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,'04,,
'101902004,R,EISENHOWER HIGH SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,'04,,
'101902084,AY,EISENHOWER NINTH GRADE SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 09,S,'04,,
'101902121,EMZ,ERMEL ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902063,AMY,ESCAMILLA INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,'04,,
'101902105,X,FRANCIS ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902106,EZ,GOODMAN ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902048,WSX,GRANTHAM ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,'04,,
'101902125,EWM,GRAY ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902006,,HALL HIGH SCHOOL,N,HARRIS,'101,1,ALDINE ISD,'09 - 12,S,'04,,
'101902043,AEWX,HAMBRICK MIDDLE,N,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,'04,,
'101902129,,HARRIS ACADEMY,N,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,'04,,
'101902153,,HINOJOSA EC/PRE-K CENTER,N,HARRIS,'101,X,ALDINE ISD,'EE - PK,E,'04,,
'101902046,S,HOFFMAN MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,'04,,
'101902062,AEMY,HOUSTON ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,'04,,
'101902116,AEMY,JOHNSON ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902151,,KEEBLE EC/PRE-K CENTER,N,HARRIS,'101,X,ALDINE ISD,'EE - PK,E,'04,,
'101902108,,LANE SCHOOL,N,HARRIS,'101,X,ALDINE ISD,'EE - 12,B,'04,,
'101902003,SX,MACARTHUR HIGH SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,'04,,
'101902083,AY,MACARTHUR NINTH GRADE SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 09,S,'04,,
'101902120,MX,MAGRILL ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902109,AEM,MENDEL ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,'04,,
'101902005,RS,NIMITZ HIGH SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,'04,,
'101902085,Y,NIMITZ NINTH GRADE SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 09,S,'04,,
'101902069,AY,NORTHWEST INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,'04,,
'101902115,AM,ODOM ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902111,AEWM,OLESON ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,'04,,
'101902112,EM,ORANGE GROVE ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,'04,,
'101902065,Y,PARKER INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,'04,,
'101902051,EWSX,PLUMMER MIDDLE SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,'04,,
'101902113,EM,RAYMOND ACADEMY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,'04,,
'101902104,,REECE ACADEMY,N,HARRIS,'101,X,ALDINE ISD,'PK - KG,E,'04,,
'101902068,M,REED ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'05 - 06,M,'04,,
'101902118,E,SAMMONS ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902047,,SHOTWELL MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,'04,,
'101902114,X,SMITH ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902132,EWY,SPENCE EL,N,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,'04,,
'101902064,Y,STEHLIK INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,'04,,
'101902119,EWMX,STEPHENS ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,'04,,
'101902127,X,STOVALL ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,'04,,
'101902044,WX,STOVALL MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,'04,,
'101902045,SX,TEAGUE MIDDLE,N,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,'04,,
'101902117,AEWM,THOMPSON ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,'04,,
'101902154,,VINES EC/PRE-K CENTER,N,HARRIS,'101,X,ALDINE ISD,'EE - PK,E,'04,,
'101902067,A,WILSON INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,'04,,
'101902110,AEM,WORSHAM ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,'04,,
'184907001,PCRUVS,ALEDO HIGH SCHOOL,N,PARKER,'184,A,ALEDO ISD,'09 - 12,S,'11,,
'184907002,,ALEDO LEARNING CENTER,N,PARKER,'184,X,ALEDO ISD,'09 - 12,S,'11,,
'184907041,EW,ALEDO MIDDLE SCHOOL,N,PARKER,'184,A,ALEDO ISD,'07 - 08,M,'11,,
'184907102,EWMX,CODER ELEMENTARY,N,PARKER,'184,E,ALEDO ISD,'EE - 04,E,'11,,
'184907110,AEMNY,MCANALLY INTERMEDIATE,N,PARKER,'184,E,ALEDO ISD,'05 - 06,M,'11,,
'184907103,EWM,STUARD ELEMENTARY,N,PARKER,'184,E,ALEDO ISD,'KG - 04,E,'11,,
'184907101,EWM,VANDAGRIFF ELEMENTARY,N,PARKER,'184,E,ALEDO ISD,'KG - 04,E,'11,,
'125901043,W,ADAMS MIDDLE,N,JIM WELLS,'125,A,ALICE ISD,'07 - 08,M,'02,,
'125901001,R,ALICE H S,N,JIM WELLS,'125,A,ALICE ISD,'09 - 12,S,'02,,
'125901041,,DUBOSE INTERMEDIATE,N,JIM WELLS,'125,A,ALICE ISD,'05 - 06,M,'02,,
'125901102,X,GARCIA EL,N,JIM WELLS,'125,A,ALICE ISD,'KG - 04,E,'02,,
'125901101,EWMX,HILLCREST EL,N,JIM WELLS,'125,R,ALICE ISD,'KG - 04,E,'02,,
'125901042,Y,MEMORIAL INTERMEDIATE,N,JIM WELLS,'125,A,ALICE ISD,'05 - 06,M,'02,,
'125901104,MX,NOONAN EL,N,JIM WELLS,'125,R,ALICE ISD,'EE - 04,E,'02,,
'125901105,E,SAENZ EL,N,JIM WELLS,'125,A,ALICE ISD,'EE - 04,E,'02,,
'125901106,WX,SALAZAR EL,N,JIM WELLS,'125,R,ALICE ISD,'KG - 04,E,'02,,
'125901107,E,SCHALLERT EL,N,JIM WELLS,'125,R,ALICE ISD,'PK - 04,E,'02,,
'101903199,,ADMIN SERVICES,N,HARRIS,'101,X,ALIEF ISD,'EE - 12,B,'04,,
