CAMPUS,YEAR,CPCTENGA,CPCTFLAA,CPCTG01A,CPCTG02A,CPCTG03A,CPCTG04A,CPCTG05A,CPCTG06A,CPCTGKGA,CPCTGMEA,CPCTMATA,CPCTSCIA,CPCTSOCA,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSETOFC,CPSETOFP,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST20FC,CPST20FP,CPST20SA,CPSTASFC,CPSTASFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTOPFC,CPSTOPFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA
'027904102,2013,.,.,19.9,17,12.8,16.7,18.6,.,15.8,.,.,.,.,14,22.343,62.66,14,22.343,0,48.66,77.657,2,3.192,68979,1,2.4,38500,7.657,18.38,40656,10,24.004,46107,14.0009,33.608,48729,9.0019,21.608,56630,0,0,5.7167,13.722,0,0,1.3143,3.155,13.4048,39.66,95.199,1,2.4004,8,19.203,0,0,13.0582,2,4.801,0,0,0,0,33.286,79.899,0.3429,0.823,9.619,41.66,66.486,48077,0,0,0,0,33.66,80.797,5,7.98,53596
'027904103,2013,.,.,18.4,16.3,14.5,13.5,21.4,.,17.3,.,.,.,.,17,23.662,71.843,15,20.879,0,56.844,79.121,2,2.784,69614,2,4.053,38500,9.3424,18.933,40685,10.9995,22.292,43809,16.0006,32.427,48525,11.0009,22.295,56692,0,0,9.4592,19.17,0,0,2,4.053,13.18,48.343,97.973,1,2.0266,9,18.239,0.9999,2.026,13.2135,1,2.027,0,0,0,0,34.437,69.79,2.4477,4.961,8.58,49.344,68.682,47404,0,0,0,0,39.344,79.735,5.5,7.656,54087
'027904104,2013,.,.,15.1,19.2,15.5,13.3,17,.,13.5,.,.,.,.,3,11.683,25.678,3,11.683,0,22.678,88.317,1,3.894,80463,0,0,.,4,21.791,41216,6,32.686,43706,4.3568,23.735,48617,3.9996,21.789,55796,0,0,0,0,0,0,1,5.448,13,17.356,94.552,1,5.4477,1,5.448,0,0,10.9499,1,5.448,0,0,0,0,15.356,83.657,1,5.448,7,18.356,71.487,46963,0,0,0,0,17.356,94.552,3.3214,12.935,58502
'028902001,2013,16.2,20.8,.,.,.,.,.,.,.,.,18.6,20.9,20.1,32.518,36.396,89.345,7.0348,7.874,0,82.31,92.126,4,4.477,77187,13.097,18.746,38936,22.5825,32.324,44928,17.0702,24.434,44120,10.9546,15.68,47228,6.1586,8.815,51561,0,0,1.0883,1.558,2.803,4.012,0,0,7.7729,34.282,49.07,6.9213,9.907,18.117,25.932,0.9785,1.401,13.8415,35.581,50.93,0.5436,0.7781,0,0,41.646,59.611,8.5952,12.303,4.7061,69.863,78.195,44553,0,0,11.0683,15.843,47.965,68.656,8.4472,9.455,52268
'028902004,2013,19.3,25.5,.,.,.,.,.,.,.,.,19,18.9,21.4,9.25,29.166,31.713,1.3856,4.369,0,30.328,95.631,2,6.307,70948,1.717,6.648,34834,9.2496,35.813,44374,8.4653,32.776,44078,3.2119,12.436,46315,3.1838,12.327,55624,0,0,0.125,0.484,0.468,1.81,0,0,8.2067,14.936,57.831,3.7423,14.4895,6.397,24.766,0,0,14.2483,10.891,42.169,0,0,0,0,15.261,59.086,3.7667,14.584,5.6447,25.828,81.441,45271,0,0,2.9332,11.3568,18.964,73.424,2.5,7.883,50051
'028902038,2013,1.4,.,.,.,.,.,.,.,.,.,2.1,1.8,1.8,1,20.961,4.769,0,0,0,4.769,100,0.5,10.483,82372,0,0,.,1,25.004,43100,0,0,.,0.9996,24.994,50450,1.9997,50.001,51055,0,0,0,0,0,0,0,0,16,2,49.999,0,0,1,24.997,0,0,5.501,2,50.001,0,0,0,0,3.692,92.309,0,0,15,3.999,83.853,48915,0,0,0.3076,7.6913,3,75.003,-2,5.663,-2
'028902045,2013,22.1,25,.,.,.,.,.,22,.,.,19.6,23.8,24.6,19.602,23.456,83.571,9.786,11.71,0,73.785,88.29,4,4.786,61380,4,6.157,42600,22.4414,34.544,43629,17.7359,27.3,44110,12.9473,19.93,47232,7.8408,12.069,56364,1.0001,1.539,0,0,3.73,5.742,0.6468,0.996,9.4,43.641,67.175,0,0,8,12.314,0,0,17.3785,21.325,32.825,0.3234,0.4978,1.0001,1.5394,54.808,84.364,7.1874,11.063,6.9571,64.966,77.737,45952,0,0,2.0002,3.0789,51.235,78.865,4.819,5.766,58545
'028902101,2013,.,.,21.5,21.8,19.7,22.1,19.7,.,.,.,.,.,.,13.958,34.325,40.663,4.893,12.033,0,35.77,87.967,2,4.918,68649,3,9.594,42600,12.7694,40.836,43460,2,6.396,44150,11.5005,36.778,47342,2,6.396,52848,0,0,1,3.198,0,0,0,0,9.125,28.27,90.406,0.5,1.599,11.001,35.179,0,0,14.5188,3,9.594,0,0,0,0,24.77,79.213,5,15.99,8.1563,31.27,76.9,45450,0,0,0,0,20.269,64.821,2.5,6.148,54070
'028902102,2013,.,.,.,.,.,.,.,.,23.5,.,.,.,.,16.893,42.437,39.807,7.8288,19.667,0,31.978,80.333,2,5.024,66676,2.979,10.646,40868,5,17.871,43520,7,25.02,44136,9.9994,35.74,47289,3,10.723,58477,0,0,3.1052,11.099,0,0,7.2942,26.071,11.6875,26.978,96.426,0.5,1.7871,9,32.168,1,3.574,18.2644,1,3.574,0,0,0,0,13.079,46.746,4,14.297,9.0784,27.978,70.284,46343,0,0,0,0,17.978,64.258,2,5.024,51238
'028902103,2013,.,.,21.5,20,21.8,22,21.3,.,.,.,.,.,.,8.958,23.816,37.611,3.9144,10.408,0,33.697,89.592,2,5.318,65135,0,0,.,4.6959,16.084,43693,4,13.7,44050,9.5005,32.54,48204,11.0003,37.677,56209,0,0,1,3.425,0,0,0,0,17.7,28.197,96.575,0.3,1.0275,5,17.126,0,0,14.5907,1,3.425,0,0,0,0,23.697,81.162,4.2,14.385,12.7667,29.197,77.628,49925,0,0,0,0,24.196,82.874,2.5,6.647,57100
