CAMPUS,YEAR,CPCTENGA,CPCTFLAA,CPCTG01A,CPCTG02A,CPCTG03A,CPCTG04A,CPCTG05A,CPCTG06A,CPCTGKGA,CPCTGMEA,CPCTMATA,CPCTSCIA,CPCTSOCA,CPSAMIFC,CPSAMIFP,CPSATOFC,CPSETOFC,CPSETOFP,CPSOTOFC,CPSPTOFC,CPSPTOFP,CPSSTOFC,CPSSTOFP,CPSSTOSA,CPST00FC,CPST00FP,CPST00SA,CPST01FC,CPST01FP,CPST01SA,CPST06FC,CPST06FP,CPST06SA,CPST11FC,CPST11FP,CPST11SA,CPST20FC,CPST20FP,CPST20SA,CPSTASFC,CPSTASFP,CPSTBIFC,CPSTBIFP,CPSTBLFC,CPSTBLFP,CPSTCOFC,CPSTCOFP,CPSTEXPA,CPSTFEFC,CPSTFEFP,CPSTGIFC,CPSTGIFP,CPSTHIFC,CPSTHIFP,CPSTINFC,CPSTINFP,CPSTKIDR,CPSTMAFC,CPSTMAFP,CPSTOPFC,CPSTOPFP,CPSTPIFC,CPSTPIFP,CPSTREFC,CPSTREFP,CPSTSPFC,CPSTSPFP,CPSTTENA,CPSTTOFC,CPSTTOFP,CPSTTOSA,CPSTTWFC,CPSTTWFP,CPSTVOFC,CPSTVOFP,CPSTWHFC,CPSTWHFP,CPSUTOFC,CPSUTOFP,CPSUTOSA
'025906001,2013,15,6,9,12.8,9,17,11.4,14.7,13,.,15.7,14.3,13,1,4.556,21.95,1.49,6.788,0,20.46,93.212,0.6571,2.994,55800,6.001,30.302,33918,2.0004,10.102,27910,1.8002,9.091,40445,5.0004,25.251,42316,5.001,25.254,44270,0,0,0,0,0,0,1.4048,7.094,11.7143,14.002,70.709,0,0,1,5.05,0,0,10.7561,5.801,29.291,0,0,0,0,15.298,77.25,0.9998,5.049,7.5714,19.803,90.218,38639,0,0,2.1005,10.6071,18.803,94.95,0,0,.
'025906160,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
'025908001,2013,11.1,8,13,12,16,14.5,22,16.5,8,.,13,12.6,10.3,1,4.138,24.165,4,16.553,0,20.165,83.447,0.9476,3.921,52752,4.001,21.962,27867,4.3716,23.997,33014,3.0003,16.47,32810,2,10.979,40710,4.8442,26.592,48124,0,0,0,0,0,0,0.6596,3.621,11.172,14.845,81.491,0,0,0,0,0,0,11.1435,3.372,18.509,0,0,0,0,15.5,85.086,1.0951,6.011,6.7384,18.217,75.387,36713,0,0,0.9621,5.2814,18.217,100,1,4.138,50000
'025909001,2013,9.8,10.9,.,.,.,.,.,.,.,.,10.4,13.1,7.8,2.723,6.296,43.249,5.25,12.139,0,37.999,87.861,2,4.624,71707,1,2.928,30386,4.1554,12.167,29606,7.6385,22.366,39452,16.4185,48.074,44981,4.9399,14.464,51795,0,0,0,0,0,0,0,0,12.5867,22.278,65.23,0.0608,0.178,2.723,7.973,0,0,9.7211,11.875,34.77,3.0196,8.8415,0,0,23.137,67.747,3.0194,8.841,6.9067,34.152,78.967,42432,0.9997,2.9272,4.9153,14.3923,30.43,89.1,1.8466,4.27,44049
'025909041,2013,16,.,.,.,.,.,.,16.2,.,.,16.8,18.5,25.4,2.277,6.436,35.377,6.25,17.667,0,29.127,82.333,1,2.827,79395,1,3.838,28486,2.2768,8.739,29331,4.3613,16.74,38351,12.0814,46.373,44382,6.3329,24.308,51375,0,0,0.1471,0.565,0,0,0,0,14.8235,19.927,76.489,0.3544,1.3603,0.277,1.063,0,0,11.8223,6.125,23.511,0,0,0,0,23.516,90.264,2.035,7.811,9.2353,26.052,73.642,43147,0,0,0,0,25.775,98.937,2.0746,5.864,48419
'025909101,2013,.,.,.,.,15.6,15.8,19,.,.,.,.,.,.,1,3.097,32.29,9.7099,30.071,0,22.58,69.929,1,3.097,67456,1,5.198,28486,2.3778,12.36,30750,1.5001,7.798,36606,8.8589,46.051,42463,5.5004,28.593,49222,0,0,0.4413,2.294,0,0,0,0,15.8636,18.237,94.801,0.4176,2.1708,0,0,0,0,14.4512,1,5.199,0,0,0,0,16.782,87.238,1.5961,8.297,10.3182,19.237,59.577,41764,0,0,0,0,19.237,100,2.3425,7.255,53551
'025909102,2013,.,.,17.3,17.6,.,.,.,.,19.5,.,.,.,.,2,5.729,34.909,10.75,30.794,0,24.159,69.206,1,2.865,66613,1,5.092,28486,2,10.184,33156,5.4999,28.004,35499,7.6394,38.898,41974,3.5,17.821,49471,0,0,0.4116,2.096,0,0,1,5.092,12.7727,19.639,100,0.2278,1.1599,1,5.092,0,0,13.5951,0,0,0,0,0,0,15,76.377,3,15.275,9.4545,19.639,56.259,39912,0,0,0,0,18.639,94.908,3.5196,10.082,55008
'026901001,2013,16.4,16.8,.,.,.,.,.,.,.,.,14.6,15.3,20.5,4,7.474,53.521,6.86,12.818,0,46.661,87.182,4,7.474,65952,4,9.976,37450,11.0009,27.439,37764,5.2388,13.067,41512,13.5934,33.905,46500,6.2597,15.613,56064,0,0,0,0,0,0,1.0523,2.625,11.7619,23.594,58.85,0,0,3,7.482,0,0,13.0947,16.498,41.15,3.5,8.7298,0,0,23.957,59.754,2.9131,7.266,6.5952,40.093,74.911,44041,2.0004,4.9895,8.6704,21.626,35.092,87.528,2.568,4.798,57495
'026901041,2013,16.5,.,.,.,.,.,.,18.8,.,.,17.4,17.8,17.8,3.001,7.677,39.086,2.861,7.32,0,36.225,92.68,2,5.117,66080,1,3.104,35800,7.0015,21.727,37086,7.7641,24.093,40842,10.0025,31.039,46520,6.4568,20.036,52861,0,0,0.1429,0.443,1,3.104,0,0,12.6061,23.006,71.392,0,0,2,6.207,0,0,13.0953,9.219,28.608,0,0,0,0,30.582,94.901,1.5002,4.655,8.1818,32.225,82.446,44040,0,0,0,0,29.225,90.689,2,5.117,50906
'026901042,2013,.,.,.,.,15.2,16.1,18.8,.,.,.,.,.,.,3,7.501,40.001,9,22.499,0,31.001,77.501,2,5,66063,0,0,.,6.9995,24.997,38371,4,14.285,39850,12.0011,42.859,45433,5.0005,17.858,52280,0,0,0,0,1,3.572,0,0,13.1071,26.001,92.857,0.2001,0.7146,1,3.572,0,0,13.8923,2,7.143,0,0,0,0,25.801,92.144,1.9997,7.142,9.3214,28.001,70.001,44093,0,0,0,0,26.001,92.856,1,2.5,51989
'026901101,2013,.,.,17.6,15.7,.,.,.,.,17.1,.,.,.,.,5,10.638,47,8,17.021,0,39,82.979,2,4.255,62989,0,0,.,4.9999,13.889,37600,4.9999,13.889,40840,16.9998,47.221,45071,9.0006,25.002,52067,0,0,2,5.556,0,0,4.1111,11.42,15.6111,36,100,0,0,2,5.556,0,0,13.4721,0,0,0,0,0,0,27.889,77.47,1.9999,5.555,11.0278,36,76.596,45195,0,0,0,0,34,94.444,1,2.128,55307
'026902001,2013,8.3,9.9,.,.,.,.,.,.,.,.,9.6,12.9,9.1,11.579,42.002,27.567,5,18.138,0,22.567,81.862,1,3.628,58480,0,0,.,7.349,34.884,32736,3.9992,18.984,37058,5.9243,28.122,44466,3.7942,18.01,53572,0,0,0.1964,0.932,4.229,20.076,0.9213,4.373,11.9604,10.415,49.436,0,0,3.349,15.898,0,0,9.2088,10.652,50.564,0.4655,2.2096,0,0,17.004,80.715,0.9999,4.746,8.4004,21.067,76.421,40608,0,0,1.4796,7.0234,13.488,64.026,0.5,1.814,49980
'026902005,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,2.5,0,0,0,2.5,100,0.5,20,66980,0,0,.,0,0,.,0,0,.,2,100,44320,0,0,.,0,0,0,0,0,0,0,0,15.5,1,50,0,0,0,0,0,0,0.5,1,50,0,0,0,0,2,100,0,0,10,2,80,44320,0,0,0,0,2,100,0,0,.
'026902101,2013,.,.,19,21.5,21,12.5,12.6,18.5,20.5,.,.,.,.,5.835,19.493,29.936,7,23.383,0,22.936,76.617,1,3.34,65583,1,5.145,30170,10.2507,52.741,31734,4.0001,20.581,36210,0.9999,5.145,41690,3.1851,16.388,49423,0,0,0.3393,1.746,1.185,6.098,2.261,11.633,7.5854,18.6,95.702,0,0,0.65,3.345,0,0,14.9724,0.835,4.298,0,0,0,0,15.021,77.285,1.8146,9.336,5.7994,19.436,64.925,35986,0,0,0,0,17.6,90.557,2.5,8.351,40243
'026903002,2013,8.5,7,.,.,.,.,.,.,.,.,10.3,10.2,11.9,3.128,15.853,19.732,3.4919,17.697,0,16.24,82.303,1,5.068,66990,0,0,.,5.5227,39.098,32438,1.5049,10.654,41100,3.6911,26.131,43227,3.4066,24.117,55059,0,0,0,0,0,0,0,0,11.25,11.192,79.234,0.125,0.8849,0.636,4.503,0,0,9.6281,2.933,20.766,1.1191,7.9227,0,0,9.421,66.697,0.7861,5.565,8.2,14.125,71.588,41636,0,0,2.6739,18.9299,13.489,95.497,1.1143,5.647,48566
'026903042,2013,12.3,13,.,.,.,.,.,12.7,.,.,11.6,13.8,16.6,1.856,13.022,14.254,1.492,10.467,0,12.762,89.533,1,7.015,59900,1,8.881,29420,5.4779,48.64,32508,1.4953,13.277,40618,1.6948,15.049,41642,1.594,14.154,52187,0,0,0,0,0,0,0,0,10.05,8.196,72.771,0,0,0.364,3.234,0,0,10.9215,3.067,27.229,0.309,2.7437,0,0,10.123,89.882,0.8305,7.374,6.25,11.262,79.01,37470,0,0,0,0,10.898,96.766,0.5,3.508,54998
'026903101,2013,.,.,17.5,19,19.1,14.3,15.3,.,21,.,.,.,.,6,19.354,31,6,19.355,0,25,80.645,2,6.452,58335,1,4.762,29420,3.9999,19.047,33550,6,28.571,37425,3.9999,19.047,44880,6.0002,28.572,52283,0,0,0,0,2,9.523,1.9999,9.523,14.9524,21,100,0,0,1,4.762,0,0,12.7618,0,0,0,0,0,0,17,80.953,1.9999,9.523,12,21,67.742,41971,0,0,0,0,18,85.715,2,6.452,44319
'027903001,2013,17.3,18.1,.,.,.,.,.,.,.,.,16.9,19.6,17.3,4.926,6.501,75.774,4.7897,6.321,0,70.984,93.679,4.381,5.782,70810,1.586,2.715,39006,10.9839,18.805,35842,8.9434,15.312,39982,24.0405,41.159,48475,12.8552,22.009,53221,0,0,0.5265,0.901,0,0,4.2507,7.278,13.5081,29.909,51.206,0,0,3.887,6.654,0.9268,1.587,15.4772,28.5,48.794,7.4776,12.8022,0,0,29.729,50.899,6.3011,10.788,6.682,58.409,77.083,45586,1.2224,2.0928,10.1234,17.332,52.373,89.666,8.1946,10.815,55472
'027903003,2013,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,7.855,1.4208,18.087,0,6.434,81.913,1,12.73,74841,0,0,.,0.854,19.259,36293,0,0,.,1.5807,35.646,46784,1.9997,45.095,50731,0,0,0,0,0,0,3.9953,90.098,17.0539,2.435,54.905,0,0,0,0,0,0,5.8633,2,45.095,0,0,0,0,0,0,0,0,8.5254,4.434,56.452,46544,0.3375,7.611,0.4391,9.9021,4.097,92.389,1,12.73,58547
'027903041,2013,17.1,.,.,.,.,.,.,22.9,.,.,20,17,24.2,4.073,6.794,59.953,7.7897,12.993,0,52.164,87.007,3,5.004,68234,1,2.303,34943,10.0853,23.223,35945,10.9999,25.329,40309,11.1994,25.789,46880,10.1425,23.355,52562,0,0,0,0,0,0,2.5583,5.891,13.7786,33.764,77.748,0,0,0,0,1.0732,2.471,16.9709,9.664,22.252,2.6173,6.0268,0,0,33.891,78.041,4.3607,10.041,7.612,43.427,72.435,43728,1.3311,3.0651,0,0,41.023,94.464,5.7362,9.568,48754
'027903101,2013,.,.,20.3,.,.,.,.,.,20.9,.,.,.,.,7.999,19.355,41.33,8.9999,21.776,0,32.33,78.224,2,4.839,69088,1,3.572,47225,2.9999,10.715,36510,3.9996,14.285,40507,10.9987,39.283,46330,9.0001,32.145,52468,0.9998,3.571,2.9998,10.714,0,0,5.0044,17.874,15.8929,27.998,100,0,0,4,14.285,0,0,15.9653,0,0,0,0,0,0,16.494,58.911,3.5,12.501,11.1429,27.998,67.743,46451,0.9999,3.5713,0,0,21.999,78.573,2.332,5.642,53543
'027903102,2013,.,.,19,21,19.7,16.5,17.3,.,19,.,.,.,.,3.4,8.908,38.169,9,23.58,1,29.169,76.42,2,5.24,64773,0,0,.,4.9998,20.491,36696,4.9997,20.491,40239,11.0001,45.083,46480,3.4001,13.935,51509,1.0001,4.099,0,0,0,0,2.487,10.193,13.48,23.399,95.9,0,0,0.4,1.639,0,0,17.0084,1.001,4.1,0,0,0,0,20.504,84.032,1.4091,5.775,9.36,24.4,63.926,43897,2.0006,8.1993,0,0,20.999,86.063,2.7688,7.254,42382
'027903103,2013,.,.,.,20.1,20.5,.,.,.,.,.,.,.,.,2.225,7.508,29.633,6,20.247,0,23.633,79.753,2,6.749,69996,1,5.202,34943,3,15.605,35476,2.9996,15.603,38298,7,36.412,45657,5.2248,27.178,52991,0,0,1,5.202,0,0,0.225,1.17,14.9,19.224,100,0,0,1.225,6.372,0,0,16.4374,0,0,0,0,0,0,16.999,88.425,1.0002,5.203,10.5,19.224,64.874,44356,0,0,0,0,17.999,93.628,2.409,8.129,40463
'027903104,2013,.,.,.,.,.,19.4,21.3,.,.,.,.,.,.,3.375,10.623,31.771,5,15.738,0,26.771,84.262,2,6.295,65036,0,0,.,2.0001,8.939,35618,7.9998,35.754,40103,8.9995,40.222,45384,3.3754,15.086,50353,0,0,1.2103,5.409,0,0,0.375,1.676,12.6522,21.375,95.531,0,0,1.375,6.145,0,0,16.0001,1,4.469,0,0,0,0,19.79,88.445,1,4.469,4.6957,22.375,70.426,43373,2.0001,8.9391,0,0,19,84.916,2.3959,7.541,40531
'027904001,2013,21,21.6,.,.,.,.,.,.,.,.,22,21.4,24.3,8,8.285,96.559,7.5214,7.789,0,89.038,92.211,4.5817,4.745,67006,4.313,5.792,36142,10.0001,13.431,40605,11.1798,15.015,44668,24.5666,32.995,50498,24.397,32.767,58340,0,0,0.257,0.345,2,2.686,0,0,15.4098,41.4,55.603,1,1.3431,3,4.029,0,0,15.4722,33.056,44.397,7.4544,10.0118,0,0,46.199,62.049,10.1674,13.656,7.2494,74.456,77.109,50032,0,0,9.3782,12.5956,69.457,93.285,10,10.356,61188
'027904002,2013,1.8,.,.,.,.,.,.,.,.,.,4,2.2,3,2,17.648,11.333,1,8.824,0,10.333,91.176,0.7964,7.027,76963,0,0,.,3.0001,31.459,40311,0,0,.,3.2765,34.357,51538,3.26,34.184,58101,0,0,0,0,1,10.486,0,0,17.5102,5.277,55.329,0,0,1,10.486,0,0,4.6138,4.26,44.671,0,0,0,0,9.333,97.865,0,0,9.8978,9.537,84.149,50250,0,0,0.2036,2.1349,7.537,79.028,0,0,.
'027904041,2013,17.5,20.5,.,.,.,.,.,21.7,.,.,18,23.3,22.4,7,9.247,75.698,7,9.247,0,68.698,90.753,3,3.963,79520,1.877,3.215,38500,15.0001,25.695,40887,10.4991,17.985,43468,21.0008,35.975,49164,9.9998,17.13,55372,0,0,0.4342,0.744,0,0,0,0,12.0251,43.556,74.612,2.3671,4.0549,5,8.565,0,0,15.8111,14.821,25.388,0,0,0,0,49.407,84.634,5,8.565,6.6749,58.377,77.118,46733,0,0,1.1687,2.002,53.377,91.435,7.3214,9.672,55325
'027904101,2013,.,.,19.3,21,21.3,19.2,20,.,18.8,.,.,.,.,5,9.734,51.364,9.5461,18.585,0,41.818,81.415,3,5.841,49699,1,2.872,38500,3.4539,9.92,41019,4.0008,11.491,43593,16.3625,46.994,48189,10.0008,28.723,55816,0,0,0,0,0,0,1.8155,5.214,14.9722,32.818,94.256,1,2.8721,1,2.872,1,2.872,14.9635,2,5.744,0,0,0,0,30.003,86.17,2,5.744,10.5833,34.818,67.787,48862,0,0,0,0,32.818,94.256,4,7.788,51043
