CAMPUS,CACKDTL,CAMPNAME,CFLCHART,CNTYNAME,COUNTY,C_RATING,DISTNAME,GRDSPAN,GRDTYPE,PAIRCAMP,PAIRNAME,REGION
'101902122,EY,CARMICHAEL ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902103,Z,CARROLL ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'EE - 04,E,,,'04
'101902107,,CARTER ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902002,ATRSY,CARVER H S FOR APPLIED TECH/ENGI,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,,,'04
'101902123,AM,CONLEY ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902155,,DE SANTIAGO EC/PRE-K CENTER,N,HARRIS,'101,X,ALDINE ISD,'EE - PK,E,,,'04
'101902042,AE,DREW ACADEMY,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902124,Y,DUNN ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902061,EZ,ECKERT INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902004,R,EISENHOWER HIGH SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,,,'04
'101902084,AY,EISENHOWER NINTH GRADE SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 09,S,,,'04
'101902121,WZ,ERMEL ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902063,AEZ,ESCAMILLA INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902105,X,FRANCIS ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902106,EZ,GOODMAN ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902048,S,GRANTHAM ACADEMY,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902125,EW,GRAY ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902006,,HALL HIGH SCHOOL,N,HARRIS,'101,1,ALDINE ISD,'09 - 12,S,,,'04
'101902043,AEWSZ,HAMBRICK MIDDLE,N,HARRIS,'101,R,ALDINE ISD,'07 - 08,M,,,'04
'101902129,,HARRIS ACADEMY,N,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902153,,HINOJOSA EC/PRE-K CENTER,N,HARRIS,'101,X,ALDINE ISD,'EE - PK,E,,,'04
'101902046,Z,HOFFMAN MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902062,AEM,HOUSTON ACADEMY,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902116,AEMZ,JOHNSON ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902151,,KEEBLE EC/PRE-K CENTER,N,HARRIS,'101,X,ALDINE ISD,'EE - PK,E,,,'04
'101902108,,LANE SCHOOL,N,HARRIS,'101,X,ALDINE ISD,'EE - 12,B,,,'04
'101902003,,MACARTHUR HIGH SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,,,'04
'101902083,Y,MACARTHUR NINTH GRADE SCHOOL,N,HARRIS,'101,R,ALDINE ISD,'09 - 09,S,,,'04
'101902120,AE,MAGRILL ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902109,AMX,MENDEL ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'101902005,R,NIMITZ HIGH SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 12,S,,,'04
'101902085,AZ,NIMITZ NINTH GRADE SCHOOL,N,HARRIS,'101,A,ALDINE ISD,'09 - 09,S,,,'04
'101902069,A,NORTHWEST INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902115,EX,ODOM ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902111,AEWM,OLESON ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'101902112,,ORANGE GROVE ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902065,,PARKER INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902113,EM,RAYMOND ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902104,,REECE ACADEMY,N,HARRIS,'101,X,ALDINE ISD,'PK - KG,E,,,'04
'101902068,,REED ACADEMY,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902118,,SAMMONS ELEMENTARY,N,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902047,,SHOTWELL MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902114,Y,SMITH ACADEMY,N,HARRIS,'101,A,ALDINE ISD,'KG - 04,E,,,'04
'101902064,X,STEHLIK INTERMEDIATE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902119,EWMX,STEPHENS ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'101902127,X,STOVALL ACADEMY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'101902044,WZ,STOVALL MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902045,Y,TEAGUE MIDDLE,N,HARRIS,'101,A,ALDINE ISD,'07 - 08,M,,,'04
'101902117,EM,THOMPSON ELEMENTARY,N,HARRIS,'101,E,ALDINE ISD,'KG - 04,E,,,'04
'101902154,,VINES EC/PRE-K CENTER,N,HARRIS,'101,X,ALDINE ISD,'EE - PK,E,,,'04
'101902067,AX,WILSON INTERMEDAITE,N,HARRIS,'101,A,ALDINE ISD,'05 - 06,M,,,'04
'101902110,AEM,WORSHAM ELEMENTARY,N,HARRIS,'101,R,ALDINE ISD,'KG - 04,E,,,'04
'184907001,ADPTRS,ALEDO HIGH SCHOOL,N,PARKER,'184,R,ALEDO ISD,'09 - 12,S,,,'11
'184907002,,ALEDO LEARNING CENTER,N,PARKER,'184,X,ALEDO ISD,'10 - 12,S,,,'11
'184907041,AWS,ALEDO MIDDLE SCHOOL,N,PARKER,'184,A,ALEDO ISD,'07 - 08,M,,,'11
'184907102,EWMX,CODER ELEMENTARY,N,PARKER,'184,E,ALEDO ISD,'EE - 04,E,,,'11
'184907110,AEMNX,MCANALLY INTERMEDIATE,N,PARKER,'184,E,ALEDO ISD,'05 - 06,M,,,'11
'184907103,AEWMZ,STUARD ELEMENTARY,N,PARKER,'184,E,ALEDO ISD,'KG - 04,E,,,'11
'184907101,EWM,VANDAGRIFF ELEMENTARY,N,PARKER,'184,E,ALEDO ISD,'KG - 04,E,,,'11
'125901043,W,ADAMS MIDDLE,N,JIM WELLS,'125,A,ALICE ISD,'07 - 08,M,,,'02
'125901001,R,ALICE H S,N,JIM WELLS,'125,A,ALICE ISD,'09 - 12,S,,,'02
'125901041,,DUBOSE INTERMEDIATE,N,JIM WELLS,'125,A,ALICE ISD,'05 - 06,M,,,'02
'125901102,,GARCIA EL,N,JIM WELLS,'125,R,ALICE ISD,'KG - 04,E,,,'02
'125901101,EW,HILLCREST EL,N,JIM WELLS,'125,R,ALICE ISD,'KG - 04,E,,,'02
'125901042,,MEMORIAL INTERMEDIATE,N,JIM WELLS,'125,A,ALICE ISD,'05 - 06,M,,,'02
'125901104,,NOONAN EL,N,JIM WELLS,'125,R,ALICE ISD,'EE - 04,E,,,'02
'125901105,Y,SAENZ EL,N,JIM WELLS,'125,A,ALICE ISD,'EE - 04,E,,,'02
'125901106,Y,SALAZAR EL,N,JIM WELLS,'125,R,ALICE ISD,'KG - 04,E,,,'02
'125901107,EWM,SCHALLERT EL,N,JIM WELLS,'125,R,ALICE ISD,'PK - 04,E,,,'02
'101903199,,ADMIN SERVICES,N,HARRIS,'101,X,ALIEF ISD,'05 - 12,B,,,'04
'101903045,SX,ALBRIGHT MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903114,,ALEXANDER EL,N,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903047,,ALIEF ISD J J A E P,N,HARRIS,'101,X,ALIEF ISD,'04 - 12,B,,,'04
'101903041,,ALIEF MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'06 - 08,M,,,'04
'101903118,Y,BEST EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903102,EM,BOONE EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,,,'04
'101903145,AEMZ,BUDEWIG INTERMEDIATE,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101903121,WY,BUSH EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,,,'04
'101903104,Z,CHAMBERS EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 04,E,,,'04
'101903108,AMNX,CHANCELLOR EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 05,E,,,'04
'101903122,,COLLINS ELEMENTARY,N,HARRIS,'101,A,ALIEF ISD,'PK - 05,E,,,'04
'101903112,X,CUMMINGS EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903002,R,ELSIK H S,N,HARRIS,'101,A,ALIEF ISD,'09 - 12,S,,,'04
'101903001,X,HASTINGS H S,N,HARRIS,'101,A,ALIEF ISD,'09 - 12,S,,,'04
'101903115,X,HEARNE EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,,,'04
'101903111,,HEFLIN EL,N,HARRIS,'101,A,ALIEF ISD,'PK - 04,E,,,'04
'101903120,AWY,HICKS EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,,,'04
'101903044,,HOLUB MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903107,Y,KENNEDY EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,,,'04
'101903006,APTRS,KERR H S,N,HARRIS,'101,A,ALIEF ISD,'09 - 12,S,,,'04
'101903043,,KILLOUGH MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903141,Z,KLENTZMAN INT,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101903116,Y,LANDIS EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903109,X,LIESTMAN EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 05,E,,,'04
'101903106,Z,MAHANAY EL,N,HARRIS,'101,R,ALIEF ISD,'EE - 04,E,,,'04
'101903103,X,MARTIN EL,N,HARRIS,'101,A,ALIEF ISD,'EE - 04,E,,,'04
'101903143,AEMZ,MATA INTERMEDIATE,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
'101903144,EMZ,MILLER INTERMEDIATE,N,HARRIS,'101,A,ALIEF ISD,'04 - 06,E,,,'04
'101903046,,O'DONNELL MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903042,,OLLE MIDDLE,N,HARRIS,'101,A,ALIEF ISD,'07 - 08,M,,,'04
'101903119,EMZ,OUTLEY EL,N,HARRIS,'101,R,ALIEF ISD,'PK - 05,E,,,'04
'101903140,EMZ,OWENS INT,N,HARRIS,'101,A,ALIEF ISD,'05 - 06,M,,,'04
