DISTRICT,DPEMALLC,DPEMALLP,YEAR
'015907,15090,27.4,2012
'015908,2193,22.6,2012
'015909,644,18.1,2012
'015910,12690,18.7,2012
'015911,1697,18,2012
'015912,2207,18.6,2012
'015913,303,31.6,2012
'015914,411,28.5,2012
'015915,18351,19.1,2012
'015916,5460,23.8,2012
'015917,1179,22.2,2012
'016901,74,10.7,2012
'016902,72,8.1,2012
'017901,7,3.4,2012
'018901,145,13.4,2012
'018902,79,15.3,2012
'018903,32,26.9,2012
'018904,125,19.4,2012
'018905,35,18.9,2012
'018906,28,20.9,2012
'018907,57,22.6,2012
'018908,34,29.6,2012
'019901,134,17.6,2012
'019902,124,13.5,2012
'019903,89,17.8,2012
'019905,252,18.4,2012
'019906,160,14.5,2012
'019907,1210,18,2012
'019908,500,19.3,2012
'019909,87,16,2012
'019910,11,12.2,2012
'019911,32,7.4,2012
'019912,228,12.3,2012
'019913,10,11.8,2012
'019914,16,15.7,2012
'020901,2587,15.5,2012
'020902,1475,22.4,2012
'020904,70,9.5,2012
'020905,2423,19.1,2012
'020906,209,11,2012
'020907,450,15.3,2012
'020908,1742,9.7,2012
'020910,32,19.3,2012
'021803,185,41.9,2012
'021805,0,.,2012
'021901,1209,12.3,2012
'021902,3438,21.9,2012
'022004,22,19,2012
'022901,108,10.6,2012
'022902,8,16.3,2012
'022903,10,43.5,2012
'023902,17,10.3,2012
'024901,179,12.9,2012
'025901,193,17.7,2012
'025902,825,23.1,2012
'025904,49,22.5,2012
'025905,40,15.3,2012
'025906,44,20.7,2012
'025908,45,26,2012
'025909,183,14.6,2012
'026901,220,12.3,2012
'026902,124,25.7,2012
'026903,53,11.3,2012
'027903,457,14.2,2012
'027904,610,15.6,2012
'028902,675,15,2012
'028903,201,14.8,2012
'028906,51,22.7,2012
'029901,636,15.6,2012
'030901,39,11.5,2012
'030902,261,18,2012
'030903,76,23.8,2012
'030906,75,19.6,2012
'031803,32,8,2012
'031901,8116,17.1,2012
'031903,3821,20.8,2012
'031905,513,15.2,2012
'031906,1376,14.5,2012
'031909,266,11.7,2012
'031911,213,10.1,2012
'031912,2577,22.7,2012
'031913,159,23.9,2012
'031914,210,18,2012
'031916,414,12.2,2012
'032902,268,11.4,2012
'033901,6,5,2012
'033902,54,8.6,2012
'033904,39,11.1,2012
'034901,226,13.3,2012
'034902,28,20,2012
'034903,143,13.9,2012
'034905,117,15,2012
'034906,49,11.2,2012
'034907,157,15.4,2012
'034909,47,17.6,2012
'035901,188,16.4,2012
'035902,40,15.2,2012
'035903,8,3.5,2012
'036901,217,17.2,2012
'036902,451,10.9,2012
'036903,186,14.7,2012
'037901,92,14.4,2012
'037904,629,13.8,2012
'037907,259,13,2012
'037908,58,13,2012
'037909,52,16.5,2012
'038901,161,14.9,2012
'039901,21,25,2012
'039902,123,13.4,2012
'039903,58,13.2,2012
'039904,29,16.1,2012
'039905,19,17.6,2012
'040901,80,18.8,2012
'040902,39,14,2012
'041901,46,15.1,2012
'041902,35,14.6,2012
'042901,162,18.1,2012
'042903,52,20.2,2012
'042905,32,20.5,2012
'042906,39,40.6,2012
'043901,1362,7.6,2012
'043902,282,13,2012
'043903,153,8.2,2012
'043904,180,12.7,2012
'043905,2984,8.5,2012
'043907,3239,13.6,2012
'043908,190,13.5,2012
'043910,5339,10.1,2012
'043911,544,17.5,2012
'043912,414,10.2,2012
'043914,1246,10.5,2012
'043917,90,14.8,2012
'043918,205,12.9,2012
'043919,125,3.8,2012
'044902,72,14.4,2012
'044904,45,52.9,2012
'045902,176,11.9,2012
'045903,137,11.4,2012
'045905,56,10.5,2012
'046802,1120,96.3,2012
'046901,1230,15.6,2012
'046902,2714,15.7,2012
'047901,154,13.3,2012
'047902,93,14.1,2012
'047903,25,12.4,2012
'047905,16,14.5,2012
'048901,62,22.9,2012
'048903,46,29.3,2012
'049901,505,19.2,2012
'049902,19,4.5,2012
'049903,68,11,2012
'049905,154,13.4,2012
'049906,54,12.7,2012
'049907,17,3.3,2012
'049908,17,29.8,2012
'049909,10,16.1,2012
'050901,53,21.5,2012
'050902,342,12.4,2012
'050904,28,18.3,2012
'050909,32,21.1,2012
'050910,1608,21.1,2012
'051901,29,13.4,2012
'052901,136,14.4,2012
'053001,62,9.2,2012
'054901,51,13.2,2012
'054902,85,26.9,2012
'054903,108,21.1,2012
'055901,81,18,2012
'056901,295,18.3,2012
'056902,29,17.6,2012
'057802,69,12,2012
'057803,48,3.6,2012
'057804,2779,76.6,2012
'057805,5,6.8,2012
'057806,287,20.2,2012
'057807,330,9.6,2012
'057808,75,6.2,2012
'057809,21,11.4,2012
'057810,67,20.9,2012
'057811,42,14.3,2012
'057813,125,10.7,2012
'057814,2834,99.5,2012
'057815,166,16.4,2012
'057816,27,3.1,2012
'057817,75,11.8,2012
'057819,51,41.5,2012
'057825,566,43.4,2012
'057827,31,12.7,2012
'057828,2568,79.8,2012
'057829,48,5.4,2012
'057830,40,5,2012
'057831,49,7.1,2012
'057832,155,57.4,2012
'057833,50,24.5,2012
'057834,564,80,2012
'057835,98,20.5,2012
'057836,17,6.7,2012
'057837,21,6.7,2012
'057838,91,8.8,2012
'057839,37,11.5,2012
'057840,109,24.1,2012
'057841,23,28,2012
'057842,121,12.8,2012
'057843,95,13.7,2012
'057844,48,15.4,2012
'057903,4744,18.4,2012
'057904,1256,15.4,2012
'057905,37372,24,2012
'057906,1846,19.7,2012
'057907,2162,16.8,2012
'057909,8532,15.1,2012
'057910,5977,22,2012
'057911,197,3.2,2012
'057912,5916,18,2012
'057913,1436,23.1,2012
'057914,6713,17.7,2012
'057916,6282,17.9,2012
'057919,73,6.7,2012
'057922,682,7,2012
'058902,20,13.3,2012
'058905,39,17.1,2012
'058906,329,18.4,2012
'058909,52,22.6,2012
'059901,579,14.7,2012
'059902,16,14.5,2012
'060902,139,17.6,2012
'060914,40,22.5,2012
'061802,288,36.4,2012
'061803,290,92.7,2012
'061804,0,.,2012
'061901,3446,14.9,2012
'061902,5371,10.9,2012
'061903,164,11.3,2012
'061905,201,12.4,2012
'061906,198,16,2012
'061907,215,11.9,2012
'061908,364,14.5,2012
'061910,119,6.7,2012
'061911,1903,12.7,2012
'061912,365,9.4,2012
'061914,759,13.2,2012
'062901,263,14.6,2012
'062902,20,18.7,2012
'062903,149,10.3,2012
'062904,70,13.3,2012
'062905,16,38.1,2012
'062906,7,4.7,2012
'063903,56,19,2012
'063906,28,28.6,2012
'064903,327,15.2,2012
'065901,74,15.4,2012
'065902,18,13.7,2012
'066005,4,14.8,2012
'066901,32,8.8,2012
'066902,254,19.1,2012
'066903,109,13.5,2012
'067902,183,22,2012
'067903,189,16.7,2012
'067904,56,17,2012
'067907,112,23.5,2012
'067908,51,23.9,2012
'068801,797,77.1,2012
'068802,0,.,2012
'068901,4881,18,2012
'069901,47,16.8,2012
'069902,40,14.2,2012
'070801,61,28,2012
'070901,45,16.2,2012
'070903,677,12.5,2012
'070905,236,10.6,2012
'070907,134,22,2012
'070908,675,9.3,2012
'070909,45,19,2012
'070910,168,15.6,2012
'070911,613,11.3,2012
'070912,1118,15.4,2012
'070915,105,10.2,2012
'071801,90,10.6,2012
'071803,299,57,2012
'071804,383,58.5,2012
'071806,157,12.7,2012
'071807,4,3.1,2012
'071809,13,14.1,2012
'071901,1575,14.4,2012
'071902,12917,20.2,2012
'071903,273,11.4,2012
'071904,580,15.3,2012
'071905,7359,16.9,2012
'071906,125,15.7,2012
'071907,801,13.9,2012
'071908,121,9.7,2012
'071909,6651,15.9,2012
'072801,183,62.9,2012
'072802,561,91.1,2012
'072901,4,7.7,2012
'072902,186,15.8,2012
'072903,449,13.1,2012
'072904,12,13.2,2012
'072908,43,20.3,2012
'072909,35,16.5,2012
'072910,18,17,2012
'073901,80,16.9,2012
'073903,169,16.3,2012
'073904,4,2.9,2012
'073905,134,18.1,2012
'074903,318,17.7,2012
'074904,18,6.4,2012
'074905,36,13.8,2012
'074907,90,15.5,2012
'074909,119,13.6,2012
'074911,48,15.8,2012
'074912,78,14.4,2012
'074917,45,11.3,2012
'075901,37,7.2,2012
'075902,173,9.6,2012
'075903,65,9.7,2012
'075906,25,11.7,2012
'075908,19,8.3,2012
'076903,38,13.8,2012
'076904,68,22.1,2012
'077901,227,25.6,2012
'077902,81,15.2,2012
'078901,29,12.8,2012
'079901,3845,16.1,2012
'079906,254,10.1,2012
'079907,8343,12.2,2012
'079910,356,11.6,2012
'080901,198,13.3,2012
'081902,234,13.7,2012
'081904,142,11.9,2012
'081905,73,14.8,2012
'081906,30,20.7,2012
'082902,110,12.9,2012
'082903,275,13.1,2012
'083901,84,15.1,2012
'083902,6,5.3,2012
'083903,397,16.6,2012
'084801,43,13.4,2012
'084802,96,21.1,2012
'084804,50,22.3,2012
'084805,0,.,2012
'084901,1912,21.1,2012
'084902,1200,19.5,2012
'084903,23,13,2012
'084904,825,27.3,2012
'084906,1050,17.8,2012
'084908,275,23.4,2012
'084909,492,11.3,2012
'084910,4155,11.2,2012
'084911,274,4.8,2012
'085902,102,13.9,2012
'085903,29,17.9,2012
'086024,7,38.9,2012
'086901,251,8.9,2012
'086902,84,13.9,2012
'087901,8,3.3,2012
'088902,198,14.5,2012
'089901,279,11.8,2012
'089903,181,18.4,2012
'089905,40,17.7,2012
'090902,40,23.3,2012
'090903,37,17.7,2012
'090904,584,17.6,2012
'090905,10,22.7,2012
'091901,89,12.3,2012
'091902,74,14,2012
'091903,855,19.2,2012
'091905,115,12.1,2012
'091906,1489,22,2012
'091907,16,12.8,2012
'091908,128,9.9,2012
'091909,192,13,2012
'091910,83,11.3,2012
'091913,148,12.1,2012
'091914,108,13.5,2012
'091917,68,9,2012
'091918,99,12.9,2012
'092801,115,53.2,2012
'092901,450,22.2,2012
'092902,424,11.9,2012
'092903,1673,20.3,2012
'092904,797,17.4,2012
'092906,241,18.3,2012
'092907,274,15.1,2012
'092908,165,11.8,2012
'093901,91,12.9,2012
'093903,61,12.6,2012
'093904,335,12.5,2012
'093905,20,14.5,2012
'094901,2004,25.8,2012
'094902,1694,13.8,2012
'094903,163,10.8,2012
'094904,189,14.3,2012
'095901,105,14.1,2012
'095902,19,16.5,2012
'095903,150,22.1,2012
'095904,29,11.6,2012
'095905,957,17.1,2012
'096904,76,15.4,2012
'096905,29,13.7,2012
'097902,124,15.6,2012
'097903,72,12.3,2012
'098901,24,6.5,2012
'098903,6,5.9,2012
'098904,47,6.4,2012
'099902,28,13.9,2012
'099903,71,13.6,2012
'100903,197,14.7,2012
'100904,417,14.9,2012
'100905,209,10.9,2012
'100907,447,11.9,2012
'100908,102,17.3,2012
'101801,13,12.4,2012
'101802,20,4.3,2012
'101803,43,15.6,2012
'101804,327,42.3,2012
'101805,148,19.9,2012
'101806,219,17.2,2012
'101807,2,1.8,2012
'101809,122,34,2012
'101810,29,13.4,2012
'101811,3034,99.6,2012
'101812,1048,77.2,2012
'101813,742,17.6,2012
'101814,81,8.8,2012
'101815,8,5.4,2012
'101819,37,10.2,2012
'101821,139,49.5,2012
'101822,309,88,2012
'101828,90,11.8,2012
'101829,11,21.6,2012
'101833,10,10.4,2012
'101837,162,44.3,2012
'101838,763,50.8,2012
'101840,24,10.9,2012
'101842,104,68,2012
'101845,340,8,2012
'101846,289,11,2012
'101847,30,7.5,2012
'101848,236,58.1,2012
'101849,7,4.2,2012
'101850,87,22.3,2012
'101852,42,46.7,2012
'101853,23,5.8,2012
'101854,246,70.5,2012
'101855,21,13.5,2012
'101856,7,3.4,2012
'101858,405,14.8,2012
'101859,29,13.4,2012
'101860,467,36.5,2012
'101861,40,20.9,2012
'101862,33,5.6,2012
'101863,33,55,2012
'101864,0,.,2012
'101865,238,45.7,2012
'101902,11640,19.4,2012
'101903,10444,23.1,2012
'101905,1458,17.4,2012
'101906,648,13.2,2012
'101907,13302,13,2012
'101908,1411,11.6,2012
'101909,1814,26.4,2012
'101910,2809,13.6,2012
'101911,3979,18.9,2012
'101912,38542,20.2,2012
'101913,4364,12.8,2012
'101914,6886,11.7,2012
'101915,5867,13.3,2012
'101916,1002,13.3,2012
'101917,8794,17.3,2012
'101919,8284,22.6,2012
'101920,4842,15.5,2012
'101921,1035,10.2,2012
'101924,1101,16.9,2012
'101925,430,13.9,2012
'102901,43,23.6,2012
'102902,778,14.2,2012
'102903,94,12.5,2012
'102904,704,16.3,2012
'102905,84,11.9,2012
'102906,109,11.1,2012
'103901,26,16,2012
'103902,19,10.9,2012
'104901,100,16.5,2012
'104903,37,25.9,2012
'104907,14,9.1,2012
'105801,69,39.7,2012
'105802,50,34.2,2012
'105902,883,13,2012
'105904,300,7.2,2012
'105905,161,8.3,2012
'105906,2481,16.5,2012
'106901,73,9.7,2012
'107901,440,13.6,2012
'107902,507,17.5,2012
'107904,105,16.8,2012
'107905,318,21.7,2012
'107906,341,26.3,2012
'107907,57,29.2,2012
'107908,54,39.7,2012
'107910,72,16.4,2012
'108801,645,73.7,2012
'108802,85,14.4,2012
'108804,415,64.7,2012
'108807,476,7.5,2012
'108808,50,5.6,2012
'108902,2876,19.8,2012
'108903,824,15.9,2012
'108904,6279,19.1,2012
'108905,424,13.6,2012
'108906,4908,19.5,2012
'108907,1344,23.2,2012
'108908,2688,17.6,2012
'108909,5941,20,2012
'108910,413,19.7,2012
'108911,1700,16.9,2012
'108912,6000,21.6,2012
'108913,3019,17.6,2012
'108914,125,20.6,2012
'108915,107,13,2012
'108916,732,16.3,2012
'109901,19,7,2012
'109902,29,12.6,2012
'109903,72,25.4,2012
'109904,210,12.5,2012
'109905,77,19.3,2012
'109907,122,17.6,2012
'109908,15,18.5,2012
'109910,31,19.3,2012
'109911,271,18.2,2012
'109912,47,17.9,2012
'109913,82,22.8,2012
'109914,29,16.5,2012
'110901,63,24.6,2012
'110902,537,19.2,2012
'110905,40,13.3,2012
'110906,64,17.9,2012
'110907,82,13.7,2012
'110908,13,7.1,2012
'111901,1154,17.7,2012
'111902,31,12.1,2012
'111903,73,12.1,2012
'112901,446,11.7,2012
'112905,47,11.9,2012
'112906,66,15.6,2012
'112907,48,20.3,2012
'112908,128,16.4,2012
'112909,47,19.2,2012
'112910,22,10.4,2012
'113901,222,17,2012
'113902,83,16.6,2012
'113903,54,10.8,2012
'113905,48,11.1,2012
'113906,67,21.1,2012
'114901,696,17.8,2012
'114902,96,12.6,2012
'114904,64,9.7,2012
'115901,52,10.4,2012
'115902,25,15.9,2012
'115903,16,16.2,2012
'116801,74,18,2012
'116901,168,11.8,2012
'116902,54,11.5,2012
'116903,264,16.9,2012
'116905,2003,35.2,2012
'116906,159,17.2,2012
'116908,533,20.7,2012
'116909,74,13,2012
'116910,91,22.3,2012
'116915,64,11.3,2012
'116916,84,16.5,2012
'117901,352,13.6,2012
'117903,147,18,2012
'117904,100,16.5,2012
'117907,15,18.1,2012
'118902,73,20.1,2012
'119901,32,16.2,2012
'119902,162,17.4,2012
'119903,47,12.9,2012
'120901,220,16.1,2012
'120902,42,6.9,2012
'120905,86,8,2012
'121902,72,17.4,2012
'121903,164,11.1,2012
'121904,522,19.2,2012
'121905,174,12.6,2012
'121906,63,14.9,2012
'122901,104,30.5,2012
'122902,3,6.8,2012
'123803,120,33.1,2012
'123805,46,26.3,2012
'123807,84,32.1,2012
'123905,580,11.9,2012
'123907,1597,18.8,2012
'123908,517,11.4,2012
'123910,3799,19.8,2012
'123913,12,3.8,2012
'123914,111,6.7,2012
'124901,92,9.1,2012
'125901,715,14.2,2012
'125902,65,11.1,2012
'125903,252,14.2,2012
'125905,104,17.2,2012
'125906,6,5.9,2012
'126901,568,16.5,2012
'126902,1333,13.7,2012
'126903,1416,20.7,2012
'126904,113,10.8,2012
'126905,866,18,2012
'126906,223,26.1,2012
'126907,151,17.3,2012
'126908,248,13.9,2012
'126911,328,20.4,2012
'127901,82,12.9,2012
'127903,46,10.2,2012
'127904,76,10.8,2012
'127905,16,14.7,2012
'127906,103,17.8,2012
'128901,142,15.3,2012
'128902,134,20.2,2012
'128903,63,20.5,2012
'128904,17,5.1,2012
'129901,364,13.2,2012
'129902,787,10.1,2012
'129903,493,13.9,2012
'129904,307,19.6,2012
'129905,650,19.6,2012
'129906,895,21.7,2012
'129910,109,11.9,2012
'130801,53,62.4,2012
'130901,582,8.9,2012
'130902,129,12,2012
'131001,3,4.9,2012
'132902,30,19.5,2012
'133901,218,29.8,2012
'133902,14,8.8,2012
'133903,890,18.5,2012
'133904,192,18.3,2012
'133905,0,0,2012
'134901,95,14.6,2012
'135001,16,13.4,2012
'136901,80,13.4,2012
'137901,809,21.3,2012
'137902,80,13.6,2012
'137903,63,13.3,2012
'137904,34,8.8,2012
'138902,44,16.9,2012
'138903,34,10.3,2012
'138904,20,26,2012
'139905,101,12.4,2012
'139908,37,19.2,2012
'139909,613,17.7,2012
'139911,402,13.9,2012
'139912,149,14.1,2012
'140901,37,21.8,2012
'140904,199,14.6,2012
'140905,99,15.1,2012
'140907,69,18.3,2012
'140908,49,12.2,2012
'141901,507,15.3,2012
'141902,68,22.5,2012
'142901,186,16.4,2012
'143901,95,11.3,2012
'143902,28,9.8,2012
'143903,30,5.5,2012
'143904,14,15.4,2012
'143905,6,5.4,2012
'143906,6,10.2,2012
'144901,211,11.8,2012
'144902,97,11,2012
'144903,36,20.7,2012
'145901,111,13.5,2012
'145902,92,13.2,2012
'145906,86,17.2,2012
'145907,46,23,2012
'145911,116,16,2012
'146901,869,22.7,2012
'146902,982,19.7,2012
'146903,11,7.6,2012
'146904,260,20.4,2012
'146905,126,24,2012
'146906,324,15.6,2012
'146907,260,13.6,2012
'147901,47,17.3,2012
'147902,284,18,2012
'147903,264,13.6,2012
'148901,40,11.6,2012
'148902,18,11.5,2012
'148903,21,22.8,2012
'148905,23,15.9,2012
'149901,178,16.4,2012
'149902,91,14.6,2012
'150901,297,16.2,2012
'152802,16,12.4,2012
'152803,303,75.8,2012
'152805,154,24.8,2012
'152901,7224,24.4,2012
'152902,130,17.7,2012
'152903,294,23.1,2012
'152906,515,13.5,2012
'152907,1231,16.5,2012
'152908,294,25.8,2012
'152909,244,16.5,2012
'152910,133,14.5,2012
'153903,35,11.8,2012
'153904,99,17.3,2012
'153905,26,14.4,2012
'153907,40,29.2,2012
'154901,232,11.3,2012
'154903,55,16,2012
'155901,181,15.5,2012
'156902,73,9.9,2012
'156905,16,7.3,2012
'157901,77,12.4,2012
'158901,605,16.4,2012
'158902,133,16.9,2012
'158904,18,20.2,2012
'158905,138,9.8,2012
'158906,144,15.1,2012
'159901,2422,16.8,2012
'160901,242,19.6,2012
'160904,33,16.3,2012
'160905,22,19.5,2012
'161801,24,12.1,2012
'161802,75,19.9,2012
'161807,281,11.6,2012
'161901,60,10,2012
'161903,899,12.8,2012
'161906,614,21.6,2012
'161907,214,13.4,2012
'161908,87,15.8,2012
'161909,137,11,2012
'161910,129,18.5,2012
'161912,82,14,2012
'161914,4023,26.2,2012
'161916,322,20.7,2012
'161918,323,35.8,2012
'161919,227,24.9,2012
'161920,377,16.3,2012
'161921,502,20.6,2012
'161922,268,12.6,2012
'161923,52,9.9,2012
'161924,28,27.7,2012
'161925,27,19.1,2012
'162904,38,21.7,2012
'163901,277,14.8,2012
'163902,23,7.7,2012
'163903,154,15.4,2012
'163904,239,11.4,2012
'163908,466,13.6,2012
'164901,52,16.7,2012
'165802,35,8.5,2012
'165901,4036,18.8,2012
'165902,208,12.5,2012
'166901,201,13.8,2012
'166902,22,13.9,2012
'166903,53,13.4,2012
'166904,265,15.9,2012
'166905,57,10.7,2012
'166907,31,18,2012
'167901,61,10.7,2012
'167902,42,36.5,2012
'167903,14,22.6,2012
'167904,19,19.8,2012
'168901,163,16,2012
'168902,27,18.2,2012
'168903,23,11.4,2012
'169901,253,16.1,2012
'169902,98,12.4,2012
'169906,12,11.2,2012
'169908,19,20.7,2012
'169909,33,22.1,2012
'169910,35,17.2,2012
'169911,38,13.8,2012
'170801,87,20.9,2012
'170902,7150,14.3,2012
'170903,789,11.7,2012
'170904,1235,19.3,2012
'170906,1540,13.3,2012
'170907,634,18.5,2012
'170908,2172,21.2,2012
'171901,644,15,2012
'171902,70,13.8,2012
'172902,166,14.1,2012
'172905,161,16.6,2012
'173901,26,14.6,2012
'174801,5,2.3,2012
'174901,36,11.3,2012
'174902,63,13.5,2012
'174903,90,13,2012
'174904,1155,18.5,2012
'174906,147,18.2,2012
'174908,112,12.4,2012
'174909,35,10.1,2012
'174910,39,27.7,2012
'174911,61,16,2012
'175902,142,17,2012
'175903,848,15.4,2012
'175904,86,19.6,2012
'175905,48,14.3,2012
'175907,118,18.8,2012
'175910,83,11.2,2012
'175911,122,15,2012
'176901,63,20.9,2012
'176902,178,16.1,2012
'176903,103,15.3,2012
'177901,36,11.6,2012
'177902,426,19.8,2012
'177903,33,19.9,2012
'177905,15,7.4,2012
'178801,108,75,2012
'178804,203,58.5,2012
'178807,36,18.2,2012
'178808,19,12.1,2012
'178809,73,21.8,2012
'178901,52,15.1,2012
'178902,169,14.1,2012
'178903,601,15.7,2012
'178904,10468,25.7,2012
'178905,52,20.2,2012
'178906,15,4.3,2012
'178908,114,19.5,2012
'178909,582,18.7,2012
'178912,589,16.5,2012
'178913,91,11.7,2012
'178914,908,16.2,2012
'178915,451,21.8,2012
'179901,272,12.9,2012
'180901,202,44.7,2012
'180902,20,6.3,2012
'180903,20,14.5,2012
'180904,13,15.9,2012
'181901,320,12.8,2012
'181905,222,13.2,2012
'181906,479,20.4,2012
'181907,845,17.4,2012
'181908,492,13.9,2012
'182901,21,10.3,2012
'182902,79,26.6,2012
'182903,620,17.9,2012
'182904,79,16,2012
'182905,26,15.4,2012
'182906,12,14,2012
'183801,113,50,2012
'183901,78,12.5,2012
'183902,364,13.7,2012
'183904,52,13.9,2012
'184801,83,43.9,2012
'184901,97,18.9,2012
'184902,683,19.8,2012
'184903,1204,16,2012
'184904,112,14.9,2012
'184907,401,8.9,2012
'184908,137,13,2012
'184909,79,9.3,2012
'184911,56,29.3,2012
'185901,68,14.8,2012
'185902,68,12.5,2012
'185903,107,9.8,2012
'185904,31,20.7,2012
'186901,28,25,2012
'186902,262,11.5,2012
'186903,233,41.8,2012
'187901,48,10.5,2012
'187903,58,23.6,2012
'187904,117,12.6,2012
'187906,48,25,2012
'187907,685,17.1,2012
'187910,239,24.2,2012
'188801,294,72.2,2012
'188901,4794,15.9,2012
'188902,264,18.1,2012
'188903,134,14.7,2012
'188904,119,9.3,2012
'189901,49,14.2,2012
'189902,197,14,2012
'190903,268,16.6,2012
'191901,1405,15.8,2012
'192901,84,11.3,2012
'193801,164,63.6,2012
'193902,42,16.8,2012
'194902,55,13.9,2012
'194903,107,14.7,2012
'194904,85,13.1,2012
'194905,62,13.5,2012
'195901,267,12.6,2012
'195902,18,11.5,2012
'196901,31,18.8,2012
'196902,46,10.3,2012
'196903,94,13.4,2012
'197902,25,13.4,2012
'198901,56,12.8,2012
'198902,21,13.4,2012
'198903,110,11.2,2012
'198905,191,19.5,2012
'198906,39,8.8,2012
'199901,1221,9.1,2012
'199902,637,14.3,2012
'200901,140,14.8,2012
'200902,52,13.3,2012
'200904,100,16.9,2012
'200906,17,27.4,2012
'201902,378,12.3,2012
'201903,42,27.1,2012
'201904,45,19.1,2012
'201907,55,14.6,2012
'201908,110,20.4,2012
'201910,172,11.5,2012
'201913,82,12.9,2012
'201914,187,19.8,2012
'202903,138,15.1,2012
'202905,163,24.2,2012
'203901,115,15.7,2012
'203902,98,20.7,2012
'204901,324,19.5,2012
'204904,312,16.8,2012
'205901,358,20.5,2012
'205902,659,15.2,2012
'205903,341,16.5,2012
'205904,221,13.8,2012
'205905,119,11.5,2012
'205906,420,19.2,2012
'205907,157,14.8,2012
'206901,82,12.6,2012
'206902,34,24.6,2012
'206903,32,25.8,2012
'207901,69,12.5,2012
'208901,37,16.7,2012
'208902,384,15.2,2012
'208903,26,10,2012
'209901,41,8.9,2012
'209902,34,21.9,2012
'210901,313,13.6,2012
'210902,103,14.5,2012
'210903,88,12.3,2012
'210904,83,17,2012
'210905,142,23.1,2012
'210906,14,14.6,2012
'211901,51,14.3,2012
'211902,59,10.9,2012
'212801,39,12,2012
'212803,255,83.6,2012
'212901,125,14.1,2012
'212902,291,14.1,2012
'212903,460,12.7,2012
'212904,145,13.7,2012
'212905,2875,16,2012
'212906,600,13.4,2012
'212909,617,18.9,2012
'212910,212,20.6,2012
'213801,96,49,2012
'213901,212,13.2,2012
'214901,1324,13.2,2012
'214902,28,11.2,2012
'214903,834,13.6,2012
'215901,216,14.7,2012
'216901,35,16.6,2012
'217901,21,10.3,2012
'218901,80,9.7,2012
'219901,16,6.8,2012
'219903,112,11.6,2012
'219905,38,17.4,2012
'220801,49,15.9,2012
'220802,44,9.5,2012
'220804,925,79,2012
'220809,22,4.5,2012
'220810,24,4.8,2012
'220811,14,6.8,2012
'220812,282,81,2012
'220813,287,13.7,2012
'220814,11,8.7,2012
'220815,32,13.7,2012
'220816,34,5.6,2012
'220817,0,.,2012
'220901,14628,22.8,2012
'220902,3265,14.6,2012
'220904,970,19.4,2012
'220905,21205,25.6,2012
'220906,1160,8.8,2012
'220907,3184,10.1,2012
'220908,3897,12.5,2012
'220910,609,20.8,2012
'220912,2609,17.4,2012
'220914,425,13.5,2012
'220915,1100,18.6,2012
'220916,3941,18.7,2012
'220917,669,18.9,2012
'220918,2874,17.4,2012
'220919,292,4,2012
'220920,1153,18.8,2012
'221801,5510,57.1,2012
'221901,3749,22.3,2012
'221904,200,18.3,2012
'221905,38,21.2,2012
'221911,116,11.6,2012
'221912,308,9.8,2012
'222901,24,17.6,2012
