DISTRICT,YEAR,D40912DR*R,DE0912DR*R,DR0912DR*R,DM0912DR*R,DF0912DR*R,D20912DR*R,DB0912DR*R,DS0912DR*R,DA0912DR*R,DI0912DR*R,DW0912DR*R,DH0912DR*R,DL0912DR*R,D30912DR*R
'091917,1998,,,,,,,,,,,,,,
'091918,1998,,,,,,,,,,,,,,
'092901,1998,,,,,,,,,,,,,,
'092902,1998,,,,,,,,,,,,,,
'092903,1998,,,,,,,,,,,,,,
'092904,1998,,,,,,,,,,,,,,
'092906,1998,,,,,,,,,,,,,,
'092907,1998,,,,,,,,,,,,,,
'092908,1998,,,,,,,,,,,,,,
'093901,1998,,,,,,,,,,,,,,
'093903,1998,,,,,,,,,,,,,,
'093904,1998,,,,,,,,,,,,,,
'093905,1998,,,,,,,,,,,,,,
'094901,1998,,,,,,,,,,,,,,
'094902,1998,,,,,,,,,,,,,,
'094903,1998,,,,,,,,,,,,,,
'094904,1998,,,,,,,,,,,,,,
'095901,1998,,,,,,,,,,,,,,
'095902,1998,,,,,,,,,,,,,,
'095903,1998,,,,,,,,,,,,,,
'095904,1998,,,,,,,,,,,,,,
'095905,1998,,,,,,,,,,,,,,
'096904,1998,,,,,,,,,,,,,,
'096905,1998,,,,,,,,,,,,,,
'096908,1998,,,,,,,,,,,,,,
'097902,1998,,,,,,,,,,,,,,
'097903,1998,,,,,,,,,,,,,,
'098901,1998,,,,,,,,,,,,,,
'098903,1998,,,,,,,,,,,,,,
'098904,1998,,,,,,,,,,,,,,
'099902,1998,,,,,,,,,,,,,,
'099903,1998,,,,,,,,,,,,,,
'100903,1998,,,,,,,,,,,,,,
'100904,1998,,,,,,,,,,,,,,
'100905,1998,,,,,,,,,,,,,,
'100907,1998,,,,,,,,,,,,,,
'100908,1998,,,,,,,,,,,,,,
'101801,1998,,,,,,,,,,,,,,
'101802,1998,,,,,,,,,,,,,,
'101803,1998,,,,,,,,,,,,,,
'101804,1998,,,,,,,,,,,,,,
'101805,1998,,,,,,,,,,,,,,
'101806,1998,,,,,,,,,,,,,,
'101807,1998,,,,,,,,,,,,,,
