DISTRICT,DPETALLC,DPETBLAP,DPETECOP,DPETHISP,DPETLEPP,DPETWHIP,YEAR
'057913,4162,56.2,43.2,11.5,3.5,31.2,1997
'057914,29971,11.8,26.9,13.5,2.7,70.6,1997
'057916,34141,19.7,28.0,14.2,12.5,57.0,1997
'057919,357,0.3,4.5,3.1,0.6,96.1,1997
'057920,3381,75.9,67.0,17.2,8.2,6.3,1997
'057922,7142,2.6,3.7,6.9,3.2,80.5,1997
'058902,182,0.0,48.9,46.7,18.1,53.3,1997
'058905,246,0.0,28.0,27.6,7.3,72.4,1997
'058906,2598,5.5,60.3,64.2,13.9,30.3,1997
'058909,194,0.0,45.9,44.3,4.6,55.7,1997
'059901,4560,2.1,62.0,71.5,19.3,26.0,1997
'059902,97,0.0,55.7,29.9,0.0,70.1,1997
'060902,956,13.1,48.8,2.2,0.7,84.2,1997
'060914,263,33.8,62.0,4.6,1.5,59.3,1997
'061901,12498,11.5,31.1,16.0,7.1,70.6,1997
'061902,30243,5.4,10.9,9.2,3.3,82.4,1997
'061903,1184,5.2,33.5,9.5,5.4,84.0,1997
'061905,937,1.2,18.9,8.1,3.5,90.4,1997
'061906,521,0.0,19.8,5.8,1.7,93.5,1997
'061907,894,0.1,22.3,7.4,3.5,91.9,1997
'061908,1858,2.4,25.6,7.4,1.7,89.5,1997
'061910,626,1.0,14.9,3.7,1.9,94.6,1997
'061911,4470,0.7,23.8,7.2,2.0,90.4,1997
'061912,2426,3.3,17.0,6.3,1.1,88.4,1997
'061914,1346,1.0,36.8,23.8,9.3,74.7,1997
'062901,2003,15.5,53.0,35.5,0.8,48.8,1997
'062902,107,0.9,61.7,46.7,2.8,52.3,1997
'062903,1576,14.3,50.6,30.8,4.5,54.9,1997
'062904,789,1.8,49.9,36.4,0.5,61.7,1997
'062905,81,0.0,86.4,37.0,2.5,63.0,1997
'062906,153,0.0,20.9,11.1,0.0,87.6,1997
'063903,378,7.4,60.8,33.1,0.0,58.7,1997
'063906,165,0.0,82.4,35.2,5.5,63.0,1997
'064901,392,0.8,77.8,98.0,55.6,1.0,1997
'064903,2338,1.0,82.0,87.3,22.5,11.1,1997
'065901,511,13.5,40.1,7.6,0.2,78.1,1997
'065902,172,0.0,57.0,8.1,1.2,90.1,1997
'066005,24,0.0,100.0,91.7,70.8,8.3,1997
'066901,577,0.0,80.2,98.6,19.4,1.4,1997
'066902,1678,0.0,85.7,98.6,19.1,1.0,1997
'066903,1041,0.4,55.1,80.2,12.6,19.1,1997
