DISTRICT,DPSTEXPA,DPSTKIDR,DPSTTENA,DPSTTOSA,YEAR
'102904,14.1,15.3,9.0,32663,1997
'102905,13.2,11.9,8.0,30831,1997
'102906,14.1,13.4,8.2,32098,1997
'103901,9.0,7.4,3.5,27905,1997
'103902,11.7,10.9,6.0,28671,1997
'104901,13.0,10.9,8.7,30467,1997
'104902,11.9,9.1,6.2,28130,1997
'104903,16.4,10.6,12.9,32544,1997
'104907,11.5,8.2,6.1,28484,1997
'105902,12.4,14.6,8.3,31589,1997
'105904,11.4,14.2,5.4,29747,1997
'105905,11.7,13.7,3.7,29764,1997
'105906,11.7,14.9,6.3,31071,1997
'106901,16.5,11.9,10.0,36621,1997
'107901,12.3,15.4,8.0,29421,1997
'107902,12.0,14.9,7.9,30311,1997
'107904,10.6,12.5,5.6,29393,1997
'107905,11.3,15.1,6.7,29244,1997
'107906,10.6,13.2,5.1,27807,1997
'107907,8.3,11.2,4.4,26735,1997
'107908,11.6,8.9,8.3,28535,1997
'107910,17.2,13.2,11.2,32205,1997
'108801,9.0,23.6,0.0,25015,1997
'108902,8.2,16.0,6.1,30387,1997
'108903,11.2,16.0,8.5,33085,1997
'108904,11.3,15.9,8.4,33524,1997
'108905,10.3,14.2,6.2,33682,1997
'108906,12.7,15.2,8.6,34810,1997
'108907,12.4,16.8,10.2,33989,1997
'108908,11.1,15.3,7.8,32953,1997
'108909,11.1,16.0,9.1,34510,1997
'108910,8.2,13.4,4.5,30374,1997
'108911,10.3,16.6,4.8,33509,1997
'108912,8.4,16.3,5.7,32468,1997
'108913,9.8,15.9,7.4,31788,1997
'108914,12.3,12.5,7.8,32535,1997
'108915,11.1,12.1,7.9,33223,1997
'108916,8.1,16.3,4.2,30821,1997
'109901,14.2,11.9,9.5,33776,1997
'109902,8.6,9.7,2.8,28265,1997
'109903,8.4,15.9,5.5,26761,1997
'109904,11.8,12.1,6.0,29961,1997
'109905,12.9,14.7,6.1,28473,1997
'109907,11.1,12.3,4.9,30950,1997
'109908,8.2,9.2,5.0,27745,1997
'109910,14.6,10.6,8.0,28479,1997
'109911,8.8,15.6,4.3,28027,1997
'109912,14.9,9.8,4.0,31237,1997
'109913,11.5,11.4,5.6,29047,1997
'109914,13.8,12.7,7.5,29389,1997
'110901,9.6,11.9,6.4,29102,1997
'110902,13.7,13.1,10.3,32675,1997
'110905,10.4,11.6,5.9,30248,1997
'110906,6.5,12.4,3.8,24725,1997
'110907,12.5,11.1,8.2,34524,1997
'110908,13.5,13.3,8.5,30379,1997
'111901,9.2,15.4,5.4,30079,1997
'111902,9.8,12.5,5.0,30372,1997
'111903,10.8,13.7,7.9,30419,1997
'112901,13.1,15.0,9.0,31986,1997
'112905,8.2,11.8,4.5,26464,1997
