CAMPUS,YEAR,CA0GM*R,CA0GM*N
'042903041,1997,,
'042903101,1997,,
'042903160,1997,,
'042903161,1997,,
'042903170,1997,,
'042905001,1997,,
'042905002,1997,,
'042905101,1997,,
'042905160,1997,,
'042906001,1997,,
'043901001,1997,,
'043901042,1997,,
'043901043,1997,,
'043901101,1997,,
'043901102,1997,,
'043901104,1997,,
'043901105,1997,,
'043901106,1997,,
'043901107,1997,,
'043902001,1997,,
'043902041,1997,,
'043902101,1997,,
'043903001,1997,,
'043903041,1997,,
'043903101,1997,,
'043904001,1997,,
'043904041,1997,,
'043904101,1997,,
'043905001,1997,,
'043905041,1997,,
'043905101,1997,,
'043905102,1997,,
'043905103,1997,,
'043907002,1997,,
'043907003,1997,,
'043907041,1997,,
'043907043,1997,,
'043907102,1997,,
'043907104,1997,,
'043907105,1997,,
'043907107,1997,,
'043907108,1997,,
'043907109,1997,,
'043907110,1997,,
'043907111,1997,,
'043908101,1997,,
'043908102,1997,,
'043910001,1997,,
'043910003,1997,,
'043910004,1997,,
'043910005,1997,,
'043910006,1997,,
'043910007,1997,,
'043910009,1997,,
'043910042,1997,,
'043910043,1997,,
'043910044,1997,,
'043910045,1997,,
'043910046,1997,,
'043910047,1997,,
'043910048,1997,,
'043910049,1997,,
'043910050,1997,,
'043910101,1997,,
'043910102,1997,,
'043910103,1997,,
'043910104,1997,,
'043910105,1997,,
'043910106,1997,,
'043910108,1997,,
'043910109,1997,,
'043910110,1997,,
'043910111,1997,,
'043910112,1997,,
'043910113,1997,,
'043910114,1997,,
'043910115,1997,,
'043910116,1997,,
'043910117,1997,,
'043910118,1997,,
'043910119,1997,,
'043910120,1997,,
'043910121,1997,,
'043910122,1997,,
'043910123,1997,,
'043910124,1997,,
'043910125,1997,,
'043910126,1997,,
'043910127,1997,,
'043910128,1997,,
'043910129,1997,,
'043910130,1997,,
'043910131,1997,,
'043910132,1997,,
'043910133,1997,,
'043910200,1997,,
'043911001,1997,,
'043911041,1997,,
'043911101,1997,,
'043912001,1997,,
'043912041,1997,,
'043912101,1997,,
'043914001,1997,,
'043914041,1997,,
'043914042,1997,,
'043914101,1997,,
'043914102,1997,,
'043914103,1997,,
'043917001,1997,,
'043917041,1997,,
'043917101,1997,,
'043918001,1997,,
'043918041,1997,,
'043918101,1997,,
'043919101,1997,,
'044902001,1997,,
'044902041,1997,,
'044902101,1997,,
'044904001,1997,,
'045902001,1997,,
'045902041,1997,,
'045902101,1997,,
'045903001,1997,,
'045903041,1997,,
'045903101,1997,,
'045903102,1997,,
'045903103,1997,,
'045905002,1997,,
'045905041,1997,,
'045905102,1997,,
'046901001,1997,,
