DISTRICT,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,YEAR
'064901,,,,,,,9.1,,,1997
'064903,,,,,,,8.8,,,1997
'065901,,,,,,,0,,,1997
'065902,,,,,,,0,,,1997
'066005,,,,,,,.,,,1997
'066901,,,,,,,4.5,,,1997
'066902,,,,,,,4.2,,,1997
'066903,,,,,,,4.7,,,1997
'067902,,,,,,,1.6,,,1997
'067903,,,,,,,2.4,,,1997
'067904,,,,,,,2.6,,,1997
'067907,,,,,,,5,,,1997
'067908,,,,,,,0,,,1997
'068901,,,,,,,7.8,,,1997
'069901,,,,,,,0,,,1997
'069902,,,,,,,0,,,1997
'070901,,,,,,,0,,,1997
'070903,,,,,,,0.8,,,1997
'070905,,,,,,,3.4,,,1997
'070907,,,,,,,0,,,1997
'070908,,,,,,,1.8,,,1997
'070909,,,,,,,0,,,1997
'070910,,,,,,,4.5,,,1997
'070911,,,,,,,0.8,,,1997
'070912,,,,,,,1.7,,,1997
'070915,,,,,,,0,,,1997
'071901,,,,,,,3.3,,,1997
'071902,,,,,,,3.5,,,1997
'071903,,,,,,,5.1,,,1997
'071904,,,,,,,1.4,,,1997
'071905,,,,,,,1.5,,,1997
'071906,,,,,,,7,,,1997
'071907,,,,,,,2.1,,,1997
'071908,,,,,,,3.3,,,1997
'071909,,,,,,,2.4,,,1997
'072901,,,,,,,.,,,1997
'072902,,,,,,,4.1,,,1997
'072903,,,,,,,2.2,,,1997
'072904,,,,,,,16.7,,,1997
'072908,,,,,,,7.1,,,1997
'072909,,,,,,,0,,,1997
'072910,,,,,,,0,,,1997
'073901,,,,,,,15.4,,,1997
'073903,,,,,,,1.1,,,1997
'073904,,,,,,,0,,,1997
'073905,,,,,,,0,,,1997
'074903,,,,,,,0,,,1997
'074904,,,,,,,0,,,1997
'074905,,,,,,,0,,,1997
'074907,,,,,,,0,,,1997
'074909,,,,,,,4,,,1997
'074911,,,,,,,5.9,,,1997
'074912,,,,,,,0,,,1997
'074917,,,,,,,3.4,,,1997
'075901,,,,,,,0,,,1997
'075902,,,,,,,0.7,,,1997
'075903,,,,,,,0,,,1997
'075906,,,,,,,0,,,1997
'075908,,,,,,,0,,,1997
'076903,,,,,,,0,,,1997
'076904,,,,,,,0,,,1997
'077901,,,,,,,1.4,,,1997
'077902,,,,,,,1.4,,,1997
'078901,,,,,,,0,,,1997
'079901,,,,,,,1.9,,,1997
'079906,,,,,,,1.1,,,1997
'079907,,,,,,,2.9,,,1997
'079908,,,,,,,.,,,1997
'079910,,,,,,,3.8,,,1997
'080901,,,,,,,2.2,,,1997
'081902,,,,,,,6.9,,,1997
'081904,,,,,,,10.3,,,1997
'081905,,,,,,,0,,,1997
'081906,,,,,,,.,,,1997
'082902,,,,,,,0,,,1997
'082903,,,,,,,1.8,,,1997
'083901,,,,,,,0,,,1997
'083902,,,,,,,0,,,1997
'083903,,,,,,,1.7,,,1997
'084901,,,,,,,7.1,,,1997
'084902,,,,,,,2.2,,,1997
'084903,,,,,,,6.3,,,1997
'084904,,,,,,,2.8,,,1997
'084906,,,,,,,8.7,,,1997
'084908,,,,,,,1.1,,,1997
'084909,,,,,,,3.8,,,1997
'084910,,,,,,,1.7,,,1997
'084911,,,,,,,0,,,1997
'085902,,,,,,,0,,,1997
'085903,,,,,,,0,,,1997
'086024,,,,,,,0,,,1997
'086901,,,,,,,1.8,,,1997
'086902,,,,,,,0,,,1997
'087901,,,,,,,13.3,,,1997
'088902,,,,,,,0,,,1997
'089901,,,,,,,1.7,,,1997
'089903,,,,,,,2.9,,,1997
'089905,,,,,,,13.3,,,1997
'090902,,,,,,,0,,,1997
'090903,,,,,,,0,,,1997
'090904,,,,,,,1.3,,,1997
'090905,,,,,,,.,,,1997
'091901,,,,,,,0,,,1997
'091902,,,,,,,5.7,,,1997
'091903,,,,,,,0.3,,,1997
'091905,,,,,,,1.4,,,1997
'091906,,,,,,,3.3,,,1997
'091907,,,,,,,0,,,1997
'091908,,,,,,,3.7,,,1997
'091909,,,,,,,2.1,,,1997
'091910,,,,,,,0,,,1997
'091913,,,,,,,7.3,,,1997
'091914,,,,,,,0,,,1997
'091917,,,,,,,0,,,1997
'091918,,,,,,,0,,,1997
'092901,,,,,,,0,,,1997
'092902,,,,,,,1.9,,,1997
'092903,,,,,,,0,,,1997
'092904,,,,,,,0,,,1997
'092906,,,,,,,0,,,1997
'092907,,,,,,,3.6,,,1997
'092908,,,,,,,0.9,,,1997
'093901,,,,,,,0,,,1997
'093903,,,,,,,0,,,1997
'093904,,,,,,,5.1,,,1997
'093905,,,,,,,13.3,,,1997
'094901,,,,,,,0.6,,,1997
'094902,,,,,,,2.4,,,1997
'094903,,,,,,,0,,,1997
'094904,,,,,,,0,,,1997
'095901,,,,,,,2.1,,,1997
'095902,,,,,,,0,,,1997
'095903,,,,,,,2,,,1997
'095904,,,,,,,6.5,,,1997
'095905,,,,,,,0.8,,,1997
'096904,,,,,,,0,,,1997
'096905,,,,,,,0,,,1997
'096908,,,,,,,0,,,1997
'097902,,,,,,,3.5,,,1997
'097903,,,,,,,0,,,1997
'098901,,,,,,,0,,,1997
'098903,,,,,,,0,,,1997
'098904,,,,,,,0,,,1997
'099902,,,,,,,0,,,1997
'099903,,,,,,,0,,,1997
'100903,,,,,,,0,,,1997
'100904,,,,,,,0.8,,,1997
'100905,,,,,,,0,,,1997
'100907,,,,,,,2.4,,,1997
'100908,,,,,,,0,,,1997
'101801,,,,,,,.,,,1997
'101802,,,,,,,.,,,1997
'101803,,,,,,,.,,,1997
'101804,,,,,,,.,,,1997
'101805,,,,,,,.,,,1997
'101806,,,,,,,.,,,1997
'101902,,,,,,,3.7,,,1997
'101903,,,,,,,3,,,1997
'101905,,,,,,,3.5,,,1997
'101906,,,,,,,1.4,,,1997
'101907,,,,,,,1.3,,,1997
'101908,,,,,,,0.4,,,1997
'101909,,,,,,,1.4,,,1997
'101910,,,,,,,3.2,,,1997
'101911,,,,,,,4.8,,,1997
'101912,,,,,,,5.6,,,1997
'101913,,,,,,,1.6,,,1997
'101914,,,,,,,1.9,,,1997
'101915,,,,,,,2.5,,,1997
'101916,,,,,,,3.1,,,1997
'101917,,,,,,,3.1,,,1997
'101919,,,,,,,1.3,,,1997
'101920,,,,,,,2.7,,,1997
'101921,,,,,,,0.3,,,1997
'101924,,,,,,,2.6,,,1997
'101925,,,,,,,0,,,1997
'102901,,,,,,,0,,,1997
'102902,,,,,,,2,,,1997
'102903,,,,,,,1.6,,,1997
'102904,,,,,,,0,,,1997
'102905,,,,,,,10.4,,,1997
'102906,,,,,,,5.2,,,1997
'103901,,,,,,,0,,,1997
'103902,,,,,,,0,,,1997
'104901,,,,,,,2.6,,,1997
'104902,,,,,,,0,,,1997
'104903,,,,,,,0,,,1997
'104907,,,,,,,0,,,1997
'105902,,,,,,,3.4,,,1997
'105904,,,,,,,0.7,,,1997
'105905,,,,,,,2.1,,,1997
'105906,,,,,,,2.2,,,1997
'106901,,,,,,,7.7,,,1997
'107901,,,,,,,12.4,,,1997
'107902,,,,,,,2.9,,,1997
'107904,,,,,,,0,,,1997
'107905,,,,,,,0,,,1997
'107906,,,,,,,0,,,1997
'107907,,,,,,,0,,,1997
'107908,,,,,,,0,,,1997
'107910,,,,,,,0,,,1997
'108801,,,,,,,.,,,1997
'108902,,,,,,,0.5,,,1997
'108903,,,,,,,0.4,,,1997
'108904,,,,,,,1.7,,,1997
'108905,,,,,,,1.8,,,1997
'108906,,,,,,,3.4,,,1997
'108907,,,,,,,2.8,,,1997
'108908,,,,,,,2.1,,,1997
'108909,,,,,,,3.2,,,1997
'108910,,,,,,,4.2,,,1997
'108911,,,,,,,2.4,,,1997
'108912,,,,,,,0.6,,,1997
'108913,,,,,,,5.4,,,1997
'108914,,,,,,,0,,,1997
'108915,,,,,,,0,,,1997
'108916,,,,,,,1,,,1997
'109901,,,,,,,0,,,1997
'109902,,,,,,,0,,,1997
'109903,,,,,,,0,,,1997
'109904,,,,,,,0.9,,,1997
'109905,,,,,,,0,,,1997
'109907,,,,,,,8.6,,,1997
'109908,,,,,,,0,,,1997
'109910,,,,,,,0,,,1997
'109911,,,,,,,2.9,,,1997
'109912,,,,,,,16.7,,,1997
'109913,,,,,,,6.7,,,1997
'109914,,,,,,,0,,,1997
'110901,,,,,,,0,,,1997
'110902,,,,,,,0.9,,,1997
'110905,,,,,,,0,,,1997
'110906,,,,,,,0,,,1997
'110907,,,,,,,2.1,,,1997
'110908,,,,,,,0,,,1997
'111901,,,,,,,0.8,,,1997
'111902,,,,,,,0,,,1997
'111903,,,,,,,0,,,1997
'112901,,,,,,,1.2,,,1997
'112905,,,,,,,0,,,1997
'112906,,,,,,,0,,,1997
'112907,,,,,,,0,,,1997
'112908,,,,,,,0,,,1997
'112909,,,,,,,0,,,1997
'112910,,,,,,,0,,,1997
'113901,,,,,,,5.4,,,1997
'113902,,,,,,,0,,,1997
'113903,,,,,,,0,,,1997
'113905,,,,,,,0,,,1997
'113906,,,,,,,4.2,,,1997
'114901,,,,,,,1.2,,,1997
'114902,,,,,,,1.4,,,1997
'114904,,,,,,,0,,,1997
'115901,,,,,,,5,,,1997
'115902,,,,,,,11.1,,,1997
'115903,,,,,,,0,,,1997
'116901,,,,,,,5.8,,,1997
'116902,,,,,,,0,,,1997
'116903,,,,,,,0,,,1997
'116905,,,,,,,6.5,,,1997
'116906,,,,,,,0,,,1997
'116908,,,,,,,1.1,,,1997
'116909,,,,,,,0,,,1997
'116910,,,,,,,0,,,1997
'116915,,,,,,,0,,,1997
'116916,,,,,,,9.5,,,1997
'117901,,,,,,,0.9,,,1997
'117903,,,,,,,0,,,1997
'117904,,,,,,,2.2,,,1997
'117907,,,,,,,.,,,1997
'118902,,,,,,,0,,,1997
'119901,,,,,,,0,,,1997
'119902,,,,,,,5.1,,,1997
'119903,,,,,,,0,,,1997
'120901,,,,,,,5.4,,,1997
'120902,,,,,,,5.4,,,1997
'120905,,,,,,,0,,,1997
'121902,,,,,,,0,,,1997
'121903,,,,,,,1,,,1997
'121904,,,,,,,2.6,,,1997
'121905,,,,,,,2,,,1997
'121906,,,,,,,0,,,1997
'122901,,,,,,,0,,,1997
'122902,,,,,,,0,,,1997
'123905,,,,,,,1.6,,,1997
'123907,,,,,,,2.3,,,1997
'123908,,,,,,,2.1,,,1997
'123910,,,,,,,5.6,,,1997
'123913,,,,,,,0,,,1997
'123914,,,,,,,2.2,,,1997
'124901,,,,,,,0,,,1997
'125901,,,,,,,0,,,1997
'125902,,,,,,,0,,,1997
'125903,,,,,,,0.9,,,1997
'125905,,,,,,,0,,,1997
'125906,,,,,,,.,,,1997
'126901,,,,,,,1.8,,,1997
'126902,,,,,,,4.6,,,1997
'126903,,,,,,,0,,,1997
'126904,,,,,,,0,,,1997
'126905,,,,,,,1.1,,,1997
'126906,,,,,,,5.7,,,1997
'126907,,,,,,,4.3,,,1997
'126908,,,,,,,5.8,,,1997
'126911,,,,,,,0,,,1997
'127901,,,,,,,1.8,,,1997
'127903,,,,,,,0,,,1997
'127904,,,,,,,0,,,1997
'127905,,,,,,,0,,,1997
'127906,,,,,,,4.1,,,1997
'128901,,,,,,,0,,,1997
'128902,,,,,,,3.1,,,1997
'128903,,,,,,,0,,,1997
'128904,,,,,,,3.8,,,1997
'129901,,,,,,,0.9,,,1997
'129902,,,,,,,0.6,,,1997
'129903,,,,,,,5.3,,,1997
'129904,,,,,,,2.9,,,1997
'129905,,,,,,,0,,,1997
'129906,,,,,,,2.2,,,1997
'129910,,,,,,,5.9,,,1997
'130901,,,,,,,2.3,,,1997
'130902,,,,,,,11.7,,,1997
'131001,,,,,,,.,,,1997
'132902,,,,,,,0,,,1997
'133901,,,,,,,0,,,1997
'133902,,,,,,,.,,,1997
'133903,,,,,,,1.7,,,1997
'133904,,,,,,,1.1,,,1997
'133905,,,,,,,.,,,1997
'134901,,,,,,,4.2,,,1997
'135001,,,,,,,0,,,1997
'136901,,,,,,,2.4,,,1997
'137901,,,,,,,0.9,,,1997
'137902,,,,,,,5,,,1997
'137903,,,,,,,0,,,1997
'137904,,,,,,,0,,,1997
'138901,,,,,,,0,,,1997
'138902,,,,,,,0,,,1997
'138903,,,,,,,3.6,,,1997
'138904,,,,,,,0,,,1997
'139905,,,,,,,0,,,1997
'139908,,,,,,,0,,,1997
'139909,,,,,,,1.7,,,1997
'139911,,,,,,,0.5,,,1997
'139912,,,,,,,0,,,1997
'140901,,,,,,,0,,,1997
'140904,,,,,,,6.4,,,1997
'140905,,,,,,,4.8,,,1997
'140906,,,,,,,0,,,1997
'140907,,,,,,,8.1,,,1997
'140908,,,,,,,0,,,1997
'141901,,,,,,,1.9,,,1997
'141902,,,,,,,0,,,1997
'142901,,,,,,,2.3,,,1997
'143901,,,,,,,0,,,1997
'143902,,,,,,,0,,,1997
'143903,,,,,,,5.3,,,1997
'143904,,,,,,,0,,,1997
'143905,,,,,,,0,,,1997
'143906,,,,,,,0,,,1997
'144901,,,,,,,0,,,1997
'144902,,,,,,,7.5,,,1997
'144903,,,,,,,0,,,1997
'145901,,,,,,,2.4,,,1997
'145902,,,,,,,0,,,1997
'145906,,,,,,,6.1,,,1997
'145907,,,,,,,0,,,1997
'145911,,,,,,,3.1,,,1997
'146901,,,,,,,1.2,,,1997
'146902,,,,,,,4.6,,,1997
'146903,,,,,,,11.1,,,1997
'146904,,,,,,,4,,,1997
'146905,,,,,,,3.3,,,1997
'146906,,,,,,,3,,,1997
'146907,,,,,,,4.6,,,1997
'147901,,,,,,,0,,,1997
'147902,,,,,,,4.6,,,1997
'147903,,,,,,,1.6,,,1997
'148901,,,,,,,0,,,1997
'148902,,,,,,,0,,,1997
'148903,,,,,,,0,,,1997
'148905,,,,,,,.,,,1997
'149901,,,,,,,5.3,,,1997
'149902,,,,,,,3.8,,,1997
'150901,,,,,,,3.2,,,1997
'152901,,,,,,,1.5,,,1997
'152902,,,,,,,0,,,1997
'152903,,,,,,,9.3,,,1997
'152906,,,,,,,2.5,,,1997
'152907,,,,,,,1.6,,,1997
'152908,,,,,,,0,,,1997
'152909,,,,,,,0,,,1997
'152910,,,,,,,0,,,1997
'153903,,,,,,,0,,,1997
'153904,,,,,,,0,,,1997
'153905,,,,,,,0,,,1997
'153907,,,,,,,11.8,,,1997
'154901,,,,,,,2.4,,,1997
'154903,,,,,,,0,,,1997
'155901,,,,,,,0.8,,,1997
'156902,,,,,,,0,,,1997
'156905,,,,,,,0,,,1997
'157901,,,,,,,0,,,1997
'158901,,,,,,,1,,,1997
'158902,,,,,,,1.5,,,1997
'158904,,,,,,,.,,,1997
'158905,,,,,,,0,,,1997
'158906,,,,,,,3.1,,,1997
'159901,,,,,,,4.7,,,1997
'160901,,,,,,,0,,,1997
'160904,,,,,,,0,,,1997
'160905,,,,,,,0,,,1997
'161801,,,,,,,.,,,1997
'161901,,,,,,,0,,,1997
'161903,,,,,,,0.5,,,1997
'161906,,,,,,,1.8,,,1997
'161907,,,,,,,0,,,1997
'161908,,,,,,,2.3,,,1997
'161909,,,,,,,0,,,1997
'161910,,,,,,,3.6,,,1997
'161912,,,,,,,7.5,,,1997
'161914,,,,,,,1.6,,,1997
'161916,,,,,,,0,,,1997
'161918,,,,,,,5.9,,,1997
'161919,,,,,,,0,,,1997
'161920,,,,,,,2.4,,,1997
'161921,,,,,,,1.5,,,1997
'161922,,,,,,,4.3,,,1997
'161923,,,,,,,7.7,,,1997
'161924,,,,,,,.,,,1997
'161925,,,,,,,0,,,1997
'162904,,,,,,,0,,,1997
'163901,,,,,,,0.9,,,1997
'163902,,,,,,,14.3,,,1997
'163903,,,,,,,0,,,1997
'163904,,,,,,,1.7,,,1997
'163908,,,,,,,0.6,,,1997
'164901,,,,,,,0,,,1997
'165901,,,,,,,0.7,,,1997
'165902,,,,,,,1.9,,,1997
'166901,,,,,,,1.6,,,1997
'166902,,,,,,,.,,,1997
'166903,,,,,,,0,,,1997
'166904,,,,,,,0.7,,,1997
'166905,,,,,,,6.3,,,1997
'166907,,,,,,,20,,,1997
'167901,,,,,,,0,,,1997
'167902,,,,,,,0,,,1997
'167903,,,,,,,0,,,1997
'167904,,,,,,,0,,,1997
'168901,,,,,,,0,,,1997
'168902,,,,,,,0,,,1997
'168903,,,,,,,0,,,1997
'169901,,,,,,,0,,,1997
'169902,,,,,,,2,,,1997
'169906,,,,,,,0,,,1997
'169908,,,,,,,0,,,1997
'169909,,,,,,,0,,,1997
'169910,,,,,,,0,,,1997
'169911,,,,,,,0,,,1997
'170902,,,,,,,2.5,,,1997
'170903,,,,,,,4.4,,,1997
'170904,,,,,,,4.9,,,1997
'170906,,,,,,,5,,,1997
'170907,,,,,,,10.2,,,1997
'170908,,,,,,,0.6,,,1997
'171901,,,,,,,2,,,1997
'171902,,,,,,,3.9,,,1997
'172902,,,,,,,2,,,1997
'172905,,,,,,,0,,,1997
'173901,,,,,,,0,,,1997
'174901,,,,,,,0,,,1997
'174902,,,,,,,6.9,,,1997
'174903,,,,,,,0,,,1997
'174904,,,,,,,1.2,,,1997
'174906,,,,,,,0,,,1997
'174908,,,,,,,5.4,,,1997
'174909,,,,,,,5,,,1997
'174910,,,,,,,0,,,1997
'174911,,,,,,,0,,,1997
'175902,,,,,,,3.8,,,1997
'175903,,,,,,,6.5,,,1997
'175904,,,,,,,6.1,,,1997
'175905,,,,,,,0,,,1997
'175907,,,,,,,6.4,,,1997
'175910,,,,,,,0,,,1997
'175911,,,,,,,0,,,1997
'176901,,,,,,,0,,,1997
'176902,,,,,,,4.8,,,1997
'176903,,,,,,,1.7,,,1997
'177901,,,,,,,0,,,1997
'177902,,,,,,,1.2,,,1997
'177903,,,,,,,0,,,1997
'177905,,,,,,,0,,,1997
'178801,,,,,,,.,,,1997
'178802,,,,,,,.,,,1997
'178901,,,,,,,0,,,1997
'178902,,,,,,,4.6,,,1997
'178903,,,,,,,0,,,1997
