CAMPUS,YEAR,CPEMALLC,CPEMALLP
'015910005,1997,516,18
'015910006,1997,137,59.6
'015910008,1997,405,97.8
'015910011,1997,31,72.1
'015910012,1997,114,100
'015910022,1997,.,.
'015910041,1997,248,16.9
'015910042,1997,350,23.8
'015910043,1997,303,28
'015910044,1997,265,26.3
'015910045,1997,263,20.9
'015910046,1997,304,25.6
'015910047,1997,269,19.1
'015910048,1997,162,13.3
'015910049,1997,215,12.5
'015910051,1997,402,99
'015910053,1997,128,100
'015910054,1997,81,100
'015910101,1997,56,11.2
'015910102,1997,111,15.3
'015910103,1997,254,41.4
'015910104,1997,71,15.8
'015910105,1997,108,29.2
'015910106,1997,147,25
'015910107,1997,146,27.2
'015910108,1997,195,37.4
'015910109,1997,95,25.1
'015910110,1997,96,27
'015910111,1997,148,25.9
'015910112,1997,202,36.1
'015910113,1997,189,42.1
'015910114,1997,153,30.8
'015910115,1997,152,28
'015910116,1997,103,25
'015910117,1997,141,26.4
'015910118,1997,211,33.4
'015910119,1997,127,24.4
'015910120,1997,155,26.6
'015910121,1997,114,19.1
'015910122,1997,325,31.1
'015910123,1997,91,12.2
'015910124,1997,174,18.1
'015910125,1997,195,19.9
'015910126,1997,164,17
'015910127,1997,138,18.8
'015910128,1997,84,10.6
'015910129,1997,108,11.4
'015910130,1997,130,15.3
'015910131,1997,66,8.2
'015910132,1997,14,66.7
'015910133,1997,.,.
'015911001,1997,377,17.8
'015911004,1997,.,.
'015911041,1997,111,13.4
'015911042,1997,186,19.3
'015911101,1997,92,13.5
'015911102,1997,128,19
'015911103,1997,191,24.6
'015911104,1997,133,20.5
'015911105,1997,.,.
'015912001,1997,541,22.5
'015912002,1997,61,96.8
'015912041,1997,231,20.8
'015912042,1997,348,27.2
'015912043,1997,14,8.5
'015912101,1997,171,19.5
'015912102,1997,149,33.6
'015912103,1997,287,33.2
'015912104,1997,80,22.6
'015912105,1997,134,23.2
'015912106,1997,199,27.5
'015912107,1997,179,21.6
'015913001,1997,151,35
'015913101,1997,195,37.6
'015914001,1997,133,24.6
'015914101,1997,218,31.9
'015914199,1997,20,100
'015915001,1997,885,24.8
'015915002,1997,852,25.7
'015915003,1997,449,14.1
'015915004,1997,158,71.2
'015915005,1997,651,20.8
'015915006,1997,47,5.3
'015915007,1997,633,19.3
'015915008,1997,690,99.7
'015915011,1997,464,99.6
'015915013,1997,31,23.7
'015915015,1997,119,58.6
'015915020,1997,75,66.4
'015915039,1997,.,.
'015915041,1997,295,23.3
'015915042,1997,226,23.4
'015915043,1997,276,21.9
'015915044,1997,383,26.3
'015915045,1997,301,21
'015915046,1997,209,21.2
'015915047,1997,131,7.9
'015915048,1997,268,18.8
'015915049,1997,320,20
'015915050,1997,196,14.3
'015915051,1997,253,17
'015915061,1997,.,.
'015915101,1997,140,25.1
'015915102,1997,229,28.4
'015915103,1997,180,32
'015915104,1997,43,10
'015915105,1997,184,33.8
'015915106,1997,129,27.6
'015915108,1997,212,25.7
'015915109,1997,113,13.6
'015915111,1997,145,30.1
'015915112,1997,153,32.6
'015915113,1997,50,20.8
'015915114,1997,221,30.5
'015915115,1997,216,29.6
'015915116,1997,124,20.6
'015915117,1997,202,40.6
'015915118,1997,137,19
'015915119,1997,209,28.6
'015915121,1997,5,26.3
'015915122,1997,155,24.6
'015915123,1997,132,22.5
'015915124,1997,122,18.5
'015915125,1997,140,17.7
'015915127,1997,25,100
'015915128,1997,175,19.9
'015915129,1997,178,93.7
'015915131,1997,195,27.9
'015915132,1997,220,24.5
'015915133,1997,128,94.1
'015915134,1997,102,14.4
'015915135,1997,185,21.3
'015915136,1997,141,13.5
'015915137,1997,312,100
'015915138,1997,160,17.8
'015915139,1997,28,50
'015915140,1997,10,76.9
'015915142,1997,219,100
'015915143,1997,88,9.3
'015915144,1997,102,14.6
'015915145,1997,95,15.4
'015915146,1997,.,.
'015915149,1997,161,18.7
'015915150,1997,138,15.2
'015915151,1997,108,15
'015915152,1997,68,12.7
'015915153,1997,31,93.9
'015915156,1997,161,17.5
'015915158,1997,271,35
'015915159,1997,9,69.2
'015915163,1997,.,.
'015915201,1997,108,100
'015915202,1997,.,.
'015915250,1997,126,100
'015916001,1997,924,21.8
'015916003,1997,106,97.2
'015916004,1997,92,98.9
'015916005,1997,166,99.4
'015916006,1997,.,.
'015916041,1997,309,20.1
'015916042,1997,207,17.8
'015916043,1997,.,.
'015916101,1997,125,23.2
'015916102,1997,156,16.6
'015916103,1997,96,16.5
'015916104,1997,185,26.8
'015916105,1997,209,28.8
'015916106,1997,100,17.7
'015916107,1997,164,22.6
'015916109,1997,119,18.5
'015916110,1997,116,18.3
'015916111,1997,189,23.4
'015916112,1997,184,22.7
'015916113,1997,138,20.2
'015917001,1997,191,20.1
'015917002,1997,.,.
'015917041,1997,184,20.3
'015917102,1997,155,24.1
'015917103,1997,197,20.2
'016901001,1997,18,9.5
'016901041,1997,16,15
'016901101,1997,37,11.8
'016902001,1997,36,13.6
'016902041,1997,27,11.9
'016902101,1997,45,13
'017901001,1997,30,14.8
'018901001,1997,72,18.3
'018901041,1997,46,14.3
'018901101,1997,88,17.8
'018902001,1997,51,20.3
'018902101,1997,45,17
'018903001,1997,51,28
'018904001,1997,40,14.7
'018904101,1997,23,10.1
'018905001,1997,45,21.2
'018906001,1997,41,30.8
'018907001,1997,75,24.7
'018908001,1997,22,14.4
'019901001,1997,57,16.1
'019901041,1997,44,12.5
'019901102,1997,50,16.9
'019902002,1997,67,15
'019902041,1997,74,19.6
'019902102,1997,69,21.8
'019903001,1997,59,13.4
'019905001,1997,71,14.2
'019905041,1997,83,19.8
'019905101,1997,107,16.5
'019906001,1997,65,17.5
'019906041,1997,78,18.6
'019906101,1997,72,18.6
'019907002,1997,412,25.2
'019907042,1997,210,23.9
'019907043,1997,104,17
'019907103,1997,152,95
'019907105,1997,52,25.7
'019907107,1997,137,27.5
'019907108,1997,114,23.8
'019907109,1997,72,26.1
'019907111,1997,.,.
'019907113,1997,111,18.1
'019907115,1997,65,25.2
'019907200,1997,59,100
'019908001,1997,126,16.1
'019908002,1997,135,88.8
'019908041,1997,150,21.7
'019908101,1997,104,22.9
'019908102,1997,.,.
'019908103,1997,129,19
'019909001,1997,53,19.5
'019909101,1997,27,12.8
'019910101,1997,14,16.1
'019911041,1997,.,.
'019911101,1997,33,10.9
'019912001,1997,68,11.1
'019912041,1997,56,8.6
'019912102,1997,66,11.4
'019913101,1997,7,12.1
'019914101,1997,36,28.3
'020901001,1997,538,17.6
'020901003,1997,6,100
'020901041,1997,119,14.2
'020901042,1997,71,15.5
'020901043,1997,141,21.1
'020901044,1997,4,6.3
'020901101,1997,97,15.6
'020901102,1997,98,17
'020901103,1997,158,21.9
'020901104,1997,123,16.9
'020901105,1997,148,17.8
'020901106,1997,111,17.2
'020901107,1997,129,19.8
'020901108,1997,123,17.9
'020901200,1997,51,41.5
'020902001,1997,331,18.4
'020902002,1997,71,100
'020902003,1997,272,99.6
'020902041,1997,186,19
'020902042,1997,155,18.9
'020902101,1997,.,.
'020902102,1997,89,15.3
'020902103,1997,140,25.9
'020902104,1997,127,24
'020902108,1997,88,14.2
'020902109,1997,125,19.5
'020904001,1997,33,14.3
'020904041,1997,19,10.2
'020904101,1997,41,15.5
'020905001,1997,337,28.1
'020905002,1997,434,16.8
'020905041,1997,144,17.3
'020905042,1997,138,20.4
'020905043,1997,152,14.5
'020905101,1997,54,16.1
'020905102,1997,57,12.6
'020905104,1997,154,37.6
'020905106,1997,111,24.8
'020905107,1997,69,13.9
'020905108,1997,114,25
'020905109,1997,96,25.5
'020905110,1997,107,22
'020905111,1997,67,13.4
'020905113,1997,104,20.1
'020905114,1997,91,20.2
'020905115,1997,97,9.9
'020905116,1997,121,20.5
'020906002,1997,112,14.7
'020906041,1997,80,12.9
'020906104,1997,127,14.4
'020907001,1997,237,21.4
'020907042,1997,78,12.2
'020907101,1997,77,20.5
'020907102,1997,99,19.8
'020907103,1997,45,14.6
'020907104,1997,49,14.8
'020907105,1997,.,.
'020907106,1997,82,21.8
'020908001,1997,358,14.6
'020908041,1997,72,9.3
'020908042,1997,88,12
'020908101,1997,118,23
'020908102,1997,56,10.5
'020908103,1997,92,14.1
'020908104,1997,59,9.9
'020908105,1997,70,10.2
'020908106,1997,111,15.5
'020908107,1997,69,11.3
'020910101,1997,21,14
'021901001,1997,287,15.3
'021901002,1997,82,96.5
'021901041,1997,144,12.9
'021901101,1997,99,18.2
'021901102,1997,70,14.4
'021901103,1997,64,12.3
'021901104,1997,100,17.2
'021901105,1997,95,13.7
'021901106,1997,55,9.5
'021901107,1997,.,.
'021901149,1997,76,87.4
'021902001,1997,461,20.1
'021902005,1997,205,18.2
'021902011,1997,322,88.7
'021902041,1997,209,20.7
'021902045,1997,243,21.7
'021902046,1997,212,17.7
'021902101,1997,104,25.7
'021902103,1997,111,17.8
'021902105,1997,150,28.4
'021902106,1997,112,22.7
'021902107,1997,42,14.3
'021902108,1997,65,20
'021902109,1997,127,33.4
'021902110,1997,91,22.5
'021902112,1997,80,15.4
'021902113,1997,112,25.1
'021902114,1997,127,21.4
'021902115,1997,168,24.4
'021902116,1997,.,.
'021902117,1997,67,18.1
'022004001,1997,.,.
'022004101,1997,28,26.7
'022901001,1997,61,14.4
'022901041,1997,50,16
'022901101,1997,80,15.7
'022902001,1997,13,11.1
'022903101,1997,.,.
'023902001,1997,27,10.3
'024901001,1997,96,17.6
'024901041,1997,52,10
'024901101,1997,59,10.4
'024901103,1997,20,13.2
'025901001,1997,74,21.8
'025901002,1997,20,87
'025901041,1997,68,26.7
'025901101,1997,114,25.2
'025901160,1997,7,87.5
'025901161,1997,1,50
'025902001,1997,281,23.8
'025902002,1997,137,84
'025902041,1997,115,15.4
'025902101,1997,54,19.8
'025902105,1997,44,15.5
'025902106,1997,72,24.4
'025902107,1997,65,15.7
'025902108,1997,102,15.5
'025902109,1997,46,23.2
'025902110,1997,.,.
'025904001,1997,17,20.2
'025904101,1997,45,27.3
'025904170,1997,1,100
'025905001,1997,36,24.3
'025905101,1997,33,25.4
'025905160,1997,.,.
'025905170,1997,.,.
'025906001,1997,16,14.3
'025906101,1997,18,24.3
'025906160,1997,1,33.3
'025908001,1997,20,27.8
'025908101,1997,36,24.3
'025909001,1997,45,13.8
'025909041,1997,38,11.7
'025909101,1997,46,14.8
'025909102,1997,36,17.1
'026901001,1997,94,17.6
'026901003,1997,21,100
'026901041,1997,81,15.8
'026901042,1997,46,14.1
'026901101,1997,93,19
'026902001,1997,46,17.2
'026902005,1997,22,100
'026902041,1997,32,14.7
'026902101,1997,65,19
'026903002,1997,112,20.3
'026903003,1997,9,100
'027903001,1997,152,20.8
'027903002,1997,140,94.6
'027903003,1997,52,85.2
'027903041,1997,137,19.7
'027903101,1997,102,21.7
'027903102,1997,67,27.7
'027903104,1997,65,19.6
'027904001,1997,215,22.5
'027904041,1997,131,16.1
'027904101,1997,138,15.9
'027904102,1997,99,18.5
'028902001,1997,198,19.4
'028902003,1997,112,100
'028902038,1997,85,83.3
'028902040,1997,39,81.3
'028902041,1997,106,15.2
'028902042,1997,63,100
'028902043,1997,.,.
'028902101,1997,114,16.3
'028902102,1997,.,.
'028902103,1997,74,10.8
'028902104,1997,94,13.2
'028903001,1997,89,18.1
'028903041,1997,55,13.7
'028903101,1997,38,10.2
'028903102,1997,40,15
'028903103,1997,.,.
'028906001,1997,55,30.2
'029901001,1997,241,18.8
'029901002,1997,149,100
'029901003,1997,.,.
'029901043,1997,144,15.2
'029901101,1997,148,19.7
'029901102,1997,143,21.4
'029901104,1997,34,25.2
'029901105,1997,27,22.5
'029901107,1997,37,17.4
'030901001,1997,33,13.9
'030901101,1997,28,13.1
'030902001,1997,64,13.2
'030902041,1997,43,15.6
'030902101,1997,60,17.8
'030902102,1997,18,20
'030902103,1997,70,18.2
'030903001,1997,52,21.1
'030903101,1997,54,21.4
'030906001,1997,24,13
'030906041,1997,17,15
'030906101,1997,52,17.9
'031901001,1997,663,22.8
'031901002,1997,568,20.8
'031901003,1997,603,22.8
'031901004,1997,481,24.2
'031901007,1997,417,25.8
'031901041,1997,212,20.3
'031901042,1997,230,25
'031901043,1997,227,20.6
'031901044,1997,233,20.1
'031901045,1997,226,17.8
'031901046,1997,366,20.8
'031901047,1997,209,17.3
'031901048,1997,212,20.3
'031901101,1997,156,22.7
'031901102,1997,171,19.2
'031901103,1997,84,21.2
'031901104,1997,115,17.7
'031901105,1997,254,23.2
'031901106,1997,169,24.7
'031901108,1997,149,28.9
'031901109,1997,95,27.5
'031901110,1997,129,15.2
'031901111,1997,41,8.7
'031901112,1997,150,25.6
'031901113,1997,138,24.8
'031901115,1997,88,26
'031901116,1997,126,24.2
'031901117,1997,50,23.9
'031901120,1997,133,23.4
'031901121,1997,100,19.2
'031901122,1997,155,24.5
'031901123,1997,117,15.6
'031901124,1997,216,22.9
'031901126,1997,235,22.3
'031901127,1997,239,74.5
'031901128,1997,248,20.8
'031901129,1997,93,12.1
'031901130,1997,138,14.5
'031901131,1997,139,21.5
'031901132,1997,82,13.6
'031901133,1997,.,.
'031903001,1997,668,25.4
'031903002,1997,454,20.5
'031903003,1997,374,85.2
'031903041,1997,181,19.4
'031903042,1997,171,17.8
'031903043,1997,160,19.3
'031903102,1997,130,22.6
'031903103,1997,148,21.6
'031903104,1997,110,24.8
'031903105,1997,109,24.6
'031903106,1997,89,21.8
'031903107,1997,93,22.3
'031903108,1997,113,30.7
'031903109,1997,95,18.5
'031903110,1997,100,19.5
'031903111,1997,139,18.3
'031903112,1997,108,27.6
'031903114,1997,138,28.9
'031903116,1997,120,20.1
'031903117,1997,103,14.3
'031903118,1997,172,100
'031903120,1997,113,15.1
'031905001,1997,135,18.1
'031905002,1997,42,93.3
'031905041,1997,105,15.2
'031905101,1997,64,14.1
'031905102,1997,.,.
'031905103,1997,113,16.4
'031906001,1997,338,19.7
'031906003,1997,80,98.8
'031906041,1997,169,16.2
'031906101,1997,136,19.1
'031906102,1997,81,20.7
'031906103,1997,102,26.2
'031906104,1997,116,19.5
'031906105,1997,123,14.6
'031906106,1997,.,.
'031909001,1997,115,18.6
'031909041,1997,81,14.1
'031909101,1997,140,18.4
'031909102,1997,33,15.2
'031911001,1997,126,19.7
'031911041,1997,70,14.3
'031911102,1997,151,18.5
'031911103,1997,.,.
'031912001,1997,643,25.3
'031912041,1997,173,15.6
'031912042,1997,161,15.9
'031912101,1997,49,14.6
'031912102,1997,49,16.7
'031912103,1997,76,18.4
'031912104,1997,57,11.2
'031912106,1997,100,22.4
'031912108,1997,49,16.9
'031912109,1997,96,29.3
'031912110,1997,65,16.6
'031912112,1997,71,24.1
'031912114,1997,66,29.7
'031912201,1997,439,100
'031913001,1997,30,20.7
'031913002,1997,2,20
'031913041,1997,40,22.2
'031913101,1997,45,26.3
'031914001,1997,72,19.6
'031914041,1997,53,18
'031914101,1997,109,21
'031916001,1997,72,14.1
'031916003,1997,49,23.3
'031916004,1997,95,12.3
'031916005,1997,82,12.6
'031916006,1997,23,50
'032902002,1997,124,17.7
'032902041,1997,60,12.5
'032902103,1997,61,11.6
'032902104,1997,52,14.9
'033901001,1997,18,8.7
'033902001,1997,28,11.6
'033902002,1997,12,70.6
'033902041,1997,25,14.5
'033902101,1997,21,7.6
'033904001,1997,23,12.9
'033904101,1997,28,23
'033904102,1997,27,13.5
'034901001,1997,97,14
'034901002,1997,2,100
