CAMPUS,YEAR,CAHEE*R,CAHEC#R,CAHEC*R,CAHEE#R
'015907157,1998,,,,
'015907158,1998,,,,
'015907159,1998,,,,
'015907160,1998,,,,
'015907161,1998,,,,
'015907162,1998,,,,
'015907164,1998,,,,
'015907165,1998,,,,
'015907167,1998,,,,
'015907168,1998,,,,
'015907169,1998,,,,
'015907170,1998,,,,
'015907171,1998,,,,
'015907172,1998,,,,
'015907173,1998,,,,
'015907174,1998,,,,
'015907175,1998,,,,
'015907176,1998,,,,
'015907179,1998,,,,
'015907180,1998,,,,
'015907182,1998,,,,
'015907183,1998,,,,
'015907184,1998,,,,
'015907185,1998,,,,
'015907186,1998,,,,
'015907191,1998,,,,
'015907193,1998,,,,
'015907194,1998,,,,
'015907195,1998,,,,
'015907196,1998,,,,
'015907201,1998,,,,
'015908001,1998,,,,
'015908002,1998,,,,
'015908036,1998,,,,
'015908037,1998,,,,
'015908038,1998,,,,
'015908039,1998,,,,
'015908041,1998,,,,
'015908042,1998,,,,
'015908043,1998,,,,
'015908101,1998,,,,
'015908104,1998,,,,
'015908105,1998,,,,
'015908106,1998,,,,
'015908107,1998,,,,
'015908108,1998,,,,
'015908109,1998,,,,
'015908110,1998,,,,
'015908111,1998,,,,
'015908112,1998,,,,
'015909001,1998,,,,
'015909003,1998,,,,
'015909041,1998,,,,
'015909101,1998,,,,
'015909102,1998,,,,
'015910001,1998,,,,
'015910002,1998,,,,
'015910003,1998,,,,
'015910004,1998,,,,
'015910005,1998,,,,
'015910006,1998,,,,
'015910008,1998,,,,
'015910009,1998,,,,
'015910011,1998,,,,
'015910012,1998,,,,
'015910022,1998,,,,
'015910041,1998,,,,
'015910042,1998,,,,
'015910043,1998,,,,
'015910044,1998,,,,
'015910045,1998,,,,
'015910046,1998,,,,
'015910047,1998,,,,
'015910048,1998,,,,
'015910049,1998,,,,
'015910051,1998,,,,
'015910053,1998,,,,
'015910054,1998,,,,
'015910055,1998,,,,
'015910101,1998,,,,
'015910102,1998,,,,
'015910103,1998,,,,
'015910104,1998,,,,
'015910105,1998,,,,
'015910106,1998,,,,
'015910107,1998,,,,
'015910108,1998,,,,
'015910109,1998,,,,
'015910110,1998,,,,
'015910111,1998,,,,
'015910112,1998,,,,
'015910113,1998,,,,
'015910114,1998,,,,
'015910115,1998,,,,
'015910116,1998,,,,
'015910117,1998,,,,
'015910118,1998,,,,
'015910119,1998,,,,
'015910120,1998,,,,
'015910121,1998,,,,
'015910122,1998,,,,
'015910123,1998,,,,
'015910124,1998,,,,
'015910125,1998,,,,
'015910126,1998,,,,
'015910127,1998,,,,
'015910128,1998,,,,
'015910129,1998,,,,
'015910130,1998,,,,
'015910131,1998,,,,
'015910132,1998,,,,
'015910133,1998,,,,
'015910134,1998,,,,
'015910135,1998,,,,
'015911001,1998,,,,
'015911004,1998,,,,
'015911005,1998,,,,
'015911041,1998,,,,
'015911042,1998,,,,
'015911043,1998,,,,
'015911101,1998,,,,
'015911102,1998,,,,
'015911103,1998,,,,
'015911104,1998,,,,
'015911105,1998,,,,
'015912001,1998,,,,
'015912002,1998,,,,
'015912003,1998,,,,
'015912041,1998,,,,
'015912042,1998,,,,
'015912043,1998,,,,
'015912101,1998,,,,
'015912102,1998,,,,
'015912103,1998,,,,
'015912104,1998,,,,
'015912105,1998,,,,
'015912106,1998,,,,
'015912107,1998,,,,
'015912108,1998,,,,
'015913001,1998,,,,
'015913101,1998,,,,
'015914001,1998,,,,
'015914101,1998,,,,
'015914199,1998,,,,
'015915001,1998,,,,
'015915002,1998,,,,
'015915003,1998,,,,
'015915004,1998,,,,
'015915005,1998,,,,
'015915006,1998,,,,
'015915007,1998,,,,
'015915008,1998,,,,
'015915011,1998,,,,
'015915013,1998,,,,
'015915015,1998,,,,
'015915020,1998,,,,
'015915039,1998,,,,
'015915041,1998,,,,
'015915042,1998,,,,
'015915043,1998,,,,
'015915044,1998,,,,
'015915045,1998,,,,
'015915046,1998,,,,
'015915047,1998,,,,
'015915048,1998,,,,
'015915049,1998,,,,
'015915050,1998,,,,
'015915051,1998,,,,
'015915061,1998,,,,
'015915062,1998,,,,
'015915101,1998,,,,
'015915102,1998,,,,
'015915103,1998,,,,
'015915104,1998,,,,
'015915105,1998,,,,
'015915106,1998,,,,
'015915108,1998,,,,
'015915109,1998,,,,
'015915111,1998,,,,
'015915112,1998,,,,
'015915113,1998,,,,
'015915114,1998,,,,
'015915115,1998,,,,
'015915116,1998,,,,
'015915117,1998,,,,
'015915118,1998,,,,
'015915119,1998,,,,
'015915121,1998,,,,
'015915122,1998,,,,
'015915123,1998,,,,
'015915124,1998,,,,
'015915125,1998,,,,
'015915128,1998,,,,
'015915129,1998,,,,
'015915131,1998,,,,
'015915132,1998,,,,
'015915133,1998,,,,
'015915134,1998,,,,
'015915135,1998,,,,
'015915136,1998,,,,
'015915137,1998,,,,
'015915138,1998,,,,
'015915139,1998,,,,
'015915140,1998,,,,
'015915143,1998,,,,
'015915144,1998,,,,
'015915145,1998,,,,
'015915149,1998,,,,
'015915150,1998,,,,
'015915151,1998,,,,
'015915152,1998,,,,
'015915153,1998,,,,
'015915156,1998,,,,
'015915157,1998,,,,
'015915158,1998,,,,
'015915159,1998,,,,
'015915160,1998,,,,
'015915161,1998,,,,
'015915163,1998,,,,
'015915201,1998,,,,
'015915202,1998,,,,
'015915250,1998,,,,
'015916001,1998,,,,
'015916003,1998,,,,
'015916004,1998,,,,
'015916005,1998,,,,
'015916006,1998,,,,
'015916041,1998,,,,
'015916042,1998,,,,
'015916043,1998,,,,
'015916101,1998,,,,
'015916102,1998,,,,
'015916103,1998,,,,
'015916104,1998,,,,
'015916105,1998,,,,
'015916106,1998,,,,
'015916107,1998,,,,
'015916109,1998,,,,
'015916110,1998,,,,
'015916111,1998,,,,
'015916112,1998,,,,
'015916113,1998,,,,
'015917001,1998,,,,
'015917002,1998,,,,
'015917041,1998,,,,
'015917102,1998,,,,
'015917103,1998,,,,
'016901001,1998,,,,
'016901041,1998,,,,
'016901101,1998,,,,
'016902001,1998,,,,
'016902041,1998,,,,
'016902101,1998,,,,
'017901001,1998,,,,
'018901001,1998,,,,
'018901041,1998,,,,
'018901101,1998,,,,
'018902001,1998,,,,
'018902101,1998,,,,
'018903001,1998,,,,
'018904001,1998,,,,
'018904041,1998,,,,
'018904101,1998,,,,
'018905001,1998,,,,
'018906001,1998,,,,
'018907001,1998,,,,
'018908001,1998,,,,
'019901001,1998,,,,
'019901041,1998,,,,
'019901102,1998,,,,
'019902002,1998,,,,
'019902041,1998,,,,
'019902102,1998,,,,
'019903001,1998,,,,
'019905001,1998,,,,
'019905041,1998,,,,
'019905101,1998,,,,
'019906001,1998,,,,
'019906041,1998,,,,
'019906101,1998,,,,
'019907002,1998,,,,
'019907042,1998,,,,
'019907043,1998,,,,
'019907103,1998,,,,
'019907105,1998,,,,
'019907107,1998,,,,
'019907108,1998,,,,
'019907109,1998,,,,
'019907111,1998,,,,
'019907113,1998,,,,
'019907115,1998,,,,
'019907200,1998,,,,
'019908001,1998,,,,
'019908002,1998,,,,
'019908003,1998,,,,
'019908041,1998,,,,
'019908101,1998,,,,
'019908102,1998,,,,
'019908103,1998,,,,
'019909001,1998,,,,
'019909101,1998,,,,
'019910101,1998,,,,
'019911041,1998,,,,
'019911101,1998,,,,
'019912001,1998,,,,
'019912041,1998,,,,
'019912102,1998,,,,
'019913101,1998,,,,
'019914101,1998,,,,
'020901001,1998,,,,
'020901041,1998,,,,
'020901042,1998,,,,
'020901043,1998,,,,
'020901044,1998,,,,
'020901101,1998,,,,
'020901102,1998,,,,
'020901103,1998,,,,
'020901104,1998,,,,
'020901105,1998,,,,
'020901106,1998,,,,
'020901107,1998,,,,
'020901108,1998,,,,
'020901109,1998,,,,
'020901200,1998,,,,
'020902001,1998,,,,
'020902002,1998,,,,
'020902003,1998,,,,
'020902041,1998,,,,
'020902042,1998,,,,
'020902101,1998,,,,
'020902102,1998,,,,
'020902103,1998,,,,
'020902104,1998,,,,
'020902108,1998,,,,
'020902109,1998,,,,
'020904001,1998,,,,
'020904041,1998,,,,
'020904101,1998,,,,
'020905001,1998,,,,
'020905002,1998,,,,
'020905004,1998,,,,
'020905041,1998,,,,
'020905042,1998,,,,
'020905043,1998,,,,
'020905101,1998,,,,
'020905102,1998,,,,
'020905104,1998,,,,
'020905106,1998,,,,
'020905107,1998,,,,
'020905108,1998,,,,
'020905109,1998,,,,
'020905110,1998,,,,
'020905111,1998,,,,
'020905113,1998,,,,
'020905114,1998,,,,
'020905115,1998,,,,
'020905116,1998,,,,
'020906002,1998,,,,
'020906004,1998,,,,
'020906041,1998,,,,
'020906104,1998,,,,
'020907001,1998,,,,
'020907005,1998,,,,
'020907042,1998,,,,
'020907101,1998,,,,
'020907102,1998,,,,
'020907103,1998,,,,
'020907104,1998,,,,
'020907105,1998,,,,
'020907106,1998,,,,
'020908001,1998,,,,
'020908002,1998,,,,
'020908041,1998,,,,
'020908042,1998,,,,
'020908101,1998,,,,
'020908102,1998,,,,
'020908103,1998,,,,
'020908104,1998,,,,
'020908105,1998,,,,
'020908106,1998,,,,
'020908107,1998,,,,
'020908108,1998,,,,
'020910101,1998,,,,
'021901001,1998,,,,
'021901002,1998,,,,
'021901041,1998,,,,
'021901101,1998,,,,
'021901102,1998,,,,
'021901103,1998,,,,
'021901104,1998,,,,
'021901105,1998,,,,
'021901106,1998,,,,
'021901107,1998,,,,
'021901149,1998,,,,
'021902001,1998,,,,
'021902005,1998,,,,
'021902011,1998,,,,
'021902041,1998,,,,
'021902045,1998,,,,
'021902046,1998,,,,
'021902101,1998,,,,
'021902103,1998,,,,
'021902105,1998,,,,
'021902106,1998,,,,
'021902107,1998,,,,
'021902108,1998,,,,
'021902109,1998,,,,
'021902110,1998,,,,
'021902112,1998,,,,
'021902113,1998,,,,
'021902114,1998,,,,
'021902115,1998,,,,
'021902116,1998,,,,
'021902117,1998,,,,
'021902118,1998,,,,
'022004001,1998,,,,
'022004101,1998,,,,
'022901001,1998,,,,
'022901002,1998,,,,
'022901041,1998,,,,
'022901101,1998,,,,
'022901102,1998,,,,
'022902001,1998,,,,
'022903101,1998,,,,
'023902001,1998,,,,
'024901001,1998,,,,
'024901041,1998,,,,
'024901042,1998,,,,
'024901101,1998,,,,
'024901102,1998,,,,
'024901103,1998,,,,
'025901001,1998,,,,
'025901002,1998,,,,
'025901003,1998,,,,
'025901041,1998,,,,
'025901101,1998,,,,
'025901160,1998,,,,
'025901161,1998,,,,
'025902001,1998,,,,
'025902002,1998,,,,
'025902041,1998,,,,
'025902042,1998,,,,
'025902101,1998,,,,
'025902105,1998,,,,
'025902106,1998,,,,
'025902107,1998,,,,
'025902108,1998,,,,
'025902109,1998,,,,
'025902110,1998,,,,
'025904001,1998,,,,
'025904101,1998,,,,
'025904160,1998,,,,
'025905001,1998,,,,
'025905101,1998,,,,
'025905160,1998,,,,
'025905161,1998,,,,
'025905170,1998,,,,
'025906001,1998,,,,
'025906101,1998,,,,
'025906160,1998,,,,
'025908001,1998,,,,
'025908101,1998,,,,
'025909001,1998,,,,
'025909041,1998,,,,
'025909101,1998,,,,
