DISTRICT,CNTYNAME,COUNTY,DACKDTL,DISTNAME,D_RATING,REGION
'014901,BELL,'014,,ACADEMY ISD,E,'12
'014902,BELL,'014,,BARTLETT ISD,A,'12
'014903,BELL,'014,,BELTON ISD,R,'12
'014905,BELL,'014,,HOLLAND ISD,R,'12
'014906,BELL,'014,,KILLEEN ISD,A,'12
'014907,BELL,'014,R,ROGERS ISD,R,'12
'014908,BELL,'014,RA,SALADO ISD,R,'12
'014909,BELL,'014,,TEMPLE ISD,A,'12
'014910,BELL,'014,R,TROY ISD,R,'12
'015801,BEXAR,'015,,BLESSED SACRAMENT ACAD CHARTER H S,C,'20
'015802,BEXAR,'015,,BUILDING ALTERNATIVES CHARTER,C,'20
'015803,BEXAR,'015,,"HIGGS, CARTER, KING GIFTED & TALEN",C,'20
'015805,BEXAR,'015,,NEW FRONTIERS CHARTER SCHOOL,C,'20
'015806,BEXAR,'015,,SCHOOL OF EXCELLENCE IN EDUCATION,C,'20
'015807,BEXAR,'015,,SOUTHWEST PREPARATORY SCHOOL,C,'20
'015808,BEXAR,'015,,JOHN H WOOD CHARTER SCHOOL,C,'20
'015809,BEXAR,'015,,ACADEMY OF SAN ANTONIO,C,'20
'015810,BEXAR,'015,,CAREER PLUS LEARNING ACADEMY,C,'20
'015811,BEXAR,'015,,LA ESCUELA DE LAS AMERICAS,C,'20
'015812,BEXAR,'015,,GEORGE I SANCHEZ CHARTER HS SAN AN,C,'20
'015813,BEXAR,'015,,GUARDIAN ANGEL PERFORMANCE ACADEMY,C,'20
'015814,BEXAR,'015,,POSITIVE SOLUTIONS CHARTER SCHOOL,C,'20
'015815,BEXAR,'015,,RADIANCE ACADEMY OF LEARNING,C,'20
'015816,BEXAR,'015,,ACADEMY OF CAREERS AND TECHNOLOGIE,C,'20
'015818,BEXAR,'015,,EAGLE PROJECT (SAN ANTONIO II),C,'20
'015819,BEXAR,'015,,SHEKINAH 'RADIANCE' ACADEMY,C,'20
'015820,BEXAR,'015,,SAN ANTONIO SCHOOL FOR INQUIRY & C,C,'20
'015901,BEXAR,'015,,ALAMO HEIGHTS ISD,R,'20
'015904,BEXAR,'015,R,HARLANDALE ISD,R,'20
'015905,BEXAR,'015,,EDGEWOOD ISD,A,'20
'015906,BEXAR,'015,RA,RANDOLPH FIELD ISD,E,'20
'015907,BEXAR,'015,,SAN ANTONIO ISD,A,'20
'015908,BEXAR,'015,R,SOUTH SAN ANTONIO ISD,R,'20
'015909,BEXAR,'015,,SOMERSET ISD,R,'20
'015910,BEXAR,'015,,NORTH EAST ISD,R,'20
'015911,BEXAR,'015,,EAST CENTRAL ISD,R,'20
'015912,BEXAR,'015,,SOUTHWEST ISD,R,'20
'015913,BEXAR,'015,TA,LACKLAND ISD,E,'20
'015914,BEXAR,'015,A,FT SAM HOUSTON ISD,R,'20
'015915,BEXAR,'015,,NORTHSIDE ISD,R,'20
'015916,BEXAR,'015,,JUDSON ISD,A,'20
'015917,BEXAR,'015,,SOUTHSIDE ISD,A,'20
'016901,BLANCO,'016,,JOHNSON CITY ISD,A,'13
'016902,BLANCO,'016,,BLANCO ISD,R,'13
'017901,BORDEN,'017,,BORDEN COUNTY ISD,A,'17
'018901,BOSQUE,'018,R,CLIFTON ISD,R,'12
'018902,BOSQUE,'018,R,MERIDIAN ISD,R,'12
'018903,BOSQUE,'018,,MORGAN ISD,A,'12
'018904,BOSQUE,'018,R,VALLEY MILLS ISD,A,'12
'018905,BOSQUE,'018,,WALNUT SPRINGS ISD,A,'12
'018906,BOSQUE,'018,R,IREDELL ISD,R,'12
'018907,BOSQUE,'018,R,KOPPERL ISD,A,'12
'018908,BOSQUE,'018,,CRANFILLS GAP ISD,A,'12
'019802,BOWIE,'019,,EAGLE PROJECT (TEXARKANA),C,'08
'019901,BOWIE,'019,R,DEKALB ISD,R,'08
'019902,BOWIE,'019,R,HOOKS ISD,E,'08
'019903,BOWIE,'019,A,MAUD ISD,E,'08
'019905,BOWIE,'019,,NEW BOSTON ISD,E,'08
'019906,BOWIE,'019,R,REDWATER ISD,R,'08
'019907,BOWIE,'019,,TEXARKANA ISD,A,'08
'019908,BOWIE,'019,,LIBERTY-EYLAU ISD,A,'08
'019909,BOWIE,'019,A,SIMMS ISD,R,'08
'019910,BOWIE,'019,A,MALTA ISD,R,'08
'019911,BOWIE,'019,A,RED LICK ISD,E,'08
'019912,BOWIE,'019,R,PLEASANT GROVE ISD,E,'08
'019913,BOWIE,'019,A,HUBBARD ISD,A,'08
'019914,BOWIE,'019,A,LEARY ISD,R,'08
'020901,BRAZORIA,'020,,ALVIN ISD,R,'04
'020902,BRAZORIA,'020,A,ANGLETON ISD,E,'04
'020904,BRAZORIA,'020,R,DANBURY ISD,R,'04
'020905,BRAZORIA,'020,,BRAZOSPORT ISD,E,'04
'020906,BRAZORIA,'020,R,SWEENY ISD,E,'04
'020907,BRAZORIA,'020,R,COLUMBIA-BRAZORIA ISD,R,'04
'020908,BRAZORIA,'020,R,PEARLAND ISD,R,'04
'020910,BRAZORIA,'020,A,DAMON ISD,E,'04
'021802,BRAZOS,'021,,EAGLE PROJECT (BRYAN),C,'06
'021803,BRAZOS,'021,,BRAZOS SCHOOL FOR INQUIRY & CREATI,C,'06
'021901,BRAZOS,'021,,COLLEGE STATION ISD,R,'06
'021902,BRAZOS,'021,,BRYAN ISD,A,'06
'022004,BREWSTER,'022,,TERLINGUA CSD,A,'18
'022901,BREWSTER,'022,,ALPINE ISD,R,'18
'022902,BREWSTER,'022,A,MARATHON ISD,R,'18
'022903,BREWSTER,'022,A,SAN VICENTE ISD,A,'18
'023902,BRISCOE,'023,TA,SILVERTON ISD,E,'16
'024801,BROOKS,'024,,ENCINO SCHOOL,C,'02
'024901,BROOKS,'024,,BROOKS COUNTY ISD,R,'02
'025901,BROWN,'025,R,BANGS ISD,R,'15
'025902,BROWN,'025,,BROWNWOOD ISD,A,'15
'025904,BROWN,'025,A,BLANKET ISD,A,'15
'025905,BROWN,'025,RA,MAY ISD,R,'15
'025906,BROWN,'025,,ZEPHYR ISD,E,'15
'025908,BROWN,'025,A,BROOKESMITH ISD,E,'15
'025909,BROWN,'025,RA,EARLY ISD,E,'15
'026901,BURLESON,'026,R,CALDWELL ISD,A,'06
'026902,BURLESON,'026,RA,SOMERVILLE ISD,A,'06
'026903,BURLESON,'026,,SNOOK ISD,A,'06
'027903,BURNET,'027,,BURNET CONS ISD,R,'13
'027904,BURNET,'027,,MARBLE FALLS ISD,A,'13
'028902,CALDWELL,'028,,LOCKHART ISD,A,'13
'028903,CALDWELL,'028,,LULING ISD,A,'13
'028906,CALDWELL,'028,,PRAIRIE LEA ISD,A,'13
'029901,CALHOUN,'029,R,CALHOUN CO ISD,R,'03
'030901,CALLAHAN,'030,R,CROSS PLAINS ISD,A,'14
'030902,CALLAHAN,'030,R,CLYDE CONS ISD,R,'14
'030903,CALLAHAN,'030,A,BAIRD ISD,A,'14
'030906,CALLAHAN,'030,RA,EULA ISD,R,'14
'031801,CAMERON,'031,,VALLEY HIGH,C,'01
'031802,CAMERON,'031,,EAGLE PROJECT (BROWNSVILLE),C,'01
'031901,CAMERON,'031,RA,BROWNSVILLE ISD,R,'01
'031903,CAMERON,'031,R,HARLINGEN CONS ISD,R,'01
'031905,CAMERON,'031,R,LA FERIA ISD,R,'01
'031906,CAMERON,'031,RA,LOS FRESNOS CONS ISD,E,'01
'031909,CAMERON,'031,R,POINT ISABEL ISD,R,'01
'031911,CAMERON,'031,A,RIO HONDO ISD,R,'01
'031912,CAMERON,'031,,SAN BENITO CONS ISD,R,'01
'031913,CAMERON,'031,,SANTA MARIA ISD,R,'01
'031914,CAMERON,'031,,SANTA ROSA ISD,R,'01
'031916,CAMERON,'031,TR,SOUTH TEXAS ISD,E,'01
'032902,CAMP,'032,R,PITTSBURG ISD,R,'08
'033901,CARSON,'033,A,GROOM ISD,E,'16
'033902,CARSON,'033,RA,PANHANDLE ISD,E,'16
'033904,CARSON,'033,RA,WHITE DEER ISD,E,'16
'034901,CASS,'034,,ATLANTA ISD,E,'08
'034902,CASS,'034,,AVINGER ISD,E,'08
'034903,CASS,'034,,HUGHES SPRINGS ISD,R,'08
'034905,CASS,'034,A,LINDEN-KILDARE CONS ISD,E,'08
'034906,CASS,'034,,MCLEOD ISD,E,'08
'034907,CASS,'034,A,QUEEN CITY ISD,R,'08
'034908,CASS,'034,A,MARIETTA ISD,A,'08
'034909,CASS,'034,R,BLOOMBURG ISD,A,'08
'035901,CASTRO,'035,,DIMMITT ISD,R,'16
'035902,CASTRO,'035,RA,HART ISD,R,'16
'035903,CASTRO,'035,RA,NAZARETH ISD,E,'16
'036901,CHAMBERS,'036,RA,ANAHUAC ISD,A,'04
'036902,CHAMBERS,'036,R,BARBERS HILL ISD,R,'04
'036903,CHAMBERS,'036,,EAST CHAMBERS ISD,A,'04
'037901,CHEROKEE,'037,A,ALTO ISD,A,'07
'037904,CHEROKEE,'037,R,JACKSONVILLE ISD,A,'07
'037907,CHEROKEE,'037,,RUSK ISD,A,'07
'037908,CHEROKEE,'037,A,NEW SUMMERFIELD ISD,A,'07
'037909,CHEROKEE,'037,RA,WELLS ISD,R,'07
'038901,CHILDRESS,'038,R,CHILDRESS ISD,R,'16
'039901,CLAY,'039,R,BYERS ISD,E,'09
'039902,CLAY,'039,A,HENRIETTA ISD,R,'09
'039903,CLAY,'039,R,PETROLIA ISD,R,'09
'039904,CLAY,'039,RA,BELLEVUE ISD,E,'09
'039905,CLAY,'039,RA,MIDWAY ISD,E,'09
'040901,COCHRAN,'040,,MORTON ISD,R,'17
'040902,COCHRAN,'040,A,WHITEFACE CONS ISD,A,'17
'041901,COKE,'041,RA,BRONTE ISD,A,'15
'041902,COKE,'041,A,ROBERT LEE ISD,E,'15
'042901,COLEMAN,'042,R,COLEMAN ISD,R,'15
'042903,COLEMAN,'042,RA,SANTA ANNA ISD,A,'15
'042905,COLEMAN,'042,A,PANTHER CREEK CONS ISD,E,'15
'042906,COLEMAN,'042,R,NOVICE ISD,A,'15
'043901,COLLIN,'043,R,ALLEN ISD,R,'10
'043902,COLLIN,'043,,ANNA ISD,A,'10
'043903,COLLIN,'043,R,CELINA ISD,A,'10
'043904,COLLIN,'043,R,FARMERSVILLE ISD,R,'10
'043905,COLLIN,'043,R,FRISCO ISD,R,'10
'043907,COLLIN,'043,R,MCKINNEY ISD,A,'10
'043908,COLLIN,'043,,MELISSA ISD,A,'10
'043910,COLLIN,'043,,PLANO ISD,R,'10
'043911,COLLIN,'043,,PRINCETON ISD,R,'10
'043912,COLLIN,'043,R,PROSPER ISD,R,'10
'043914,COLLIN,'043,R,WYLIE ISD,R,'10
'043917,COLLIN,'043,R,BLUE RIDGE ISD,R,'10
'043918,COLLIN,'043,,COMMUNITY ISD,R,'10
'043919,COLLIN,'043,A,LOVEJOY ISD,E,'10
'044902,COLLINGSWORTH,'044,,WELLINGTON ISD,R,'16
'044904,COLLINGSWORTH,'044,RA,SAMNORWOOD ISD,A,'16
'045902,COLORADO,'045,R,COLUMBUS ISD,A,'03
'045903,COLORADO,'045,A,RICE CONS ISD,A,'03
'045905,COLORADO,'045,TR,WEIMAR ISD,A,'03
'046801,COMAL,'046,,NANCY NEY CHARTER SCHOOL,C,'13
'046901,COMAL,'046,R,NEW BRAUNFELS ISD,A,'13
'046902,COMAL,'046,R,COMAL ISD,R,'13
'047901,COMANCHE,'047,R,COMANCHE ISD,R,'14
'047902,COMANCHE,'047,R,DE LEON ISD,A,'14
'047903,COMANCHE,'047,TRA,GUSTINE ISD,R,'14
'047905,COMANCHE,'047,TA,SIDNEY ISD,E,'14
'048901,CONCHO,'048,RA,EDEN C I S D,A,'15
'048903,CONCHO,'048,A,PAINT ROCK ISD,R,'15
'049901,COOKE,'049,,GAINESVILLE ISD,A,'11
'049902,COOKE,'049,CTRA,MUENSTER ISD,E,'11
'049903,COOKE,'049,CT,VALLEY VIEW ISD,R,'11
'049905,COOKE,'049,R,CALLISBURG ISD,R,'11
'049906,COOKE,'049,R,ERA ISD,R,'11
'049907,COOKE,'049,TA,LINDSAY ISD,E,'11
'049908,COOKE,'049,A,WALNUT BEND ISD,A,'11
'049909,COOKE,'049,A,SIVELLS BEND ISD,A,'11
'050901,CORYELL,'050,RA,EVANT ISD,R,'12
'050902,CORYELL,'050,,GATESVILLE ISD,E,'12
'050904,CORYELL,'050,R,OGLESBY ISD,R,'12
'050909,CORYELL,'050,RA,JONESBORO ISD,R,'12
'050910,CORYELL,'050,R,COPPERAS COVE ISD,R,'12
'051901,COTTLE,'051,TA,PADUCAH ISD,R,'17
'052901,CRANE,'052,R,CRANE ISD,R,'18
'053001,CROCKETT,'053,RA,CROCKETT CO CONS CSD,R,'15
'054901,CROSBY,'054,,CROSBYTON ISD,A,'17
'054902,CROSBY,'054,R,LORENZO ISD,R,'17
'054903,CROSBY,'054,R,RALLS ISD,A,'17
'055901,CULBERSON,'055,,CULBERSON COUNTY-ALLAMOORE ISD,R,'18
'056901,DALLAM,'056,R,DALHART ISD,A,'16
'056902,DALLAM,'056,R,TEXLINE ISD,A,'16
'057802,DALLAS,'057,,PEGASUS CHARTER SCHOOL,C,'10
'057803,DALLAS,'057,,NORTH HILLS SCHOOL,C,'10
'057804,DALLAS,'057,,DALLAS CAN ACADEMY CHARTER,C,'10
'057805,DALLAS,'057,,DALLAS COMMUNITY CHARTER SCHOOL,C,'10
'057806,DALLAS,'057,,EAGLE ADVANTAGE SCHOOL,C,'10
'057807,DALLAS,'057,,LIFE CHARTER SCHOOL OF OAK CLIFF,C,'10
'057808,DALLAS,'057,,UNIVERSAL ACADEMY,C,'10
'057809,DALLAS,'057,,NOVA,C,'10
'057810,DALLAS,'057,,ACADEMY OF DALLAS,C,'10
'057811,DALLAS,'057,,CHILDREN FIRST ACADEMY OF DALLAS,C,'10
'057813,DALLAS,'057,,DALLAS ADVANTAGE CHARTER SCHOOL,C,'10
'057814,DALLAS,'057,,DALLAS COUNTY JUVENILE JUSTICE,C,'10
'057815,DALLAS,'057,,FAITH FAMILY ACADEMY OF OAK CLIFF,C,'10
'057816,DALLAS,'057,,A W BROWN-FELLOWSHIP CHARTER SCHOO,C,'10
'057817,DALLAS,'057,,FOCUS LEARNING ACADEMY,C,'10
'057818,DALLAS,'057,,I AM THAT I AM ACADEMY,C,'10
'057819,DALLAS,'057,,JEAN MASSIEU ACADEMY,C,'10
'057820,DALLAS,'057,,RYLIE FAITH FAMILY ACADEMY,C,'10
'057821,DALLAS,'057,,TEXAS LANGUAGE CHARTER,C,'10
'057823,DALLAS,'057,,EAGLE PROJECT (DALLAS),C,'10
'057825,DALLAS,'057,,HONORS ACADEMY,C,'10
'057827,DALLAS,'057,,NOVA CHARTER SCHOOL-SOUTHEAST,C,'10
'057828,DALLAS,'057,,WINFREE ACADEMY,C,'10
'057829,DALLAS,'057,,A+ ACADEMY,C,'10
'057830,DALLAS,'057,,INSPIRED VISION ACADEMY,C,'10
'057903,DALLAS,'057,,CARROLLTON-FARMERS BRANCH ISD,R,'10
'057904,DALLAS,'057,R,CEDAR HILL ISD,A,'10
'057905,DALLAS,'057,,DALLAS ISD,A,'10
'057906,DALLAS,'057,R,DESOTO ISD,R,'10
'057907,DALLAS,'057,,DUNCANVILLE ISD,R,'10
'057909,DALLAS,'057,,GARLAND ISD,R,'10
'057910,DALLAS,'057,R,GRAND PRAIRIE ISD,A,'10
'057911,DALLAS,'057,CA,HIGHLAND PARK ISD,E,'10
'057912,DALLAS,'057,,IRVING ISD,R,'10
'057913,DALLAS,'057,R,LANCASTER ISD,A,'10
'057914,DALLAS,'057,,MESQUITE ISD,R,'10
'057916,DALLAS,'057,,RICHARDSON ISD,A,'10
'057919,DALLAS,'057,A,SUNNYVALE ISD,E,'10
'057920,DALLAS,'057,,WILMER-HUTCHINS ISD,A,'10
'057922,DALLAS,'057,RA,COPPELL ISD,R,'10
'058902,DAWSON,'058,C,DAWSON,E,'17
'058905,DAWSON,'058,C,KLONDIKE ISD,R,'17
'058906,DAWSON,'058,,LAMESA ISD,A,'17
'058909,DAWSON,'058,,SANDS ISD,E,'17
'059901,DEAF SMITH,'059,,HEREFORD ISD,R,'16
'059902,DEAF SMITH,'059,A,WALCOTT ISD,E,'16
'060902,DELTA,'060,,COOPER ISD,A,'08
'060914,DELTA,'060,,FANNINDEL ISD,A,'08
'061901,DENTON,'061,,DENTON ISD,A,'11
'061902,DENTON,'061,R,LEWISVILLE ISD,R,'11
'061903,DENTON,'061,R,PILOT POINT ISD,A,'11
'061905,DENTON,'061,R,KRUM ISD,A,'11
'061906,DENTON,'061,,PONDER ISD,A,'11
'061907,DENTON,'061,R,AUBREY ISD,R,'11
'061908,DENTON,'061,,SANGER ISD,A,'11
'061910,DENTON,'061,A,ARGYLE ISD,E,'11
'061911,DENTON,'061,R,NORTHWEST ISD,A,'11
'061912,DENTON,'061,R,LAKE DALLAS ISD,R,'11
'061914,DENTON,'061,R,LITTLE ELM ISD,A,'11
'062901,DEWITT,'062,,CUERO ISD,R,'03
'062902,DEWITT,'062,,NORDHEIM ISD,A,'03
'062903,DEWITT,'062,,YOAKUM ISD,A,'03
'062904,DEWITT,'062,A,YORKTOWN ISD,A,'03
'062905,DEWITT,'062,A,WESTHOFF ISD,E,'03
'062906,DEWITT,'062,A,MEYERSVILLE ISD,E,'03
'063903,DICKENS,'063,R,SPUR ISD,R,'17
'063906,DICKENS,'063,TRA,PATTON SPRINGS ISD,E,'17
'064903,DIMMIT,'064,R,CARRIZO SPRINGS CONS ISD,A,'20
'065901,DONLEY,'065,RA,CLARENDON ISD,R,'16
'065902,DONLEY,'065,A,HEDLEY ISD,R,'16
'066005,DUVAL,'066,A,RAMIREZ CSD,R,'02
'066901,DUVAL,'066,R,BENAVIDES ISD,A,'02
'066902,DUVAL,'066,,SAN DIEGO ISD,A,'02
'066903,DUVAL,'066,R,FREER ISD,R,'02
'067902,EASTLAND,'067,,CISCO ISD,E,'14
'067903,EASTLAND,'067,T,EASTLAND ISD,R,'14
'067904,EASTLAND,'067,RA,GORMAN ISD,R,'14
'067907,EASTLAND,'067,,RANGER ISD,R,'14
'067908,EASTLAND,'067,R,RISING STAR ISD,E,'14
'068901,ECTOR,'068,,ECTOR COUNTY ISD,A,'18
'069901,EDWARDS,'069,,ROCKSPRINGS ISD,A,'15
'069902,EDWARDS,'069,R,NUECES CANYON CONS ISD,R,'15
'070801,ELLIS,'070,,WAXAHACHIE FAITH FAMILY ACADEMY,C,'10
'070901,ELLIS,'070,,AVALON ISD,A,'10
'070903,ELLIS,'070,,ENNIS ISD,R,'10
'070905,ELLIS,'070,,FERRIS ISD,R,'10
'070907,ELLIS,'070,RA,ITALY ISD,R,'10
'070908,ELLIS,'070,R,MIDLOTHIAN ISD,R,'10
'070909,ELLIS,'070,,MILFORD ISD,A,'10
'070910,ELLIS,'070,,PALMER ISD,A,'10
'070911,ELLIS,'070,,RED OAK ISD,A,'10
'070912,ELLIS,'070,A,WAXAHACHIE ISD,A,'10
'070915,ELLIS,'070,R,MAYPEARL ISD,E,'10
'071801,EL PASO,'071,,BURNHAM WOOD CHARTER SCHOOL,C,'19
'071803,EL PASO,'071,,PASO DEL NORTE,C,'19
'071804,EL PASO,'071,,EL PASO ACADEMY EAST,C,'19
'071805,EL PASO,'071,,EL PASO SCHOOL OF EXCELLENCE,C,'19
'071901,EL PASO,'071,A,CLINT ISD,R,'19
'071902,EL PASO,'071,R,EL PASO ISD,A,'19
'071903,EL PASO,'071,R,FABENS ISD,A,'19
'071904,EL PASO,'071,A,SAN ELIZARIO ISD,A,'19
'071905,EL PASO,'071,R,YSLETA ISD,R,'19
'071906,EL PASO,'071,A,ANTHONY,R,'19
'071907,EL PASO,'071,R,CANUTILLO ISD,R,'19
'071908,EL PASO,'071,A,TORNILLO ISD,A,'19
'071909,EL PASO,'071,R,SOCORRO ISD,R,'19
'072801,ERATH,'072,,PARADIGM ACCELERATED SCHOOL,C,'11
'072901,ERATH,'072,A,THREE WAY ISD,R,'11
'072902,ERATH,'072,R,DUBLIN ISD,A,'11
'072903,ERATH,'072,,STEPHENVILLE ISD,R,'11
'072904,ERATH,'072,A,BLUFF DALE ISD,E,'11
'072908,ERATH,'072,RA,HUCKABAY ISD,R,'11
'072909,ERATH,'072,A,LINGLEVILLE ISD,A,'11
'072910,ERATH,'072,A,MORGAN MILL ISD,E,'11
'073901,FALLS,'073,,CHILTON ISD,A,'12
'073903,FALLS,'073,,MARLIN ISD,A,'12
'073904,FALLS,'073,A,WESTPHALIA ISD,E,'12
'073905,FALLS,'073,R,ROSEBUD-LOTT ISD,R,'12
'074903,FANNIN,'074,,BONHAM ISD,A,'10
'074904,FANNIN,'074,RA,DODD CITY ISD,A,'10
'074905,FANNIN,'074,A,ECTOR ISD,A,'10
'074907,FANNIN,'074,RA,HONEY GROVE ISD,A,'10
'074909,FANNIN,'074,,LEONARD ISD,A,'10
'074911,FANNIN,'074,RA,SAVOY ISD,R,'10
'074912,FANNIN,'074,T,TRENTON ISD,R,'10
'074917,FANNIN,'074,R,SAM RAYBURN ISD,E,'10
'075901,FAYETTE,'075,RA,FLATONIA ISD,R,'13
'075902,FAYETTE,'075,R,LA GRANGE ISD,A,'13
'075903,FAYETTE,'075,RA,SCHULENBURG ISD,A,'13
'075906,FAYETTE,'075,R,FAYETTEVILLE ISD,R,'13
'075908,FAYETTE,'075,,ROUND TOP-CARMINE ISD,E,'13
'076903,FISHER,'076,R,ROBY CONS ISD,E,'14
'076904,FISHER,'076,RA,ROTAN ISD,E,'14
'077901,FLOYD,'077,,FLOYDADA ISD,A,'17
'077902,FLOYD,'077,A,LOCKNEY ISD,A,'17
'078901,FOARD,'078,RA,CROWELL ISD,A,'09
'079901,FORT BEND,'079,,LAMAR CONSOLIDATED ISD,A,'04
'079906,FORT BEND,'079,,NEEDVILLE ISD,A,'04
'079907,FORT BEND,'079,,FORT BEND ISD,R,'04
'079908,FORT BEND,'079,A,KENDLETON ISD,R,'04
'079910,FORT BEND,'079,R,STAFFORD MSD,A,'04
'080901,FRANKLIN,'080,R,MOUNT VERNON ISD,E,'08
'081902,FREESTONE,'081,,FAIRFIELD ISD,A,'12
'081904,FREESTONE,'081,A,TEAGUE ISD,A,'12
'081905,FREESTONE,'081,A,WORTHAM ISD,A,'12
'081906,FREESTONE,'081,A,DEW ISD,R,'12
'082902,FRIO,'082,,DILLEY ISD,A,'20
'082903,FRIO,'082,,PEARSALL ISD,R,'20
'083901,GAINES,'083,R,SEAGRAVES ISD,E,'17
'083902,GAINES,'083,A,LOOP ISD,A,'17
'083903,GAINES,'083,,SEMINOLE ISD,R,'17
'084801,GALVESTON,'084,,MAINLAND PREPARATORY ACADEMY,C,'04
'084802,GALVESTON,'084,,ODYSSEY ACADEMY INC,C,'04
'084901,GALVESTON,'084,,DICKINSON ISD,A,'04
'084902,GALVESTON,'084,,GALVESTON ISD,A,'04
'084903,GALVESTON,'084,,HIGH ISLAND ISD,A,'05
'084904,GALVESTON,'084,,LA MARQUE ISD,R,'04
'084906,GALVESTON,'084,,TEXAS CITY ISD,R,'04
'084908,GALVESTON,'084,R,HITCHCOCK ISD,A,'04
'084909,GALVESTON,'084,,SANTA FE ISD,R,'04
'084910,GALVESTON,'084,,CLEAR CREEK ISD,R,'04
'084911,GALVESTON,'084,R,FRIENDSWOOD ISD,E,'04
'085902,GARZA,'085,,POST ISD,R,'17
'085903,GARZA,'085,R,SOUTHLAND ISD,R,'17
'086024,GILLESPIE,'086,,DOSS CONS CSD,A,'13
'086901,GILLESPIE,'086,,FREDERICKSBURG ISD,R,'13
'086902,GILLESPIE,'086,TR,HARPER ISD,A,'13
'087901,GLASSCOCK,'087,A,GLASSCOCK COUNTY ISD,R,'18
'088902,GOLIAD,'088,,GOLIAD ISD,R,'03
'089901,GONZALES,'089,R,GONZALES ISD,A,'13
'089903,GONZALES,'089,,NIXON-SMILEY CONS ISD,R,'13
'089905,GONZALES,'089,R,WAELDER ISD,R,'13
'090902,GRAY,'090,A,LEFORS ISD,A,'16
'090903,GRAY,'090,RA,MCLEAN ISD,E,'16
'090904,GRAY,'090,,PAMPA ISD,R,'16
'090905,GRAY,'090,A,GRANDVIEW-HOPKINS ISD,E,'16
'091901,GRAYSON,'091,RA,BELLS ISD,R,'10
'091902,GRAYSON,'091,A,COLLINSVILLE ISD,E,'10
'091903,GRAYSON,'091,,DENISON ISD,E,'10
'091905,GRAYSON,'091,R,HOWE ISD,E,'10
'091906,GRAYSON,'091,,SHERMAN ISD,A,'10
'091907,GRAYSON,'091,A,TIOGA ISD,E,'10
'091908,GRAYSON,'091,RA,VAN ALSTYNE ISD,E,'10
'091909,GRAYSON,'091,R,WHITESBORO ISD,R,'10
'091910,GRAYSON,'091,RA,WHITEWRIGHT ISD,E,'10
