DISTRICT,CNTYNAME,COUNTY,DFLCHART,DFLYRE,DISTNAME,DSUPRATE,D_RATING,REGION,REGNNAME
'034905,CASS,'034,N,N,LINDEN-KILDARE CONS ISD,NQ,E,'08,REGION 08: MT PLEASANT
'034906,CASS,'034,N,N,MCLEOD ISD,NQ,E,'08,REGION 08: MT PLEASANT
'034907,CASS,'034,N,N,QUEEN CITY ISD,NQ,A,'08,REGION 08: MT PLEASANT
'034908,CASS,'034,N,N,MARIETTA ISD,NA,A,'08,REGION 08: MT PLEASANT
'034909,CASS,'034,N,N,BLOOMBURG ISD,NQ,E,'08,REGION 08: MT PLEASANT
'035901,CASTRO,'035,N,N,DIMMITT ISD,NQ,A,'16,REGION 16: AMARILLO
'035902,CASTRO,'035,N,N,HART ISD,NQ,A,'16,REGION 16: AMARILLO
'035903,CASTRO,'035,N,N,NAZARETH ISD,NQ,E,'16,REGION 16: AMARILLO
'036901,CHAMBERS,'036,N,N,ANAHUAC ISD,NQ,A,'04,REGION 04: HOUSTON
'036902,CHAMBERS,'036,N,N,BARBERS HILL ISD,NQ,R,'04,REGION 04: HOUSTON
'036903,CHAMBERS,'036,N,N,EAST CHAMBERS ISD,NQ,A,'04,REGION 04: HOUSTON
'037901,CHEROKEE,'037,N,N,ALTO ISD,NQ,A,'07,REGION 07: KILGORE
'037904,CHEROKEE,'037,N,N,JACKSONVILLE ISD,NQ,A,'07,REGION 07: KILGORE
'037907,CHEROKEE,'037,N,N,RUSK ISD,NQ,A,'07,REGION 07: KILGORE
'037908,CHEROKEE,'037,N,N,NEW SUMMERFIELD ISD,NQ,A,'07,REGION 07: KILGORE
'037909,CHEROKEE,'037,N,N,WELLS ISD,NQ,R,'07,REGION 07: KILGORE
'038901,CHILDRESS,'038,N,N,CHILDRESS ISD,NQ,R,'16,REGION 16: AMARILLO
'039901,CLAY,'039,N,N,BYERS ISD,NQ,E,'09,REGION 09: WICHITA FALLS
'039902,CLAY,'039,N,N,HENRIETTA ISD,NQ,E,'09,REGION 09: WICHITA FALLS
'039903,CLAY,'039,N,N,PETROLIA ISD,NQ,R,'09,REGION 09: WICHITA FALLS
'039904,CLAY,'039,N,N,BELLEVUE ISD,NQ,E,'09,REGION 09: WICHITA FALLS
'039905,CLAY,'039,N,N,MIDWAY ISD,AT,R,'09,REGION 09: WICHITA FALLS
'040901,COCHRAN,'040,N,N,MORTON ISD,NQ,A,'17,REGION 17: LUBBOCK
'040902,COCHRAN,'040,N,N,WHITEFACE CONS ISD,NQ,A,'17,REGION 17: LUBBOCK
'041901,COKE,'041,N,N,BRONTE ISD,NQ,R,'15,REGION 15: SAN ANGELO
'041902,COKE,'041,N,N,ROBERT LEE ISD,NQ,R,'15,REGION 15: SAN ANGELO
'042901,COLEMAN,'042,N,N,COLEMAN ISD,NQ,R,'15,REGION 15: SAN ANGELO
'042903,COLEMAN,'042,N,N,SANTA ANNA ISD,NQ,A,'15,REGION 15: SAN ANGELO
'042905,COLEMAN,'042,N,N,PANTHER CREEK CONS ISD,NQ,R,'15,REGION 15: SAN ANGELO
'042906,COLEMAN,'042,N,N,NOVICE ISD,NQ,R,'15,REGION 15: SAN ANGELO
'043901,COLLIN,'043,N,N,ALLEN ISD,NQ,R,'10,REGION 10: RICHARDSON
'043902,COLLIN,'043,N,N,ANNA ISD,NQ,A,'10,REGION 10: RICHARDSON
'043903,COLLIN,'043,N,N,CELINA ISD,NQ,A,'10,REGION 10: RICHARDSON
'043904,COLLIN,'043,N,N,FARMERSVILLE ISD,NQ,A,'10,REGION 10: RICHARDSON
'043905,COLLIN,'043,N,N,FRISCO ISD,NQ,R,'10,REGION 10: RICHARDSON
'043907,COLLIN,'043,N,P,MCKINNEY ISD,NQ,A,'10,REGION 10: RICHARDSON
'043908,COLLIN,'043,N,N,MELISSA ISD,NA,A,'10,REGION 10: RICHARDSON
