DISTRICT,YEAR,DA0GH05N,DA0GH05P,DA0GM05N,DA0GM05P,DA0GR05N,DA0GR05P,DA0LV05R,DAPID06N,DAPID06R,DAUND05C,DB0GR05N,DB0GR05P,DH0GR05N,DH0GR05P,DI0GR05N,DI0GR05P,DP0GR05N,DP0GR05P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR05N,DS0GR05P,DW0GR05N,DW0GR05P
'182906,2006,0,.,0,.,.,.,.,2,2.5,0,0,.,0,.,0,.,0,.,0,0,0,0,0,0,.,.,9.1,.,0,0,0,0,0,.,.,0,79,8,10.1,0,0,3,2.6,45,57,11,13.9,10,12.7,8,10.1,7,8.9,14,17.7,6,7.6,0,0,0,0,0,0,0,0,0,0,0,0,5,6.3,2,2.5,10,12.7,8,10.1,19,24.1,0,0,8,10.1,0,0,41,51.9,8,10.1,0,0,60,75.9,0,.,0,.
'183801,2006,4,6.5,58,93.5,62,100,4.1,0,0,13,8,12.9,1,1.6,0,0,0,0,.,.,.,.,.,.,.,20,.,.,.,.,.,.,.,.,9.1,.,167,0,0,35,21,0,0,80,47.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7.8,37,22.2,31,18.6,44,26.3,42,25.1,0,0,0,0,0,0,0,0,8,4.8,4,2.4,0,0,0,0,19,11.4,43,25.7,136,81.4,120,71.9,19,30.6,53,85.5
'183901,2006,15,78.9,4,21.1,19,100,1.4,2,0.3,3,1,5.3,3,15.8,2,10.5,1,5.3,6.7,0,9.5,2.7,11.1,3.4,0,0,2.6,9.1,0,0,0,0,0,0,0,33.3,535,11,2.1,63,11.8,10,1.9,205,38.3,43,8,40,7.5,39,7.3,35,6.5,46,8.6,33,6.2,34,6.4,45,8.4,46,8.6,30,5.6,30,5.6,20,3.7,0,0,18,3.4,51,9.5,43,8,54,10.1,8,1.5,6,1.1,5,0.9,192,35.9,94,17.6,67,12.5,405,75.7,1,5.3,12,63.2
'183902,2006,117,68.8,53,31.2,170,100,0.1,2,0.1,1,46,27.1,7,4.1,0,0,0,0,0,1.8,0,0.6,4.1,0.4,2.1,4.4,7.9,4.3,0,0,3.6,9.4,3.4,0,0,16.2,2852,98,3.4,764,26.8,131,4.2,1260,44.2,216,7.6,215,7.5,188,6.6,197,6.9,211,7.4,191,6.7,253,8.9,207,7.3,233,8.2,204,7.2,177,6.2,188,6.6,11,0.4,243,8.5,236,8.3,125,4.4,252,8.8,6,0.2,99,3.5,21,0.7,1319,46.2,362,12.7,638,22.4,1809,63.4,24,14.1,117,68.8
'183904,2006,12,70.6,5,29.4,17,100,1.3,4,1.1,2,0,0,2,11.8,0,0,0,0,0,6.3,0,0,18.8,0,0,5.3,21.4,0,0,0,0,16.7,0,0,0,12.5,313,4,1.3,0,0,3,0.9,133,42.5,22,7,18,5.8,25,8,23,7.3,34,10.9,22,7,27,8.6,23,7.3,30,9.6,24,7.7,22,7,21,6.7,0,0,16,5.1,22,7,0,0,11,3.5,2,0.6,0,0,1,0.3,51,16.3,64,20.4,63,20.1,299,95.5,2,11.8,15,88.2
'184901,2006,14,35.9,25,64.1,39,100,0.3,1,0.2,1,0,0,9,23.1,0,0,0,0,17.9,0,0,4.3,9.7,0,2.3,0,12.1,0,0,0,0,0,0,0,0,20,515,17,3.3,3,0.6,3,0.5,303,58.8,35,6.8,30,5.8,34,6.6,35,6.8,30,5.8,31,6,26,5,43,8.3,38,7.4,50,9.7,39,7.6,33,6.4,2,0.4,32,6.2,50,9.7,39,7.6,59,11.5,4,0.8,17,3.3,3,0.6,256,49.7,63,12.2,144,28,446,86.6,6,15.4,30,76.9
'184902,2006,135,68.9,61,31.1,196,100,0.3,0,0,6,0,0,13,6.6,1,0.5,0,0,4.2,6.6,3.6,2.2,3.1,0.5,4.2,2.8,3.4,3.2,2.9,5.6,0,0,0,6.7,6,12.5,3474,81,2.3,31,0.9,103,2.6,1474,42.4,244,7,224,6.4,249,7.2,211,6.1,273,7.9,236,6.8,262,7.5,298,8.6,300,8.6,283,8.1,270,7.8,232,6.7,8,0.2,169,4.9,268,7.7,116,3.3,318,9.2,43,1.2,84,2.4,10,0.3,1522,43.8,438,12.6,789,22.7,3072,88.4,23,11.7,182,92.9
'184903,2006,248,59,172,41,420,100,0,1,0,0,8,1.9,43,10.2,3,0.7,4,1,1.8,0.9,3.4,0,2.1,0.2,0.2,0.2,1.5,4,0,1.4,1.2,1.3,0,1.3,2.2,11.1,7182,404,5.6,195,2.7,193,2.4,2606,36.3,527,7.3,512,7.1,526,7.3,511,7.1,547,7.6,540,7.5,607,8.5,566,7.9,623,8.7,599,8.3,511,7.1,442,6.2,29,0.4,641,8.9,475,6.6,167,2.3,1233,17.2,56,0.8,420,5.8,73,1,2445,34,843,11.7,1870,26,5625,78.3,45,10.7,362,86.2
'184904,2006,31,59.6,21,40.4,52,100,0,2,0.2,0,0,0,5,9.6,0,0,0,0,5.7,8.2,5.1,0,4.3,0,0,0,10.5,0,0,0,0,0,0,0,0,12.5,788,27,3.4,7,0.9,23,2.5,255,32.4,40,5.1,54,6.9,50,6.3,47,6,48,6.1,55,7,61,7.7,66,8.4,98,12.4,67,8.5,52,6.6,69,8.8,1,0.1,48,6.1,50,6.3,30,3.8,81,10.3,0,0,27,3.4,1,0.1,326,41.4,127,16.1,192,24.4,699,88.7,14,26.9,47,90.4
'184907,2006,204,84,39,16,243,100,0.2,2,0,3,2,0.8,10,4.1,2,0.8,3,1.2,2,0.8,0.5,1.5,0,0,0.7,0.7,1.9,6.9,4.3,0,0,0,0,0,0,22.6,3959,73,1.8,34,0.9,35,0.9,434,11,269,6.8,247,6.2,306,7.7,282,7.1,268,6.8,298,7.5,360,9.1,352,8.9,355,9,358,9,316,8,277,7,9,0.2,389,9.8,251,6.3,11,0.3,261,6.6,26,0.7,78,2,44,1.1,638,16.1,376,9.5,591,14.9,3594,90.8,10,4.1,226,93
