DISTRICT,YEAR,DA0GH05N,DA0GH05P,DA0GM05N,DA0GM05P,DA0GR05N,DA0GR05P,DA0LV05R,DAPID06N,DAPID06R,DAUND05C,DB0GR05N,DB0GR05P,DH0GR05N,DH0GR05P,DI0GR05N,DI0GR05P,DP0GR05N,DP0GR05P,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPACC,DPETPACP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR05N,DS0GR05P,DW0GR05N,DW0GR05P
'061908,2006,89,56,70,44,159,100,0.4,1,0,5,4,2.5,14,8.8,1,0.6,0,0,0.8,0,0.8,0.8,0,0,1.6,0,6,0,0,3.8,0,0,0,0,0,10.3,2406,100,4.2,70,2.9,29,1.2,853,35.5,153,6.4,169,7,164,6.8,169,7,165,6.9,187,7.8,210,8.7,161,6.7,236,9.8,182,7.6,178,7.4,152,6.3,6,0.2,133,5.5,194,8.1,80,3.3,422,17.5,16,0.7,127,5.3,14,0.6,920,38.2,345,14.3,518,21.5,1884,78.3,16,10.1,140,88.1
'061910,2006,69,82.1,15,17.9,84,100,0.1,9,0.5,1,1,1.2,3,3.6,0,0,0,0,4.6,0,0,0,0,0,1,0,2.8,4.5,0,0,0,0,0,0,0,11.8,1628,38,2.3,4,0.2,18,1.1,123,7.6,105,6.4,98,6,109,6.7,148,9.1,114,7,142,8.7,149,9.2,132,8.1,149,9.2,155,9.5,120,7.4,115,7.1,1,0.1,198,12.2,91,5.6,0,0,126,7.7,2,0.1,40,2.5,13,0.8,362,22.2,183,11.2,223,13.7,1483,91.1,9,10.7,80,95.2
'061911,2006,299,85.4,51,14.6,350,100,0,8,0.1,0,3,0.9,39,11.1,3,0.9,10,2.9,1.4,1.2,0.4,1,0.4,0.4,0.9,1,3.4,6.3,0,1.1,0,0,1.1,1.2,1.4,15.8,8705,380,4.4,347,4,129,1.5,1828,21,737,8.5,741,8.5,691,7.9,722,8.3,670,7.7,646,7.4,696,8,673,7.7,774,8.9,653,7.5,482,5.5,342,3.9,23,0.3,601,6.9,742,8.5,113,1.3,1313,15.1,67,0.8,383,4.4,187,2.1,2915,33.5,1007,11.6,1659,19.1,6791,78,25,7.1,295,84.3
'061912,2006,153,75.4,50,24.6,203,100,0,9,0.2,0,13,6.4,19,9.4,2,1,5,2.5,1.6,0,0.4,0,2.3,0,2.3,1.6,0.4,3.9,1.8,2.4,0,1.5,0,2.3,5.6,7.7,3932,200,5.1,287,7.3,47,1.1,808,20.5,341,8.7,316,8,313,8,315,8,293,7.5,297,7.6,290,7.4,325,8.3,318,8.1,276,7,250,6.4,230,5.8,21,0.5,268,6.8,316,8,31,0.8,560,14.2,27,0.7,204,5.2,108,2.7,1196,30.4,471,12,764,19.4,2950,75,15,7.4,164,80.8
'061914,2006,106,57.9,77,42.1,183,100,0.2,19,0.4,3,20,10.9,56,30.6,0,0,2,1.1,2.4,2.5,1.4,0.3,0,0,1.2,0,3.8,2,5.3,0,0,3.6,0,2.3,4.7,2.4,4643,662,14.3,537,11.6,100,2.2,1779,38.3,402,8.7,397,8.6,380,8.2,369,7.9,361,7.8,365,7.9,330,7.1,320,6.9,383,8.2,289,6.2,195,4.2,164,3.5,17,0.4,211,4.5,424,9.1,247,5.3,1615,34.8,23,0.5,703,15.1,88,1.9,1953,42.1,547,11.8,384,8.3,2380,51.3,22,12,105,57.4
'062901,2006,83,62.4,50,37.6,133,100,0,0,0,0,14,10.5,45,33.8,1,0.8,0,0,4.3,2,3.2,2,2.2,2.3,0,1.6,5.1,22.2,0,0,11.1,0,4,6.7,0,7.1,1964,24,1.2,289,14.7,118,5.4,1098,55.9,112,5.7,107,5.4,124,6.3,115,5.9,115,5.9,134,6.8,151,7.7,159,8.1,204,10.4,180,9.2,178,9.1,145,7.4,2,0.1,118,6,153,7.8,85,4.3,718,36.6,2,0.1,24,1.2,4,0.2,978,49.8,275,14,512,26.1,951,48.4,17,12.8,73,54.9
'062902,2006,3,100,0,0,3,100,0,0,0,0,0,0,2,66.7,0,0,0,0,0,0,16.7,0,0,0,33.3,23.1,0,.,0,0,.,0,.,.,0,.,72,0,0,0,0,2,2.2,32,44.4,7,9.7,1,1.4,5,6.9,5,6.9,3,4.2,7,9.7,5,6.9,6,8.3,8,11.1,8,11.1,3,4.2,11,15.3,0,0,11,15.3,3,4.2,0,0,32,44.4,0,0,0,0,0,0,35,48.6,15,20.8,21,29.2,40,55.6,0,0,1,33.3
'062903,2006,42,46.2,49,53.8,91,100,0.1,0,0,1,8,8.8,19,20.9,0,0,0,0,7.9,6.1,0,1.2,3.7,2.2,1.1,0,4.3,15.4,9.1,0,0,5,9.1,0,0,10,1588,112,7.1,195,12.3,22,1.3,914,57.6,99,6.2,117,7.4,122,7.7,118,7.4,105,6.6,102,6.4,113,7.1,110,6.9,145,9.1,123,7.7,124,7.8,113,7.1,3,0.2,98,6.2,123,7.7,71,4.5,658,41.4,0,0,112,7.1,9,0.6,759,47.8,239,15.1,440,27.7,726,45.7,14,15.4,64,70.3
'062904,2006,27,50,27,50,54,100,0,0,0,0,2,3.7,18,33.3,0,0,0,0,3,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,10,0,9.1,659,6,0.9,25,3.8,36,4.8,347,52.7,45,6.8,37,5.6,45,6.8,42,6.4,51,7.7,37,5.6,69,10.5,46,7,65,9.9,50,7.6,65,9.9,36,5.5,0,0,28,4.2,46,7,25,3.8,253,38.4,0,0,6,0.9,0,0,223,33.8,103,15.6,163,24.7,381,57.8,10,18.5,34,63
'062905,2006,0,.,0,.,.,.,0,0,0,0,0,.,0,.,0,.,0,.,0,0,0,0,0,0,0,0,0,.,.,0,0,0,.,.,0,0,49,3,6.1,4,8.2,0,0,30,61.2,5,10.2,7,14.3,4,8.2,7,14.3,5,10.2,4,8.2,5,10.2,8,16.3,0,0,0,0,0,0,0,0,0,0,15,30.6,3,6.1,1,2,15,30.6,0,0,3,6.1,0,0,8,16.3,3,6.1,0,0,30,61.2,0,.,0,.
'062906,2006,0,.,0,.,.,.,0,0,0,0,0,.,0,.,0,.,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,.,0,0,0,0,142,0,0,1,0.7,0,0,51,35.9,15,10.6,18,12.7,13,9.2,22,15.5,14,9.9,13,9.2,16,11.3,20,14.1,0,0,0,0,0,0,0,0,0,0,4,2.8,11,7.7,0,0,12,8.5,0,0,0,0,0,0,20,14.1,16,11.3,0,0,129,90.8,0,.,0,.
'063903,2006,10,76.9,3,23.1,13,100,0,0,0,0,0,0,3,23.1,0,0,0,0,0,5.9,5,0,6.7,0,0,0,0,.,0,0,0,0,0,0,.,0,274,0,0,7,2.6,13,3.8,155,56.6,18,6.6,18,6.6,21,7.7,22,8,13,4.7,17,6.2,25,9.1,18,6.6,16,5.8,20,7.3,25,9.1,9,3.3,0,0,19,6.9,25,9.1,27,9.9,100,36.5,1,0.4,0,0,0,0,40,14.6,29,10.6,95,34.7,166,60.6,1,7.7,10,76.9
'063906,2006,4,50,4,50,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,.,0,0,.,127,0,0,1,0.8,1,0.7,93,73.2,9,7.1,6,4.7,6,4.7,8,6.3,3,2.4,6,4.7,9,7.1,12,9.4,16,12.6,15,11.8,14,11,10,7.9,0,0,9,7.1,7,5.5,6,4.7,26,20.5,0,0,0,0,0,0,29,22.8,15,11.8,55,43.3,100,78.7,4,50,8,100
'064903,2006,92,69.2,41,30.8,133,100,0,1,0,0,1,0.8,123,92.5,0,0,0,0,2.8,0.6,0,0,12.8,0,1.8,0,2.6,10,0,0,0,0,8.3,0,4.3,7.1,2423,210,8.7,21,0.9,100,3.8,1940,80.1,170,7,178,7.3,177,7.3,156,6.4,153,6.3,171,7.1,178,7.3,195,8,241,9.9,184,7.6,131,5.4,148,6.1,1,0,169,7,166,6.9,174,7.2,2210,91.2,2,0.1,223,9.2,7,0.3,1251,51.6,236,9.7,471,19.4,183,7.6,17,12.8,9,6.8
'065901,2006,25,75.8,8,24.2,33,100,0,0,0,0,5,15.2,4,12.1,0,0,0,0,0,0,0,0,0,0,2.8,0,0,27.3,0,0,0,0,0,0,0,10,511,4,0.8,63,12.3,17,3.1,292,57.1,41,8,38,7.4,30,5.9,36,7,41,8,36,7,44,8.6,44,8.6,46,9,35,6.8,34,6.7,35,6.8,0,0,36,7,33,6.5,18,3.5,42,8.2,2,0.4,4,0.8,2,0.4,188,36.8,86,16.8,137,26.8,402,78.7,3,9.1,24,72.7
'065902,2006,13,100,0,0,13,100,0,0,0,0,0,0,1,7.7,1,7.7,0,0,0,0,0,0,0,0,0,0,0,0,.,.,0,0,0,0,0,0,192,7,3.6,0,0,0,0,123,64.1,12,6.3,9,4.7,10,5.2,11,5.7,19,9.9,16,8.3,20,10.4,16,8.3,13,6.8,14,7.3,20,10.4,19,9.9,0,0,3,1.6,8,4.2,5,2.6,30,15.6,3,1.6,7,3.6,0,0,59,30.7,32,16.7,64,33.3,159,82.8,2,15.4,11,84.6
'066005,2006,0,.,0,.,.,.,.,0,0,0,0,.,0,.,0,.,0,.,0,0,0,0,0,0,.,.,16.7,.,.,.,.,0,.,.,.,.,57,21,36.8,0,0,0,0,54,94.7,5,8.8,9,15.8,5,8.8,4,7,6,10.5,6,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19.3,11,19.3,57,100,0,0,21,36.8,0,0,36,63.2,5,8.8,0,0,0,0,0,.,0,.
'066901,2006,31,83.8,6,16.2,37,100,0,5,1,0,0,0,36,97.3,0,0,0,0,0,0,0,0,0,0,9.7,3.2,0,0,0,0,.,0,0,10,0,0,452,39,8.6,0,0,108,21.4,382,84.5,39,8.6,28,6.2,23,5.1,36,8,30,6.6,31,6.9,40,8.8,40,8.8,36,8,28,6.2,36,8,31,6.9,0,0,37,8.2,32,7.1,22,4.9,437,96.7,0,0,45,10,0,0,237,52.4,50,11.1,70,15.5,15,3.3,7,18.9,1,2.7
'066902,2006,70,81.4,16,18.6,86,100,0,0,0,0,0,0,83,96.5,0,0,0,0,9.6,1.2,7.5,0,13,0.9,1.1,3.1,0,21.4,0,18.2,0,0,0,0,0,0,1431,120,8.4,0,0,61,3.8,1156,80.8,97,6.8,93,6.5,99,6.9,114,8,111,7.8,94,6.6,116,8.1,108,7.5,136,9.5,117,8.2,102,7.1,94,6.6,0,0,123,8.6,102,7.1,48,3.4,1421,99.3,0,0,137,9.6,0,0,765,53.5,153,10.7,270,18.9,10,0.7,11,12.8,3,3.5
'066903,2006,38,76,12,24,50,100,0,0,0,0,0,0,39,78,0,0,0,0,12.1,4.1,10.3,0,4.5,3.4,3.6,0,7.7,20,0,14.3,0,0,0,0,12.5,16.7,878,21,2.4,0,0,28,3,498,56.7,76,8.7,61,6.9,58,6.6,55,6.3,72,8.2,73,8.3,70,8,60,6.8,74,8.4,58,6.6,55,6.3,53,6,0,0,64,7.3,57,6.5,56,6.4,728,82.9,0,0,22,2.5,1,0.1,458,52.2,90,10.3,329,37.5,149,17,7,14,11,22
'067902,2006,29,38.7,46,61.3,75,100,0,2,0.2,0,5,6.7,13,17.3,0,0,0,0,8.3,6.4,0,2.2,2.4,0,0,0,7.7,0,0,0,18.2,8.3,0,0,0,0,836,20,2.4,26,3.1,18,1.8,520,62.2,62,7.4,54,6.5,49,5.9,65,7.8,54,6.5,59,7.1,64,7.7,61,7.3,75,9,81,9.7,73,8.7,57,6.8,5,0.6,83,9.9,57,6.8,20,2.4,118,14.1,7,0.8,24,2.9,3,0.4,268,32.1,152,18.2,224,26.8,682,81.6,11,14.7,57,76
'067903,2006,56,71.8,22,28.2,78,100,0,1,0.1,0,1,1.3,7,9,2,2.6,2,2.6,2.8,1.3,2.8,1.4,0,3.3,0,0,14.4,25,0,10,7.1,0,0,0,0,33.3,1164,51,4.4,13,1.1,15,1.1,579,49.7,87,7.5,80,6.9,85,7.3,84,7.2,86,7.4,78,6.7,74,6.4,93,8,105,9,80,6.9,80,6.9,77,6.6,7,0.6,60,5.2,113,9.7,35,3,253,21.7,5,0.4,53,4.6,10,0.9,350,30.1,163,14,169,14.5,883,75.9,8,10.3,66,84.6
'067904,2006,23,85.2,4,14.8,27,100,0,0,0,0,0,0,12,44.4,0,0,0,0,8.3,13.3,3.8,5.6,0,0,0,0,8.7,0,25,0,14.3,0,0,0,0,50,382,27,7.1,4,1,0,0,289,75.7,24,6.3,31,8.1,29,7.6,28,7.3,23,6,29,7.6,28,7.3,26,6.8,25,6.5,32,8.4,27,7.1,23,6,0,0,22,5.8,30,7.9,27,7.1,129,33.8,1,0.3,29,7.6,1,0.3,136,35.6,60,15.7,152,39.8,247,64.7,6,22.2,15,55.6
'067907,2006,11,47.8,12,52.2,23,100,0,0,0,0,0,0,3,13,0,0,0,0,9.1,0,0,0,2.9,0,0,4.2,6.9,33.3,0,9.1,0,0,0,0,0,11.1,460,8,1.7,7,1.5,12,2.2,325,70.7,38,8.3,27,5.9,35,7.6,38,8.3,25,5.4,40,8.7,39,8.5,35,7.6,37,8,32,7,34,7.4,22,4.8,1,0.2,44,9.6,28,6.1,29,6.3,78,17,5,1.1,14,3,2,0.4,160,34.8,90,19.6,103,22.4,368,80,6,26.1,20,87
'067908,2006,19,82.6,4,17.4,23,100,0,0,0,0,0,0,1,4.3,0,0,0,0,25,11.1,14.3,13.3,7.7,0,0,0,40,0,50,0,0,0,0,0,0,0,257,8,3.1,1,0.4,3,1,175,68.1,16,6.2,15,5.8,17,6.6,14,5.4,20,7.8,17,6.6,25,9.7,23,8.9,23,8.9,17,6.6,20,7.8,17,6.6,4,1.6,25,9.7,17,6.6,12,4.7,31,12.1,2,0.8,8,3.1,0,0,121,47.1,48,18.7,58,22.6,223,86.8,3,13,22,95.7
'068801,2006,2,6.5,29,93.5,31,100,0.2,0,0,1,2,6.5,8,25.8,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,168,0,0,12,7.1,0,0,120,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,28.6,37,22,42,25,41,24.4,0,0,0,0,0,0,0,0,71,42.3,0,0,0,0,0,0,158,94,18,10.7,56,33.3,85,50.6,0,0,21,67.7
'068901,2006,1057,81.5,240,18.5,1297,100,0.1,2,0,8,58,4.5,627,48.3,9,0.7,11,0.8,4.6,2.6,4.5,1.9,8.1,0.7,8.7,5.6,3.9,9.6,5.3,2.6,1.6,5,6.4,16.7,9.3,10.6,26034,2937,11.3,1397,5.4,578,2.1,14847,57,2166,8.3,2001,7.7,1913,7.3,1839,7.1,1902,7.3,1771,6.8,2192,8.4,2092,8,2100,8.1,2001,7.7,1814,7,1401,5.4,103,0.4,2001,7.7,1979,7.6,760,2.9,15713,60.4,195,0.7,3387,13,183,0.7,15256,58.6,2846,10.9,5357,20.6,8546,32.8,141,10.9,592,45.6
'069901,2006,14,56,11,44,25,100,0,0,0,0,0,0,17,68,0,0,0,0,6.3,0,0,0,0,0,0,0,5.3,.,0,0,0,0,0,0,0,0,339,53,15.6,7,2.1,9,2.4,267,78.8,22,6.5,13,3.8,22,6.5,26,7.7,25,7.4,15,4.4,31,9.1,30,8.8,33,9.7,30,8.8,35,10.3,23,6.8,0,0,28,8.3,17,5,17,5,266,78.5,0,0,53,15.6,0,0,199,58.7,45,13.3,131,38.6,66,19.5,8,32,8,32
'069902,2006,25,96.2,1,3.8,26,100,0,0,0,0,0,0,12,46.2,0,0,0,0,10,0,0,0,16.7,0,8,4,0,33.3,0,0,0,0,0,12.5,25,0,323,0,0,4,1.2,3,0.8,243,75.2,26,8,20,6.2,28,8.7,20,6.2,32,9.9,25,7.7,23,7.1,36,11.1,30,9.3,27,8.4,24,7.4,20,6.2,0,0,11,3.4,12,3.7,0,0,106,32.8,2,0.6,5,1.5,0,0,100,31,70,21.7,127,39.3,211,65.3,1,3.8,14,53.8
'070801,2006,11,78.6,3,21.4,14,100,0.7,0,0,1,0,0,3,21.4,0,0,0,0,6.3,0,11.8,6.7,22.2,5.3,0,0,11.1,.,0,0,0,0,0,0,0,100,269,8,3,32,11.9,0,0,166,61.7,17,6.3,18,6.7,20,7.4,21,7.8,15,5.6,10,3.7,26,9.7,22,8.2,20,7.4,17,6.3,18,6.7,12,4.5,0,0,0,0,35,13,18,6.7,76,28.3,8,3,8,3,0,0,79,29.4,33,12.3,44,16.4,153,56.9,3,21.4,11,78.6
'070901,2006,10,52.6,9,47.4,19,100,0,0,0,0,0,0,10,52.6,0,0,0,0,23.1,14.3,0,0,0,0,0,6.7,0,0,100,0,0,0,0,0,0,0,236,14,5.9,2,0.8,10,3.8,172,72.9,16,6.8,15,6.4,14,5.9,16,6.8,21,8.9,11,4.7,21,8.9,18,7.6,20,8.5,16,6.8,18,7.6,15,6.4,0,0,18,7.6,16,6.8,19,8.1,94,39.8,0,0,14,5.9,2,0.8,90,38.1,32,13.6,84,35.6,138,58.5,4,21.1,9,47.4
'070903,2006,208,65.8,108,34.2,316,100,0,6,0.1,0,72,22.8,94,29.7,1,0.3,0,0,10.7,7.4,1.8,1.8,2.3,1.4,2.9,2.4,1,6.7,6.6,0,1.2,1,0,4.4,10.3,5.9,5687,721,12.7,881,15.5,212,3.5,3323,58.4,445,7.8,459,8.1,429,7.5,423,7.4,424,7.5,414,7.3,389,6.8,411,7.2,454,8,432,7.6,327,5.7,327,5.7,20,0.4,497,8.7,443,7.8,290,5.1,2434,42.8,7,0.1,731,12.9,17,0.3,3018,53.1,907,15.9,1508,26.5,2348,41.3,53,16.8,149,47.2
'070905,2006,99,76.7,30,23.3,129,100,0,0,0,0,18,14,52,40.3,1,0.8,0,0,3.2,2.2,4.1,0,4.5,1.7,1.5,0.8,3.2,5.6,3,10.7,0,0,0,2.6,2.9,14.3,2231,284,12.7,194,8.7,111,4.6,1450,65,143,6.4,155,6.9,174,7.8,150,6.7,165,7.4,168,7.5,160,7.2,167,7.5,194,8.7,144,6.5,124,5.6,104,4.7,11,0.5,110,4.9,184,8.2,188,8.4,1130,50.6,6,0.3,312,14,8,0.4,933,41.8,353,15.8,539,24.2,893,40,33,25.6,58,45
'070907,2006,31,70.5,13,29.5,44,100,0,0,0,0,15,34.1,5,11.4,0,0,0,0,0,7.9,0,2.3,2.4,2.9,0,2.4,7.5,33.3,0,0,0,7.1,0,0,0,.,657,49,7.5,130,19.8,18,2.4,342,52.1,46,7,50,7.6,42,6.4,39,5.9,63,9.6,56,8.5,50,7.6,50,7.6,45,6.8,47,7.2,52,7.9,53,8.1,0,0,57,8.7,46,7,18,2.7,137,20.9,6,0.9,49,7.5,1,0.2,352,53.6,101,15.4,200,30.4,383,58.3,10,22.7,24,54.5
'070908,2006,262,75.5,85,24.5,347,100,0,0,0,0,10,2.9,31,8.9,3,0.9,2,0.6,5.8,2.3,1.8,3.1,2.4,0.5,0.2,0.5,6.7,9.1,6.2,1.1,7.3,2.3,0,0,0,22.4,6079,183,3,189,3.1,153,2.5,1002,16.5,454,7.5,435,7.2,445,7.3,474,7.8,437,7.2,485,8,470,7.7,501,8.2,582,9.6,464,7.6,485,8,347,5.7,15,0.2,543,8.9,413,6.8,72,1.2,821,13.5,34,0.6,203,3.3,56,0.9,1558,25.6,823,13.5,1115,18.3,4979,81.9,50,14.4,301,86.7
'070909,2006,6,54.5,5,45.5,11,100,0,1,0.4,0,3,27.3,3,27.3,0,0,0,0,7.1,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,220,8,3.6,46,20.9,9,3.5,167,75.9,19,8.6,19,8.6,22,10,13,5.9,15,6.8,14,6.4,18,8.2,18,8.2,17,7.7,15,6.8,12,5.5,15,6.8,0,0,8,3.6,10,4.5,13,5.9,48,21.8,0,0,8,3.6,0,0,102,46.4,42,19.1,56,25.5,126,57.3,1,9.1,5,45.5
'070910,2006,37,53.6,32,46.4,69,100,2.5,6,0.5,14,0,0,18,26.1,0,0,0,0,5.5,0,1.7,3.1,4.5,0,1.3,6.2,1.4,8.3,0,0,0,0,0,0,0,0,1105,62,5.6,21,1.9,18,1.5,437,39.5,91,8.2,66,6,81,7.3,79,7.1,83,7.5,77,7,88,8,98,8.9,87,7.9,81,7.3,92,8.3,71,6.4,0,0,76,6.9,73,6.6,38,3.4,316,28.6,9,0.8,76,6.9,8,0.7,443,40.1,173,15.7,297,26.9,751,68,16,23.2,51,73.9
'070911,2006,240,75.9,76,24.1,316,100,0,9,0.2,1,16,5.1,37,11.7,3,0.9,1,0.3,3.3,4.9,2.7,2.7,4.2,0.7,1.8,1.8,3.8,6.4,3.9,4.9,2.4,2.7,4.7,4.2,6.9,7.1,5067,200,3.9,457,9,114,2.2,1476,29.1,317,6.3,326,6.4,332,6.6,378,7.5,421,8.3,395,7.8,408,8.1,440,8.7,517,10.2,394,7.8,368,7.3,371,7.3,29,0.6,254,5,312,6.2,59,1.2,1123,22.2,36,0.7,222,4.4,22,0.4,1584,31.3,805,15.9,1099,21.7,3429,67.7,56,17.7,259,82
'070912,2006,274,68.8,124,31.2,398,100,0,3,0,1,67,16.8,64,16.1,4,1,2,0.5,13.4,4.1,2.5,3.8,1.2,1.2,7,2.7,5.3,25.3,5,0,1.6,2.2,1.5,2.6,0,10,6207,379,6.1,889,14.3,313,4.7,2748,44.3,515,8.3,450,7.2,449,7.2,465,7.5,405,6.5,432,7,471,7.6,471,7.6,540,8.7,508,8.2,468,7.5,393,6.3,11,0.2,490,7.9,450,7.2,179,2.9,1805,29.1,25,0.4,438,7.1,31,0.5,2914,46.9,797,12.8,1861,30,3457,55.7,64,16.1,261,65.6
'070915,2006,54,78.3,15,21.7,69,100,0,0,0,0,1,1.4,11,15.9,0,0,0,0,0,0,0,1.3,0,0,0,0,0,8.3,0,0,0,0,0,0,0,22.2,977,72,7.4,36,3.7,19,1.8,359,36.7,66,6.8,73,7.5,70,7.2,73,7.5,91,9.3,81,8.3,70,7.2,85,8.7,75,7.7,65,6.7,68,7,56,5.7,6,0.6,87,8.9,71,7.3,27,2.8,182,18.6,7,0.7,79,8.1,3,0.3,420,43,184,18.8,231,23.6,749,76.7,14,20.3,57,82.6
'071801,2006,0,.,0,.,.,.,.,0,0,0,0,.,0,.,0,.,0,.,3.4,0,0,0,0,0,.,.,14.3,.,0,0,0,0,0,.,.,.,261,31,11.9,12,4.6,0,0,112,42.9,38,14.6,43,16.5,42,16.1,33,12.6,31,11.9,23,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,19.5,0,0,187,71.6,0,0,32,12.3,15,5.7,48,18.4,36,13.8,0,0,47,18,0,.,0,.
'071803,2006,16,100,0,0,16,100,0.3,0,0,1,1,6.3,14,87.5,0,0,1,6.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,190,21,11.1,3,1.6,0,0,121,63.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11.1,55,28.9,60,31.6,54,28.4,0,0,0,0,0,0,0,0,176,92.6,1,0.5,21,11.1,0,0,84,44.2,7,3.7,102,53.7,10,5.3,1,6.3,0,0
'071804,2006,144,91.1,14,8.9,158,100,0,2,0.2,0,1,0.6,143,90.5,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,458,17,3.7,9,2,0,0,319,69.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,14.4,111,24.2,166,36.2,115,25.1,0,0,0,0,0,0,0,0,408,89.1,1,0.2,24,5.2,3,0.7,431,94.1,30,6.6,61,13.3,37,8.1,5,3.2,14,8.9
'071805,2006,0,.,0,.,.,.,2,5,0.8,5,0,.,0,.,0,.,0,.,2.9,0,7.1,0,10.5,0,3.6,0,4.9,0,0,0,0,16.7,0,0,.,0,449,152,33.9,5,1.1,1,0.2,421,93.8,30,6.7,31,6.9,27,6,14,3.1,28,6.2,22,4.9,22,4.9,25,5.6,15,3.3,11,2.4,12,2.7,6,1.3,0,0,11,2.4,54,12,152,33.9,406,90.4,1,0.2,134,29.8,12,2.7,254,56.6,18,4,0,0,25,5.6,0,.,0,.
'071901,2006,414,91.6,38,8.4,452,100,0.1,5,0,3,2,0.4,416,92,1,0.2,2,0.4,9.6,5.6,5,3.1,2.9,0.8,1.4,1,0.7,16.5,2.5,4.5,1.4,2.9,0,0,0,4.5,9396,3385,36,46,0.5,113,1.1,8448,89.9,731,7.8,707,7.5,705,7.5,703,7.5,710,7.6,661,7,768,8.2,731,7.8,744,7.9,677,7.2,574,6.1,540,5.7,14,0.1,477,5.1,654,7,477,5.1,8981,95.6,10,0.1,4085,43.5,14,0.1,6294,67,801,8.5,1970,21,345,3.7,32,7.1,31,6.9
'071902,2006,2864,89.4,338,10.6,3202,100,0,255,0.3,10,148,4.6,2371,74,10,0.3,60,1.9,8.2,3.3,3.1,1.8,2.6,1.8,3,2.2,1.3,16.3,3.2,3,1.3,2.8,0.7,2.4,3.2,5.4,63674,13964,21.9,2986,4.7,1677,2.4,44426,69.8,4950,7.8,4705,7.4,4742,7.4,4797,7.5,4733,7.4,4525,7.1,4988,7.8,4724,7.4,6031,9.5,4965,7.8,4039,6.3,3465,5.4,106,0.2,5714,9,4552,7.1,2352,3.7,51591,81,183,0.3,19118,30,884,1.4,39318,61.7,5424,8.5,13175,20.7,8030,12.6,224,7,613,19.1
'071903,2006,122,88.4,16,11.6,138,100,0,4,0.1,0,0,0,134,97.1,0,0,1,0.7,6.7,6.1,7.5,0,7.9,0,3.5,3,1.2,20,0,0,2.3,6.3,0,4.2,5.9,0,2594,832,32.1,4,0.2,36,1.2,2398,92.4,198,7.6,192,7.4,207,8,175,6.7,216,8.3,174,6.7,205,7.9,219,8.4,211,8.1,202,7.8,154,5.9,158,6.1,1,0,172,6.6,171,6.6,111,4.3,2546,98.1,0,0,1041,40.1,2,0.1,1723,66.4,270,10.4,471,18.2,42,1.6,8,5.8,3,2.2
'071904,2006,154,83.7,30,16.3,184,100,0.1,6,0.1,2,0,0,183,99.5,1,0.5,0,0,10,4.9,8.3,0.4,2.1,3.6,6.3,0.4,0,6.8,6.8,13.2,0,9.8,3.2,0,0,0,3762,1772,47.1,6,0.2,82,2,3658,97.2,283,7.5,268,7.1,288,7.7,254,6.8,288,7.7,274,7.3,290,7.7,277,7.4,331,8.8,243,6.5,228,6.1,191,5.1,0,0,154,4.1,267,7.1,280,7.4,3739,99.4,2,0.1,2002,53.2,0,0,2814,74.8,426,11.3,702,18.7,15,0.4,25,13.6,0,0
