DISTRICT,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,D_RATING,REGION,SECS
'032902,CAMP,'032,N,N,PITTSBURG ISD,M,'08,D
'033901,CARSON,'033,N,N,GROOM ISD,M,'16,
'033902,CARSON,'033,N,N,PANHANDLE ISD,M,'16,
'033904,CARSON,'033,N,N,WHITE DEER ISD,M,'16,
'034901,CASS,'034,N,N,ATLANTA ISD,M,'08,D
'034902,CASS,'034,N,N,AVINGER ISD,M,'08,
'034903,CASS,'034,N,N,HUGHES SPRINGS ISD,M,'08,
'034905,CASS,'034,N,N,LINDEN-KILDARE CISD,M,'08,
'034906,CASS,'034,N,N,MCLEOD ISD,M,'08,
'034907,CASS,'034,N,N,QUEEN CITY ISD,M,'08,
'034909,CASS,'034,N,N,BLOOMBURG ISD,M,'08,
'035901,CASTRO,'035,N,N,DIMMITT ISD,M,'16,
'035902,CASTRO,'035,N,N,HART ISD,M,'16,
'035903,CASTRO,'035,N,N,NAZARETH ISD,M,'16,
'036901,CHAMBERS,'036,N,N,ANAHUAC ISD,M,'04,
'036902,CHAMBERS,'036,N,N,BARBERS HILL ISD,M,'04,A
'036903,CHAMBERS,'036,N,N,EAST CHAMBERS ISD,M,'05,B
'037901,CHEROKEE,'037,N,N,ALTO ISD,M,'07,D
'037904,CHEROKEE,'037,N,N,JACKSONVILLE ISD,M,'07,B
'037907,CHEROKEE,'037,N,N,RUSK ISD,M,'07,B
'037908,CHEROKEE,'037,N,N,NEW SUMMERFIELD ISD,M,'07,D
'037909,CHEROKEE,'037,N,N,WELLS ISD,M,'07,
'038901,CHILDRESS,'038,N,N,CHILDRESS ISD,M,'16,B
'039902,CLAY,'039,N,N,HENRIETTA ISD,M,'09,
'039903,CLAY,'039,N,N,PETROLIA ISD,M,'09,
'039904,CLAY,'039,N,N,BELLEVUE ISD,M,'09,
'039905,CLAY,'039,N,N,MIDWAY ISD,M,'09,D
'040901,COCHRAN,'040,N,N,MORTON ISD,M,'17,D
'040902,COCHRAN,'040,N,N,WHITEFACE CISD,M,'17,
'041901,COKE,'041,N,N,BRONTE ISD,M,'15,
'041902,COKE,'041,N,N,ROBERT LEE ISD,M,'15,
'042901,COLEMAN,'042,N,N,COLEMAN ISD,M,'15,
'042903,COLEMAN,'042,N,N,SANTA ANNA ISD,M,'15,
'042905,COLEMAN,'042,N,N,PANTHER CREEK CISD,M,'15,
'043801,COLLIN,'043,N,Y,IMAGINE INTERNATIONAL ACADEMY OF N,M,'10,
'043901,COLLIN,'043,N,N,ALLEN ISD,M,'10,
'043902,COLLIN,'043,N,N,ANNA ISD,M,'10,B
'043903,COLLIN,'043,N,N,CELINA ISD,M,'10,B
'043904,COLLIN,'043,N,N,FARMERSVILLE ISD,M,'10,
'043905,COLLIN,'043,N,N,FRISCO ISD,M,'10,
'043907,COLLIN,'043,N,N,MCKINNEY ISD,M,'10,
'043908,COLLIN,'043,N,N,MELISSA ISD,M,'10,D
'043910,COLLIN,'043,N,N,PLANO ISD,M,'10,
'043911,COLLIN,'043,N,N,PRINCETON ISD,M,'10,D
'043912,COLLIN,'043,N,N,PROSPER ISD,M,'10,
'043914,COLLIN,'043,N,N,WYLIE ISD,M,'10,
'043917,COLLIN,'043,N,N,BLUE RIDGE ISD,M,'10,
'043918,COLLIN,'043,N,N,COMMUNITY ISD,M,'10,
'043919,COLLIN,'043,N,N,LOVEJOY ISD,M,'10,
'044902,COLLINGSWORTH,'044,N,N,WELLINGTON ISD,M,'16,
'045902,COLORADO,'045,N,N,COLUMBUS ISD,M,'03,D
'045903,COLORADO,'045,N,N,RICE CISD,M,'03,B
'045905,COLORADO,'045,N,N,WEIMAR ISD,M,'03,D
'046802,COMAL,'046,Y,Y,TRINITY CHARTER SCHOOL,X,'13,
'046901,COMAL,'046,N,N,NEW BRAUNFELS ISD,M,'13,
'046902,COMAL,'046,N,N,COMAL ISD,M,'13,
'047901,COMANCHE,'047,N,N,COMANCHE ISD,M,'14,
'047902,COMANCHE,'047,N,N,DE LEON ISD,M,'14,
'047903,COMANCHE,'047,N,N,GUSTINE ISD,M,'14,
'047905,COMANCHE,'047,N,N,SIDNEY ISD,M,'14,
'048901,CONCHO,'048,N,N,EDEN CISD,M,'15,
'048903,CONCHO,'048,N,N,PAINT ROCK ISD,M,'15,
'049901,COOKE,'049,N,N,GAINESVILLE ISD,M,'11,B
'049902,COOKE,'049,N,N,MUENSTER ISD,M,'11,D
'049903,COOKE,'049,N,N,VALLEY VIEW ISD,M,'11,
'049905,COOKE,'049,N,N,CALLISBURG ISD,M,'11,
'049906,COOKE,'049,N,N,ERA ISD,M,'11,
'049907,COOKE,'049,N,N,LINDSAY ISD,M,'11,
'049908,COOKE,'049,N,N,WALNUT BEND ISD,M,'11,
'049909,COOKE,'049,N,N,SIVELLS BEND ISD,M,'11,
'050901,CORYELL,'050,N,N,EVANT ISD,M,'12,
'050902,CORYELL,'050,N,N,GATESVILLE ISD,M,'12,
'050904,CORYELL,'050,N,N,OGLESBY ISD,M,'12,
'050909,CORYELL,'050,N,N,JONESBORO ISD,M,'12,
'050910,CORYELL,'050,N,N,COPPERAS COVE ISD,M,'12,
'051901,COTTLE,'051,N,N,PADUCAH ISD,M,'17,D
'052901,CRANE,'052,N,N,CRANE ISD,M,'18,
'053001,CROCKETT,'053,N,N,CROCKETT COUNTY CONSOLIDATED CSD,M,'15,
'054901,CROSBY,'054,N,N,CROSBYTON CISD,M,'17,
'054902,CROSBY,'054,N,N,LORENZO ISD,M,'17,D
'054903,CROSBY,'054,N,N,RALLS ISD,M,'17,
'055901,CULBERSON,'055,N,N,CULBERSON COUNTY-ALLAMOORE ISD,M,'18,D
'056901,DALLAM,'056,N,N,DALHART ISD,M,'16,B
'056902,DALLAM,'056,N,N,TEXLINE ISD,M,'16,
'057802,DALLAS,'057,N,Y,PEGASUS SCHOOL OF LIBERAL ARTS AND,M,'10,D
'057803,DALLAS,'057,N,Y,UPLIFT EDUCATION - NORTH HILLS PRE,M,'10,D
'057804,DALLAS,'057,Y,Y,DALLAS CAN ACADEMY CHARTER,A,'10,B
'057805,DALLAS,'057,N,Y,DALLAS COMMUNITY CHARTER SCHOOL,M,'10,D
'057806,DALLAS,'057,N,Y,ADVANTAGE ACADEMY,M,'10,
'057807,DALLAS,'057,N,Y,LIFE SCHOOL,M,'10,
'057808,DALLAS,'057,N,Y,UNIVERSAL ACADEMY,M,'10,D
'057809,DALLAS,'057,N,Y,NOVA ACADEMY,M,'10,
'057810,DALLAS,'057,N,Y,ACADEMY OF DALLAS,M,'10,B
'057811,DALLAS,'057,N,Y,CHILDREN FIRST ACADEMY OF DALLAS,M,'10,
'057813,DALLAS,'057,N,Y,TRINITY BASIN PREPARATORY,M,'10,D
'057814,DALLAS,'057,Y,Y,ACADEMY FOR ACADEMIC EXCELLENCE,X,'10,
'057815,DALLAS,'057,N,Y,FAITH FAMILY ACADEMY OF OAK CLIFF,I,'10,B
'057816,DALLAS,'057,N,Y,A W BROWN-FELLOWSHIP LEADERSHIP AC,Q,'10,
'057817,DALLAS,'057,N,Y,FOCUS LEARNING ACADEMY,M,'10,L
'057819,DALLAS,'057,N,Y,JEAN MASSIEU ACADEMY,M,'10,B
'057825,DALLAS,'057,N,Y,HONORS ACADEMY,I,'10,B
'057827,DALLAS,'057,N,Y,NOVA ACADEMY (SOUTHEAST),M,'10,D
'057828,DALLAS,'057,Y,Y,WINFREE ACADEMY CHARTER SCHOOLS,A,'10,H
'057829,DALLAS,'057,N,Y,A+ ACADEMY,M,'10,D
'057830,DALLAS,'057,N,Y,INSPIRED VISION ACADEMY,M,'10,D
'057831,DALLAS,'057,N,Y,GATEWAY CHARTER ACADEMY,M,'10,D
'057832,DALLAS,'057,Y,Y,ALPHA CHARTER SCHOOL,A,'10,B
'057833,DALLAS,'057,N,Y,EDUCATION CENTER INTERNATIONAL ACA,M,'10,
'057834,DALLAS,'057,Y,Y,EVOLUTION ACADEMY CHARTER SCHOOL,A,'10,B
'057835,DALLAS,'057,N,Y,GOLDEN RULE CHARTER SCHOOL,M,'10,D
'057836,DALLAS,'057,N,Y,ST ANTHONY SCHOOL,M,'10,
'057837,DALLAS,'057,N,Y,KIPP DALLAS-FORT WORTH,M,'10,
'057838,DALLAS,'057,N,Y,UPLIFT EDUCATION - PEAK PREPARATOR,M,'10,D
'057839,DALLAS,'057,N,Y,LA ACADEMIA DE ESTRELLAS,M,'10,
'057840,DALLAS,'057,N,Y,RICHLAND COLLEGIATE HIGH SCHOOL,M,'10,
'057841,DALLAS,'057,N,Y,RECONCILIATION ACADEMY,M,'10,
'057842,DALLAS,'057,N,Y,UPLIFT EDUCATION - WILLIAMS PREPAR,M,'10,D
'057843,DALLAS,'057,N,Y,UPLIFT EDUCATION - HAMPTON PREPARA,M,'10,D
'057844,DALLAS,'057,N,Y,MANARA ACADEMY,M,'10,D
