DISTRICT,CNTYNAME,COUNTY,DFLCHART,DISTNAME,D_RATING,REGION,dackdtl,secs
'074903,FANNIN,'074,N,BONHAM ISD,A,'10,,
'148901,LIPSCOMB,'148,N,BOOKER ISD,A,'16,ARUVJEW,D
'017901,BORDEN,'017,N,BORDEN COUNTY ISD,E,'17,RUVJEWMNS,
'117901,HUTCHINSON,'117,N,BORGER ISD,A,'16,,
'161923,MCLENNAN,'161,N,BOSQUEVILLE ISD,R,'12,AVJWS,
'185901,PARMER,'185,N,BOVINA ISD,A,'16,A,D
'169901,MONTAGUE,'169,N,BOWIE ISD,A,'09,J,
'249902,WISE,'249,N,BOYD ISD,R,'11,VJES,D
'180901,OLDHAM,'180,N,BOYS RANCH ISD,A,'16,A,B
'136901,KINNEY,'136,N,BRACKETT ISD,R,'20,AVJ,
'160901,MCCULLOCH,'160,N,BRADY ISD,A,'15,S,
'008903,AUSTIN,'008,N,BRAZOS ISD,R,'06,UVJS,B
'213801,SOMERVELL,'213,Y,BRAZOS RIVER CHARTER SCHOOL,1,'11,,D
'021803,BRAZOS,'021,Y,BRAZOS SCHOOL FOR INQUIRY & CREATI,1,'06,,D
'020905,BRAZORIA,'020,N,BRAZOSPORT ISD,A,'04,,
'215901,STEPHENS,'215,N,BRECKENRIDGE ISD,A,'14,V,
'198901,ROBERTSON,'198,N,BREMOND ISD,R,'06,VJW,D
'239901,WASHINGTON,'239,N,BRENHAM ISD,L,'06,,A
'181901,ORANGE,'181,N,BRIDGE CITY ISD,R,'05,UVJWS,
'249903,WISE,'249,N,BRIDGEPORT ISD,A,'11,UVJ,D
'243801,WICHITA,'243,Y,BRIGHT IDEAS CHARTER,A,'09,RVS,
'203902,SAN AUGUSTINE,'203,N,BROADDUS ISD,A,'07,,
'184909,PARKER,'184,N,BROCK ISD,E,'11,UVJEWMNS,
'041901,COKE,'041,N,BRONTE ISD,R,'15,RUVJWS,
'121902,JASPER,'121,N,BROOKELAND ISD,A,'05,JEW,D
'025908,BROWN,'025,N,BROOKESMITH ISD,R,'15,ARUVWS,
'015830,BEXAR,'015,Y,BROOKS ACADEMY OF SCIENCE AND ENGI,A,'20,E,
'024901,BROOKS,'024,N,BROOKS COUNTY ISD,A,'02,,A
'223901,TERRY,'223,N,BROWNFIELD ISD,A,'17,,B
'107902,HENDERSON,'107,N,BROWNSBORO ISD,A,'07,U,
'031901,CAMERON,'031,N,BROWNSVILLE ISD,A,'01,DRJWS,D
'025902,BROWN,'025,N,BROWNWOOD ISD,R,'15,S,
'161919,MCLENNAN,'161,N,BRUCEVILLE-EDDY ISD,R,'12,UVJS,B
'021902,BRAZOS,'021,N,BRYAN ISD,A,'06,,D
'119901,JACK,'119,N,BRYSON ISD,A,'09,RUVJ,
'166907,MILAM,'166,N,BUCKHOLTS ISD,A,'06,VS,
'186901,PECOS,'186,N,BUENA VISTA ISD,A,'18,J,
'145901,LEON,'145,N,BUFFALO ISD,A,'06,,
'212902,SMITH,'212,N,BULLARD ISD,A,'07,RUJ,
'121903,JASPER,'121,N,BUNA ISD,A,'05,US,
'243901,WICHITA,'243,N,BURKBURNETT ISD,A,'09,PWS,
'176901,NEWTON,'176,N,BURKEVILLE ISD,A,'05,,
'126902,JOHNSON,'126,N,BURLESON ISD,A,'11,UJS,D
'027903,BURNET,'027,N,BURNET CISD,A,'13,,
'071801,EL PASO,'071,Y,BURNHAM WOOD CHARTER SCHOOL DISTRI,R,'19,W,
'239903,WASHINGTON,'239,N,BURTON ISD,A,'06,AVS,D
'188904,POTTER,'188,N,BUSHLAND ISD,R,'16,RUVJES,
'039901,CLAY,'039,N,BYERS ISD,R,'09,,
'109902,HILL,'109,N,BYNUM ISD,R,'12,AUVJNS,
'116901,HUNT,'116,N,CADDO MILLS ISD,R,'10,ARUVJEWS,
'178903,NUECES,'178,N,CALALLEN ISD,R,'02,PUJS,
'026901,BURLESON,'026,N,CALDWELL ISD,L,'06,,B
'029901,CALHOUN,'029,N,CALHOUN COUNTY ISD,R,'03,W,
'049905,COOKE,'049,N,CALLISBURG ISD,R,'11,VS,D
'198902,ROBERTSON,'198,N,CALVERT ISD,R,'06,RV,D
'101837,HARRIS,'101,Y,CALVIN NELMS CHARTER SCHOOLS,1,'04,VJS,
'166901,MILAM,'166,N,CAMERON ISD,A,'06,RJ,
'116910,HUNT,'116,N,CAMPBELL ISD,A,'10,RJS,
'106901,HEMPHILL,'106,N,CANADIAN ISD,A,'16,AUVJ,
'234902,VAN ZANDT,'234,N,CANTON ISD,E,'10,AUVJEWS,
'071907,EL PASO,'071,N,CANUTILLO ISD,A,'19,R,
'191901,RANDALL,'191,N,CANYON ISD,R,'16,RS,
'201913,RUSK,'201,N,CARLISLE ISD,A,'07,,A
'064903,DIMMIT,'064,N,CARRIZO SPRINGS CISD,A,'20,R,D
'220919,TARRANT,'220,N,CARROLL ISD,E,'11,DPCRUVJEWMNS,
'057903,DALLAS,'057,N,CARROLLTON-FARMERS BRANCH ISD,A,'10,PWS,
'183902,PANOLA,'183,N,CARTHAGE ISD,A,'07,,B
'220917,TARRANT,'220,N,CASTLEBERRY ISD,A,'11,,
'001902,ANDERSON,'001,N,CAYUGA ISD,R,'07,UVJEWS,
'057904,DALLAS,'057,N,CEDAR HILL ISD,A,'10,R,
'227817,TRAVIS,'227,Y,CEDARS INTERNATIONAL ACADEMY,A,'13,,
'116902,HUNT,'116,N,CELESTE ISD,E,'10,UVJWS,
'043903,COLLIN,'043,N,CELINA ISD,R,'10,APRUVJ,
'210901,SHELBY,'210,N,CENTER ISD,R,'07,UJS,
'133901,KERR,'133,N,CENTER POINT ISD,R,'20,RW,
'145902,LEON,'145,N,CENTERVILLE ISD,R,'06,RUVJW,
'228904,TRINITY,'228,N,CENTERVILLE ISD,A,'06,AUJN,
'174908,NACOGDOCHES,'174,N,CENTRAL HEIGHTS ISD,R,'07,UVES,
'003907,ANGELINA,'003,N,CENTRAL ISD,R,'07,,
'101905,HARRIS,'101,N,CHANNELVIEW ISD,A,'04,,
'103901,HARTLEY,'103,N,CHANNING ISD,A,'16,RUVEW,
'220815,TARRANT,'220,Y,CHAPEL HILL ACADEMY,X,'11,,
'212909,SMITH,'212,N,CHAPEL HILL ISD,A,'07,,B
'225906,TITUS,'225,N,CHAPEL HILL ISD,R,'08,AVJS,
'007901,ATASCOSA,'007,N,CHARLOTTE ISD,A,'20,,
'206903,SAN SABA,'206,N,CHEROKEE ISD,A,'15,,
'229906,TYLER,'229,N,CHESTER ISD,R,'05,R,
'249904,WISE,'249,N,CHICO ISD,A,'11,JS,D
'057811,DALLAS,'057,Y,CHILDREN FIRST ACADEMY OF DALLAS,R,'10,A,
'101823,HARRIS,'101,Y,CHILDREN FIRST ACADEMY OF HOUSTON,E,'04,AEWM,
'038901,CHILDRESS,'038,N,CHILDRESS ISD,R,'16,S,
'099902,HARDEMAN,'099,N,CHILLICOTHE ISD,A,'09,UV,
'073901,FALLS,'073,N,CHILTON ISD,R,'12,ARV,B
'161920,MCLENNAN,'161,N,CHINA SPRING ISD,R,'12,UVJS,
'174901,NACOGDOCHES,'174,N,CHIRENO ISD,R,'07,AUVJEWS,D
'139905,LAMAR,'139,N,CHISUM ISD,A,'08,UVEWS,D
'226901,TOM GREEN,'226,N,CHRISTOVAL ISD,R,'15,AUJWS,
'067902,EASTLAND,'067,N,CISCO ISD,R,'14,AUVJNS,B
'243906,WICHITA,'243,N,CITY VIEW ISD,R,'09,,
'065901,DONLEY,'065,N,CLARENDON ISD,A,'16,ARJ,
'194904,RED RIVER,'194,N,CLARKSVILLE ISD,A,'08,,D
'006902,ARMSTRONG,'006,N,CLAUDE ISD,R,'16,ARUVJEWS,B
'084910,GALVESTON,'084,N,CLEAR CREEK ISD,R,'04,UEWS,
'126903,JOHNSON,'126,N,CLEBURNE ISD,A,'11,,
'146901,LIBERTY,'146,N,CLEVELAND ISD,A,'04,,
'018901,BOSQUE,'018,N,CLIFTON ISD,A,'12,RUVJ,
'071901,EL PASO,'071,N,CLINT ISD,A,'19,RS,D
'030902,CALLAHAN,'030,N,CLYDE CISD,R,'14,RJ,
'114902,HOWARD,'114,N,COAHOMA ISD,A,'18,UJ,D
'204901,SAN JACINTO,'204,N,COLDSPRING-OAKHURST CISD,A,'06,R,
'042901,COLEMAN,'042,N,COLEMAN ISD,A,'15,AVW,D
'021901,BRAZOS,'021,N,COLLEGE STATION ISD,A,'06,PUJW,B
'091902,GRAYSON,'091,N,COLLINSVILLE ISD,R,'10,UVEWS,D
'229901,TYLER,'229,N,COLMESNEIL ISD,R,'05,JS,D
'168901,MITCHELL,'168,N,COLORADO ISD,A,'14,,D
'020907,BRAZORIA,'020,N,COLUMBIA-BRAZORIA ISD,A,'04,JS,
'045902,COLORADO,'045,N,COLUMBUS ISD,A,'03,J,D
'046902,COMAL,'046,N,COMAL ISD,A,'13,JS,
'047901,COMANCHE,'047,N,COMANCHE ISD,L,'14,,
'130902,KENDALL,'130,N,COMFORT ISD,A,'13,VJ,
'116903,HUNT,'116,N,COMMERCE ISD,A,'10,,
'043918,COLLIN,'043,N,COMMUNITY ISD,R,'10,UVEMS,
'112908,HOPKINS,'112,N,COMO-PICKTON CISD,R,'08,AS,
'101842,HARRIS,'101,Y,COMQUEST ACADEMY,1,'04,,
'233903,VAL VERDE,'233,N,COMSTOCK ISD,R,'15,ADRUVJENS,
'161921,MCLENNAN,'161,N,CONNALLY ISD,A,'12,,
'170902,MONTGOMERY,'170,N,CONROE ISD,R,'06,JS,
'147901,LIMESTONE,'147,N,COOLIDGE ISD,R,'12,R,
'060902,DELTA,'060,N,COOPER ISD,A,'08,UV,B
'057922,DALLAS,'057,N,COPPELL ISD,R,'10,APCUVJEWMS,
'050910,CORYELL,'050,N,COPPERAS COVE ISD,A,'12,UES,
'178904,NUECES,'178,N,CORPUS CHRISTI ISD,A,'02,,
'178807,NUECES,'178,Y,CORPUS CHRISTI MONTESSORI SCHOOL,R,'02,EWN,
'187904,POLK,'187,N,CORRIGAN-CAMDEN ISD,A,'06,U,B
'175903,NAVARRO,'175,N,CORSICANA ISD,A,'12,,B
'095902,HALE,'095,N,COTTON CENTER ISD,A,'17,ARVJWS,D
'142901,LA SALLE,'142,N,COTULLA ISD,L,'20,,A
'246914,WILLIAMSON,'246,N,COUPLAND ISD,R,'13,EWMS,
'109903,HILL,'109,N,COVINGTON ISD,A,'12,RS,D
'129901,KAUFMAN,'129,N,CRANDALL ISD,R,'10,UVJ,
'052901,CRANE,'052,N,CRANE ISD,A,'18,J,
'018908,BOSQUE,'018,N,CRANFILLS GAP ISD,R,'12,AV,D
'161901,MCLENNAN,'161,N,CRAWFORD ISD,E,'12,AUVJEWNS,
'053001,CROCKETT,'053,N,CROCKETT COUNTY CONSOLIDATED CSD,A,'15,UW,
'113901,HOUSTON,'113,N,CROCKETT ISD,A,'06,,D
'101906,HARRIS,'101,N,CROSBY ISD,A,'04,,
'054901,CROSBY,'054,N,CROSBYTON CISD,A,'17,P,L
'030901,CALLAHAN,'030,N,CROSS PLAINS ISD,R,'14,UVJW,
'107904,HENDERSON,'107,N,CROSS ROADS ISD,R,'07,UVJW,
'184801,PARKER,'184,Y,CROSSTIMBERS ACADEMY,1,'11,,
'078901,FOARD,'078,N,CROWELL ISD,A,'09,ADUJE,
'220912,TARRANT,'220,N,CROWLEY ISD,A,'11,,
'254901,ZAVALA,'254,N,CRYSTAL CITY ISD,A,'20,R,
'062901,DEWITT,'062,N,CUERO ISD,A,'03,UJ,
'055901,CULBERSON,'055,N,CULBERSON COUNTY-ALLAMOORE ISD,A,'18,R,B
'212801,SMITH,'212,Y,CUMBERLAND ACADEMY,R,'07,,
'112905,HOPKINS,'112,N,CUMBY ISD,R,'08,JS,
'174902,NACOGDOCHES,'174,N,CUSHING ISD,A,'07,JW,
'101907,HARRIS,'101,N,CYPRESS-FAIRBANKS ISD,R,'04,S,
'163902,MEDINA,'163,N,D'HANIS ISD,R,'20,ARJ,D
'172902,MORRIS,'172,N,DAINGERFIELD-LONE STAR ISD,A,'08,JW,
'056901,DALLAM,'056,N,DALHART ISD,A,'16,J,D
'057804,DALLAS,'057,Y,DALLAS CAN ACADEMY CHARTER,2,'10,,H
'057805,DALLAS,'057,Y,DALLAS COMMUNITY CHARTER SCHOOL,E,'10,EM,D
'057814,DALLAS,'057,Y,DALLAS COUNTY JUVENILE JUSTICE,3,'10,,
'057905,DALLAS,'057,N,DALLAS ISD,A,'10,,D
'020910,BRAZORIA,'020,N,DAMON ISD,A,'04,AEM,
'020904,BRAZORIA,'020,N,DANBURY ISD,R,'04,RUVJW,
'148905,LIPSCOMB,'148,N,DARROUZETT ISD,R,'16,UW,
'058902,DAWSON,'058,N,DAWSON ISD,R,'17,RUVJS,D
'175904,NAVARRO,'175,N,DAWSON ISD,R,'12,,
'146902,LIBERTY,'146,N,DAYTON ISD,L,'04,,
'047902,COMANCHE,'047,N,DE LEON ISD,A,'14,UJ,
'249905,WISE,'249,N,DECATUR ISD,A,'11,AJS,
'101908,HARRIS,'101,N,DEER PARK ISD,R,'04,,
'019901,BOWIE,'019,N,DEKALB ISD,A,'08,VJ,B
'227910,TRAVIS,'227,N,DEL VALLE ISD,R,'13,S,
'115903,HUDSPETH,'115,N,DELL CITY ISD,A,'19,RUVJ,
'091903,GRAYSON,'091,N,DENISON ISD,A,'10,PUW,B
'061901,DENTON,'061,N,DENTON ISD,A,'11,S,
'251901,YOAKUM,'251,N,DENVER CITY ISD,A,'17,UVWS,
'057906,DALLAS,'057,N,DESOTO ISD,A,'10,,D
'194905,RED RIVER,'194,N,DETROIT ISD,A,'08,,
'146903,LIBERTY,'146,N,DEVERS ISD,E,'04,AEWMNS,
'163901,MEDINA,'163,N,DEVINE ISD,R,'20,U,
'081906,FREESTONE,'081,N,DEW ISD,R,'12,AEWS,
'176903,NEWTON,'176,N,DEWEYVILLE ISD,R,'05,S,
'003905,ANGELINA,'003,N,DIBOLL ISD,A,'07,,D
'084901,GALVESTON,'084,N,DICKINSON ISD,A,'04,,
'082902,FRIO,'082,N,DILLEY ISD,A,'20,,
'144903,LEE,'144,N,DIME BOX ISD,A,'13,RUVS,D
'035901,CASTRO,'035,N,DIMMITT ISD,A,'16,RJ,
'133905,KERR,'133,N,DIVIDE ISD,E,'20,AEWM,
'074904,FANNIN,'074,N,DODD CITY ISD,E,'10,ARUVJEWMNS,
'108902,HIDALGO,'108,N,DONNA ISD,A,'01,RS,L
'086024,GILLESPIE,'086,N,DOSS CONSOLIDATED CSD,E,'13,AEWMNS,
'174911,NACOGDOCHES,'174,N,DOUGLASS ISD,E,'07,AUVJEWNS,
'178801,NUECES,'178,Y,DR M L GARZA-GONZALEZ CHARTER SCHO,2,'02,,B
'101856,HARRIS,'101,Y,DRAW ACADEMY,A,'04,AS,
'105904,HAYS,'105,N,DRIPPING SPRINGS ISD,R,'13,APCUVJES,
'178905,NUECES,'178,N,DRISCOLL ISD,E,'02,ANS,
'072902,ERATH,'072,N,DUBLIN ISD,A,'11,PRJS,
'171901,MOORE,'171,N,DUMAS ISD,R,'16,W,B
'057907,DALLAS,'057,N,DUNCANVILLE ISD,A,'10,,
'057806,DALLAS,'057,Y,EAGLE ADVANTAGE SCHOOLS,A,'10,R,D
'220918,TARRANT,'220,N,EAGLE MT-SAGINAW ISD,A,'11,S,
'159901,MAVERICK,'159,N,EAGLE PASS ISD,R,'20,PRUVWS,B
'227909,TRAVIS,'227,N,EANES ISD,E,'13,PCRUVJEWMNS,
'025909,BROWN,'025,N,EARLY ISD,R,'15,APRUVJEWS,
'241902,WHARTON,'241,N,EAST BERNARD ISD,R,'03,AVJWS,
'015911,BEXAR,'015,N,EAST CENTRAL ISD,A,'20,,
'036903,CHAMBERS,'036,N,EAST CHAMBERS ISD,R,'04,ARVJ,
'220811,TARRANT,'220,Y,EAST FORT WORTH MONTESSORI ACADEMY,R,'11,A,
'092801,GREGG,'092,Y,EAST TEXAS CHARTER SCHOOLS,1,'07,,
'067903,EASTLAND,'067,N,EASTLAND ISD,R,'14,UJ,
'068901,ECTOR,'068,N,ECTOR COUNTY ISD,L,'18,,
'074905,FANNIN,'074,N,ECTOR ISD,R,'10,VMS,D
'108903,HIDALGO,'108,N,EDCOUCH-ELSA ISD,A,'01,ADRJ,H
'048901,CONCHO,'048,N,EDEN CISD,A,'15,UJWS,B
'227803,TRAVIS,'227,Y,EDEN PARK ACADEMY,E,'13,EMNS,
'015905,BEXAR,'015,N,EDGEWOOD ISD,A,'20,S,
'234903,VAN ZANDT,'234,N,EDGEWOOD ISD,A,'07,UVJW,
'108904,HIDALGO,'108,N,EDINBURG CISD,A,'01,RWS,B
'120901,JACKSON,'120,N,EDNA ISD,A,'03,UVJ,B
'061802,DENTON,'061,Y,EDUCATION CENTER,L,'11,,
'057833,DALLAS,'057,Y,EDUCATION CENTER INTERNATIONAL ACA,A,'10,RJ,
'123805,JEFFERSON,'123,Y,EHRHART SCHOOL,A,'05,,
'241903,WHARTON,'241,N,EL CAMPO ISD,A,'03,,B
'071804,EL PASO,'071,Y,EL PASO ACADEMY,1,'19,R,H
'071902,EL PASO,'071,N,EL PASO ISD,A,'19,R,
'071805,EL PASO,'071,Y,EL PASO SCHOOL OF EXCELLENCE,1,'19,W,
'243902,WICHITA,'243,N,ELECTRA ISD,A,'09,UV,
'011902,BASTROP,'011,N,ELGIN ISD,A,'13,,D
'001903,ANDERSON,'001,N,ELKHART ISD,R,'07,UVJW,B
'102906,HARRISON,'102,N,ELYSIAN FIELDS ISD,R,'07,UVJ,
'024801,BROOKS,'024,Y,ENCINO SCHOOL,L,'02,,
'070903,ELLIS,'070,N,ENNIS ISD,A,'10,,B
'049906,COOKE,'049,N,ERA ISD,R,'11,ARJEWMNS,
'072802,ERATH,'072,Y,ERATH EXCELS ACADEMY INC,1,'11,W,B
'174910,NACOGDOCHES,'174,N,ETOILE ISD,R,'07,S,
'030906,CALLAHAN,'030,N,EULA ISD,A,'14,RUVJES,
'107905,HENDERSON,'107,N,EUSTACE ISD,R,'07,AUJS,D
'121906,JASPER,'121,N,EVADALE ISD,R,'05,RUJWS,
'050901,CORYELL,'050,N,EVANT ISD,R,'12,RUVW,
'220904,TARRANT,'220,N,EVERMAN ISD,A,'11,R,
'057834,DALLAS,'057,Y,EVOLUTION ACADEMY CHARTER SCHOOL,1,'10,,B
'101811,HARRIS,'101,Y,EXCEL ACADEMY,3,'04,,A
'210906,SHELBY,'210,N,EXCELSIOR ISD,A,'07,EWN,
'143906,LAVACA,'143,N,EZZELL ISD,E,'03,AEWMNS,
'071903,EL PASO,'071,N,FABENS ISD,R,'19,ARV,D
'081902,FREESTONE,'081,N,FAIRFIELD ISD,R,'12,UVJ,A
'057815,DALLAS,'057,Y,FAITH FAMILY ACADEMY OF OAK CLIFF,1,'10,AR,
'128904,KARNES,'128,N,FALLS CITY ISD,E,'03,ADUVJEWMNS,F
'060914,DELTA,'060,N,FANNINDEL ISD,A,'08,,D
'043904,COLLIN,'043,N,FARMERSVILLE ISD,R,'10,VJW,D
'185902,PARMER,'185,N,FARWELL ISD,A,'16,ARUVJEW,
'075906,FAYETTE,'075,N,FAYETTEVILLE ISD,R,'13,AUVJEMS,
'070905,ELLIS,'070,N,FERRIS ISD,A,'10,R,
'075901,FAYETTE,'075,N,FLATONIA ISD,R,'13,ARUVJW,
'246902,WILLIAMSON,'246,N,FLORENCE ISD,A,'13,,
'247901,WILSON,'247,N,FLORESVILLE ISD,R,'20,,
