D20GR12N,D20GR12R,D30GR12N,D30GR12R,D40GR12N,D40GR12R,DA0GH12N,DA0GH12R,DA0GM12N,DA0GM12R,DA0GR12N,DA0GR12R,DAPID13N,DAPID13R,DAUND12C,DAUND12R,DB0GR12N,DB0GR12R,DH0GR12N,DH0GR12R,DI0GR12N,DI0GR12R,DISTRICT,DPEMALLC,DPEMALLP,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETNEDC,DPETNEDP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR12N,DS0GR12R,DW0GR12N,DW0GR12R,YEAR
0,0,0,0,0,0,106,93,8,7,114,100,0,0.0,5,0.6,0,0,95,83.3,0,0,'007906,247,14.6,5.1,3.8,0,0,0,0,0,1.7,3.2,0,0,0,0,0,0,0,0,25,1773,3,0.2,69,3.9,2,0.1,59,3,1417,79.9,140,7.9,143,8.1,111,6.3,127,7.2,134,7.6,135,7.6,129,7.3,122,6.9,131,7.4,147,8.3,107,6.0,115,6.5,0,0.0,94,5.3,145,8.2,87,4.9,1506,84.9,3,0.2,79,4.5,356,20.1,0,0.0,948,53.5,127,7.2,8,0.5,461,26.0,251,14.2,9,7.9,19,16.7,2013
4,2.4,1,0.6,0,0,135,82.3,29,17.7,164,100,0,0.0,0,0,23,14,34,20.7,1,0.6,'008901,197,9.7,3.6,1.5,5.8,0,0,1.6,2,0.7,2.2,16.7,0,0,0,0,0,0,0,23.1,2082,3,0.1,156,7.5,227,10.9,16,0.7,971,46.6,161,7.7,147,7.1,150,7.2,168,8.1,150,7.2,174,8.4,146,7.0,161,7.7,156,7.5,142,6.8,154,7.4,173,8.3,1,0.0,232,11.1,154,7.4,45,2.2,544,26.1,5,0.2,157,7.5,1111,53.4,0,0.0,691,33.2,169,8.1,55,2.6,606,29.1,1248,59.9,26,15.9,101,61.6,2013
2,1.1,0,0,0,0,141,78.3,39,21.7,180,100,0,0.0,8,0.6,27,15,75,41.7,0,0,'008902,296,11.6,2,2.7,1.6,2.7,1.1,1.9,0,0.5,5,0,25,14.3,0,10,0,0,4.8,5,2676,7,0.3,288,10.8,273,10.2,30,1,1577,58.9,176,6.6,172,6.4,200,7.5,201,7.5,200,7.5,202,7.5,237,8.9,208,7.8,226,8.4,185,6.9,180,6.7,187,7.0,10,0.4,144,5.4,211,7.9,81,3.0,1233,46.1,3,0.1,294,11.0,1099,41.1,2,0.1,1117,41.7,231,8.6,43,1.6,548,20.5,1115,41.7,14,7.8,76,42.2,2013
0,0,0,0,0,0,46,86.8,7,13.2,53,100,0,0.0,0,0,6,11.3,24,45.3,0,0,'008903,103,12.7,1.4,1.5,0,0,2,7.5,1.7,1.7,6.9,0,0,.,0,0,.,0,0,0,821,6,0.7,95,11.6,76,9.3,27,3,466,56.8,56,6.8,73,8.9,64,7.8,47,5.7,64,7.8,63,7.7,65,7.9,64,7.8,65,7.9,64,7.8,55,6.7,51,6.2,0,0.0,14,1.7,59,7.2,31,3.8,406,49.5,0,0.0,98,11.9,355,43.2,0,0.0,302,36.8,41,5.0,13,1.6,229,27.9,320,39.0,3,5.7,23,43.4,2013
0,0,0,0,0,0,59,83.1,12,16.9,71,100,0,0.0,2,0.3,0,0,59,83.1,0,0,'009901,205,14.6,9.6,2.7,2.1,0,0.9,0,0,0,3.1,7.7,0,0,0,0,0,0,0,6.7,1486,7,0.5,260,17.5,3,0.2,23,1.4,1227,82.6,121,8.1,128,8.6,117,7.9,102,6.9,107,7.2,124,8.3,109,7.3,94,6.3,101,6.8,108,7.3,72,4.8,82,5.5,7,0.5,47,3.2,126,8.5,88,5.9,1216,81.8,0,0.0,268,18.0,259,17.4,0,0.0,791,53.2,146,9.8,1,0.1,340,22.9,259,17.4,6,8.5,12,16.9,2013
1,3,0,0,0,0,24,72.7,9,27.3,33,100,0,0.0,1,0.6,1,3,3,9.1,0,0,'010901,55,18.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.7,266,0,0.0,15,5.6,3,1.1,9,2.7,159,59.8,13,4.9,13,4.9,20,7.5,8,3.0,17,6.4,23,8.6,19,7.1,19,7.1,37,13.9,15,5.6,20,7.5,32,12.0,1,0.4,17,6.4,13,4.9,16,6.0,67,25.2,1,0.4,18,6.8,107,40.2,0,0.0,106,39.8,39,14.7,3,1.1,99,37.2,192,72.2,4,12.1,28,84.8,2013
4,2.3,1,0.6,0,0,122,70.9,50,29.1,172,100,0,0.0,0,0,1,0.6,43,25,0,0,'010902,317,13.5,4.3,2.2,2.6,1.5,0,0,0.6,1,2.6,11.8,9.5,0,0,0,6.3,0,5.9,9.1,2443,15,0.6,102,4.2,9,0.4,31,1.2,1221,50.0,143,5.9,179,7.3,168,6.9,177,7.2,156,6.4,187,7.7,172,7.0,181,7.4,234,9.6,175,7.2,183,7.5,175,7.2,3,0.1,155,6.3,178,7.3,132,5.4,739,30.2,16,0.7,103,4.2,1222,50.0,1,0.0,859,35.2,239,9.8,41,1.7,662,27.1,1622,66.4,21,12.2,123,71.5,2013
4,0.8,1,0.2,0,0,365,70.9,150,29.1,515,100,0,0.0,2,0,39,7.6,217,42.1,4,0.8,'011901,1673,18.3,5.6,5.4,4.3,0.7,1.2,0.3,1.7,0.8,2.8,8.8,7.1,0,0.9,0,0,0,0,10.5,9268,48,0.5,1719,18.5,537,5.8,221,2.2,6298,68.0,734,7.9,716,7.7,720,7.8,683,7.4,705,7.6,687,7.4,723,7.8,687,7.4,897,9.7,530,5.7,606,6.5,573,6.2,25,0.3,715,7.7,680,7.3,302,3.3,5132,55.4,43,0.5,1889,20.4,2970,32.0,6,0.1,5356,57.8,1011,10.9,230,2.5,1502,16.2,3272,35.3,51,9.9,250,48.5,2013
5,1.9,2,0.8,0,0,219,82.3,47,17.7,266,100,0,0.0,13,0.7,34,12.8,125,47,1,0.4,'011902,614,15.7,5.1,3.2,1.9,1.1,0.8,0.4,0,0,4.3,0,0,0,0,0,0,6.9,0,10.5,4122,13,0.3,708,17.2,550,13.3,117,2.6,2918,70.8,293,7.1,285,6.9,296,7.2,281,6.8,313,7.6,303,7.4,311,7.5,284,6.9,361,8.8,339,8.2,291,7.1,256,6.2,11,0.3,329,8.0,303,7.4,195,4.7,2263,54.9,10,0.2,732,17.8,1204,29.2,1,0.0,1964,47.6,374,9.1,112,2.7,1246,30.2,1173,28.5,27,10.2,99,37.2,2013
2,1.9,1,0.9,1,0.9,76,71.7,30,28.3,106,100,0,0.0,3,0.4,11,10.4,17,16,3,2.8,'011904,213,12.9,0.9,0,0,1,0,3.6,0,0.9,0,0,0,0,0,0,0,0,0,0,1768,6,0.3,67,3.8,150,8.5,39,2.1,982,55.5,126,7.1,126,7.1,114,6.4,122,6.9,123,7.0,151,8.5,123,7.0,130,7.4,163,9.2,118,6.7,135,7.6,142,8.0,4,0.2,118,6.7,110,6.2,81,4.6,456,25.8,7,0.4,70,4.0,786,44.5,1,0.1,560,31.7,176,10.0,52,2.9,453,25.6,1096,62.0,12,11.3,71,67,2013
