D20GR10N,D20GR10P,D30GR10N,D30GR10P,D40GR10N,D40GR10P,DA0GH10N,DA0GH10P,DA0GM10N,DA0GM10P,DA0GR10N,DA0GR10P,DAPID11N,DAPID11R,DAUND10C,DAUND10R,DB0GR10N,DB0GR10P,DH0GR10N,DH0GR10P,DI0GR10N,DI0GR10P,DISTRICT,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR10N,DS0GR10P,DW0GR10N,DW0GR10P,YEAR
0,0,0,0,0,0,28,80,7,20,35,100,0,0.0,4,1.6,0,0,28,80,0,0,'007901,6.1,0,0,0,7.5,8.9,0,0,0,33.3,0,0,0,0,0,0,0,.,525,0,0.0,30,5.7,5,1.0,10,1.7,411,78.3,41,7.8,32,6.1,40,7.6,45,8.6,37,7.0,40,7.6,45,8.6,44,8.4,39,7.4,30,5.7,34,6.5,40,7.6,0,0.0,16,3.0,32,6.1,26,5.0,464,88.4,2,0.4,32,6.1,0,0.0,255,48.6,30,5.7,0,0.0,194,37.0,54,10.3,2,5.7,7,20,2011
1,1.3,1,1.3,0,0,71,89.9,8,10.1,79,100,0,0.0,1,0.1,1,1.3,49,62,0,0,'007902,3.7,1,6.2,3.3,2.8,4.7,0,0,1.3,0,0,0,0,0,0,0,0,0,1318,6,0.5,21,1.6,8,0.6,36,2.3,787,59.7,93,7.1,94,7.1,122,9.3,88,6.7,109,8.3,122,9.3,106,8.0,124,9.4,108,8.2,81,6.1,89,6.8,70,5.3,0,0.0,98,7.4,87,6.6,25,1.9,774,58.7,1,0.1,24,1.8,0,0.0,456,34.6,101,7.7,13,1.0,371,28.1,516,39.2,9,11.4,27,34.2,2011
0,0,0,0,0,0,102,89.5,12,10.5,114,100,0,0.0,4,0.5,0,0,87,76.3,0,0,'007904,3.7,2.7,1.6,0,5.1,0.8,0.8,0,2.8,0,0,0,0,0,0,0,0,18.2,1737,0,0.0,110,6.3,16,0.9,36,1.9,1258,72.4,131,7.5,128,7.4,115,6.6,140,8.1,114,6.6,105,6.0,138,7.9,147,8.5,130,7.5,112,6.4,124,7.1,135,7.8,2,0.1,86,5.0,127,7.3,89,5.1,1353,77.9,4,0.2,111,6.4,0,0.0,679,39.1,117,6.7,7,0.4,425,24.5,357,20.6,6,5.3,27,23.7,2011
0,0,0,0,0,0,169,79.7,43,20.3,212,100,0,0.0,0,0,1,0.5,139,65.6,0,0,'007905,4.4,2,0,0,0.5,0.4,0,0.9,0,14.3,11.5,0,0,0,0,0,10,0,3429,13,0.4,81,2.4,9,0.3,76,2,2217,64.7,270,7.9,228,6.6,262,7.6,266,7.8,275,8.0,248,7.2,259,7.6,279,8.1,288,8.4,220,6.4,212,6.2,217,6.3,3,0.1,192,5.6,231,6.7,171,5.0,2369,69.1,10,0.3,85,2.5,0,0.0,1292,37.7,284,8.3,23,0.7,770,22.5,1005,29.3,41,19.3,72,34,2011
0,0,0,0,0,0,95,83.3,19,16.7,114,100,0,0.0,1,0.1,2,1.8,90,78.9,0,0,'007906,7.5,2.9,0.9,0,0,0,2.3,0.9,7.3,0,0,0,0,0,0,0,0,0,1763,1,0.1,73,4.1,3,0.2,77,3.9,1410,80.0,121,6.9,127,7.2,143,8.1,136,7.7,136,7.7,121,6.9,134,7.6,134,7.6,143,8.1,130,7.4,114,6.5,111,6.3,3,0.2,108,6.1,130,7.4,80,4.5,1521,86.3,0,0.0,84,4.8,0,0.0,912,51.7,124,7.0,4,0.2,525,29.8,234,13.3,5,4.4,22,19.3,2011
4,2.7,0,0,0,0,111,74,39,26,150,100,0,0.0,4,0.4,25,16.7,27,18,0,0,'008901,5,3.8,1.3,1.8,0.7,2.3,2.1,0,3.2,12.5,13.3,0,6.7,0,0,0,0,26.7,2145,9,0.4,182,8.5,225,10.5,23,1,946,44.1,153,7.1,178,8.3,142,6.6,175,8.2,130,6.1,172,8.0,152,7.1,160,7.5,166,7.7,179,8.3,172,8.0,149,6.9,3,0.1,247,11.5,146,6.8,68,3.2,562,26.2,5,0.2,184,8.6,1,0.0,705,32.9,221,10.3,59,2.8,547,25.5,1284,59.9,15,10,94,62.7,2011
1,0.7,0,0,0,0,116,77.3,34,22.7,150,100,2,0.1,1,0.1,16,10.7,59,39.3,1,0.7,'008902,0,0,0,0.9,0.6,0,0.6,0,0,15.4,0,0,0,10.5,0,0,0,10,2620,12,0.5,271,10.3,276,10.5,33,1.2,1462,55.8,197,7.5,192,7.3,209,8.0,185,7.1,236,9.0,198,7.6,207,7.9,178,6.8,209,8.0,205,7.8,191,7.3,177,6.8,11,0.4,151,5.8,166,6.3,59,2.3,1157,44.2,6,0.2,276,10.5,2,0.1,1002,38.2,226,8.6,38,1.5,613,23.4,1129,43.1,14,9.3,73,48.7,2011
2,3.4,0,0,0,0,51,86.4,8,13.6,59,100,0,0.0,1,0.3,4,6.8,19,32.2,0,0,'008903,4.3,0,0,0,3.6,3.4,0,1.9,5.2,0,0,0,0,16.7,20,0,0,0,821,4,0.5,80,9.7,89,10.8,11,1.2,463,56.4,58,7.1,53,6.5,62,7.6,57,6.9,64,7.8,70,8.5,65,7.9,63,7.7,65,7.9,63,7.7,61,7.4,48,5.8,0,0.0,15,1.8,68,8.3,24,2.9,392,47.7,1,0.1,84,10.2,0,0.0,244,29.7,55,6.7,12,1.5,218,26.6,323,39.3,3,5.1,34,57.6,2011
0,0,0,0,0,0,59,80.8,14,19.2,73,100,0,0.0,2,0.3,1,1.4,48,65.8,0,0,'009901,6.6,1.1,0,2.1,2.2,0,1.1,0,2.9,25,11.1,0,0,0,0,0,0,8.3,1499,4,0.3,219,14.6,5,0.3,31,2,1262,84.2,126,8.4,112,7.5,112,7.5,126,8.4,112,7.5,99,6.6,110,7.3,106,7.1,101,6.7,97,6.5,78,5.2,80,5.3,14,0.9,60,4.0,125,8.3,101,6.7,1217,81.2,0,0.0,228,15.2,0,0.0,677,45.2,161,10.7,3,0.2,309,20.6,270,18.0,11,15.1,24,32.9,2011
1,3.6,0,0,0,0,18,64.3,10,35.7,28,100,0,0.0,0,0,0,0,5,17.9,0,0,'010901,0,12.5,5,0,6.3,0,0,0,14.3,0,50,0,0,0,0,0,0,20,302,0,0.0,13,4.3,7,2.3,7,1.9,154,51.0,24,7.9,15,5.0,20,6.6,19,6.3,19,6.3,21,7.0,27,8.9,21,7.0,23,7.6,28,9.3,30,9.9,24,7.9,0,0.0,26,8.6,17,5.6,14,4.6,69,22.8,3,1.0,13,4.3,0,0.0,114,37.7,45,14.9,3,1.0,102,33.8,220,72.8,7,25,22,78.6,2011
