D20GR10N,D20GR10P,D30GR10N,D30GR10P,D40GR10N,D40GR10P,DA0GH10N,DA0GH10P,DA0GM10N,DA0GM10P,DA0GR10N,DA0GR10P,DAPID11N,DAPID11R,DAUND10C,DAUND10R,DB0GR10N,DB0GR10P,DH0GR10N,DH0GR10P,DI0GR10N,DI0GR10P,DISTRICT,DPERRA1R,DPERRA2R,DPERRA3R,DPERRA4R,DPERRA5R,DPERRA6R,DPERRA7R,DPERRA8R,DPERRAKR,DPERSA1R,DPERSA2R,DPERSA3R,DPERSA4R,DPERSA5R,DPERSA6R,DPERSA7R,DPERSA8R,DPERSAKR,DPETALLC,DPETASIC,DPETASIP,DPETBILC,DPETBILP,DPETBLAC,DPETBLAP,DPETDISC,DPETDISP,DPETECOC,DPETECOP,DPETG01C,DPETG01P,DPETG02C,DPETG02P,DPETG03C,DPETG03P,DPETG04C,DPETG04P,DPETG05C,DPETG05P,DPETG06C,DPETG06P,DPETG07C,DPETG07P,DPETG08C,DPETG08P,DPETG09C,DPETG09P,DPETG10C,DPETG10P,DPETG11C,DPETG11P,DPETG12C,DPETG12P,DPETGEEC,DPETGEEP,DPETGIFC,DPETGIFP,DPETGKNC,DPETGKNP,DPETGPKC,DPETGPKP,DPETHISC,DPETHISP,DPETINDC,DPETINDP,DPETLEPC,DPETLEPP,DPETPCIC,DPETPCIP,DPETRSKC,DPETRSKP,DPETSPEC,DPETSPEP,DPETTWOC,DPETTWOP,DPETVOCC,DPETVOCP,DPETWHIC,DPETWHIP,DS0GR10N,DS0GR10P,DW0GR10N,DW0GR10P,YEAR
0,0,0,0,0,0,38,71.7,15,28.3,53,100,0,0.0,0,0,0,0,5,9.4,0,0,'127904,8,8,0,2.3,2,0,0,0,0,0,0,0,0,0,0,0,0,20,739,5,0.7,6,0.8,2,0.3,11,1.4,377,51.0,59,8.0,54,7.3,48,6.5,57,7.7,52,7.0,53,7.2,54,7.3,59,8.0,60,8.1,64,8.7,58,7.8,47,6.4,0,0.0,68,9.2,43,5.8,31,4.2,103,13.9,0,0.0,6,0.8,0,0.0,389,52.6,70,9.5,7,0.9,242,32.7,622,84.2,13,24.5,48,90.6,2011
0,0,0,0,0,0,14,100,0,0,14,100,0,0.0,0,0,0,0,2,14.3,0,0,'127905,0,0,0,0,0,0,0,0,0,.,.,0,0,.,.,.,0,.,126,0,0.0,4,3.2,3,2.4,1,0.8,90,71.4,5,4.0,9,7.1,12,9.5,8,6.3,4,3.2,11,8.7,9,7.1,13,10.3,8,6.3,4,3.2,12,9.5,8,6.3,0,0.0,10,7.9,6,4.8,17,13.5,18,14.3,1,0.8,4,3.2,0,0.0,51,40.5,13,10.3,15,11.9,32,25.4,89,70.6,0,0,12,85.7,2011
0,0,1,2.4,0,0,33,80.5,8,19.5,41,100,0,0.0,0,0,6,14.6,17,41.5,0,0,'127906,6.5,3,4.9,3,0,0,0,0,16.7,0,25,0,0,0,0,0,0,0,649,1,0.2,19,2.9,57,8.8,23,3.2,482,74.3,51,7.9,49,7.6,39,6.0,48,7.4,39,6.0,32,4.9,41,6.3,48,7.4,45,6.9,59,9.1,36,5.5,38,5.9,0,0.0,21,3.2,64,9.9,60,9.2,343,52.9,1,0.2,19,2.9,1,0.2,282,43.5,68,10.5,18,2.8,229,35.3,228,35.1,8,19.5,17,41.5,2011
0,0,0,0,0,0,60,87,9,13,69,100,1,0.1,2,0.5,1,1.4,41,59.4,0,0,'128901,2.9,0,0,1.4,0,0,1.3,0,9,0,0,0,0,0,0,0,0,0,959,2,0.2,11,1.1,30,3.1,26,2.5,636,66.3,64,6.7,66,6.9,80,8.3,70,7.3,78,8.1,64,6.7,69,7.2,80,8.3,63,6.6,64,6.7,58,6.0,67,7.0,0,0.0,130,13.6,84,8.8,52,5.4,654,68.2,2,0.2,11,1.1,0,0.0,324,33.8,71,7.4,3,0.3,177,18.5,268,27.9,6,8.7,27,39.1,2011
0,0,0,0,0,0,33,82.5,7,17.5,40,100,0,0.0,0,0,1,2.5,30,75,0,0,'128902,9.3,0,4.5,0,2.7,0,0,2.6,0,0,20,0,0,0,0,0,0,0,663,4,0.6,6,0.9,10,1.5,19,2.5,546,82.4,59,8.9,52,7.8,43,6.5,54,8.1,51,7.7,40,6.0,43,6.5,47,7.1,50,7.5,48,7.2,43,6.5,49,7.4,0,0.0,73,11.0,46,6.9,38,5.7,560,84.5,1,0.2,7,1.1,0,0.0,286,43.1,72,10.9,7,1.1,160,24.1,81,12.2,7,17.5,9,22.5,2011
0,0,0,0,0,0,14,93.3,1,6.7,15,100,0,0.0,0,0,0,0,12,80,0,0,'128903,0,5.9,0,0,5,0,8.7,4,0,0,0,0,.,0,0,0,0,0,304,0,0.0,0,0.0,1,0.3,4,1.2,244,80.3,20,6.6,18,5.9,19,6.3,25,8.2,25,8.2,20,6.6,17,5.6,25,8.2,30,9.9,26,8.6,18,5.9,19,6.3,0,0.0,23,7.6,27,8.9,15,4.9,253,83.2,1,0.3,0,0.0,0,0.0,109,35.9,27,8.9,0,0.0,94,30.9,49,16.1,1,6.7,3,20,2011
0,0,0,0,0,0,17,89.5,2,10.5,19,100,0,0.0,0,0,0,0,4,21.1,0,0,'128904,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0.0,4,1.2,0,0.0,2,0.6,72,21.2,20,5.9,24,7.1,21,6.2,22,6.5,24,7.1,29,8.6,34,10.0,22,6.5,26,7.7,34,10.0,27,8.0,37,10.9,0,0.0,33,9.7,19,5.6,0,0.0,54,15.9,0,0.0,4,1.2,1,0.3,32,9.4,27,8.0,2,0.6,133,39.2,282,83.2,1,5.3,15,78.9,2011
6,3.4,0,0,0,0,136,77.3,40,22.7,176,100,2,0.1,3,0.2,11,6.3,15,8.5,1,0.6,'129901,1.5,1.5,4.8,1.9,2.9,3.6,1.5,1,10.6,0,12.5,0,0,0,0,13.3,3.2,16.7,2839,18,0.6,98,3.5,250,8.8,34,1.1,1140,40.2,189,6.7,218,7.7,225,7.9,220,7.7,225,7.9,221,7.8,227,8.0,219,7.7,246,8.7,201,7.1,170,6.0,174,6.1,0,0.0,62,2.2,222,7.8,82,2.9,486,17.1,21,0.7,102,3.6,0,0.0,1037,36.5,227,8.0,59,2.1,575,20.3,2005,70.6,21,11.9,143,81.3,2011
3,0.7,1,0.2,0,0,367,89.1,45,10.9,412,100,2,0.0,4,0.1,59,14.3,61,14.8,7,1.7,'129902,1.7,0.9,0.5,0,0.2,0.4,0.2,0.4,1.8,0,5.6,0,0,0,0,0,7,23.3,8087,113,1.4,515,6.4,880,10.9,98,1.2,2179,26.9,602,7.4,637,7.9,614,7.6,657,8.1,698,8.6,633,7.8,634,7.8,666,8.2,650,8.0,587,7.3,496,6.1,449,5.6,8,0.1,656,8.1,607,7.5,149,1.8,1756,21.7,68,0.8,404,5.0,6,0.1,2036,25.2,606,7.5,172,2.1,1614,20.0,5092,63.0,46,11.2,281,68.2,2011
2,1,1,0.5,0,0,160,78.8,43,21.2,203,100,1,0.0,5,0.3,14,6.9,71,35,3,1.5,'129903,7.8,3.2,6.1,2.3,0.4,0.4,0.9,0.4,8.3,15.8,4.5,0,0,0,0,3.3,3.7,9.5,3747,32,0.9,481,12.8,216,5.8,85,2.1,2345,62.6,270,7.2,272,7.3,280,7.5,317,8.5,246,6.6,268,7.2,294,7.8,261,7.0,288,7.7,276,7.4,274,7.3,209,5.6,7,0.2,184,4.9,299,8.0,186,5.0,1451,38.7,42,1.1,484,12.9,0,0.0,1520,40.6,339,9.0,65,1.7,858,22.9,1941,51.8,23,11.3,112,55.2,2011
4,3.6,0,0,0,0,92,82.9,19,17.1,111,100,1,0.1,4,0.5,5,4.5,15,13.5,1,0.9,'129904,3.8,5.1,0,2.1,2.9,0,0,0,7.4,0,0,0,0,0,0,0,4,22.2,1575,0,0.0,60,3.8,33,2.1,35,2,1005,63.8,100,6.3,120,7.6,114,7.2,119,7.6,123,7.8,121,7.7,105,6.7,131,8.3,149,9.5,84,5.3,124,7.9,97,6.2,32,2.0,78,5.0,104,6.6,52,3.3,241,15.3,16,1.0,62,3.9,3,0.2,719,45.7,181,11.5,25,1.6,425,27.0,1257,79.8,11,9.9,86,77.5,2011
1,0.5,2,0.9,0,0,185,83.3,37,16.7,222,100,2,0.1,5,0.3,2,0.9,18,8.1,4,1.8,'129905,7.9,3.3,1.3,0.5,1.7,0.4,0.5,1.5,4,9.5,4.8,0,0,4.3,0,0,4.5,5.9,3311,23,0.7,70,2.1,54,1.6,107,2.9,2040,61.6,219,6.6,242,7.3,240,7.2,250,7.6,239,7.2,252,7.6,274,8.3,243,7.3,257,7.8,251,7.6,232,7.0,203,6.1,0,0.0,241,7.3,234,7.1,175,5.3,402,12.1,30,0.9,70,2.1,2,0.1,1333,40.3,280,8.5,98,3.0,866,26.2,2702,81.6,31,14,195,87.8,2011
1,0.5,4,1.8,0,0,188,86.2,30,13.8,218,100,1,0.0,55,2.7,68,31.2,51,23.4,1,0.5,'129906,11.6,2.3,1.8,0.6,3.4,0.4,0,4.1,2.7,8,0,0,0,0,0,0,0,10.5,4115,47,1.1,763,18.5,1044,25.4,175,3.7,3106,75.5,314,7.6,301,7.3,326,7.9,297,7.2,339,8.2,292,7.1,304,7.4,325,7.9,309,7.5,249,6.1,243,5.9,249,6.1,0,0.0,272,6.6,308,7.5,259,6.3,1623,39.4,18,0.4,763,18.5,5,0.1,2314,56.2,354,8.6,67,1.6,1020,24.8,1311,31.9,24,11,93,42.7,2011
2,3.1,0,0,0,0,49,76.6,15,23.4,64,100,8,0.8,1,0.2,3,4.7,2,3.1,2,3.1,'129910,5,3.9,4.5,0,1.4,1.7,1.6,1.6,1.6,0,12.5,0,0,0,0,0,0,25,909,2,0.2,3,0.3,35,3.9,13,1.3,383,42.1,66,7.3,67,7.4,68,7.5,76,8.4,73,8.0,89,9.8,76,8.4,73,8.0,84,9.2,57,6.3,57,6.3,50,5.5,0,0.0,43,4.7,55,6.1,18,2.0,96,10.6,8,0.9,3,0.3,1,0.1,188,20.7,112,12.3,17,1.9,321,35.3,750,82.5,8,12.5,55,85.9,2011
0,0,0,0,0,0,2,28.6,5,71.4,7,100,0,0.0,0,0,1,14.3,3,42.9,0,0,'130801,.,.,.,.,.,.,0,0,.,.,.,.,.,.,.,0,0,.,48,0,0.0,0,0.0,5,10.4,0,0,43,89.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,8.3,16,33.3,7,14.6,10,20.8,8,16.7,3,6.3,0,0.0,0,0.0,0,0.0,0,0.0,23,47.9,0,0.0,0,0.0,0,0.0,41,85.4,28,58.3,1,2.1,15,31.3,19,39.6,1,14.3,3,42.9,2011
17,3.3,5,1,0,0,463,89.6,54,10.4,517,100,0,0.0,0,0,2,0.4,102,19.7,6,1.2,'130901,4.6,1.3,0.7,0.2,0.4,0,0.2,0.6,5.8,13,2.5,2.1,0,0,0,0,0,11.6,6632,50,0.8,400,6.0,36,0.5,88,1.3,1384,20.9,458,6.9,421,6.3,456,6.9,501,7.6,556,8.4,544,8.2,532,8.0,545,8.2,541,8.2,595,9.0,532,8.0,495,7.5,16,0.2,317,4.8,412,6.2,28,0.4,1787,26.9,29,0.4,242,3.6,3,0.0,1428,21.5,490,7.4,128,1.9,1336,20.1,4599,69.3,27,5.2,385,74.5,2011
0,0,0,0,0,0,64,88.9,8,11.1,72,100,0,0.0,1,0.2,0,0,28,38.9,0,0,'130902,12.1,2.7,1.6,0,1.3,0,1.2,0,1.9,0,10,0,0,0,0,0,0,0,1167,4,0.3,147,12.6,1,0.1,18,1.4,681,58.4,79,6.8,90,7.7,84,7.2,77,6.6,85,7.3,84,7.2,69,5.9,98,8.4,86,7.4,94,8.1,82,7.0,84,7.2,1,0.1,156,13.4,99,8.5,55,4.7,625,53.6,3,0.3,178,15.3,0,0.0,479,41.0,130,11.1,10,0.9,364,31.2,524,44.9,9,12.5,44,61.1,2011
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,.,0,.,0,.,0,.,'131001,0,0,0,0,0,0,.,.,0,.,0,0,0,0,0,.,.,0,80,1,1.3,3,3.8,0,0.0,0,0,55,68.8,13,16.3,9,11.3,6,7.5,13,16.3,9,11.3,8,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,6,7.5,16,20.0,57,71.3,1,1.3,3,3.8,0,0.0,25,31.3,6,7.5,1,1.3,0,0.0,20,25.0,0,.,0,.,2011
0,0,0,0,0,0,8,80,2,20,10,100,0,0.0,0,0,0,0,1,10,0,0,'132902,0,0,0,0,0,0,0,0,0,0,.,0,0,.,0,0,0,.,153,0,0.0,0,0.0,1,0.7,2,1.3,69,45.1,15,9.8,11,7.2,11,7.2,11,7.2,10,6.5,11,7.2,12,7.8,11,7.2,14,9.2,11,7.2,9,5.9,10,6.5,0,0.0,5,3.3,10,6.5,7,4.6,40,26.1,0,0.0,0,0.0,0,0.0,62,40.5,18,11.8,1,0.7,38,24.8,111,72.5,2,20,9,90,2011
0,0,1,2.2,0,0,40,87,6,13,46,100,0,0.0,1,0.2,1,2.2,17,37,0,0,'133901,2.3,2.3,0,0,0,2.5,0,0,8.8,30,0,.,0,0,0,0,0,14.3,639,2,0.3,90,14.1,6,0.9,16,2,482,75.4,45,7.0,55,8.6,54,8.5,41,6.4,41,6.4,42,6.6,45,7.0,53,8.3,49,7.7,67,10.5,44,6.9,31,4.9,0,0.0,32,5.0,54,8.5,18,2.8,313,49.0,3,0.5,94,14.7,0,0.0,300,46.9,67,10.5,4,0.6,169,26.4,311,48.7,3,6.5,27,58.7,2011
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,0,0,.,0,.,0,.,'133902,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,181,1,0.6,17,9.4,0,0.0,0,0,61,33.7,21,11.6,10,5.5,20,11.0,19,10.5,18,9.9,18,9.9,21,11.6,22,12.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,7.7,16,8.8,16,8.8,52,28.7,1,0.6,17,9.4,0,0.0,44,24.3,16,8.8,3,1.7,0,0.0,124,68.5,0,.,0,.,2011
7,2.1,5,1.5,1,0.3,236,72,92,28,328,100,0,0.0,48,2,8,2.4,115,35.1,3,0.9,'133903,7.3,3.2,2.2,0.6,0,0.4,0.6,0,11.3,10.7,2.3,2.2,0,0,6,2.4,0,24.2,4859,37,0.8,274,5.6,123,2.5,97,1.8,2701,55.6,375,7.7,336,6.9,381,7.8,359,7.4,353,7.3,361,7.4,327,6.7,365,7.5,392,8.1,358,7.4,313,6.4,305,6.3,0,0.0,325,6.7,379,7.8,255,5.2,2219,45.7,13,0.3,286,5.9,1,0.0,2474,50.9,454,9.3,82,1.7,937,19.3,2384,49.1,15,4.6,189,57.6,2011
2,1.9,0,0,0,0,88,85.4,15,14.6,103,100,0,0.0,0,0,1,1,39,37.9,3,2.9,'133904,0,1.7,1.4,1.5,0,2.5,0,1.7,1.5,0,0,0,0,0,0,0,0,0,1050,10,1.0,112,10.7,3,0.3,52,4,651,62.0,71,6.8,63,6.0,68,6.5,74,7.0,71,6.8,79,7.5,89,8.5,76,7.2,89,8.5,83,7.9,87,8.3,90,8.6,0,0.0,44,4.2,67,6.4,43,4.1,385,36.7,11,1.0,113,10.8,2,0.2,540,51.4,74,7.0,24,2.3,283,27.0,615,58.6,3,2.9,58,56.3,2011
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,0,.,0,.,0,.,0,.,'133905,28.6,0,33.3,0,0,0,.,.,0,.,.,.,.,.,.,.,.,.,24,0,0.0,5,20.8,0,0.0,0,0,0,0.0,7,29.2,3,12.5,5,20.8,0,0.0,1,4.2,1,4.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,8.3,5,20.8,5,20.8,0,0.0,5,20.8,0,0.0,5,20.8,0,0.0,0,0.0,0,0.0,19,79.2,0,.,0,.,2011
0,0,0,0,0,0,37,80.4,9,19.6,46,100,0,0.0,0,0,0,0,23,50,0,0,'134901,9.5,0,4.1,2.5,0,0,0,0,11.4,33.3,0,0,0,0,0,0,0,20,695,2,0.3,16,2.3,0,0.0,3,0.4,390,56.1,48,6.9,43,6.2,45,6.5,54,7.8,44,6.3,52,7.5,52,7.5,43,6.2,63,9.1,52,7.5,52,7.5,57,8.2,0,0.0,73,10.5,50,7.2,40,5.8,271,39.0,1,0.1,17,2.4,0,0.0,205,29.5,73,10.5,6,0.9,245,35.3,415,59.7,3,6.5,23,50,2011
0,0,0,0,0,0,9,81.8,2,18.2,11,100,0,0.0,0,0,0,0,0,0,0,0,'135001,0,16.7,0,0,0,0,0,0,12.5,0,.,0,.,.,0,0,.,.,116,0,0.0,7,6.0,0,0.0,0,0,34,29.3,8,6.9,11,9.5,5,4.3,9,7.8,14,12.1,10,8.6,10,8.6,11,9.5,9,7.8,6,5.2,6,5.2,11,9.5,0,0.0,3,2.6,4,3.4,2,1.7,21,18.1,1,0.9,7,6.0,0,0.0,31,26.7,14,12.1,0,0.0,53,45.7,94,81.0,1,9.1,11,100,2011
0,0,0,0,0,0,37,78.7,10,21.3,47,100,0,0.0,3,1,0,0,32,68.1,0,0,'136901,0,12.8,6.5,0,4.3,0,0,2.2,7.4,11.1,25,0,0,0,0,0,0,42.9,611,1,0.2,32,5.2,3,0.5,4,0.6,423,69.2,38,6.2,50,8.2,38,6.2,37,6.1,43,7.0,49,8.0,47,7.7,50,8.2,58,9.5,44,7.2,30,4.9,56,9.2,0,0.0,61,10.0,52,8.5,19,3.1,426,69.7,0,0.0,34,5.6,0,0.0,283,46.3,69,11.3,7,1.1,174,28.5,174,28.5,2,4.3,15,31.9,2011
0,0,5,2.2,0,0,208,89.7,24,10.3,232,100,2,0.0,11,0.6,9,3.9,183,78.9,0,0,'137901,4.3,2.5,2.7,0,1.3,0.8,0.9,2.2,0,8,0,5.9,0,0,0,4.3,3.6,0,3958,44,1.1,132,3.3,141,3.6,72,1.7,3080,77.8,331,8.4,305,7.7,314,7.9,272,6.9,302,7.6,264,6.7,258,6.5,261,6.6,358,9.0,261,6.6,244,6.2,175,4.4,6,0.2,219,5.5,310,7.8,297,7.5,3343,84.5,4,0.1,170,4.3,1,0.0,1963,49.6,346,8.7,2,0.1,860,21.7,423,10.7,22,9.5,35,15.1,2011
0,.,0,.,0,.,0,.,0,.,0,.,0,0.0,2,1.4,0,.,0,.,0,.,'137902,1.9,5,3,0,2,1.7,0,0,3.6,0,0,0,.,0,0,0,0,.,656,3,0.5,35,5.3,2,0.3,1,0.1,377,57.5,63,9.6,65,9.9,69,10.5,81,12.3,81,12.3,54,8.2,67,10.2,61,9.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,48,7.3,60,9.1,55,8.4,527,80.3,0,0.0,42,6.4,1,0.2,205,31.3,25,3.8,6,0.9,0,0.0,117,17.8,0,.,0,.,2011
0,0,0,0,0,0,44,100,0,0,44,100,0,0.0,0,0,0,0,25,56.8,0,0,'137903,14.3,8.7,10.5,4,0,4,5.7,0,7.1,0,0,0,0,0,.,0,0,.,489,3,0.6,10,2.0,0,0.0,12,2.3,262,53.6,21,4.3,19,3.9,24,4.9,18,3.7,29,5.9,24,4.9,37,7.6,39,8.0,61,12.5,63,12.9,67,13.7,45,9.2,0,0.0,24,4.9,19,3.9,23,4.7,312,63.8,3,0.6,11,2.2,0,0.0,202,41.3,34,7.0,2,0.4,250,51.1,169,34.6,2,4.5,19,43.2,2011
0,0,1,2.2,0,0,45,97.8,1,2.2,46,100,0,0.0,0,0,1,2.2,33,71.7,0,0,'137904,0,0,0,0,0,0,0,0,5,.,.,0,0,0,0,0,.,.,401,1,0.2,4,1.0,4,1.0,5,1.2,151,37.7,20,5.0,20,5.0,17,4.2,21,5.2,19,4.7,23,5.7,23,5.7,20,5.0,64,16.0,56,14.0,43,10.7,39,9.7,0,0.0,76,19.0,20,5.0,16,4.0,296,73.8,3,0.7,4,1.0,0,0.0,114,28.4,14,3.5,3,0.7,142,35.4,94,23.4,4,8.7,11,23.9,2011
0,0,0,0,0,0,8,47.1,9,52.9,17,100,0,0.0,0,0,2,11.8,9,52.9,0,0,'138902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0.0,20,7.5,24,9.0,2,0.6,188,70.7,16,6.0,29,10.9,21,7.9,18,6.8,19,7.1,31,11.7,15,5.6,14,5.3,17,6.4,12,4.5,16,6.0,19,7.1,3,1.1,12,4.5,20,7.5,16,6.0,106,39.8,0,0.0,20,7.5,0,0.0,110,41.4,42,15.8,2,0.8,64,24.1,134,50.4,0,0,6,35.3,2011
1,3.6,0,0,0,0,22,78.6,6,21.4,28,100,0,0.0,0,0,7,25,10,35.7,1,3.6,'138903,0,4.2,20,9.1,0,0,0,0,5.6,0,50,0,0,0,0,0,.,50,364,0,0.0,28,7.7,34,9.3,16,3.8,237,65.1,20,5.5,22,6.0,28,7.7,21,5.8,23,6.3,29,8.0,28,7.7,21,5.8,30,8.2,36,9.9,24,6.6,29,8.0,1,0.3,35,9.6,32,8.8,20,5.5,185,50.8,1,0.3,28,7.7,0,0.0,130,35.7,37,10.2,10,2.7,126,34.6,134,36.8,1,3.6,9,32.1,2011
0,0,0,0,0,0,9,60,6,40,15,100,0,0.0,0,0,0,0,2,13.3,0,0,'138904,0,0,0,0,0,0,0,0,11.1,0,.,.,0,0,.,.,.,100,75,0,0.0,6,8.0,0,0.0,0,0,48,64.0,10,13.3,5,6.7,9,12.0,4,5.3,6,8.0,7,9.3,7,9.3,3,4.0,4,5.3,4,5.3,2,2.7,3,4.0,0,0.0,10,13.3,6,8.0,5,6.7,23,30.7,0,0.0,6,8.0,0,0.0,28,37.3,8,10.7,0,0.0,21,28.0,52,69.3,4,26.7,13,86.7,2011
1,1.5,0,0,0,0,48,70.6,20,29.4,68,100,0,0.0,1,0.2,3,4.4,0,0,1,1.5,'139905,3.6,6,0,0,1.8,0,0,0,0,14.3,0,0,0,10,0,0,0,0,819,2,0.2,31,3.8,47,5.7,8,0.9,377,46.0,57,7.0,63,7.7,52,6.3,60,7.3,65,7.9,71,8.7,63,7.7,65,7.9,70,8.5,52,6.3,61,7.4,67,8.2,1,0.1,32,3.9,51,6.2,21,2.6,54,6.6,17,2.1,31,3.8,0,0.0,274,33.5,88,10.7,18,2.2,216,26.4,681,83.2,6,8.8,63,92.6,2011
1,5.9,0,0,0,0,9,52.9,8,47.1,17,100,0,0.0,2,1.6,2,11.8,2,11.8,0,0,'139908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,.,195,0,0.0,0,0.0,45,23.1,3,1.2,116,59.5,9,4.6,11,5.6,14,7.2,11,5.6,10,5.1,14,7.2,17,8.7,14,7.2,24,12.3,29,14.9,10,5.1,10,5.1,0,0.0,15,7.7,14,7.2,8,4.1,11,5.6,1,0.5,0,0.0,0,0.0,42,21.5,26,13.3,11,5.6,67,34.4,127,65.1,3,17.6,12,70.6,2011
0,0,0,0,0,0,124,72.1,48,27.9,172,100,0,0.0,1,0.1,58,33.7,10,5.8,0,0,'139909,5,1.2,0.8,0,1.6,0.9,1.4,4.2,6.9,3.3,0,0,0,3.2,0,0,0,35.3,3777,28,0.7,227,6.0,1346,35.6,161,3.9,2793,73.9,296,7.8,239,6.3,280,7.4,295,7.8,279,7.4,274,7.3,253,6.7,254,6.7,288,7.6,264,7.0,222,5.9,181,4.8,6,0.2,393,10.4,316,8.4,330,8.7,593,15.7,50,1.3,251,6.6,0,0.0,2012,53.3,407,10.8,133,3.5,759,20.1,1627,43.1,23,13.4,104,60.5,2011
2,0.9,0,0,0,0,112,48.7,118,51.3,230,100,0,0.0,5,0.3,16,7,11,4.8,3,1.3,'139911,3.3,5,0.6,0.5,0,0.5,0.9,0,4.6,0,12.9,0,0,0,0,4.2,0,3.1,2900,23,0.8,65,2.2,126,4.3,33,1,1186,40.9,214,7.4,221,7.6,226,7.8,221,7.6,246,8.5,207,7.1,227,7.8,239,8.2,218,7.5,243,8.4,181,6.2,201,6.9,17,0.6,312,10.8,199,6.9,40,1.4,165,5.7,62,2.1,65,2.2,7,0.2,810,27.9,377,13.0,41,1.4,734,25.3,2476,85.4,26,11.3,198,86.1,2011
0,0,0,0,0,0,57,75,19,25,76,100,1,0.1,1,0.2,2,2.6,4,5.3,1,1.3,'139912,1.6,0,1.6,0,1.3,0,0,1.3,10.4,10,12.5,0,0,0,0,0,0,28.6,1130,2,0.2,17,1.5,7,0.6,18,1.5,616,54.5,74,6.5,72,6.4,74,6.5,82,7.3,78,6.9,85,7.5,77,6.8,90,8.0,82,7.3,95,8.4,87,7.7,82,7.3,3,0.3,112,9.9,92,8.1,57,5.0,74,6.5,14,1.2,17,1.5,0,0.0,369,32.7,134,11.9,20,1.8,336,29.7,1013,89.6,15,19.7,69,90.8,2011
0,0,0,0,0,0,11,84.6,2,15.4,13,100,0,0.0,0,0,2,15.4,7,53.8,0,0,'140901,0,0,0,16.7,0,0,0,0,12.5,0,0,.,0,0,0,0,0,.,178,0,0.0,22,12.4,11,6.2,6,3.1,147,82.6,9,5.1,12,6.7,10,5.6,17,9.6,10,5.6,15,8.4,9,5.1,13,7.3,15,8.4,14,7.9,8,4.5,21,11.8,0,0.0,10,5.6,11,6.2,14,7.9,135,75.8,0,0.0,23,12.9,0,0.0,81,45.5,28,15.7,0,0.0,66,37.1,32,18.0,2,15.4,4,30.8,2011
1,1.3,0,0,0,0,57,73.1,21,26.9,78,100,0,0.0,1,0.2,4,5.1,47,60.3,0,0,'140904,4,2.8,2.1,3.2,1,0,1.1,0,3,16.7,12.5,0,10,9.1,7.7,9.1,0,14.3,1484,2,0.1,72,4.9,110,7.4,28,1.7,1091,73.5,118,8.0,116,7.8,123,8.3,107,7.2,99,6.7,110,7.4,104,7.0,107,7.2,99,6.7,94,6.3,96,6.5,94,6.3,0,0.0,79,5.3,123,8.3,94,6.3,982,66.2,6,0.4,72,4.9,0,0.0,540,36.4,158,10.6,14,0.9,284,19.1,370,24.9,13,16.7,26,33.3,2011
0,0,0,0,0,0,36,94.7,2,5.3,38,100,0,0.0,1,0.3,0,0,27,71.1,0,0,'140905,2,4.2,0,0,0,0,0,3.6,6.8,14.3,0,0,0,0,0,0,0,0,682,0,0.0,105,15.4,4,0.6,7,0.9,490,71.8,50,7.3,64,9.4,51,7.5,42,6.2,55,8.1,38,5.6,45,6.6,61,8.9,61,8.9,41,6.0,49,7.2,40,5.9,0,0.0,47,6.9,47,6.9,38,5.6,512,75.1,2,0.3,105,15.4,0,0.0,323,47.4,83,12.2,2,0.3,143,21.0,162,23.8,5,13.2,11,28.9,2011
0,0,0,0,0,0,18,81.8,4,18.2,22,100,1,0.2,0,0,0,0,11,50,0,0,'140907,0,3,0,0,7.7,0,0,0,8.3,0,0,0,0,0,16.7,0,0,0,390,1,0.3,19,4.9,9,2.3,6,1.3,258,66.2,33,8.5,19,4.9,29,7.4,25,6.4,32,8.2,23,5.9,31,7.9,22,5.6,25,6.4,28,7.2,28,7.2,35,9.0,0,0.0,31,7.9,28,7.2,32,8.2,241,61.8,0,0.0,19,4.9,0,0.0,153,39.2,51,13.1,1,0.3,119,30.5,138,35.4,2,9.1,11,50,2011
